time,play,score
12:00,Kosta Koufos vs. Myles Turner (DeMarcus Cousins gains possession),0 - 0
11:34,Darren Collison makes 27-foot  three point jumper  (Garrett Temple assists),3 - 0
11:12,C.J. Miles makes 23-foot  three point jumper  (Myles Turner assists),3 - 3
10:51,Arron Afflalo  misses 26-foot three point jumper,3 - 3
10:49,Thaddeus Young defensive rebound,3 - 3
10:34,Jeff Teague makes  three point jumper  (Myles Turner assists),3 - 6
10:18,Thaddeus Young personal foul  (DeMarcus Cousins draws the foul),3 - 6
10:18,Garrett Temple  lost ball turnover (C.J. Miles steals),3 - 6
10:10,Myles Turner makes dunk (Paul George assists),3 - 8
9:51,Darren Collison  bad pass (Thaddeus Young steals),3 - 8
9:30,Paul George  misses 18-foot step back jumpshot,3 - 8
9:30,DeMarcus Cousins defensive rebound,3 - 8
9:14,Arron Afflalo makes 24-foot  three point jumper  (Darren Collison assists),6 - 8
9:00,C.J. Miles  bad pass (Darren Collison steals),6 - 8
9:00,Kings Full timeout,6 - 8
8:45,Garrett Temple  lost ball turnover (Thaddeus Young steals),6 - 8
8:29,Thaddeus Young  misses 24-foot three point jumper,6 - 8
8:29,Arron Afflalo defensive rebound,6 - 8
8:17,Arron Afflalo makes 16-foot jumper (DeMarcus Cousins assists),8 - 8
7:58,C.J. Miles makes 23-foot  three point jumper  (Jeff Teague assists),8 - 11
7:39,DeMarcus Cousins makes jumper,10 - 11
7:31,Paul George  misses 26-foot three point jumper,10 - 11
7:31,DeMarcus Cousins defensive rebound,10 - 11
7:11,Garrett Temple  misses 26-foot three point jumper,10 - 11
7:11,Jeff Teague defensive rebound,10 - 11
6:58,Pacers Full timeout,10 - 11
6:58,Willie Cauley-Stein enters the game for Kosta Koufos,10 - 11
6:50,Thaddeus Young makes driving dunk (Jeff Teague assists),10 - 13
6:26,Willie Cauley-Stein  misses layup,10 - 13
6:24,Willie Cauley-Stein offensive rebound,10 - 13
6:20,Arron Afflalo makes 24-foot  three point jumper  (Willie Cauley-Stein assists),13 - 13
6:03,Willie Cauley-Stein personal foul  (Paul George draws the foul),13 - 13
5:58,DeMarcus Cousins blocks Paul George 's 5-foot  jumper,13 - 13
5:58,DeMarcus Cousins defensive rebound,13 - 13
5:58,DeMarcus Cousins vs. Paul George (Arron Afflalo gains possession),13 - 13
5:39,Darren Collison makes 25-foot  three point jumper  (Willie Cauley-Stein assists),16 - 13
5:16,Jeff Teague makes 9-foot Driving Floating Jump Shot,16 - 15
4:48,Darren Collison  misses 29-foot three point jumper,16 - 15
4:48,Thaddeus Young defensive rebound,16 - 15
4:37,Jeff Teague makes jumper,16 - 17
4:26,DeMarcus Cousins offensive foul  (Thaddeus Young draws the foul),19 - 17
4:26,DeMarcus Cousins  turnover,19 - 17
4:26,Lavoy Allen enters the game for Thaddeus Young,19 - 17
4:26,Monta Ellis enters the game for C.J. Miles,19 - 17
4:03,Myles Turner makes 21-foot jumper (Paul George assists),16 - 19
3:54,DeMarcus Cousins makes 25-foot  three point jumper  (Darren Collison assists),19 - 19
3:54,Lavoy Allen shooting foul  (DeMarcus Cousins draws the foul),19 - 19
3:54,DeMarcus Cousins misses free throw 1 of 1,19 - 19
3:53,DeMarcus Cousins offensive rebound,19 - 19
3:34,DeMarcus Cousins  misses 19-foot jumper,19 - 19
3:34,Jeff Teague defensive rebound,19 - 19
3:23,Paul George makes driving layup,19 - 21
3:06,Myles Turner defensive 3-seconds (Technical Foul),19 - 21
3:06,Darren Collison makes technical free throw,20 - 21
3:06,Al Jefferson enters the game for Myles Turner,20 - 21
3:06,Matt Barnes enters the game for Garrett Temple,20 - 21
2:51,DeMarcus Cousins makes 18-foot two point shot,22 - 21
2:40,Al Jefferson makes layup (Monta Ellis assists),22 - 23
2:28,DeMarcus Cousins makes driving layup (Darren Collison assists),24 - 23
2:12,Al Jefferson  misses 8-foot jumper,24 - 23
2:11,DeMarcus Cousins defensive rebound,24 - 23
2:01,Aaron Brooks enters the game for Jeff Teague,24 - 23
2:01,Ty Lawson enters the game for Darren Collison,24 - 23
2:01,Anthony Tolliver enters the game for DeMarcus Cousins,24 - 23
1:55,Ty Lawson  bad pass (Paul George steals),24 - 23
1:50,Aaron Brooks  misses 25-foot three point pullup jump shot,24 - 23
1:47,Paul George makes tip shot,24 - 25
1:47,Paul George offensive rebound,24 - 23
1:37,Arron Afflalo offensive foul  (Paul George draws the foul),24 - 25
1:37,Arron Afflalo  turnover,24 - 25
1:37,Glenn Robinson III enters the game for Paul George,24 - 25
1:37,Malachi Richardson enters the game for Arron Afflalo,24 - 25
1:16,Al Jefferson makes 5-foot jumper,24 - 27
1:09,Monta Ellis personal foul  (Malachi Richardson draws the foul),24 - 27
1:09,Kosta Koufos enters the game for Willie Cauley-Stein,24 - 27
54.0,Matt Barnes  misses 27-foot three point jumper,24 - 27
53.0,Lavoy Allen defensive rebound,24 - 27
37.0,Al Jefferson  misses 6-foot jumper,24 - 27
36.0,Lavoy Allen offensive rebound,24 - 27
32.0,Lavoy Allen  misses two point shot,24 - 27
30.0,Anthony Tolliver defensive rebound,24 - 27
27.0,Malachi Richardson makes  three point jumper  (Ty Lawson assists),27 - 27
10.0,Lavoy Allen  misses 20-foot jumper,27 - 27
9.0,Kosta Koufos defensive rebound,27 - 27
