time,play,score
12:00,Willie Cauley-Stein vs. Anthony Davis (Tim Frazier gains possession),0 - 0
11:37,DeMarcus Cousins  misses 16-foot two point shot,0 - 0
11:36,Buddy Hield defensive rebound,0 - 0
11:14,Darren Collison  misses 11-foot jumper,0 - 0
11:12,Jrue Holiday defensive rebound,0 - 0
11:10,Jrue Holiday  lost ball turnover (Darren Collison steals),0 - 0
11:04,Darren Collison  misses jumper,0 - 0
11:00,Willie Cauley-Stein offensive rebound,0 - 0
11:00,Skal Labissiere possession lost ball turnoverAnthony Davis,0 - 0
10:56,Tim Frazier makes layup (Solomon Hill assists),0 - 2
10:40,Tyreke Evans makes 25-foot  three point jumper  (Buddy Hield assists),3 - 2
10:25,Solomon Hill  misses 24-foot three point jumper,3 - 2
10:23,Buddy Hield defensive rebound,3 - 2
10:12,Skal Labissiere makes layup (Buddy Hield assists),5 - 2
10:07,Jrue Holiday  bad pass (Willie Cauley-Stein steals),5 - 2
9:44,Tyreke Evans  misses 24-foot three point jumper,5 - 2
9:42,DeMarcus Cousins defensive rebound,5 - 2
9:30,Anthony Davis  misses 17-foot jumper,5 - 2
9:30,Buddy Hield defensive rebound,5 - 2
9:18,Willie Cauley-Stein  bad pass (Jrue Holiday steals),5 - 2
9:11,Solomon Hill  misses three point jumper,5 - 2
9:10,Tim Frazier offensive rebound,5 - 2
9:03,DeMarcus Cousins  bad pass (Tyreke Evans steals),5 - 2
8:59,Buddy Hield  out of bounds lost ball turnover,5 - 2
8:47,DeMarcus Cousins makes 26-foot  three point jumper  (Jrue Holiday assists),5 - 5
8:33,Tyreke Evans makes 2-foot two point shot,7 - 5
8:29,Jrue Holiday  bad pass,7 - 5
8:10,Skal Labissiere  misses layup,7 - 5
8:08,DeMarcus Cousins defensive rebound,7 - 5
8:00,DeMarcus Cousins  misses layup,7 - 5
8:00,Anthony Davis makes two point shot,7 - 7
8:00,Anthony Davis offensive rebound,7 - 5
7:47,Buddy Hield  misses 26-foot three point jumper,7 - 7
7:46,Pelicans defensive team rebound,7 - 7
7:26,Anthony Davis  misses 16-foot jumper,7 - 7
7:26,Buddy Hield defensive rebound,7 - 7
7:11,Buddy Hield makes 15-foot two point shot,9 - 7
6:56,Buddy Hield blocks Jrue Holiday 's 3-foot  layup,9 - 7
6:56,Pelicans offensive team rebound,9 - 7
6:56,Solomon Hill makes  three point jumper  (Jrue Holiday assists),9 - 10
6:35,Skal Labissiere makes two point shot (Tyreke Evans assists),11 - 10
6:24,DeMarcus Cousins makes 25-foot  three point jumper  (Jrue Holiday assists),11 - 13
6:07,Willie Cauley-Stein  misses layup,11 - 13
6:05,Anthony Davis defensive rebound,11 - 13
6:03,Anthony Davis makes layup,11 - 15
6:03,Willie Cauley-Stein defensive goaltending violation,11 - 15
5:50,Willie Cauley-Stein  misses layup,11 - 15
5:48,Anthony Davis defensive rebound,11 - 15
5:43,Tim Frazier  misses 25-foot three point jumper,11 - 15
5:41,Willie Cauley-Stein defensive rebound,11 - 15
5:35,DeMarcus Cousins shooting block foul  (Skal Labissiere draws the foul),11 - 15
5:35,Pelicans Full timeout,11 - 15
5:35,Georgios Papagiannis enters the game for Willie Cauley-Stein,11 - 15
5:35,Skal Labissiere makes free throw 1 of 2,12 - 15
5:35,Skal Labissiere makes free throw 2 of 2,13 - 15
5:33,Buddy Hield personal foul  (Tim Frazier draws the foul),13 - 15
5:16,DeMarcus Cousins  bad pass,13 - 15
5:01,Tyreke Evans  misses layup,13 - 15
5:01,Skal Labissiere offensive rebound,13 - 15
4:56,Skal Labissiere  lost ball turnover (Jrue Holiday steals),13 - 15
4:54,Darren Collison personal foul  (Anthony Davis draws the foul),13 - 15
4:54,E'Twaun Moore enters the game for Tim Frazier,13 - 15
4:43,Anthony Davis makes 5-foot two point shot (Solomon Hill assists),13 - 17
4:43,Skal Labissiere shooting foul  (Anthony Davis draws the foul),13 - 17
4:43,Garrett Temple enters the game for Tyreke Evans,13 - 17
4:43,Dante Cunningham enters the game for DeMarcus Cousins,13 - 17
4:43,Anthony Davis makes free throw 1 of 1,13 - 18
4:20,Anthony Davis blocks Skal Labissiere 's 13-foot  jumper,13 - 18
4:18,Kings offensive team rebound,13 - 18
4:18,shot clock turnover,13 - 18
4:00,Dante Cunningham  misses 24-foot three point jumper,13 - 18
3:59,Anthony Davis offensive rebound,13 - 18
3:53,Jrue Holiday  misses 29-foot three point jumper,13 - 18
3:51,Darren Collison defensive rebound,13 - 18
3:47,Garrett Temple makes 19-foot two point shot (Darren Collison assists),15 - 18
3:34,Anthony Davis makes driving layup (Jrue Holiday assists),15 - 20
3:16,Darren Collison  bad pass (Dante Cunningham steals),15 - 20
3:08,Garrett Temple blocks Solomon Hill 's 1-foot  layup,15 - 20
3:05,Anthony Davis offensive rebound,15 - 20
3:04,Anthony Davis makes two point shot,15 - 22
2:45,Darren Collison  misses layup,15 - 22
2:44,Dante Cunningham defensive rebound,15 - 22
2:40,Solomon Hill makes layup,15 - 24
2:23,Buddy Hield makes 16-foot two point shot,17 - 24
2:09,Jrue Holiday  lost ball turnover (Garrett Temple steals),17 - 24
2:06,Jrue Holiday blocks Garrett Temple's  layup,17 - 24
2:05,Jrue Holiday defensive rebound,17 - 24
1:55,Anthony Davis  misses 19-foot jumper,17 - 24
1:54,Garrett Temple defensive rebound,17 - 24
1:50,Jrue Holiday blocks Garrett Temple 's 8-foot  jumper,17 - 24
1:49,Jrue Holiday defensive rebound,17 - 24
1:43,Dante Cunningham makes two point shot (Jrue Holiday assists),17 - 26
1:19,Skal Labissiere  misses 13-foot two point shot,17 - 26
1:17,Buddy Hield offensive rebound,17 - 26
1:07,Garrett Temple  misses 26-foot three point jumper,17 - 26
1:07,Anthony Davis defensive rebound,17 - 26
1:02,Anthony Davis  bad pass,17 - 26
1:02,Kings Full timeout,17 - 26
1:02,Tim Frazier enters the game for Anthony Davis,17 - 26
1:02,DeMarcus Cousins enters the game for Jrue Holiday,17 - 26
1:02,Ben McLemore enters the game for Skal Labissiere,17 - 26
1:02,Langston Galloway enters the game for Darren Collison,17 - 26
51.0,Langston Galloway  misses 25-foot three point jumper,17 - 26
49.0,DeMarcus Cousins defensive rebound,17 - 26
41.0,DeMarcus Cousins makes driving layup,17 - 28
36.0,Ben McLemore  bad pass (DeMarcus Cousins steals),17 - 28
33.0,DeMarcus Cousins makes layup,17 - 31
33.0,Georgios Papagiannis shooting foul  (DeMarcus Cousins draws the foul),17 - 30
33.0,DeMarcus Cousins makes free throw 1 of 1,17 - 31
13.0,Dante Cunningham shooting foul  (Georgios Papagiannis draws the foul),17 - 31
13.0,Georgios Papagiannis makes free throw 1 of 2,18 - 31
13.0,Georgios Papagiannis makes free throw 2 of 2,19 - 31
1.0,Georgios Papagiannis shooting foul  (DeMarcus Cousins draws the foul),19 - 31
1.0,DeMarcus Cousins misses free throw 1 of 3,19 - 31
1.0,Pelicans offensive team rebound,19 - 31
1.0,DeMarcus Cousins makes free throw 2 of 3,19 - 32
1.0,DeMarcus Cousins misses free throw 3 of 3,19 - 32
0.0,Ben McLemore defensive rebound,19 - 32
0.0,End of the 1st Quarter,19 - 32
11:44,Garrett Temple  bad pass (DeMarcus Cousins steals),19 - 32
11:41,Garrett Temple shooting foul  (E'Twaun Moore draws the foul),19 - 32
11:41,E'Twaun Moore makes free throw 1 of 2,19 - 33
11:41,E'Twaun Moore misses free throw 2 of 2,19 - 33
11:40,Ben McLemore defensive rebound,19 - 33
11:23,Langston Galloway makes 26-foot  three point jumper  (Ben McLemore assists),22 - 33
11:00,Tim Frazier  misses Regular Jump Shot,22 - 33
10:56,Ben McLemore defensive rebound,22 - 33
10:49,Ben McLemore  misses 17-foot jumper,22 - 33
10:48,DeMarcus Cousins defensive rebound,22 - 33
10:29,DeMarcus Cousins makes 25-foot  three point jumper  (Jordan Crawford assists),22 - 36
10:07,Garrett Temple  misses step back jumpshot,22 - 36
10:07,DeMarcus Cousins defensive rebound,22 - 36
