time,play,score
12:00,Kosta Koufos vs. Andre Drummond (Reggie Jackson gains possession),0 - 0
11:45,Kentavious Caldwell-Pope  misses 27-foot three point jumper,0 - 0
11:45,Darren Collison defensive rebound,0 - 0
11:22,DeMarcus Cousins  misses 17-foot jumper,0 - 0
11:21,Garrett Temple offensive rebound,0 - 0
11:15,Kosta Koufos makes layup (Garrett Temple assists),2 - 0
10:59,Kentavious Caldwell-Pope  misses 25-foot three point jumper,2 - 0
10:59,DeMarcus Cousins defensive rebound,2 - 0
10:40,Garrett Temple  misses 10-foot two point shot,2 - 0
10:40,Andre Drummond defensive rebound,2 - 0
10:32,Jon Leuer makes 25-foot  three point jumper  (Reggie Jackson assists),2 - 3
10:07,Kosta Koufos  misses jumper,2 - 3
10:07,Jon Leuer defensive rebound,2 - 3
10:02,Garrett Temple shooting foul  (Kentavious Caldwell-Pope draws the foul),2 - 3
10:02,Kentavious Caldwell-Pope makes free throw 1 of 2,2 - 5
10:02,Kentavious Caldwell-Pope makes free throw 2 of 2,2 - 5
9:44,Arron Afflalo makes 24-foot  three point jumper  (DeMarcus Cousins assists),5 - 5
9:26,Jon Leuer makes 26-foot  three point jumper  (Reggie Jackson assists),5 - 8
9:08,DeMarcus Cousins  bad pass,5 - 8
8:59,Kentavious Caldwell-Pope  misses 23-foot three point jumper,5 - 8
8:59,Kosta Koufos defensive rebound,5 - 8
8:47,Darren Collison  bad pass,5 - 8
8:30,Marcus Morris makes 12-foot jumper (Reggie Jackson assists),5 - 10
8:11,Arron Afflalo makes 27-foot  three point jumper  (Garrett Temple assists),8 - 10
7:54,Jon Leuer  out of bounds lost ball turnover,8 - 10
7:35,Kosta Koufos makes two point shot,10 - 10
7:31,Darren Collison personal foul  (Reggie Jackson draws the foul),10 - 10
7:26,Andre Drummond  misses,10 - 10
7:24,Kosta Koufos defensive rebound,10 - 10
7:20,Kosta Koufos makes two point shot (Garrett Temple assists),12 - 10
7:16,Pistons Full timeout,12 - 10
7:07,Reggie Jackson  misses layup,12 - 10
7:05,Kosta Koufos defensive rebound,12 - 10
7:00,Arron Afflalo  misses 26-foot three point jumper,12 - 10
6:58,Reggie Jackson defensive rebound,12 - 10
6:48,Jon Leuer makes 24-foot  three point jumper  (Reggie Jackson assists),12 - 13
6:33,Kosta Koufos  bad pass (Kentavious Caldwell-Pope steals),12 - 13
6:31,Kentavious Caldwell-Pope makes driving layup,12 - 15
6:31,Kosta Koufos shooting foul  (Kentavious Caldwell-Pope draws the foul),12 - 15
6:31,Anthony Tolliver enters the game for Kosta Koufos,12 - 15
6:31,Kentavious Caldwell-Pope makes free throw 1 of 1,12 - 16
