time,play,score
12:00,Kosta Koufos vs. Marcin Gortat (Rudy Gay gains possession),0 - 0
11:33,Rudy Gay makes 15-foot two point shot (DeMarcus Cousins assists),2 - 0
11:07,Otto Porter Jr. makes 25-foot  three point jumper  (Bradley Beal assists),2 - 3
10:47,DeMarcus Cousins  misses 16-foot jumper,2 - 3
10:44,Rudy Gay offensive rebound,2 - 3
10:40,Rudy Gay  misses layup,2 - 3
10:38,Otto Porter Jr. defensive rebound,2 - 3
10:34,Markieff Morris makes jumper (John Wall assists),2 - 5
10:15,Arron Afflalo makes two point shot,4 - 5
10:04,Bradley Beal makes 27-foot  three point jumper  (John Wall assists),4 - 8
9:41,DeMarcus Cousins  lost ball turnover (Otto Porter Jr. steals),4 - 8
9:37,Rudy Gay shooting foul  (Otto Porter Jr. draws the foul),4 - 8
9:37,Otto Porter Jr. misses free throw 1 of 2,4 - 8
9:37,Wizards offensive team rebound,4 - 8
9:37,Otto Porter Jr. makes free throw 2 of 2,4 - 9
9:14,DeMarcus Cousins  misses 17-foot jumper,4 - 9
9:11,Kosta Koufos offensive rebound,4 - 9
9:07,Rudy Gay  misses 25-foot three point jumper,4 - 9
9:07,John Wall defensive rebound,4 - 9
9:00,Bradley Beal makes 26-foot  three point jumper  (John Wall assists),4 - 12
8:37,DeMarcus Cousins  misses 26-foot three point jumper,4 - 12
8:37,John Wall defensive rebound,4 - 12
8:30,Bradley Beal  misses 25-foot three point jumper,4 - 12
8:29,Rudy Gay defensive rebound,4 - 12
8:19,Darren Collison makes 18-foot two point shot,6 - 12
8:02,Marcin Gortat makes layup (Markieff Morris assists),6 - 14
7:52,Kosta Koufos makes 11-foot two point shot (Darren Collison assists),8 - 14
7:35,Bradley Beal  misses 21-foot jumper,8 - 14
7:35,Kings defensive team rebound,8 - 14
7:35,Marcin Gortat loose ball foul  (DeMarcus Cousins draws the foul),8 - 14
7:11,DeMarcus Cousins makes two point shot (Rudy Gay assists),10 - 14
6:56,Markieff Morris  misses 26-foot three point jumper,10 - 14
6:54,Rudy Gay defensive rebound,10 - 14
6:47,DeMarcus Cousins makes layup (Rudy Gay assists),12 - 14
6:35,John Wall  misses 8-foot jumper,12 - 14
6:33,Marcin Gortat offensive rebound,12 - 14
6:33,Marcin Gortat  misses,12 - 14
6:31,DeMarcus Cousins defensive rebound,12 - 14
6:24,John Wall blocks Darren Collison's  layup,12 - 14
6:22,Otto Porter Jr. defensive rebound,12 - 14
6:20,Arron Afflalo personal foul  (Bradley Beal draws the foul),12 - 14
6:13,Markieff Morris  misses 23-foot three point jumper,12 - 14
6:11,Marcin Gortat offensive rebound,12 - 14
6:07,Marcin Gortat makes layup,12 - 16
5:56,DeMarcus Cousins  out of bounds lost ball turnover,12 - 16
5:56,Wizards Full timeout,12 - 16
5:41,John Wall  lost ball turnover (DeMarcus Cousins steals),12 - 16
5:24,Otto Porter Jr. personal foul  (Kosta Koufos draws the foul),12 - 16
5:24,Jason Smith enters the game for Markieff Morris,12 - 16
5:11,Rudy Gay  misses 19-foot jumper,12 - 16
5:11,John Wall defensive rebound,12 - 16
4:56,Bradley Beal  misses 17-foot jumper,12 - 16
4:54,DeMarcus Cousins defensive rebound,12 - 16
4:46,Arron Afflalo  misses 25-foot three point jumper,12 - 16
4:45,DeMarcus Cousins offensive rebound,12 - 16
4:43,Matt Barnes enters the game for DeMarcus Cousins,12 - 16
4:43,Ty Lawson enters the game for Darren Collison,12 - 16
4:43,Rudy Gay  back court turnover,12 - 16
4:35,John Wall  lost ball turnover (Matt Barnes steals),12 - 16
4:28,Ty Lawson makes layup (Matt Barnes assists),14 - 16
4:16,Ty Lawson personal foul  (John Wall draws the foul),14 - 16
4:16,John Wall technical foul(1st technical foul),14 - 16
4:16,Arron Afflalo makes technical free throw,15 - 16
4:09,John Wall  misses 18-foot jumper,15 - 16
4:05,Marcin Gortat offensive rebound,15 - 16
4:01,Kosta Koufos kicked ball violation,15 - 16
3:56,Marcin Gortat  bad pass (Ty Lawson steals),15 - 16
3:48,Bradley Beal blocks Ty Lawson 's 1-foot  layup,15 - 16
3:47,John Wall defensive rebound,15 - 16
3:43,Bradley Beal makes 25-foot  three point jumper  (John Wall assists),15 - 19
3:32,Rudy Gay  out of bounds lost ball turnover,15 - 19
3:32,Tomas Satoransky enters the game for Bradley Beal,15 - 19
3:15,Otto Porter Jr. makes 8-foot two point shot,15 - 21
3:02,Kings Full timeout,15 - 21
3:02,Garrett Temple enters the game for Arron Afflalo,15 - 21
2:55,Garrett Temple  misses 20-foot jumper,15 - 21
2:53,Marcin Gortat defensive rebound,15 - 21
2:41,John Wall  bad pass (Rudy Gay steals),15 - 21
2:28,Matt Barnes steps out of bounds turnover,15 - 21
2:15,Jason Smith  misses 17-foot jumper,15 - 21
2:14,Rudy Gay defensive rebound,15 - 21
2:00,Otto Porter Jr. shooting foul  (Rudy Gay draws the foul),15 - 21
2:00,Rudy Gay makes free throw 1 of 2,16 - 21
