time,play,score
12:00,Joakim Noah vs. Amir Johnson (Kristaps Porzingis gains possession),0 - 0
11:47,Carmelo Anthony  misses 6-foot two point shot,0 - 0
11:45,Avery Bradley defensive rebound,0 - 0
11:26,Isaiah Thomas makes 17-foot two point shot (Avery Bradley assists),0 - 2
11:04,Derrick Rose makes 7-foot two point shot,2 - 2
10:48,Isaiah Thomas makes 25-foot  three point jumper  (Amir Johnson assists),2 - 5
10:26,Derrick Rose  misses 25-foot three point jumper,2 - 5
10:25,Marcus Smart defensive rebound,2 - 5
10:18,Marcus Smart makes 25-foot  three point jumper  (Isaiah Thomas assists),2 - 8
10:03,Carmelo Anthony makes 18-foot two point shot (Derrick Rose assists),4 - 8
9:47,Marcus Smart Out-of-Bounds Bad Pass Turnover,4 - 8
9:30,Carmelo Anthony makes two point shot,6 - 8
9:30,Amir Johnson defensive goaltending violation,6 - 8
9:15,Marcus Smart makes 23-foot  three point jumper  (Isaiah Thomas assists),6 - 11
8:52,Courtney Lee  misses 19-foot jumper,6 - 11
8:52,Kelly Olynyk defensive rebound,6 - 11
8:48,Avery Bradley  misses,6 - 11
8:47,Kristaps Porzingis defensive rebound,6 - 11
8:41,Kristaps Porzingis  out of bounds lost ball turnover,6 - 11
8:29,Kristaps Porzingis shooting foul  (Kelly Olynyk draws the foul),6 - 11
8:29,Kelly Olynyk makes free throw 1 of 2,6 - 12
8:29,Kelly Olynyk makes free throw 2 of 2,6 - 13
8:19,Kristaps Porzingis  misses driving layup,6 - 13
8:18,Avery Bradley defensive rebound,6 - 13
8:18,Joakim Noah offensive rebound,6 - 13
8:18,Joakim Noah  misses,6 - 13
8:08,Courtney Lee shooting foul  (Avery Bradley draws the foul),6 - 13
8:08,Avery Bradley makes free throw 1 of 2,6 - 14
8:08,Avery Bradley makes free throw 2 of 2,6 - 15
7:58,Joakim Noah  lost ball turnover (Amir Johnson steals),6 - 15
7:50,Marcus Smart makes 4-foot two point shot,6 - 17
7:35,Carmelo Anthony  lost ball turnover (Avery Bradley steals),6 - 17
7:31,Avery Bradley  misses layup,6 - 17
7:30,Isaiah Thomas offensive rebound,6 - 17
7:24,Marcus Smart  misses 25-foot three point jumper,6 - 17
7:20,Avery Bradley  misses 1-foot,6 - 17
7:20,Avery Bradley offensive rebound,6 - 17
7:20,Carmelo Anthony defensive rebound,6 - 17
7:09,Kristaps Porzingis makes 11-foot two point shot (Carmelo Anthony assists),8 - 17
6:54,Isaiah Thomas  misses 4-foot jumper,8 - 17
6:52,Isaiah Thomas offensive rebound,8 - 17
6:52,Isaiah Thomas  misses,8 - 17
6:50,Joakim Noah defensive rebound,8 - 17
6:48,Joakim Noah  bad pass (Avery Bradley steals),8 - 17
