time,play,score
12:00,Kristaps Porzingis vs. Rudy Gobert (George Hill gains possession),0 - 0
11:42,Gordon Hayward  misses driving layup,0 - 0
11:40,Lance Thomas defensive rebound,0 - 0
11:23,Courtney Lee makes 15-foot jumper (Derrick Rose assists),2 - 0
11:00,Rodney Hood  misses 26-foot three point jumper,2 - 0
10:59,Kristaps Porzingis defensive rebound,2 - 0
10:52,Derrick Rose makes two point shot,4 - 0
10:37,George Hill  misses 5-foot jumper,4 - 0
10:36,Rudy Gobert  misses 2-foot,4 - 0
10:36,Rudy Gobert offensive rebound,4 - 0
10:33,Rudy Gobert offensive rebound,4 - 0
10:30,Gordon Hayward  misses 25-foot three point jumper,4 - 0
10:29,Gordon Hayward offensive rebound,4 - 0
10:23,Gordon Hayward  misses layup,4 - 0
10:22,Carmelo Anthony defensive rebound,4 - 0
10:15,Lance Thomas makes layup,6 - 0
10:15,Gordon Hayward defensive goaltending violation,6 - 0
10:00,Rodney Hood makes 19-foot jumper (George Hill assists),6 - 2
9:38,Derrick Rose makes driving layup,8 - 2
9:33,Jazz Full timeout,8 - 2
9:26,George Hill  bad pass (Kristaps Porzingis steals),8 - 2
9:19,Lance Thomas  misses 13-foot jumper,8 - 2
9:18,Lance Thomas offensive rebound,8 - 2
9:11,Derrick Rose makes 9-foot jumper (Courtney Lee assists),10 - 2
8:52,George Hill makes 18-foot jumper,10 - 4
8:34,Kristaps Porzingis makes  three point jumper  (Derrick Rose assists),13 - 4
8:22,Boris Diaw makes layup (Rudy Gobert assists),13 - 6
8:07,Kristaps Porzingis makes 26-foot  three point jumper  (Carmelo Anthony assists),16 - 6
7:39,Boris Diaw  misses 5-foot jumper,16 - 6
7:39,Lance Thomas defensive rebound,16 - 6
7:26,Lance Thomas  misses 3-foot two point shot,16 - 6
7:26,George Hill defensive rebound,16 - 6
7:11,Boris Diaw makes 24-foot  three point jumper  (George Hill assists),16 - 9
6:58,Rudy Gobert blocks Kristaps Porzingis 's 2-foot  layup,16 - 9
6:56,Lance Thomas offensive rebound,16 - 9
6:50,Lance Thomas makes layup,18 - 9
6:37,Boris Diaw  misses layup,18 - 9
6:37,Rudy Gobert makes dunk,18 - 11
6:37,Rudy Gobert offensive rebound,18 - 9
6:22,Derrick Rose  misses 18-foot jumper,18 - 11
6:22,Gordon Hayward defensive rebound,18 - 11
6:09,Boris Diaw  misses 23-foot jumper,18 - 11
6:09,Derrick Rose defensive rebound,18 - 11
5:54,Rudy Gobert blocks Lance Thomas 's 2-foot  layup,18 - 11
5:54,Rudy Gobert defensive rebound,18 - 11
5:46,Rudy Gobert makes 2-foot two point shot (George Hill assists),18 - 13
5:28,Carmelo Anthony makes 11-foot jumper (Lance Thomas assists),20 - 13
5:00,Gordon Hayward  misses 24-foot three point jumper,20 - 13
4:58,Kristaps Porzingis defensive rebound,20 - 13
4:39,Kristaps Porzingis  misses three point jumper,20 - 13
4:39,George Hill defensive rebound,20 - 13
4:22,George Hill Out-of-Bounds Bad Pass Turnover,20 - 13
4:22,Raul Neto enters the game for George Hill,20 - 13
4:22,Joe Johnson enters the game for Boris Diaw,20 - 13
4:22,Joe Ingles enters the game for Rodney Hood,20 - 13
4:22,Knicks Full timeout,20 - 13
4:22,Mindaugas Kuzminskas enters the game for Lance Thomas,20 - 13
4:22,Willy Hernangomez enters the game for Kristaps Porzingis,20 - 13
4:09,Courtney Lee makes 25-foot  three point jumper  (Derrick Rose assists),23 - 13
3:54,Rudy Gobert  bad pass (Willy Hernangomez steals),23 - 13
3:42,Willy Hernangomez makes 9-foot two point shot (Derrick Rose assists),25 - 13
3:29,Rudy Gobert makes dunk (Gordon Hayward assists),25 - 15
3:13,Raul Neto personal foul  (Courtney Lee draws the foul),25 - 15
3:01,Carmelo Anthony makes 13-foot jumper,27 - 15
2:41,Joe Ingles makes 26-foot  three point jumper  (Joe Johnson assists),27 - 18
2:26,Mindaugas Kuzminskas  misses layup,27 - 18
2:25,Willy Hernangomez offensive rebound,27 - 18
2:21,Willy Hernangomez makes layup,29 - 18
2:06,Rudy Gobert makes layup (Joe Ingles assists),29 - 20
2:06,Willy Hernangomez shooting foul  (Rudy Gobert draws the foul),29 - 20
2:06,Rudy Gobert misses free throw 1 of 1,29 - 20
2:05,Willy Hernangomez defensive rebound,29 - 20
1:55,Derrick Rose  traveling,29 - 20
1:55,Alec Burks enters the game for Gordon Hayward,29 - 20
1:55,Jeff Withey enters the game for Rudy Gobert,29 - 20
1:55,George Hill enters the game for Raul Neto,29 - 20
1:39,Joe Ingles  misses 27-foot three point jumper,29 - 20
1:37,Willy Hernangomez defensive rebound,29 - 20
1:28,Courtney Lee  misses 15-foot jumper,29 - 20
1:28,Joe Ingles defensive rebound,29 - 20
1:28,Joe Ingles  misses 4-foot jumper,29 - 20
1:28,Jazz offensive team rebound,29 - 20
1:20,Mindaugas Kuzminskas loose ball foul  (Jeff Withey draws the foul),29 - 20
1:20,Ron Baker enters the game for Derrick Rose,29 - 20
1:20,Justin Holiday enters the game for Courtney Lee,29 - 20
1:07,George Hill  misses 6-foot jumper,29 - 20
1:05,Ron Baker defensive rebound,29 - 20
