time,play,score
12:00,Joakim Noah vs. Kosta Koufos (Kristaps Porzingis gains possession),0 - 0
11:41,Carmelo Anthony  misses 25-foot three point jumper,0 - 0
11:40,Ben McLemore defensive rebound,0 - 0
11:26,Courtney Lee shooting foul  (DeMarcus Cousins draws the foul),0 - 0
11:26,DeMarcus Cousins makes free throw 1 of 2,0 - 1
11:26,DeMarcus Cousins makes free throw 2 of 2,0 - 2
11:14,Courtney Lee  misses 17-foot two point jumper,0 - 2
11:14,Kosta Koufos defensive rebound,0 - 2
11:00,Joakim Noah blocks DeMarcus Cousins 's 9-foot  jumper,0 - 2
11:00,Kristaps Porzingis defensive rebound,0 - 2
10:45,Brandon Jennings  bad pass (Rudy Gay steals),0 - 2
10:38,Ben McLemore makes layup (Rudy Gay assists),0 - 4
10:22,Brandon Jennings makes 16-foot two point shot,2 - 4
10:07,Kosta Koufos makes 2-foot two point shot (Darren Collison assists),2 - 6
9:52,Kristaps Porzingis  lost ball turnover (DeMarcus Cousins steals),2 - 6
9:51,DeMarcus Cousins makes two point shot,2 - 8
9:37,Joakim Noah makes two point shot (Brandon Jennings assists),4 - 8
9:21,Rudy Gay  misses 15-foot,4 - 8
9:21,Joakim Noah defensive rebound,4 - 8
9:11,Brandon Jennings makes 10-foot two point shot,6 - 8
8:45,DeMarcus Cousins  misses 23-foot three point jumper,6 - 8
8:44,Kristaps Porzingis defensive rebound,6 - 8
8:32,Kristaps Porzingis  misses 16-foot jumper,6 - 8
8:32,Kosta Koufos defensive rebound,6 - 8
8:22,Darren Collison  misses 3-foot jumper,6 - 8
8:21,Carmelo Anthony defensive rebound,6 - 8
8:15,Brandon Jennings makes 6-foot two point shot,8 - 8
7:54,Rudy Gay  misses 24-foot three point jumper,8 - 8
7:52,Joakim Noah defensive rebound,8 - 8
7:48,Carmelo Anthony makes layup (Brandon Jennings assists),10 - 8
7:28,Darren Collison makes 7-foot two point shot (DeMarcus Cousins assists),10 - 10
7:18,Kristaps Porzingis makes 25-foot  three point jumper  (Brandon Jennings assists),13 - 10
6:56,Kosta Koufos makes dunk (DeMarcus Cousins assists),13 - 12
6:39,Kristaps Porzingis  misses 8-foot jumper,13 - 12
6:39,Kings defensive team rebound,13 - 12
6:39,Joakim Noah loose ball foul  (Kosta Koufos draws the foul),13 - 12
6:24,DeMarcus Cousins  lost ball turnover (Joakim Noah steals),13 - 12
6:13,Carmelo Anthony makes 15-foot two point shot (Brandon Jennings assists),15 - 12
5:58,Darren Collison makes driving layup (Kosta Koufos assists),15 - 14
5:50,Brandon Jennings  misses 24-foot three point jumper,15 - 14
5:50,Rudy Gay defensive rebound,15 - 14
5:37,Ben McLemore makes 26-foot  three point jumper  (DeMarcus Cousins assists),15 - 17
5:16,Carmelo Anthony makes 6-foot two point shot,17 - 17
5:05,Carmelo Anthony shooting foul  (Rudy Gay draws the foul),17 - 17
5:05,Kings Full timeout,17 - 17
5:05,Rudy Gay makes free throw 1 of 2,17 - 18
5:05,Rudy Gay makes free throw 2 of 2,17 - 19
4:52,Kristaps Porzingis  misses 25-foot three point jumper,17 - 19
4:52,Rudy Gay defensive rebound,17 - 19
4:46,DeMarcus Cousins  misses layup,17 - 19
4:43,Ben McLemore offensive rebound,17 - 19
4:39,Rudy Gay makes two point shot (Ben McLemore assists),17 - 21
4:24,Kristaps Porzingis  misses 20-foot jumper,17 - 21
4:24,Ben McLemore defensive rebound,17 - 21
4:07,Rudy Gay  misses 24-foot three point jumper,17 - 21
4:07,Joakim Noah defensive rebound,17 - 21
3:58,Kosta Koufos shooting foul  (Kristaps Porzingis draws the foul),17 - 21
3:58,Kristaps Porzingis makes free throw 1 of 2,18 - 21
3:58,Kyle O'Quinn enters the game for Joakim Noah,18 - 21
3:58,Anthony Tolliver enters the game for Kosta Koufos,18 - 21
3:58,Kristaps Porzingis makes free throw 2 of 2,19 - 21
3:45,DeMarcus Cousins makes 8-foot jumper (Anthony Tolliver assists),19 - 23
3:27,Carmelo Anthony  misses 20-foot jumper,19 - 23
3:26,DeMarcus Cousins defensive rebound,19 - 23
3:12,DeMarcus Cousins  misses 24-foot three point jumper,19 - 23
3:12,Carmelo Anthony defensive rebound,19 - 23
3:04,Kristaps Porzingis  misses 25-foot three point jumper,19 - 23
3:04,Kyle O'Quinn offensive rebound,19 - 23
2:58,Courtney Lee  misses 20-foot jumper,19 - 23
2:57,Kyle O'Quinn offensive rebound,19 - 23
2:51,Carmelo Anthony makes  three point jumper  (Kyle O'Quinn assists),22 - 23
2:33,Rudy Gay makes 17-foot two point shot (DeMarcus Cousins assists),22 - 25
2:25,Rudy Gay shooting foul  (Carmelo Anthony draws the foul),22 - 25
2:25,Knicks Full timeout,22 - 25
2:25,Mindaugas Kuzminskas enters the game for Kristaps Porzingis,22 - 25
2:25,Omri Casspi enters the game for Rudy Gay,22 - 25
2:25,Ty Lawson enters the game for Darren Collison,22 - 25
2:25,Kings delay of game violation,22 - 25
2:25,Carmelo Anthony makes free throw 1 of 2,23 - 25
2:25,Carmelo Anthony makes free throw 2 of 2,24 - 25
2:13,Omri Casspi  out of bounds lost ball turnover,24 - 25
1:57,Carmelo Anthony makes 16-foot two point shot,26 - 25
1:31,Ben McLemore  misses driving layup,26 - 25
1:31,Carmelo Anthony defensive rebound,26 - 25
1:23,Courtney Lee  misses 23-foot three point jumper,26 - 25
1:22,Omri Casspi defensive rebound,26 - 25
1:14,DeMarcus Cousins makes driving layup (Ben McLemore assists),26 - 28
1:14,Kyle O'Quinn shooting foul  (DeMarcus Cousins draws the foul),26 - 27
1:14,Garrett Temple enters the game for Ben McLemore,26 - 27
1:14,DeMarcus Cousins makes free throw 1 of 1,26 - 28
52.0,Carmelo Anthony makes 10-foot two point shot (Kyle O'Quinn assists),28 - 28
33.0,Anthony Tolliver makes layup (Ty Lawson assists),28 - 30
15.0,Brandon Jennings  misses three point jumper,28 - 30
13.0,Omri Casspi defensive rebound,28 - 30
3.0,Brandon Jennings shooting foul  (Ty Lawson draws the foul),28 - 30
3.0,Ty Lawson makes free throw 1 of 2,28 - 31
3.0,Willie Cauley-Stein enters the game for DeMarcus Cousins,28 - 31
3.0,Ty Lawson makes free throw 2 of 2,28 - 32
0.0,Mindaugas Kuzminskas makes driving layup (Kyle O'Quinn assists),30 - 32
0.0,End of the 1st Quarter,30 - 32
11:40,Ty Lawson  misses 15-foot jumper,30 - 32
11:40,Mindaugas Kuzminskas defensive rebound,30 - 32
11:23,Willie Cauley-Stein personal foul  (Lance Thomas draws the foul),30 - 32
11:10,Mindaugas Kuzminskas makes 24-foot  three point jumper  (Sasha Vujacic assists),33 - 32
10:52,Kyle O'Quinn blocks Anthony Tolliver 's 8-foot  jumper,33 - 32
10:51,Justin Holiday defensive rebound,33 - 32
10:45,Mindaugas Kuzminskas  misses 5-foot Running Jumper,33 - 32
10:45,Ty Lawson defensive rebound,33 - 32
10:37,Garrett Temple makes 25-foot  three pointer  (Anthony Tolliver assists),33 - 35
10:18,Lance Thomas  misses hook shot,33 - 35
10:17,Ty Lawson defensive rebound,33 - 35
10:07,Anthony Tolliver makes 25-foot  three point jumper  (Garrett Temple assists),33 - 38
9:48,Lance Thomas  misses 24-foot three point jumper,33 - 38
9:47,Mindaugas Kuzminskas offensive rebound,33 - 38
9:41,Mindaugas Kuzminskas  misses 25-foot three point jumper,33 - 38
9:41,Kyle O'Quinn offensive rebound,33 - 38
9:37,Kyle O'Quinn  misses layup,33 - 38
9:37,Kings defensive team rebound,33 - 38
9:37,Lance Thomas vs. Anthony Tolliver (Ty Lawson gains possession),33 - 38
9:30,Mindaugas Kuzminskas blocks Omri Casspi 's 2-foot  layup,33 - 38
9:27,Kyle O'Quinn defensive rebound,33 - 38
9:22,Mindaugas Kuzminskas offensive foul  (Willie Cauley-Stein draws the foul),33 - 38
9:22,Mindaugas Kuzminskas  turnover,33 - 38
9:07,Garrett Temple  misses 23-foot three point jumper,33 - 38
9:07,Kyle O'Quinn defensive rebound,33 - 38
8:52,Kyle O'Quinn makes 7-foot two point shot,35 - 38
8:38,Willie Cauley-Stein  misses 5-foot hook shot,35 - 38
