time,play,score
12:00,Kristaps Porzingis vs. Brook Lopez (Caris LeVert gains possession),0 - 0
11:41,Kristaps Porzingis shooting foul  (Jeremy Lin draws the foul),0 - 1
11:41,Jeremy Lin makes free throw 1 of 2,0 - 1
11:41,Jeremy Lin misses free throw 2 of 2,0 - 1
11:40,Kristaps Porzingis defensive rebound,0 - 1
11:25,Carmelo Anthony makes 16-foot jumper (Kristaps Porzingis assists),2 - 1
11:14,Kristaps Porzingis defensive 3-seconds (Technical Foul),2 - 1
11:14,Brook Lopez misses technical free throw,2 - 1
11:14,Nets offensive team rebound,2 - 1
11:08,Jeremy Lin  misses 19-foot two point jumper,2 - 1
11:07,Carmelo Anthony defensive rebound,2 - 1
10:52,Carmelo Anthony  misses 16-foot two point shot,2 - 1
10:52,Randy Foye defensive rebound,2 - 1
10:38,Brook Lopez  misses layup,2 - 1
10:37,Willy Hernangomez defensive rebound,2 - 1
10:26,Randy Foye shooting foul  (Derrick Rose draws the foul),2 - 1
10:26,Derrick Rose makes free throw 1 of 2,3 - 1
10:26,Derrick Rose makes free throw 2 of 2,4 - 1
10:11,Kristaps Porzingis blocks Brook Lopez's  layup,4 - 1
10:11,Brook Lopez offensive rebound,4 - 1
10:08,Kristaps Porzingis blocks Brook Lopez's  layup,4 - 1
10:07,Rondae Hollis-Jefferson offensive rebound,4 - 1
10:06,Rondae Hollis-Jefferson makes 9-foot jumper,4 - 3
9:56,Derrick Rose  misses,4 - 3
9:56,Rondae Hollis-Jefferson defensive rebound,4 - 3
9:48,Kristaps Porzingis blocks Rondae Hollis-Jefferson 's 14-foot  jumper,4 - 3
9:48,Willy Hernangomez defensive rebound,4 - 3
9:40,Brook Lopez defensive 3-seconds (Technical Foul),4 - 3
9:40,Carmelo Anthony makes technical free throw,5 - 3
9:26,Carmelo Anthony  misses 15-foot jumper,5 - 3
9:25,Willy Hernangomez offensive rebound,5 - 3
9:22,Kristaps Porzingis  misses 24-foot three point jumper,5 - 3
9:21,Randy Foye defensive rebound,5 - 3
9:14,Randy Foye makes 7-foot two point shot,5 - 5
8:59,Randy Foye shooting foul  (Courtney Lee draws the foul),5 - 5
8:59,Courtney Lee misses free throw 1 of 2,5 - 5
8:59,Knicks offensive team rebound,5 - 5
8:59,Courtney Lee makes free throw 2 of 2,6 - 5
8:44,Brook Lopez  misses 10-foot hook shot,6 - 5
8:42,Rondae Hollis-Jefferson offensive rebound,6 - 5
8:41,Rondae Hollis-Jefferson makes layup,6 - 7
8:32,Willy Hernangomez  misses layup,6 - 7
8:30,Brook Lopez defensive rebound,6 - 7
8:15,Brook Lopez makes 25-foot  three point jumper  (Caris LeVert assists),6 - 10
8:06,Derrick Rose  misses two point shot,6 - 10
8:04,Kristaps Porzingis offensive rebound,6 - 10
8:03,Kristaps Porzingis makes tip shot,8 - 10
7:54,Brook Lopez makes 24-foot  three point jumper  (Jeremy Lin assists),8 - 13
7:35,Willy Hernangomez  misses 7-foot,8 - 13
7:33,Rondae Hollis-Jefferson defensive rebound,8 - 13
7:24,Randy Foye  misses 25-foot three point jumper,8 - 13
7:24,Willy Hernangomez defensive rebound,8 - 13
7:20,Rondae Hollis-Jefferson blocks Derrick Rose's  layup,8 - 13
7:18,Knicks offensive team rebound,8 - 13
7:18,Trevor Booker enters the game for Rondae Hollis-Jefferson,8 - 13
7:15,Kristaps Porzingis makes 19-foot jumper (Carmelo Anthony assists),10 - 13
7:01,Trevor Booker  misses 19-foot jumper,10 - 13
7:00,Willy Hernangomez defensive rebound,10 - 13
6:48,Kristaps Porzingis makes 10-foot jumper,12 - 13
6:31,Brook Lopez makes 24-foot  three point jumper  (Caris LeVert assists),12 - 16
6:22,Caris LeVert personal foul  (Courtney Lee draws the foul),12 - 16
6:09,Willy Hernangomez makes dunk (Kristaps Porzingis assists),14 - 16
6:03,Brook Lopez makes 25-foot  three point jumper  (Randy Foye assists),14 - 19
5:48,Kristaps Porzingis makes 24-foot  three point jumper  (Derrick Rose assists),17 - 19
5:39,Trevor Booker makes layup (Caris LeVert assists),17 - 21
5:35,Knicks Full timeout,17 - 21
5:35,Sean Kilpatrick enters the game for Randy Foye,17 - 21
5:35,Isaiah Whitehead enters the game for Caris LeVert,17 - 21
5:24,Brook Lopez blocks Carmelo Anthony 's 4-foot  jumper,17 - 21
5:22,Jeremy Lin defensive rebound,17 - 21
5:07,Jeremy Lin  misses 9-foot step back jumpshot,17 - 21
5:05,Willy Hernangomez defensive rebound,17 - 21
4:58,Carmelo Anthony  misses 17-foot jumper,17 - 21
4:56,Knicks offensive team rebound,17 - 21
4:56,Trevor Booker loose ball foul  (Willy Hernangomez draws the foul),17 - 21
4:56,Spencer Dinwiddie enters the game for Jeremy Lin,17 - 21
4:56,Justin Holiday enters the game for Courtney Lee,17 - 21
4:56,Lance Thomas enters the game for Willy Hernangomez,17 - 21
4:46,Lance Thomas  misses 24-foot three point jumper,17 - 21
4:45,Derrick Rose offensive rebound,17 - 21
4:41,Derrick Rose makes driving layup,19 - 21
4:28,Isaiah Whitehead makes 23-foot  three point jumper  (Spencer Dinwiddie assists),19 - 24
4:13,Justin Holiday  misses 23-foot jumper,19 - 24
4:13,Trevor Booker defensive rebound,19 - 24
4:03,Brook Lopez makes 27-foot  three point jumper  (Spencer Dinwiddie assists),19 - 27
3:49,Derrick Rose  misses 19-foot two point jumper,19 - 27
3:47,Isaiah Whitehead defensive rebound,19 - 27
3:31,Isaiah Whitehead  misses driving layup,19 - 27
3:30,Lance Thomas defensive rebound,19 - 27
3:20,Carmelo Anthony  misses 24-foot three point jumper,19 - 27
3:19,Brook Lopez defensive rebound,19 - 27
3:13,Carmelo Anthony blocks Sean Kilpatrick's  layup,19 - 27
3:11,Trevor Booker offensive rebound,19 - 27
3:10,Trevor Booker makes layup,19 - 29
3:01,Carmelo Anthony offensive foul  (Isaiah Whitehead draws the foul),19 - 29
3:01,Carmelo Anthony  turnover,19 - 29
3:01,Kyle O'Quinn enters the game for Kristaps Porzingis,19 - 29
2:46,Kyle O'Quinn personal foul  (Brook Lopez draws the foul),19 - 29
2:46,Nets Full timeout,19 - 29
2:46,Quincy Acy enters the game for Brook Lopez,19 - 29
2:38,Sean Kilpatrick makes driving layup,19 - 31
2:19,Carmelo Anthony  misses 17-foot,19 - 31
2:17,Quincy Acy defensive rebound,19 - 31
2:02,Quincy Acy  lost ball turnover (Kyle O'Quinn steals),19 - 31
1:54,Carmelo Anthony makes layup (Justin Holiday assists),21 - 31
1:52,Knicks delay of game violation,21 - 31
1:38,Quincy Acy makes  three point jumper  (Spencer Dinwiddie assists),21 - 34
1:29,Spencer Dinwiddie blocks Derrick Rose 's 6-foot  2-pt jumper,21 - 34
1:27,Knicks offensive team rebound,21 - 34
1:23,Derrick Rose makes driving layup,24 - 34
1:23,Quincy Acy shooting foul  (Derrick Rose draws the foul),23 - 34
1:23,Derrick Rose makes free throw 1 of 1,24 - 34
1:05,Isaiah Whitehead makes 10-foot two point shot,24 - 36
46.0,Lance Thomas  misses two point shot,24 - 36
45.0,Lance Thomas offensive rebound,24 - 36
41.0,Carmelo Anthony  misses 25-foot three point jumper,24 - 36
40.0,Trevor Booker defensive rebound,24 - 36
29.0,Trevor Booker makes 24-foot  three point jumper  (Spencer Dinwiddie assists),24 - 39
21.0,Justin Holiday makes dunk (Kyle O'Quinn assists),26 - 39
6.0,Derrick Rose personal foul  (Isaiah Whitehead draws the foul),26 - 39
0.0,Quincy Acy  misses 11-foot,26 - 39
0.0,Nets offensive team rebound,26 - 39
0.0,End of the 1st Quarter,26 - 39
11:47,Sean Kilpatrick personal foul  (Justin Holiday draws the foul),26 - 39
11:42,Justin Holiday  misses jumper,26 - 39
11:41,Sean Kilpatrick defensive rebound,26 - 39
11:25,Sean Kilpatrick  misses 25-foot three point jumper,26 - 39
11:23,Trevor Booker offensive rebound,26 - 39
11:14,Quincy Acy  traveling,26 - 39
10:55,Kyle O'Quinn makes 19-foot jumper (Chasson Randle assists),28 - 39
10:38,Spencer Dinwiddie makes 25-foot  three pointer,28 - 42
10:22,Lance Thomas makes 21-foot jumper,30 - 42
10:03,Quincy Acy makes 25-foot  three point jumper  (Spencer Dinwiddie assists),30 - 45
9:41,Ron Baker makes 20-foot jumper (Kyle O'Quinn assists),32 - 45
9:25,Trevor Booker  misses 10-foot hook shot,32 - 45
9:23,Justin Holiday defensive rebound,32 - 45
9:00,Justin Holiday  misses 19-foot jumper,32 - 45
8:59,Isaiah Whitehead defensive rebound,32 - 45
8:59,Kyle O'Quinn loose ball foul  (Isaiah Whitehead draws the foul),32 - 45
8:57,Official timeout,32 - 45
8:57,Courtney Lee enters the game for Justin Holiday,32 - 45
8:57,Kristaps Porzingis enters the game for Kyle O'Quinn,32 - 45
