time,play,score
12:00,Joakim Noah vs. Myles Turner (Derrick Rose gains possession),0 - 0
11:41,Carmelo Anthony makes 21-foot jumper (Derrick Rose assists),2 - 0
11:26,Kristaps Porzingis shooting foul  (Myles Turner draws the foul),2 - 0
11:26,Myles Turner makes free throw 1 of 2,2 - 1
11:26,Myles Turner makes free throw 2 of 2,2 - 2
11:15,Myles Turner shooting foul  (Joakim Noah draws the foul),2 - 2
11:15,Joakim Noah misses free throw 1 of 2,2 - 2
11:15,Knicks offensive team rebound,2 - 2
11:15,Joakim Noah misses free throw 2 of 2,2 - 2
11:15,Pacers defensive team rebound,2 - 2
11:02,C.J. Miles  misses 25-foot three point jumper,2 - 2
11:00,Pacers offensive team rebound,2 - 2
10:48,Paul George  misses 14-foot jumper,2 - 2
10:47,Derrick Rose defensive rebound,2 - 2
10:41,Paul George shooting block foul  (Derrick Rose draws the foul),2 - 2
10:41,Derrick Rose makes free throw 1 of 2,3 - 2
10:41,Derrick Rose makes free throw 2 of 2,4 - 2
10:26,Myles Turner makes 21-foot jumper (Paul George assists),4 - 4
10:11,Kristaps Porzingis  misses 27-foot three point jumper,4 - 4
10:11,Paul George defensive rebound,4 - 4
10:03,Paul George makes 7-foot two point shot,4 - 6
10:03,Courtney Lee shooting foul  (Paul George draws the foul),4 - 6
10:03,Paul George makes free throw 1 of 1,4 - 7
9:45,Carmelo Anthony  bad pass (Thaddeus Young steals),4 - 7
9:38,Paul George  misses 27-foot three point jumper,4 - 7
9:37,Joakim Noah defensive rebound,4 - 7
9:27,Kristaps Porzingis  misses 15-foot jumper,4 - 7
9:27,Paul George defensive rebound,4 - 7
9:11,Paul George makes  three point jumper  (C.J. Miles assists),4 - 10
9:06,Knicks Full timeout,4 - 10
8:59,Carmelo Anthony makes layup,6 - 10
8:59,Myles Turner shooting foul  (Carmelo Anthony draws the foul),6 - 10
8:59,Carmelo Anthony makes free throw 1 of 1,7 - 10
8:41,Myles Turner makes jumper (Thaddeus Young assists),7 - 12
8:25,Courtney Lee makes 21-foot two point shot,9 - 12
8:14,Paul George makes 28-foot  three point jumper  (Jeff Teague assists),9 - 15
8:03,Kristaps Porzingis  misses 8-foot two point shot,9 - 15
8:03,Myles Turner defensive rebound,9 - 15
7:56,Paul George  misses 28-foot three point jumper,9 - 15
7:54,Joakim Noah defensive rebound,9 - 15
7:48,Derrick Rose makes two point shot,11 - 15
7:28,Paul George makes 19-foot two point shot,11 - 17
7:13,Carmelo Anthony  misses 19-foot jumper,11 - 17
7:11,Joakim Noah offensive rebound,11 - 17
7:07,Kristaps Porzingis  traveling,11 - 17
7:07,Al Jefferson enters the game for Myles Turner,11 - 17
7:07,Mindaugas Kuzminskas enters the game for Kristaps Porzingis,11 - 17
6:46,C.J. Miles  misses 26-foot three point jumper,11 - 17
6:45,Pacers offensive team rebound,11 - 17
6:41,Jeff Teague makes layup,11 - 19
6:37,Derrick Rose Out-of-Bounds Bad Pass Turnover,11 - 19
6:22,Thaddeus Young  misses 13-foot jumper,11 - 19
6:20,Joakim Noah defensive rebound,11 - 19
6:13,Carmelo Anthony makes 20-foot two point shot,13 - 19
6:00,Joakim Noah personal foul  (Paul George draws the foul),13 - 19
6:00,Kristaps Porzingis enters the game for Joakim Noah,13 - 19
5:47,Jeff Teague  misses 26-foot three point jumper,13 - 19
5:45,Thaddeus Young offensive rebound,13 - 19
5:43,Al Jefferson makes layup (Thaddeus Young assists),13 - 21
5:33,Carmelo Anthony  bad pass (Thaddeus Young steals),13 - 21
5:24,Paul George  misses three point jumper,13 - 21
5:24,C.J. Miles offensive rebound,13 - 21
5:24,C.J. Miles makes two point shot,13 - 23
5:16,Knicks 20 Sec. timeout,13 - 23
