time,play,score
12:00,Joakim Noah vs. Anthony Davis (Derrick Rose gains possession),0 - 0
11:34,Sasha Vujacic  misses 24-foot three point jumper,0 - 0
11:33,Anthony Davis defensive rebound,0 - 0
11:15,Jrue Holiday  misses 8-foot jumper,0 - 0
11:14,Carmelo Anthony defensive rebound,0 - 0
11:03,Derrick Rose  offensive goaltending turnover,0 - 0
10:45,Joakim Noah blocks Dante Cunningham's  layup,0 - 0
10:44,Kristaps Porzingis defensive rebound,0 - 0
10:36,Carmelo Anthony  misses 16-foot jumper,0 - 0
10:34,Anthony Davis defensive rebound,0 - 0
10:26,Buddy Hield makes 25-foot  three point jumper,0 - 3
10:04,Derrick Rose makes 25-foot  three point jumper  (Carmelo Anthony assists),3 - 3
9:47,Buddy Hield  misses layup,3 - 3
9:45,Joakim Noah defensive rebound,3 - 3
9:42,Joakim Noah Out-of-Bounds Bad Pass Turnover,3 - 3
9:33,Buddy Hield  bad pass (Derrick Rose steals),3 - 3
9:30,Dante Cunningham blocks Derrick Rose's  layup,3 - 3
9:30,Knicks offensive team rebound,3 - 3
9:27,Joakim Noah  misses layup,3 - 3
9:27,Anthony Davis defensive rebound,3 - 3
9:27,Joakim Noah loose ball foul  (Anthony Davis draws the foul),3 - 3
9:12,Anthony Davis makes 4-foot two point shot,3 - 5
9:00,Carmelo Anthony  bad pass (Anthony Davis steals),3 - 5
8:52,Dante Cunningham makes 3-foot two point shot (Anthony Davis assists),3 - 7
8:38,Kristaps Porzingis makes two point shot (Joakim Noah assists),5 - 7
8:25,Jrue Holiday  misses 5-foot jumper,5 - 7
8:23,Kristaps Porzingis defensive rebound,5 - 7
8:18,Kristaps Porzingis  misses 29-foot three point jumper,5 - 7
8:17,Anthony Davis defensive rebound,5 - 7
8:10,Dante Cunningham  misses layup,5 - 7
8:08,Carmelo Anthony defensive rebound,5 - 7
8:04,Carmelo Anthony  bad pass (Jrue Holiday steals),5 - 7
8:00,Jrue Holiday makes layup,5 - 9
7:39,Derrick Rose makes 11-foot two point shot,7 - 9
7:24,Buddy Hield  misses 25-foot three point jumper,7 - 9
7:24,Joakim Noah defensive rebound,7 - 9
7:09,Kristaps Porzingis makes 14-foot two point shot,9 - 9
