time,play,score
12:00,Joakim Noah vs. Jonas Valanciunas (Kristaps Porzingis gains possession),0 - 0
11:42,Courtney Lee  misses 20-foot jumper,0 - 0
11:42,Kyle Lowry defensive rebound,0 - 0
11:21,DeMar DeRozan  misses 18-foot two point shot,0 - 0
11:19,Carmelo Anthony defensive rebound,0 - 0
11:10,Carmelo Anthony makes 17-foot jumper (Derrick Rose assists),2 - 0
10:56,Courtney Lee shooting block foul  (DeMar DeRozan draws the foul),2 - 0
10:56,DeMar DeRozan misses free throw 1 of 2,2 - 0
10:56,Raptors offensive team rebound,2 - 0
10:56,DeMar DeRozan makes free throw 2 of 2,2 - 1
10:49,Courtney Lee  double dribble turnover,2 - 1
10:34,Jonas Valanciunas makes 7-foot two point shot,2 - 3
10:18,Carmelo Anthony  misses 19-foot two point shot,2 - 3
10:17,Jonas Valanciunas defensive rebound,2 - 3
10:07,DeMar DeRozan  misses 9-foot two point shot,2 - 3
10:07,Kristaps Porzingis defensive rebound,2 - 3
9:49,Joakim Noah  misses two point shot,2 - 3
9:48,Derrick Rose offensive rebound,2 - 3
9:45,Derrick Rose makes layup,4 - 3
9:26,DeMar DeRozan makes 14-foot two point shot,4 - 5
9:14,Derrick Rose  misses two point shot,4 - 5
9:14,Joakim Noah offensive rebound,4 - 5
9:11,Joakim Noah  misses 3-foot,4 - 5
9:11,DeMar DeRozan defensive rebound,4 - 5
8:56,Jonas Valanciunas  misses 12-foot jumper,4 - 5
8:56,Carmelo Anthony defensive rebound,4 - 5
8:40,Kristaps Porzingis makes dunk (Carmelo Anthony assists),6 - 5
8:19,Norman Powell  misses 20-foot two point jumper,6 - 5
8:18,Courtney Lee defensive rebound,6 - 5
8:03,Carmelo Anthony makes 7-foot two point shot,8 - 5
7:48,DeMar DeRozan  misses 13-foot two point shot,8 - 5
7:47,Joakim Noah defensive rebound,8 - 5
7:37,Kristaps Porzingis  misses three point jumper,8 - 5
7:37,Jonas Valanciunas defensive rebound,8 - 5
7:31,Jonas Valanciunas offensive foul  (Joakim Noah draws the foul),8 - 5
7:31,Jonas Valanciunas  turnover,8 - 5
7:16,Courtney Lee  bad pass (Jonas Valanciunas steals),8 - 5
7:07,Kyle Lowry makes driving layup (DeMar DeRozan assists),8 - 7
6:54,Carmelo Anthony  misses 12-foot two point shot,8 - 7
6:54,Kristaps Porzingis offensive rebound,8 - 7
6:50,Kristaps Porzingis makes dunk,10 - 7
6:37,DeMar DeRozan  misses 11-foot two point jumper,10 - 7
6:37,Courtney Lee defensive rebound,10 - 7
6:35,DeMar DeRozan personal foul  (Courtney Lee draws the foul),10 - 7
6:28,Joakim Noah  misses 20-foot jumper,10 - 7
6:28,Jonas Valanciunas defensive rebound,10 - 7
6:18,Norman Powell makes 23-foot  three point jumper  (DeMar DeRozan assists),10 - 10
6:07,Pascal Siakam personal foul  (Kristaps Porzingis draws the foul),10 - 10
6:03,Kristaps Porzingis  traveling,10 - 10
5:54,Jonas Valanciunas  lost ball turnover (Joakim Noah steals),10 - 10
5:48,Courtney Lee  misses 25-foot three point jumper,10 - 10
5:48,Derrick Rose offensive rebound,10 - 10
5:45,Jonas Valanciunas blocks Derrick Rose 's 3-foot  shot,10 - 10
5:43,Norman Powell defensive rebound,10 - 10
5:39,Norman Powell  misses two point shot,10 - 10
5:39,DeMar DeRozan offensive rebound,10 - 10
5:35,DeMar DeRozan makes dunk,10 - 12
5:16,Derrick Rose makes driving layup,12 - 12
5:01,Kyle Lowry  misses 27-foot three point jumper,12 - 12
5:01,Carmelo Anthony defensive rebound,12 - 12
4:52,Carmelo Anthony  misses 18-foot jumper,12 - 12
4:52,Raptors defensive team rebound,12 - 12
4:52,Raptors Full timeout,12 - 12
4:43,Kyle Lowry offensive foul  (Derrick Rose draws the foul),12 - 12
