time,play,score
12:00,Ivica Zubac vs. Dwight Howard (Paul Millsap gains possession),0 - 0
11:45,Dwight Howard makes dunk (Kent Bazemore assists),0 - 2
11:33,D'Angelo Russell  bad pass (Dennis Schroder steals),0 - 2
11:25,Kent Bazemore  misses three point jumper,0 - 2
11:22,Julius Randle defensive rebound,0 - 2
11:11,Ivica Zubac makes 9-foot two point shot (Julius Randle assists),2 - 2
10:56,Dwight Howard  misses two point shot,2 - 2
10:55,D'Angelo Russell defensive rebound,2 - 2
10:51,Nick Young  misses 24-foot three point jumper,2 - 2
10:48,Luol Deng offensive rebound,2 - 2
10:45,Ivica Zubac makes 8-foot two point shot (Nick Young assists),4 - 2
10:32,Paul Millsap  misses 24-foot three point jumper,4 - 2
10:32,Hawks offensive team rebound,4 - 2
10:32,Ivica Zubac loose ball foul  (Dwight Howard draws the foul),4 - 2
10:30,Kent Bazemore makes two point shot (Kyle Korver assists),4 - 4
10:07,Julius Randle  misses 25-foot three point jumper,4 - 4
10:06,Dwight Howard defensive rebound,4 - 4
9:51,Ivica Zubac shooting foul  (Dwight Howard draws the foul),4 - 4
9:51,Dwight Howard makes free throw 1 of 2,4 - 5
9:51,Dwight Howard makes free throw 2 of 2,4 - 6
9:30,D'Angelo Russell makes 11-foot two point shot,6 - 6
9:30,Dwight Howard defensive goaltending violation,6 - 6
9:19,Dwight Howard  misses driving layup,6 - 6
9:17,Luol Deng defensive rebound,6 - 6
9:07,Luol Deng makes 20-foot two point shot,8 - 6
8:45,Paul Millsap makes  three point jumper  (Dennis Schroder assists),8 - 9
8:22,D'Angelo Russell  misses 21-foot step back jumpshot,8 - 9
8:22,Dwight Howard defensive rebound,8 - 9
8:15,Kyle Korver  misses 24-foot three point running jumper,8 - 9
8:12,Luol Deng defensive rebound,8 - 9
7:56,D'Angelo Russell makes 20-foot two point shot (Nick Young assists),10 - 9
7:43,D'Angelo Russell personal foul  (Dennis Schroder draws the foul),10 - 9
7:37,Kyle Korver  misses 25-foot three point jumper,10 - 9
7:33,Luol Deng defensive rebound,10 - 9
7:31,Kyle Korver shooting foul  (Nick Young draws the foul),10 - 9
7:31,Nick Young makes free throw 1 of 2,11 - 9
7:31,Nick Young makes free throw 2 of 2,12 - 9
7:22,Julius Randle shooting foul  (Paul Millsap draws the foul),12 - 9
