time,play,score
12:00,Timofey Mozgov vs. Cody Zeller (Marvin Williams gains possession),0 - 0
11:44,Kemba Walker makes driving layup,0 - 2
11:30,D'Angelo Russell makes driving layup,2 - 2
11:17,Cody Zeller  misses 6-foot jumper,2 - 2
11:15,Luol Deng defensive rebound,2 - 2
11:04,Luol Deng  misses 24-foot three point jumper,2 - 2
11:03,D'Angelo Russell offensive rebound,2 - 2
10:57,D'Angelo Russell makes 15-foot jumper,4 - 2
10:48,Kemba Walker  misses 26-foot three point jumper,4 - 2
10:45,Nicolas Batum offensive rebound,4 - 2
10:41,Kemba Walker  misses 25-foot three point jumper,4 - 2
10:40,Nick Young defensive rebound,4 - 2
10:30,Nick Young makes 10-foot two point shot (D'Angelo Russell assists),6 - 2
10:12,Marvin Williams makes 10-foot two point shot (Nicolas Batum assists),6 - 4
9:59,D'Angelo Russell  misses 15-foot two point shot,6 - 4
9:56,Michael Kidd-Gilchrist defensive rebound,6 - 4
9:49,Nicolas Batum  misses 8-foot jump bank shot,6 - 4
9:48,Luol Deng defensive rebound,6 - 4
9:37,Julius Randle makes 7-foot two point shot (D'Angelo Russell assists),8 - 4
9:21,Michael Kidd-Gilchrist makes 16-foot jumper (Cody Zeller assists),8 - 6
9:03,D'Angelo Russell  misses 28-foot three point jumper,8 - 6
9:03,Timofey Mozgov offensive rebound,8 - 6
8:57,Nick Young makes 25-foot  three point jumper  (Timofey Mozgov assists),11 - 6
8:45,Nicolas Batum Out-of-Bounds Bad Pass Turnover,11 - 6
8:30,Julius Randle  misses 19-foot jumper,11 - 6
8:29,Nicolas Batum defensive rebound,11 - 6
8:23,Timofey Mozgov shooting foul  (Kemba Walker draws the foul),11 - 6
8:23,Kemba Walker makes free throw 1 of 2,11 - 7
8:23,Kemba Walker makes free throw 2 of 2,11 - 8
8:11,Nick Young  bad pass (Cody Zeller steals),11 - 8
8:03,Timofey Mozgov shooting foul  (Marvin Williams draws the foul),11 - 8
8:03,Marvin Williams makes free throw 1 of 2,11 - 9
8:03,Marvin Williams makes free throw 2 of 2,11 - 10
7:48,Luol Deng makes 24-foot  three point jumper  (D'Angelo Russell assists),14 - 10
7:33,Kemba Walker  misses layup,14 - 10
7:31,Lakers defensive team rebound,14 - 10
7:18,Luol Deng makes driving layup (Julius Randle assists),16 - 10
7:07,Cody Zeller offensive foul  (Nick Young draws the foul),16 - 10
7:07,Cody Zeller  turnover,16 - 10
6:47,Julius Randle  misses layup,16 - 10
6:46,Timofey Mozgov offensive rebound,16 - 10
6:46,Timofey Mozgov  misses layup,16 - 10
6:43,Timofey Mozgov offensive rebound,16 - 10
6:43,Timofey Mozgov  misses layup,16 - 10
6:43,Kemba Walker defensive rebound,16 - 10
6:39,Michael Kidd-Gilchrist makes two point shot (Kemba Walker assists),16 - 12
6:28,Nick Young makes 28-foot  three point jumper  (D'Angelo Russell assists),19 - 12
6:18,Hornets Full timeout,19 - 12
6:09,Michael Kidd-Gilchrist  misses 16-foot jumper,19 - 12
6:07,Timofey Mozgov defensive rebound,19 - 12
5:48,Luol Deng makes layup (Julius Randle assists),21 - 12
5:33,Nicolas Batum makes 25-foot  three point jumper  (Kemba Walker assists),21 - 15
5:05,Nick Young  misses 37-foot three point jumper,21 - 15
5:03,Hornets defensive team rebound,21 - 15
4:52,Julius Randle personal foul  (Nicolas Batum draws the foul),21 - 15
4:52,Marco Belinelli enters the game for Marvin Williams,21 - 15
4:52,Frank Kaminsky III enters the game for Michael Kidd-Gilchrist,21 - 15
4:52,Larry Nance Jr. enters the game for Timofey Mozgov,21 - 15
4:41,Cody Zeller makes dunk (Kemba Walker assists),21 - 17
4:22,Larry Nance Jr.  misses 5-foot jumper,21 - 17
4:20,Julius Randle offensive rebound,21 - 17
4:20,Julius Randle makes two point shot,23 - 17
4:11,Kemba Walker Out-of-Bounds Bad Pass Turnover,23 - 17
3:57,D'Angelo Russell  misses 15-foot jumper,23 - 17
3:56,Marco Belinelli defensive rebound,23 - 17
3:48,Brandon Ingram enters the game for Luol Deng,23 - 17
3:48,Jordan Clarkson enters the game for Nick Young,23 - 17
3:48,Ramon Sessions enters the game for Kemba Walker,23 - 17
3:45,Nicolas Batum makes driving layup (Ramon Sessions assists),23 - 19
3:45,Brandon Ingram shooting foul  (Nicolas Batum draws the foul),23 - 20
3:45,Louis Williams enters the game for D'Angelo Russell,23 - 19
3:45,Nicolas Batum makes free throw 1 of 1,23 - 20
3:40,Louis Williams makes 13-foot two point shot,25 - 20
3:40,Cody Zeller shooting foul  (Louis Williams draws the foul),25 - 20
3:40,Roy Hibbert enters the game for Cody Zeller,25 - 20
3:40,Louis Williams misses free throw 1 of 1,25 - 20
3:38,Roy Hibbert defensive rebound,25 - 20
3:20,Larry Nance Jr. shooting foul  (Roy Hibbert draws the foul),25 - 20
3:20,Roy Hibbert makes free throw 1 of 2,25 - 21
3:20,Roy Hibbert makes free throw 2 of 2,25 - 22
3:06,Jordan Clarkson makes 25-foot  three point jumper  (Julius Randle assists),28 - 22
2:47,Frank Kaminsky III makes 27-foot  three point jumper  (Nicolas Batum assists),28 - 25
2:35,Louis Williams makes 25-foot  three point jumper  (Julius Randle assists),31 - 25
2:31,Hornets 20 Sec. timeout,31 - 25
2:31,Lakers Full timeout,31 - 25
2:31,Ivica Zubac enters the game for Julius Randle,31 - 25
2:25,Nicolas Batum  misses layup,31 - 25
2:25,Hornets offensive team rebound,31 - 25
2:19,Marco Belinelli makes 18-foot jumper (Ramon Sessions assists),31 - 27
2:03,Ivica Zubac  misses layup,31 - 27
2:02,Roy Hibbert defensive rebound,31 - 27
1:55,Ramon Sessions makes 16-foot Driving Floating Jump Shot,31 - 29
1:44,Larry Nance Jr. makes layup (Louis Williams assists),33 - 29
1:31,Roy Hibbert makes layup (Ramon Sessions assists),33 - 31
1:21,Jordan Clarkson makes 24-foot  three point jumper  (Louis Williams assists),36 - 31
1:05,Marco Belinelli  misses 20-foot jumper,36 - 31
1:04,Ivica Zubac defensive rebound,36 - 31
57.0,Frank Kaminsky III shooting foul  (Louis Williams draws the foul),36 - 31
57.0,Louis Williams makes free throw 1 of 2,37 - 31
57.0,Louis Williams makes free throw 2 of 2,38 - 31
46.0,Frank Kaminsky III makes layup (Nicolas Batum assists),38 - 33
36.0,Roy Hibbert blocks Louis Williams's  shot,38 - 33
33.0,Louis Williams offensive rebound,38 - 33
33.0,Louis Williams vs. Ramon Sessions (Roy Hibbert gains possession),38 - 33
33.0,Louis Williams  lost ball turnover,38 - 33
12.0,Roy Hibbert makes dunk (Nicolas Batum assists),38 - 35
0.0,Larry Nance Jr. makes 25-foot  three point jumper  (Louis Williams assists),41 - 35
0.0,End of the 1st Quarter,41 - 35
11:48,Jordan Clarkson makes 25-foot  three point jumper,44 - 35
11:36,Ramon Sessions  misses 19-foot jumper,44 - 35
11:33,Brandon Ingram defensive rebound,44 - 35
11:22,Jordan Clarkson makes 24-foot  three point jumper  (Louis Williams assists),47 - 35
11:00,Jeremy Lamb  misses 27-foot three point jumper,47 - 35
11:00,Hornets offensive team rebound,47 - 35
11:00,Hornets Full timeout,47 - 35
10:52,Roy Hibbert  misses 6-foot hook shot,47 - 35
10:51,Brandon Ingram defensive rebound,47 - 35
10:38,Roy Hibbert shooting foul  (Larry Nance Jr. draws the foul),47 - 35
10:38,Larry Nance Jr. misses free throw 1 of 2,47 - 35
10:38,Lakers offensive team rebound,47 - 35
10:38,Larry Nance Jr. makes free throw 2 of 2,48 - 35
10:22,Jeremy Lamb  misses Driving Floating Jump Shot,48 - 35
10:21,Luol Deng defensive rebound,48 - 35
10:04,Louis Williams  misses 18-foot jumper,48 - 35
10:02,Brandon Ingram offensive rebound,48 - 35
10:00,Larry Nance Jr. makes dunk (Brandon Ingram assists),50 - 35
9:45,Brandon Ingram shooting foul  (Frank Kaminsky III draws the foul),50 - 35
9:45,Frank Kaminsky III misses free throw 1 of 2,50 - 35
9:45,Hornets offensive team rebound,50 - 35
9:45,Frank Kaminsky III misses free throw 2 of 2,50 - 35
9:44,Luol Deng defensive rebound,50 - 35
9:30,Jordan Clarkson makes 25-foot  three point jumper  (Luol Deng assists),53 - 35
9:12,Frank Kaminsky III makes layup (Ramon Sessions assists),53 - 37
9:03,Ramon Sessions personal foul  (Brandon Ingram draws the foul),53 - 37
9:00,Jeremy Lamb personal foul  (Brandon Ingram draws the foul),53 - 37
9:00,Kemba Walker enters the game for Ramon Sessions,53 - 37
8:52,Brandon Ingram  misses layup,53 - 37
8:51,Frank Kaminsky III defensive rebound,53 - 37
8:37,Louis Williams shooting foul  (Frank Kaminsky III draws the foul),53 - 37
8:37,Frank Kaminsky III makes free throw 1 of 2,53 - 38
8:37,Lakers Full timeout,53 - 38
8:37,Frank Kaminsky III makes free throw 2 of 2,53 - 39
8:26,Jordan Clarkson  misses Driving Floating Jump Shot,53 - 39
8:25,Frank Kaminsky III defensive rebound,53 - 39
8:07,Frank Kaminsky III  misses 24-foot three point jumper,53 - 39
8:04,Larry Nance Jr. defensive rebound,53 - 39
8:00,Luol Deng makes two point shot (Larry Nance Jr. assists),55 - 39
7:47,Marco Belinelli  misses 26-foot three point jumper,55 - 39
7:46,Luol Deng defensive rebound,55 - 39
7:35,Larry Nance Jr. makes 18-foot jumper (Jordan Clarkson assists),57 - 39
7:18,Kemba Walker makes 25-foot  three point jumper  (Marco Belinelli assists),57 - 42
7:09,Jordan Clarkson  misses 25-foot three point jumper,57 - 42
7:07,Frank Kaminsky III defensive rebound,57 - 42
7:00,Kemba Walker  misses layup,57 - 42
6:58,Kemba Walker offensive rebound,57 - 42
6:56,Marco Belinelli  misses 18-foot jumper,57 - 42
6:56,Lakers defensive team rebound,57 - 42
6:56,Frank Kaminsky III loose ball foul  (Brandon Ingram draws the foul),57 - 42
6:56,Nick Young enters the game for Brandon Ingram,57 - 42
