time,play,score
12:00,Timofey Mozgov vs. Rudy Gobert (Gordon Hayward gains possession),0 - 0
11:40,Derrick Favors  misses 15-foot jumper,0 - 0
11:40,Timofey Mozgov defensive rebound,0 - 0
11:36,Rodney Hood personal foul  (Jose Calderon draws the foul),0 - 0
11:36,Trey Lyles enters the game for Rudy Gobert,0 - 0
11:15,Tarik Black makes dunk (Timofey Mozgov assists),2 - 0
11:04,Rodney Hood  misses 18-foot jumper,2 - 0
11:04,Timofey Mozgov defensive rebound,2 - 0
10:51,Luol Deng  misses driving layup,2 - 0
10:51,Trey Lyles defensive rebound,2 - 0
10:33,Trey Lyles makes jumper (George Hill assists),2 - 2
10:17,Timofey Mozgov  bad pass (Gordon Hayward steals),2 - 2
10:11,Timofey Mozgov shooting foul  (Derrick Favors draws the foul),2 - 2
10:11,Derrick Favors makes free throw 1 of 2,2 - 3
10:11,Rudy Gobert enters the game for Trey Lyles,2 - 3
10:11,Derrick Favors makes free throw 2 of 2,2 - 4
9:56,Jose Calderon  misses driving layup,2 - 4
9:56,Rudy Gobert defensive rebound,2 - 4
9:38,Derrick Favors makes 16-foot jumper (George Hill assists),2 - 6
9:26,Nick Young  lost ball turnover (George Hill steals),2 - 6
9:11,Gordon Hayward makes 13-foot two point shot,2 - 8
8:45,Rudy Gobert blocks Timofey Mozgov 's 3-foot  jumper,2 - 8
8:45,Derrick Favors defensive rebound,2 - 8
8:25,Rudy Gobert  misses 3-foot hook shot,2 - 8
8:25,Derrick Favors offensive rebound,2 - 8
8:22,Gordon Hayward  misses 25-foot three point jumper,2 - 8
8:21,Jose Calderon defensive rebound,2 - 8
8:11,Jose Calderon  misses 18-foot jumper,2 - 8
8:11,Jazz defensive team rebound,2 - 8
7:58,Rudy Gobert makes dunk (Derrick Favors assists),2 - 10
7:56,Lakers Full timeout,2 - 10
7:46,Nick Young  misses 24-foot three point jumper,2 - 10
7:45,Timofey Mozgov offensive rebound,2 - 10
7:43,Timofey Mozgov  misses layup,2 - 10
7:41,Derrick Favors defensive rebound,2 - 10
7:22,Luol Deng personal foul  (Rudy Gobert draws the foul),2 - 10
7:11,Gordon Hayward  bad pass (Tarik Black steals),2 - 10
7:00,Jose Calderon  bad pass (George Hill steals),2 - 10
6:48,George Hill  misses 17-foot jumper,2 - 10
6:47,Timofey Mozgov defensive rebound,2 - 10
6:37,Luol Deng makes driving layup,4 - 10
6:16,Gordon Hayward makes Driving Floating Jump Shot,4 - 12
6:09,Rudy Gobert personal foul  (Timofey Mozgov draws the foul),4 - 12
6:09,Trey Lyles enters the game for Derrick Favors,4 - 12
6:09,Joe Ingles enters the game for Rodney Hood,4 - 12
6:09,Alec Burks enters the game for George Hill,4 - 12
6:09,Larry Nance Jr. enters the game for Timofey Mozgov,4 - 12
6:09,Jordan Clarkson enters the game for Jose Calderon,4 - 12
5:58,Luol Deng  misses 23-foot jumper,4 - 12
5:58,Rudy Gobert defensive rebound,4 - 12
5:43,Gordon Hayward  misses 24-foot three point jumper,4 - 12
5:43,Nick Young defensive rebound,4 - 12
5:33,Jordan Clarkson  misses Driving Floating Jump Shot,4 - 12
5:33,Tarik Black offensive rebound,4 - 12
5:28,Nick Young makes 24-foot  three point jumper,7 - 12
5:05,Trey Lyles  misses,7 - 12
5:05,Luol Deng defensive rebound,7 - 12
4:52,Larry Nance Jr. makes 21-foot jumper (Jordan Clarkson assists),9 - 12
4:52,Jazz Full timeout,9 - 12
4:26,Alec Burks  misses 25-foot three point jumper,9 - 12
4:26,Joe Ingles offensive rebound,9 - 12
4:24,Joe Ingles makes layup,9 - 14
4:07,Nick Young makes 24-foot  three point jumper  (Larry Nance Jr. assists),12 - 14
3:45,Trey Lyles  misses hook shot,12 - 14
3:44,Larry Nance Jr. defensive rebound,12 - 14
3:38,Luol Deng  lost ball turnover (Joe Ingles steals),12 - 14
3:31,Alec Burks makes two point shot (Joe Ingles assists),12 - 16
3:15,Jordan Clarkson makes 21-foot jumper,14 - 16
2:54,Alec Burks makes Driving Floating Jump Shot,14 - 18
2:43,Jordan Clarkson  misses 7-foot two point shot,14 - 18
2:42,Rudy Gobert defensive rebound,14 - 18
2:33,Gordon Hayward makes 4-foot two point shot (Alec Burks assists),14 - 20
2:33,Lakers 20 Sec. timeout,14 - 20
2:33,Louis Williams enters the game for Nick Young,14 - 20
2:33,Ivica Zubac enters the game for Tarik Black,14 - 20
2:33,Brandon Ingram enters the game for Luol Deng,14 - 20
2:33,George Hill enters the game for Alec Burks,14 - 20
2:33,Joe Johnson enters the game for Gordon Hayward,14 - 20
2:16,Rudy Gobert blocks Brandon Ingram 's 2-foot  layup,14 - 20
2:15,George Hill defensive rebound,14 - 20
2:08,Trey Lyles  misses 24-foot three point jumper,14 - 20
2:08,Brandon Ingram defensive rebound,14 - 20
2:00,Louis Williams  traveling,14 - 20
1:47,Louis Williams shooting foul  (George Hill draws the foul),14 - 20
1:47,George Hill makes free throw 1 of 2,14 - 21
1:47,Derrick Favors enters the game for Rudy Gobert,14 - 21
1:47,George Hill misses free throw 2 of 2,14 - 21
1:47,Ivica Zubac defensive rebound,14 - 21
1:24,Brandon Ingram  misses 15-foot jumper,14 - 21
1:23,Trey Lyles defensive rebound,14 - 21
1:02,Trey Lyles  misses 4-foot jumper,14 - 21
1:01,Jordan Clarkson defensive rebound,14 - 21
49.0,Jordan Clarkson  misses driving layup,14 - 21
49.0,Ivica Zubac offensive rebound,14 - 21
47.0,Ivica Zubac  misses 2-foot,14 - 21
46.0,Joe Johnson defensive rebound,14 - 21
32.0,Joe Johnson makes 17-foot two point shot,14 - 23
12.0,Ivica Zubac makes layup (Louis Williams assists),16 - 23
0.0,Derrick Favors  misses 12-foot jumper,16 - 23
0.0,Jazz offensive team rebound,16 - 23
0.0,End of the 1st Quarter,16 - 23
11:37,Jordan Clarkson  misses 25-foot three point jumper,16 - 23
11:36,George Hill defensive rebound,16 - 23
11:18,George Hill  misses driving layup,16 - 23
11:18,Brandon Ingram defensive rebound,16 - 23
11:12,Joe Johnson shooting foul  (Louis Williams draws the foul),16 - 23
11:12,Louis Williams makes free throw 1 of 2,18 - 23
11:12,Boris Diaw enters the game for Trey Lyles,17 - 23
11:12,Louis Williams makes free throw 2 of 2,18 - 23
11:03,Louis Williams personal foul  (George Hill draws the foul),18 - 23
10:52,George Hill  misses 12-foot two point jumper,18 - 23
10:52,Ivica Zubac defensive rebound,18 - 23
10:32,Jordan Clarkson  bad pass (George Hill steals),18 - 23
10:21,George Hill  misses layup,18 - 23
10:19,Louis Williams defensive rebound,18 - 23
10:14,Jordan Clarkson  misses 4-foot two point shot,18 - 23
10:12,Rodney Hood defensive rebound,18 - 23
10:06,Rodney Hood  misses 24-foot three point jumper,18 - 23
10:04,Larry Nance Jr. defensive rebound,18 - 23
9:56,Joe Johnson shooting foul  (Louis Williams draws the foul),18 - 23
9:56,Louis Williams makes free throw 1 of 2,19 - 23
9:56,Rudy Gobert enters the game for Derrick Favors,19 - 23
9:56,Alec Burks enters the game for George Hill,19 - 23
9:56,Louis Williams makes free throw 2 of 2,20 - 23
9:41,Larry Nance Jr. personal foul  (Boris Diaw draws the foul),20 - 23
9:33,Alec Burks  misses 18-foot jumper,20 - 23
9:33,Rudy Gobert offensive rebound,20 - 23
9:30,Rudy Gobert makes two point shot,20 - 25
9:12,Ivica Zubac makes two point shot (Larry Nance Jr. assists),22 - 25
8:48,Joe Johnson makes 8-foot two point shot,22 - 27
8:30,Jordan Clarkson  misses 19-foot jumper,22 - 27
8:29,Larry Nance Jr. offensive rebound,22 - 27
8:26,Alec Burks shooting foul  (Louis Williams draws the foul),22 - 27
8:26,Full timeout,22 - 27
8:26,Joe Ingles enters the game for Rodney Hood,22 - 27
8:26,Louis Williams makes free throw 1 of 3,23 - 27
8:26,Louis Williams makes free throw 2 of 3,24 - 27
8:26,Louis Williams makes free throw 3 of 3,25 - 27
8:03,Boris Diaw  bad pass (Brandon Ingram steals),25 - 27
7:56,Larry Nance Jr. makes layup (Ivica Zubac assists),27 - 27
7:31,Joe Johnson  misses three point jumper,27 - 27
7:31,Jordan Clarkson defensive rebound,27 - 27
7:22,Ivica Zubac makes 9-foot two point shot (Jordan Clarkson assists),29 - 27
7:07,Ivica Zubac defensive 3-seconds (Technical Foul),29 - 27
7:07,Joe Johnson makes technical free throw,29 - 28
7:07,Gordon Hayward enters the game for Joe Johnson,29 - 28
7:07,Larry Nance Jr. personal foul  (Boris Diaw draws the foul),29 - 28
6:58,Alec Burks makes 23-foot  three point jumper  (Boris Diaw assists),29 - 31
6:43,Larry Nance Jr. offensive foul  (Boris Diaw draws the foul),29 - 31
6:43,Larry Nance Jr.  turnover,29 - 31
6:43,Lakers delay of game violation,29 - 31
6:43,Tarik Black enters the game for Larry Nance Jr.,29 - 31
6:31,Boris Diaw  misses two point shot,29 - 31
6:31,Rudy Gobert offensive rebound,29 - 31
6:30,Rudy Gobert makes dunk,29 - 33
6:28,Lakers Full timeout,29 - 33
6:13,Louis Williams Out-of-Bounds Bad Pass Turnover,29 - 33
5:58,Gordon Hayward  misses 25-foot three point jumper,29 - 33
5:58,Jordan Clarkson defensive rebound,29 - 33
5:50,Louis Williams makes driving layup (Jordan Clarkson assists),31 - 33
5:33,Alec Burks makes layup,31 - 35
5:33,Louis Williams shooting foul  (Alec Burks draws the foul),31 - 35
5:33,Nick Young enters the game for Louis Williams,31 - 35
5:33,Rodney Hood enters the game for Joe Ingles,31 - 35
5:33,Alec Burks misses free throw 1 of 1,31 - 35
5:31,Ivica Zubac defensive rebound,31 - 35
5:18,Brandon Ingram  misses 11-foot two point shot,31 - 35
5:18,Alec Burks defensive rebound,31 - 35
5:11,Nick Young shooting foul  (Gordon Hayward draws the foul),31 - 35
5:11,Gordon Hayward makes free throw 1 of 2,31 - 36
5:11,George Hill enters the game for Alec Burks,31 - 36
5:11,Luol Deng enters the game for Brandon Ingram,31 - 36
5:11,Gordon Hayward makes free throw 2 of 2,31 - 37
4:58,Nick Young  misses 24-foot three point jumper,31 - 37
4:56,Rodney Hood defensive rebound,31 - 37
4:39,Boris Diaw  misses 23-foot three point jumper,31 - 37
4:39,Rudy Gobert offensive rebound,31 - 37
4:35,George Hill  misses 25-foot three point jumper,31 - 37
4:35,Lakers defensive team rebound,31 - 37
