time,play,score
12:00,Tarik Black vs. Kristaps Porzingis (Kyle O'Quinn gains possession),0 - 0
11:42,Carmelo Anthony makes 9-foot two point shot,0 - 2
11:14,Julius Randle  misses 20-foot jumper,0 - 2
11:12,Kyle O'Quinn defensive rebound,0 - 2
10:59,Brandon Ingram kicked ball violation,0 - 2
10:51,Carmelo Anthony makes 9-foot two point shot (Kyle O'Quinn assists),0 - 4
10:29,Kyle O'Quinn shooting foul  (Brandon Ingram draws the foul),0 - 4
10:29,Brandon Ingram misses free throw 1 of 2,0 - 4
10:29,Lakers offensive team rebound,0 - 4
10:29,Brandon Ingram misses free throw 2 of 2,0 - 4
10:29,Knicks defensive team rebound,0 - 4
10:11,Carmelo Anthony  lost ball turnover (Tarik Black steals),0 - 4
10:00,Kristaps Porzingis blocks Julius Randle 's 3-foot  layup,0 - 4
9:57,Julius Randle offensive rebound,0 - 4
9:56,Julius Randle makes layup,2 - 4
9:47,Kyle O'Quinn  misses 19-foot jumper,2 - 4
9:47,Brandon Ingram defensive rebound,2 - 4
9:37,Julius Randle makes 5-foot two point shot,4 - 4
9:19,Carmelo Anthony makes 15-foot two point shot,4 - 6
9:11,Brandon Ingram makes  three point jumper  (D'Angelo Russell assists),7 - 6
8:51,Derrick Rose  misses two point shot,7 - 6
8:48,Tarik Black defensive rebound,7 - 6
8:41,D'Angelo Russell makes 16-foot two point shot,9 - 6
8:25,Kristaps Porzingis  misses layup,9 - 6
8:23,Kristaps Porzingis offensive rebound,9 - 6
8:23,Kristaps Porzingis  misses 2-foot,9 - 6
8:22,Knicks offensive team rebound,9 - 6
8:19,Derrick Rose  misses 21-foot jumper,9 - 6
8:18,Brandon Ingram defensive rebound,9 - 6
8:11,Julius Randle makes layup (Brandon Ingram assists),11 - 6
7:58,Julius Randle blocks Kristaps Porzingis 's 20-foot  jumper,11 - 6
7:56,Nick Young defensive rebound,11 - 6
7:41,D'Angelo Russell  misses 25-foot three point jumper,11 - 6
7:39,Knicks defensive team rebound,11 - 6
7:39,Larry Nance Jr. enters the game for Julius Randle,11 - 6
7:28,Nick Young personal foul  (Courtney Lee draws the foul),11 - 6
7:20,Kyle O'Quinn offensive foul  (Nick Young draws the foul),11 - 6
7:20,Kyle O'Quinn  turnover,11 - 6
7:01,Nick Young makes 23-foot  three point jumper  (Larry Nance Jr. assists),14 - 6
6:47,Kyle O'Quinn makes 17-foot jumper,14 - 8
6:33,D'Angelo Russell  misses 6-foot two point shot,14 - 8
6:33,Derrick Rose defensive rebound,14 - 8
6:13,Courtney Lee  misses jumper,14 - 8
6:13,Brandon Ingram defensive rebound,14 - 8
6:07,Nick Young  misses 24-foot three point jumper,14 - 8
6:05,Larry Nance Jr. offensive rebound,14 - 8
6:01,Brandon Ingram makes 25-foot  three point jumper  (D'Angelo Russell assists),17 - 8
6:01,Knicks Full timeout,17 - 8
6:01,Willy Hernangomez enters the game for Kyle O'Quinn,17 - 8
5:48,Kristaps Porzingis  misses 16-foot jumper,17 - 8
5:48,Larry Nance Jr. defensive rebound,17 - 8
5:33,Brandon Ingram  misses 25-foot three point jumper,17 - 8
5:33,Tarik Black offensive rebound,17 - 8
5:30,Willy Hernangomez personal block  (Brandon Ingram draws the foul),17 - 8
5:18,Nick Young makes 25-foot  three pointer  (D'Angelo Russell assists),20 - 8
5:03,Derrick Rose makes driving layup,20 - 10
5:03,Tarik Black shooting foul  (Derrick Rose draws the foul),20 - 10
5:03,Luol Deng enters the game for Brandon Ingram,20 - 10
5:03,Derrick Rose makes free throw 1 of 1,20 - 11
4:46,Larry Nance Jr.  misses jumper,20 - 11
4:45,Derrick Rose defensive rebound,20 - 11
4:39,Tarik Black personal foul  (Kristaps Porzingis draws the foul),20 - 11
4:39,Ivica Zubac enters the game for Tarik Black,20 - 11
4:39,Jordan Clarkson enters the game for Nick Young,20 - 11
4:39,Lakers delay of game violation,20 - 11
4:31,Ivica Zubac blocks Willy Hernangomez's  layup,20 - 11
4:31,Jordan Clarkson defensive rebound,20 - 11
4:22,Ivica Zubac  misses 8-foot jumper,20 - 11
4:20,Carmelo Anthony defensive rebound,20 - 11
4:16,Ivica Zubac personal foul  (Willy Hernangomez draws the foul),20 - 11
4:03,Carmelo Anthony  misses 25-foot three point jumper,20 - 11
4:03,Lakers defensive team rebound,20 - 11
3:55,Luol Deng  misses 26-foot three point jumper,20 - 11
3:54,Willy Hernangomez defensive rebound,20 - 11
3:44,Carmelo Anthony makes 9-foot jumper,20 - 13
3:44,Luol Deng shooting foul  (Carmelo Anthony draws the foul),20 - 13
3:44,Justin Holiday enters the game for Courtney Lee,20 - 13
3:44,Louis Williams enters the game for D'Angelo Russell,20 - 13
3:44,Carmelo Anthony misses free throw 1 of 1,20 - 13
3:43,Ivica Zubac defensive rebound,20 - 13
3:31,Ivica Zubac  misses layup,20 - 13
3:30,Willy Hernangomez defensive rebound,20 - 13
3:19,Kristaps Porzingis  misses 25-foot three point jumper,20 - 13
3:18,Jordan Clarkson defensive rebound,20 - 13
3:04,Luol Deng  misses jumper,20 - 13
3:03,Knicks defensive team rebound,20 - 13
3:02,Mindaugas Kuzminskas enters the game for Kristaps Porzingis,20 - 13
2:53,Carmelo Anthony  misses 13-foot jumper,20 - 13
2:51,Knicks offensive team rebound,20 - 13
2:51,Lakers Full timeout,20 - 13
2:39,Carmelo Anthony  misses 19-foot two point jumper,20 - 13
2:38,Larry Nance Jr. defensive rebound,20 - 13
2:15,Larry Nance Jr.  misses 8-foot hook shot,20 - 13
2:13,Carmelo Anthony defensive rebound,20 - 13
2:02,Derrick Rose  misses jumper,20 - 13
2:01,Ivica Zubac defensive rebound,20 - 13
1:51,Jordan Clarkson makes layup,22 - 13
1:44,Louis Williams personal foul  (Justin Holiday draws the foul),22 - 13
1:44,Justin Holiday misses free throw 1 of 2,22 - 13
1:44,Knicks offensive team rebound,22 - 13
1:44,Brandon Jennings enters the game for Derrick Rose,22 - 13
1:44,Justin Holiday makes free throw 2 of 2,22 - 14
1:30,Ivica Zubac  misses 6-foot hook shot,22 - 14
1:29,Willy Hernangomez defensive rebound,22 - 14
1:15,Carmelo Anthony makes driving layup,22 - 16
1:08,Louis Williams makes driving layup,24 - 16
58.0,Willy Hernangomez makes 4-foot two point shot,24 - 18
51.0,Carmelo Anthony personal foul  (Jordan Clarkson draws the foul),24 - 18
43.0,Ivica Zubac  misses layup,24 - 18
41.0,Ivica Zubac offensive rebound,26 - 18
41.0,Ivica Zubac makes two point shot,26 - 18
35.0,Jordan Clarkson personal foul  (Brandon Jennings draws the foul),26 - 18
35.0,Brandon Jennings misses free throw 1 of 2,26 - 18
35.0,Knicks offensive team rebound,26 - 18
35.0,Brandon Jennings makes free throw 2 of 2,26 - 19
30.0,Louis Williams makes 25-foot  three point jumper,29 - 19
9.0,Carmelo Anthony  lost ball turnover (Larry Nance Jr. steals),29 - 19
0.0,Jordan Clarkson  misses 26-foot three point jumper,29 - 19
0.0,Lakers offensive team rebound,29 - 19
0.0,End of the 1st Quarter,29 - 19
11:36,Jordan Clarkson  misses layup,29 - 19
11:34,Willy Hernangomez defensive rebound,29 - 19
11:27,Justin Holiday makes two point shot (Brandon Jennings assists),29 - 21
11:18,Larry Nance Jr.  misses layup,29 - 21
11:17,Kristaps Porzingis defensive rebound,29 - 21
11:10,Willy Hernangomez  misses 3-foot hook shot,29 - 21
11:08,Larry Nance Jr. defensive rebound,29 - 21
10:57,Luol Deng makes 9-foot jumper,31 - 21
10:57,Mindaugas Kuzminskas shooting foul  (Luol Deng draws the foul),32 - 21
10:57,Luol Deng makes free throw 1 of 1,32 - 21
10:47,Mindaugas Kuzminskas makes 6-foot two point shot,32 - 23
10:33,Luol Deng  misses 23-foot three point jumper,32 - 23
10:32,Willy Hernangomez defensive rebound,32 - 23
10:18,Ivica Zubac blocks Willy Hernangomez's  layup,32 - 23
10:18,Ivica Zubac defensive rebound,32 - 23
10:12,Jordan Clarkson  misses layup,32 - 23
10:11,Larry Nance Jr. offensive rebound,32 - 23
10:10,Larry Nance Jr. makes tip shot,34 - 23
10:02,Luol Deng blocks Mindaugas Kuzminskas's  layup,34 - 23
10:00,Mindaugas Kuzminskas offensive rebound,34 - 23
9:59,Ivica Zubac blocks Mindaugas Kuzminskas's  layup,34 - 23
9:56,Ivica Zubac defensive rebound,34 - 23
9:51,Larry Nance Jr. makes two point shot (Louis Williams assists),36 - 23
9:37,Willy Hernangomez makes driving dunk (Brandon Jennings assists),36 - 25
9:25,Justin Holiday blocks Louis Williams 's 4-foot  jumper,36 - 25
9:23,Louis Williams offensive rebound,36 - 25
9:22,Louis Williams  lost ball turnover (Willy Hernangomez steals),36 - 25
9:18,Ivica Zubac blocks Justin Holiday's  layup,36 - 25
9:17,Knicks offensive team rebound,36 - 25
9:17,Larry Nance Jr. loose ball foul  (Kristaps Porzingis draws the foul),36 - 25
9:17,Lakers Full timeout,36 - 25
9:17,Tarik Black enters the game for Ivica Zubac,36 - 25
9:17,Marshall Plumlee enters the game for Willy Hernangomez,36 - 25
9:04,Justin Holiday  misses 22-foot three point jumper,36 - 25
9:03,Luol Deng defensive rebound,36 - 25
8:52,Louis Williams makes 24-foot  three point jumper,39 - 25
