time,play,score
12:00,Timofey Mozgov vs. Anthony Davis (Tim Frazier gains possession),0 - 0
11:45,Anthony Davis  bad pass (Luol Deng steals),0 - 0
11:26,Jose Calderon  misses 26-foot three point jumper,0 - 0
11:26,Omer Asik defensive rebound,0 - 0
11:17,Anthony Davis makes jumper (Jrue Holiday assists),0 - 2
11:03,Omer Asik kicked ball violation,0 - 2
10:57,Timofey Mozgov makes dunk (Jose Calderon assists),2 - 2
10:41,Omer Asik makes layup (Anthony Davis assists),2 - 4
10:21,Julius Randle  bad pass (Omer Asik steals),2 - 4
10:18,Tim Frazier makes layup (Omer Asik assists),2 - 6
10:10,Lakers 20 Sec. timeout,2 - 6
10:10,Jordan Clarkson enters the game for Nick Young,2 - 6
9:57,Jose Calderon  misses 23-foot three point jumper,2 - 6
9:56,Anthony Davis defensive rebound,2 - 6
9:41,Omer Asik makes dunk (Jrue Holiday assists),2 - 8
9:27,Jose Calderon  bad pass (Anthony Davis steals),2 - 8
9:22,Tim Frazier makes layup (Anthony Davis assists),2 - 10
9:06,Julius Randle makes 22-foot jumper (Luol Deng assists),4 - 10
8:57,Omer Asik  misses layup,4 - 10
8:56,Timofey Mozgov defensive rebound,4 - 10
8:48,Jose Calderon  misses 25-foot three point jumper,4 - 10
8:47,Omer Asik defensive rebound,4 - 10
8:38,Jrue Holiday  bad pass (Jordan Clarkson steals),4 - 10
8:37,Jordan Clarkson makes layup,6 - 10
8:27,Jrue Holiday makes 25-foot  three point jumper  (Tim Frazier assists),6 - 13
8:03,Julius Randle makes 20-foot jumper (Jose Calderon assists),8 - 13
7:48,Anthony Davis  misses 20-foot jumper,8 - 13
7:47,Omer Asik offensive rebound,8 - 13
7:43,Julius Randle shooting foul  (Anthony Davis draws the foul),8 - 13
7:43,Anthony Davis makes free throw 1 of 2,8 - 14
7:43,Anthony Davis makes free throw 2 of 2,8 - 15
7:26,Timofey Mozgov  misses 3-foot jumper,8 - 15
7:26,Omer Asik defensive rebound,8 - 15
