time,play,score
12:00,Larry Nance Jr. vs. Dewayne Dedmon (Kawhi Leonard gains possession),0 - 0
11:37,LaMarcus Aldridge  misses finger roll layup,0 - 0
11:36,Larry Nance Jr. defensive rebound,0 - 0
11:18,Jordan Clarkson  misses 18-foot two point jumper,0 - 0
11:15,Larry Nance Jr. offensive rebound,0 - 0
11:14,Larry Nance Jr. makes two point shot,2 - 0
10:52,Kawhi Leonard  misses 25-foot three point jumper,2 - 0
10:51,Dewayne Dedmon offensive rebound,2 - 0
10:45,Kawhi Leonard makes 10-foot jumper,2 - 2
10:18,Larry Nance Jr. makes 7-foot two point shot (Brandon Ingram assists),4 - 2
9:48,Tony Parker makes two point shot (LaMarcus Aldridge assists),4 - 4
9:30,Tyler Ennis makes 16-foot two point shot,6 - 4
9:15,Dewayne Dedmon  misses,6 - 4
9:11,LaMarcus Aldridge makes two point shot,6 - 6
9:11,LaMarcus Aldridge offensive rebound,6 - 4
9:00,Brandon Ingram  misses 20-foot jumper,6 - 6
8:59,Dewayne Dedmon defensive rebound,6 - 6
8:48,Tony Parker  misses,6 - 6
8:48,Julius Randle defensive rebound,6 - 6
8:41,Jordan Clarkson  misses 24-foot three point jumper,6 - 6
8:40,Brandon Ingram offensive rebound,6 - 6
8:33,Larry Nance Jr. makes 8-foot two point shot (Brandon Ingram assists),8 - 6
8:19,Brandon Ingram blocks Kawhi Leonard 's 17-foot  shot,8 - 6
8:18,Jordan Clarkson defensive rebound,8 - 6
8:08,Julius Randle  misses driving layup,8 - 6
8:08,Spurs defensive team rebound,8 - 6
7:47,Tony Parker  misses 23-foot three point jumper,8 - 6
7:46,Larry Nance Jr. defensive rebound,8 - 6
7:33,Jordan Clarkson  misses two point shot,8 - 6
7:31,LaMarcus Aldridge defensive rebound,8 - 6
7:24,Jordan Clarkson personal foul  (Kawhi Leonard draws the foul),8 - 6
7:18,Kawhi Leonard makes 14-foot two point shot (Jonathon Simmons assists),8 - 8
7:16,Brandon Ingram makes layup (Tyler Ennis assists),11 - 8
7:16,Kawhi Leonard shooting foul  (Brandon Ingram draws the foul),11 - 8
7:16,Brandon Ingram makes free throw 1 of 1,11 - 8
6:52,LaMarcus Aldridge makes 16-foot two point shot (Kawhi Leonard assists),11 - 10
6:37,Tyler Ennis makes 24-foot  three point jumper  (Julius Randle assists),14 - 10
6:37,Spurs Full timeout,14 - 10
6:37,Patty Mills enters the game for Tony Parker,14 - 10
6:37,Kyle Anderson enters the game for Kawhi Leonard,14 - 10
6:37,Pau Gasol enters the game for Dewayne Dedmon,14 - 10
6:18,LaMarcus Aldridge  misses two point shot,14 - 10
6:16,Larry Nance Jr. defensive rebound,14 - 10
6:01,Larry Nance Jr.  misses,14 - 10
5:58,Pau Gasol defensive rebound,14 - 10
5:48,Kyle Anderson makes two point shot (Pau Gasol assists),14 - 12
5:28,Brandon Ingram makes 8-foot two point shot,16 - 12
5:28,Kyle Anderson shooting foul  (Brandon Ingram draws the foul),16 - 12
5:28,David Lee enters the game for LaMarcus Aldridge,16 - 12
5:28,Bryn Forbes enters the game for Jonathon Simmons,16 - 12
5:28,Brandon Ingram makes free throw 1 of 1,17 - 12
5:07,Larry Nance Jr. blocks Pau Gasol's  layup,17 - 12
5:05,Larry Nance Jr. defensive rebound,17 - 12
5:01,Jordan Clarkson makes two point shot (Tyler Ennis assists),19 - 12
4:50,Julius Randle personal foul  (Pau Gasol draws the foul),19 - 12
4:50,Tarik Black enters the game for Larry Nance Jr.,19 - 12
4:48,Tyler Ennis personal foul  (Patty Mills draws the foul),19 - 12
4:45,Patty Mills  misses 19-foot two point jumper,19 - 12
4:43,Jordan Clarkson defensive rebound,19 - 12
4:33,Jordan Clarkson makes two point shot,21 - 12
