time,play,score
12:00,Tarik Black vs. Tyson Chandler (D'Angelo Russell gains possession),0 - 0
11:38,D'Angelo Russell  misses 25-foot three point jumper,0 - 0
11:37,Suns defensive team rebound,0 - 0
11:25,Julius Randle personal foul  (Eric Bledsoe draws the foul),0 - 0
11:11,Marquese Chriss  misses jumper,0 - 0
11:08,Julius Randle defensive rebound,0 - 0
10:51,Brandon Ingram  misses 20-foot jumper,0 - 0
10:48,Tyson Chandler defensive rebound,0 - 0
10:36,Tarik Black shooting foul  (Marquese Chriss draws the foul),0 - 0
10:36,Marquese Chriss makes free throw 1 of 2,0 - 1
10:36,Marquese Chriss makes free throw 2 of 2,0 - 2
10:26,Brandon Ingram  lost ball turnover (Eric Bledsoe steals),0 - 2
10:22,Devin Booker makes two point shot (TJ Warren assists),0 - 4
10:10,Tarik Black  bad pass (Marquese Chriss steals),0 - 4
10:03,Eric Bledsoe  misses 26-foot,0 - 4
9:59,Nick Young defensive rebound,0 - 4
9:53,Nick Young  misses 26-foot three point jumper,0 - 4
9:51,Tyson Chandler defensive rebound,0 - 4
9:30,Devin Booker  misses 24-foot three point pullup jump shot,0 - 4
9:25,Eric Bledsoe offensive rebound,0 - 4
9:21,Devin Booker makes 23-foot  three point jumper  (Eric Bledsoe assists),0 - 7
9:19,Lakers Full timeout,0 - 7
9:00,Tarik Black  misses 7-foot jumper,0 - 7
8:57,Julius Randle  misses 2-foot,0 - 7
8:57,Julius Randle offensive rebound,0 - 7
8:56,Julius Randle offensive rebound,0 - 7
8:56,TJ Warren shooting foul  (Julius Randle draws the foul),0 - 7
8:56,Julius Randle makes free throw 1 of 2,1 - 7
8:56,Julius Randle makes free throw 2 of 2,2 - 7
8:45,Marquese Chriss  misses 24-foot three point jumper,2 - 7
8:44,Tarik Black defensive rebound,2 - 7
8:33,D'Angelo Russell  lost ball turnover (Tyson Chandler steals),2 - 7
8:30,Marquese Chriss makes two point shot (Eric Bledsoe assists),2 - 9
8:30,Tarik Black shooting foul  (Marquese Chriss draws the foul),2 - 9
8:30,Marquese Chriss makes free throw 1 of 1,2 - 10
8:15,Devin Booker personal foul  (Brandon Ingram draws the foul),2 - 10
8:11,Ivica Zubac enters the game for Tarik Black,2 - 10
8:07,Marquese Chriss personal foul  (Brandon Ingram draws the foul),2 - 10
8:06,Brandon Ingram  bad pass (Eric Bledsoe steals),2 - 10
8:00,TJ Warren makes two point shot (Eric Bledsoe assists),2 - 12
7:43,D'Angelo Russell makes 17-foot two point shot,4 - 12
7:30,Devin Booker  bad pass (D'Angelo Russell steals),4 - 12
7:24,Nick Young makes two point shot (D'Angelo Russell assists),6 - 12
7:07,Devin Booker makes 20-foot jumper (Eric Bledsoe assists),6 - 14
6:50,D'Angelo Russell  misses 13-foot two point shot,6 - 14
6:48,Eric Bledsoe defensive rebound,6 - 14
6:45,TJ Warren makes two point shot (Eric Bledsoe assists),6 - 16
6:28,D'Angelo Russell  misses 25-foot three point jumper,6 - 16
6:26,TJ Warren defensive rebound,6 - 16
6:15,Eric Bledsoe makes 26-foot  three point jumper,6 - 19
5:58,D'Angelo Russell  bad pass (Tyson Chandler steals),6 - 19
5:54,Devin Booker makes two point shot (TJ Warren assists),6 - 21
5:54,Lakers 20 Sec. timeout,6 - 21
5:54,Jordan Clarkson enters the game for Brandon Ingram,6 - 21
5:54,Larry Nance Jr. enters the game for Julius Randle,6 - 21
5:54,Luol Deng enters the game for Nick Young,6 - 21
5:54,Louis Williams enters the game for D'Angelo Russell,6 - 21
5:37,Jordan Clarkson  bad pass (TJ Warren steals),6 - 21
5:30,Devin Booker  bad pass (Larry Nance Jr. steals),6 - 21
5:20,Luol Deng  misses 26-foot three point jumper,6 - 21
5:18,Devin Booker defensive rebound,6 - 21
5:13,Marquese Chriss makes two point shot (Eric Bledsoe assists),6 - 23
5:01,Ivica Zubac  misses 4-foot jumper,6 - 23
4:56,Marquese Chriss defensive rebound,6 - 23
4:52,Luol Deng shooting foul  (Devin Booker draws the foul),6 - 23
4:52,Devin Booker makes free throw 1 of 2,6 - 24
4:52,P.J. Tucker enters the game for TJ Warren,6 - 24
4:52,Alex Len enters the game for Tyson Chandler,6 - 24
4:52,Devin Booker misses free throw 2 of 2,6 - 24
4:52,Jordan Clarkson defensive rebound,6 - 24
4:41,Louis Williams  out of bounds lost ball turnover,6 - 24
4:33,Ivica Zubac shooting foul  (Alex Len draws the foul),6 - 24
4:33,Alex Len makes free throw 1 of 2,6 - 25
4:33,Alex Len misses free throw 2 of 2,6 - 25
4:33,Larry Nance Jr. defensive rebound,6 - 25
4:16,Marquese Chriss shooting foul  (Ivica Zubac draws the foul),6 - 25
4:16,Ivica Zubac makes free throw 1 of 2,7 - 25
4:16,Ivica Zubac makes free throw 2 of 2,8 - 25
4:05,Alex Len  bad pass,8 - 25
3:46,Louis Williams  misses driving layup,8 - 25
3:43,Alex Len defensive rebound,8 - 25
3:27,Devin Booker  misses 13-foot jumper,8 - 25
3:25,Marquese Chriss makes dunk,8 - 27
3:25,Marquese Chriss offensive rebound,8 - 25
3:14,Ivica Zubac  misses layup,8 - 27
3:12,Alex Len defensive rebound,8 - 27
3:06,Eric Bledsoe  misses 24-foot three point jumper,8 - 27
3:03,Ivica Zubac defensive rebound,8 - 27
3:00,Jordan Clarkson  misses 25-foot,8 - 27
2:59,Lakers offensive team rebound,8 - 27
2:59,Suns Full timeout,8 - 27
2:59,Jared Dudley enters the game for Marquese Chriss,8 - 27
2:59,Brandon Knight enters the game for Eric Bledsoe,8 - 27
2:51,Luol Deng makes 8-foot jumper (Larry Nance Jr. assists),10 - 27
2:38,Alex Len makes 19-foot jumper (Brandon Knight assists),10 - 29
2:31,Ivica Zubac offensive foul  (Devin Booker draws the foul),10 - 29
2:31,Ivica Zubac  turnover,10 - 29
2:18,Jared Dudley  misses 25-foot three point jumper,10 - 29
2:16,Luol Deng defensive rebound,10 - 29
2:09,Luol Deng  misses,10 - 29
2:05,Alex Len defensive rebound,10 - 29
2:00,Jared Dudley  misses 23-foot three point jumper,10 - 29
1:59,Alex Len offensive rebound,10 - 29
1:40,Devin Booker makes 26-foot  three point jumper  (Brandon Knight assists),10 - 32
1:14,Brandon Knight shooting foul  (Jordan Clarkson draws the foul),10 - 32
1:14,Jordan Clarkson misses free throw 1 of 2,11 - 32
1:14,Lakers offensive team rebound,11 - 32
1:14,Jordan Clarkson makes free throw 2 of 2,11 - 32
54.0,Brandon Knight  misses three point jumper,11 - 32
52.0,Alex Len offensive rebound,11 - 32
40.0,Alex Len  misses 3-foot jump bank shot,11 - 32
36.0,Ivica Zubac defensive rebound,11 - 32
32.0,Ivica Zubac  misses jumper,11 - 32
30.0,Ivica Zubac offensive rebound,11 - 32
30.0,Ivica Zubac makes layup,13 - 32
6.0,Alex Len Out-of-Bounds Bad Pass Turnover,13 - 32
1.0,Louis Williams makes 2-foot two point shot,15 - 32
0.0,End of the 1st Quarter,15 - 32
11:41,Brandon Knight makes 16-foot two point shot,15 - 34
11:25,Ivica Zubac makes 20-foot jumper (Larry Nance Jr. assists),17 - 34
11:11,Ivica Zubac shooting foul  (Alex Len draws the foul),17 - 34
11:11,Alex Len makes free throw 1 of 2,17 - 35
11:11,Brandon Ingram enters the game for Ivica Zubac,17 - 35
11:11,Alex Len makes free throw 2 of 2,17 - 36
11:00,P.J. Tucker shooting foul  (Luol Deng draws the foul),17 - 36
11:00,Luol Deng makes free throw 1 of 2,18 - 36
11:00,Luol Deng makes free throw 2 of 2,19 - 36
10:45,Alex Len  misses 4-foot jumper,19 - 36
10:44,Louis Williams defensive rebound,19 - 36
10:40,Louis Williams makes 5-foot jumper,21 - 36
10:40,Brandon Knight shooting foul  (Louis Williams draws the foul),21 - 36
10:40,Louis Williams misses free throw 1 of 1,21 - 36
10:38,Alex Len defensive rebound,21 - 36
