time,play,score
12:00,Timofey Mozgov vs. Mason Plumlee (Julius Randle gains possession),0 - 0
11:41,Nick Young makes 19-foot two point shot,2 - 0
11:19,Damian Lillard makes 21-foot two point shot,2 - 2
11:03,Jose Calderon  misses 17-foot two point jumper,2 - 2
11:02,Noah Vonleh defensive rebound,2 - 2
10:53,Damian Lillard makes 20-foot two point shot,2 - 4
10:41,Timofey Mozgov  misses jumper,2 - 4
10:41,Noah Vonleh defensive rebound,2 - 4
10:33,Damian Lillard  misses 25-foot three point pullup jump shot,2 - 4
10:33,Luol Deng defensive rebound,2 - 4
10:27,Luol Deng makes 5-foot two point shot,4 - 4
9:57,Evan Turner makes 8-foot jumper,4 - 6
9:51,Julius Randle makes 15-foot two point shot,6 - 6
9:37,Nick Young shooting foul  (C.J. McCollum draws the foul),6 - 6
9:37,C.J. McCollum makes free throw 1 of 2,6 - 7
9:37,C.J. McCollum makes free throw 2 of 2,6 - 8
9:18,Julius Randle  traveling,6 - 8
9:08,Damian Lillard makes 25-foot  three point jumper  (Mason Plumlee assists),6 - 11
8:56,Mason Plumlee personal foul  (Timofey Mozgov draws the foul),6 - 11
8:48,Nick Young makes 15-foot two point shot (Julius Randle assists),8 - 11
8:19,Mason Plumlee  misses 18-foot two point jumper,8 - 11
8:18,Julius Randle defensive rebound,8 - 11
8:12,Timofey Mozgov  misses layup,8 - 11
8:11,Noah Vonleh defensive rebound,8 - 11
8:06,C.J. McCollum  misses 8-foot two point shot,8 - 11
8:04,Luol Deng defensive rebound,8 - 11
7:48,Jose Calderon  misses 15-foot jumper,8 - 11
7:47,Timofey Mozgov offensive rebound,8 - 11
7:45,Nick Young makes 26-foot  three point jumper  (Timofey Mozgov assists),11 - 11
7:26,Timofey Mozgov blocks Mason Plumlee's  shot,11 - 11
7:26,Timofey Mozgov defensive rebound,11 - 11
7:07,Nick Young  misses 25-foot three point pullup jump shot,11 - 11
7:07,Mason Plumlee defensive rebound,11 - 11
6:58,C.J. McCollum makes 24-foot  three point jumper  (Evan Turner assists),11 - 14
6:58,Lakers Full timeout,11 - 14
6:41,Luol Deng makes 14-foot two point shot,13 - 14
6:24,C.J. McCollum  misses 17-foot two point jumper,13 - 14
6:22,Julius Randle defensive rebound,13 - 14
6:18,Julius Randle  out of bounds lost ball turnover,13 - 14
6:03,C.J. McCollum makes driving layup,13 - 16
6:03,Nick Young shooting foul  (C.J. McCollum draws the foul),13 - 16
6:03,Meyers Leonard enters the game for Mason Plumlee,13 - 16
6:03,C.J. McCollum makes free throw 1 of 1,13 - 17
5:46,Jose Calderon  misses 25-foot three point pullup jump shot,13 - 17
5:45,Meyers Leonard defensive rebound,13 - 17
5:33,C.J. McCollum  misses 9-foot,13 - 17
5:33,Noah Vonleh offensive rebound,13 - 17
5:30,Allen Crabbe enters the game for C.J. McCollum,13 - 17
5:30,Jordan Clarkson enters the game for Luol Deng,13 - 17
5:30,Brandon Ingram enters the game for Nick Young,13 - 17
5:22,Damian Lillard  misses three point jumper,13 - 17
5:20,Brandon Ingram defensive rebound,13 - 17
5:09,Jordan Clarkson makes 25-foot  three point jumper  (Jose Calderon assists),16 - 17
4:54,Damian Lillard makes 20-foot two point shot,16 - 19
4:41,Timofey Mozgov  misses 13-foot jumper,16 - 19
4:41,Damian Lillard defensive rebound,16 - 19
4:30,Meyers Leonard  misses 24-foot three point jumper,16 - 19
4:28,Timofey Mozgov defensive rebound,16 - 19
4:18,Julius Randle  misses 21-foot two point shot,16 - 19
4:18,Damian Lillard defensive rebound,16 - 19
4:05,Jose Calderon shooting foul  (Damian Lillard draws the foul),16 - 19
4:05,Damian Lillard makes free throw 1 of 2,16 - 20
4:05,Tarik Black enters the game for Timofey Mozgov,16 - 20
4:05,Ivica Zubac enters the game for Julius Randle,16 - 20
4:05,Al-Farouq Aminu enters the game for Noah Vonleh,16 - 20
4:05,Damian Lillard makes free throw 2 of 2,16 - 21
3:54,Ivica Zubac  misses hook shot,16 - 21
3:53,Meyers Leonard defensive rebound,16 - 21
3:45,Evan Turner  misses 15-foot two point jumper,16 - 21
3:44,Evan Turner offensive rebound,16 - 21
3:43,Tarik Black shooting foul  (Evan Turner draws the foul),16 - 21
3:43,Evan Turner makes free throw 1 of 2,16 - 22
3:43,Louis Williams enters the game for Jose Calderon,16 - 22
3:43,Evan Turner misses free throw 2 of 2,16 - 22
3:42,Tarik Black defensive rebound,16 - 22
3:27,Jordan Clarkson  bad pass (Damian Lillard steals),16 - 22
3:19,Al-Farouq Aminu makes two point shot,16 - 24
3:05,Jordan Clarkson  misses three point jumper,16 - 24
3:04,Brandon Ingram offensive rebound,16 - 24
3:00,Louis Williams makes 24-foot  three point jumper  (Brandon Ingram assists),19 - 24
2:48,Evan Turner makes driving layup,19 - 26
2:48,Tarik Black shooting foul  (Evan Turner draws the foul),19 - 26
2:48,Trail Blazers Full timeout,19 - 26
2:48,C.J. McCollum enters the game for Damian Lillard,19 - 26
2:48,Evan Turner misses free throw 1 of 1,19 - 26
2:47,Brandon Ingram defensive rebound,19 - 26
2:40,Louis Williams makes 24-foot  three point jumper,22 - 26
2:40,C.J. McCollum shooting foul  (Louis Williams draws the foul),21 - 26
2:40,Pat Connaughton enters the game for Evan Turner,21 - 26
2:40,Louis Williams makes free throw 1 of 1,23 - 26
2:24,Al-Farouq Aminu  bad pass (Louis Williams steals),23 - 26
2:15,Tarik Black makes two point shot (Louis Williams assists),25 - 26
2:02,Allen Crabbe  misses 26-foot three point jumper,25 - 26
2:00,Ivica Zubac defensive rebound,25 - 26
1:53,Ivica Zubac  misses driving layup,25 - 26
1:52,Tarik Black offensive rebound,25 - 26
1:49,Tarik Black makes two point shot,27 - 26
1:30,Meyers Leonard  misses three point jumper,27 - 26
1:29,Tarik Black defensive rebound,27 - 26
1:20,Ivica Zubac  misses 3-foot two point shot,27 - 26
1:19,Tarik Black offensive rebound,27 - 26
1:09,Tarik Black  misses 3-foot hook shot,27 - 26
1:08,Pat Connaughton defensive rebound,27 - 26
1:00,Meyers Leonard  misses 25-foot three point jumper,27 - 26
59.0,Tarik Black defensive rebound,27 - 26
47.0,Ivica Zubac makes 2-foot layup (Louis Williams assists),29 - 26
31.0,C.J. McCollum makes 17-foot two point shot,29 - 28
