time,play,score
12:00,Nikola Vucevic vs. John Henson (Giannis Antetokounmpo gains possession),0 - 0
11:40,Matthew Dellavedova  misses 28-foot three point jumper,0 - 0
11:37,Evan Fournier defensive rebound,0 - 0
11:18,Elfrid Payton  misses 14-foot jumper,0 - 0
11:17,John Henson defensive rebound,0 - 0
10:56,Giannis Antetokounmpo  misses 30-foot three point jumper,0 - 0
10:55,Elfrid Payton defensive rebound,0 - 0
10:45,Nikola Vucevic  misses 19-foot jumper,0 - 0
10:45,Matthew Dellavedova defensive rebound,0 - 0
10:38,Nikola Vucevic blocks Giannis Antetokounmpo's  layup,0 - 0
10:37,Evan Fournier defensive rebound,0 - 0
10:29,Serge Ibaka makes 26-foot  three point jumper  (Evan Fournier assists),3 - 0
10:15,Tony Snell makes 19-foot jumper (John Henson assists),3 - 2
9:52,Jeff Green makes 15-foot jumper (Nikola Vucevic assists),5 - 2
9:37,Matthew Dellavedova  bad pass (Jeff Green steals),5 - 2
9:26,Jeff Green makes 9-foot two point shot,7 - 2
9:18,Giannis Antetokounmpo offensive foul  (Evan Fournier draws the foul),7 - 2
9:18,Giannis Antetokounmpo  turnover,7 - 2
9:08,Nikola Vucevic offensive foul  (John Henson draws the foul),7 - 2
9:08,Nikola Vucevic  turnover,7 - 2
8:52,Matthew Dellavedova  bad pass (Elfrid Payton steals),7 - 2
8:33,Serge Ibaka  lost ball turnover (Jabari Parker steals),7 - 2
8:26,Matthew Dellavedova  bad pass (Serge Ibaka steals),7 - 2
8:18,Serge Ibaka makes 26-foot  three point jumper  (Elfrid Payton assists),10 - 2
8:18,Bucks Full timeout,10 - 2
8:11,Matthew Dellavedova  lost ball turnover (Elfrid Payton steals),10 - 2
7:48,Jeff Green makes 15-foot two point shot,12 - 2
7:24,John Henson  misses 14-foot jumper,12 - 2
7:24,Serge Ibaka defensive rebound,12 - 2
7:16,Evan Fournier makes driving layup (Jeff Green assists),14 - 2
7:05,Jabari Parker  misses driving layup,14 - 2
7:03,Nikola Vucevic defensive rebound,14 - 2
6:56,Jeff Green steps out of bounds turnover,14 - 2
6:56,Malcolm Brogdon enters the game for Giannis Antetokounmpo,14 - 2
6:56,Mirza Teletovic enters the game for Jabari Parker,14 - 2
6:56,Michael Beasley enters the game for Matthew Dellavedova,14 - 2
6:41,Malcolm Brogdon  lost ball turnover (Serge Ibaka steals),14 - 2
6:39,Mirza Teletovic shooting foul  (Jeff Green draws the foul),14 - 2
6:39,Jeff Green makes free throw 1 of 2,15 - 2
6:39,Jeff Green makes free throw 2 of 2,16 - 2
6:28,Michael Beasley makes 14-foot jumper,16 - 4
6:18,John Henson personal foul  (Jeff Green draws the foul),16 - 4
6:09,Nikola Vucevic  bad pass (Malcolm Brogdon steals),16 - 4
5:58,Michael Beasley makes driving layup,16 - 6
5:48,Evan Fournier makes layup (Elfrid Payton assists),18 - 6
