time,play,score
12:00,Nikola Vucevic vs. Amir Johnson (Serge Ibaka gains possession),0 - 0
11:42,Serge Ibaka makes 8-foot two point shot (Nikola Vucevic assists),2 - 0
11:22,Jaylen Brown makes layup (Jonas Jerebko assists),2 - 2
11:07,Nikola Vucevic makes 20-foot jumper (Serge Ibaka assists),4 - 2
10:56,Jonas Jerebko  misses 26-foot three point jumper,4 - 2
10:56,Aaron Gordon defensive rebound,4 - 2
10:51,Jonas Jerebko blocks Serge Ibaka's  layup,4 - 2
10:49,Jaylen Brown defensive rebound,4 - 2
10:45,Jaylen Brown makes two point shot (Isaiah Thomas assists),4 - 4
10:32,Nikola Vucevic  misses 8-foot two point shot,4 - 4
10:30,Jonas Jerebko defensive rebound,4 - 4
10:23,Isaiah Thomas  misses 25-foot three point pullup jump shot,4 - 4
10:22,C.J. Watson defensive rebound,4 - 4
10:11,Serge Ibaka  misses 25-foot three point jumper,4 - 4
10:10,Jonas Jerebko defensive rebound,4 - 4
10:00,Jae Crowder  misses 26-foot three point jumper,4 - 4
10:00,Nikola Vucevic defensive rebound,4 - 4
9:48,Nikola Vucevic makes 10-foot two point shot (C.J. Watson assists),6 - 4
9:32,Isaiah Thomas  misses layup,6 - 4
9:30,Nikola Vucevic defensive rebound,6 - 4
9:22,Serge Ibaka  misses 8-foot hook shot,6 - 4
9:22,Jonas Jerebko defensive rebound,6 - 4
9:07,Amir Johnson makes dunk (Isaiah Thomas assists),6 - 6
8:41,Nikola Vucevic makes 10-foot two point shot,8 - 6
8:18,Jae Crowder makes 26-foot  three point jumper  (Jaylen Brown assists),8 - 9
7:52,C.J. Watson makes 26-foot  three point jumper,11 - 9
7:39,Isaiah Thomas makes driving layup,11 - 11
7:28,C.J. Watson  misses driving layup,11 - 11
7:26,Jonas Jerebko defensive rebound,11 - 11
7:07,Nikola Vucevic shooting block foul  (Jonas Jerebko draws the foul),11 - 11
7:07,Jonas Jerebko makes free throw 1 of 2,11 - 12
7:07,Jonas Jerebko makes free throw 2 of 2,11 - 13
7:03,Jaylen Brown personal foul  (C.J. Watson draws the foul),11 - 13
6:58,Aaron Gordon makes 17-foot two point shot (C.J. Watson assists),13 - 13
6:37,Jaylen Brown  misses 8-foot two point shot,13 - 13
6:37,Jae Crowder offensive rebound,13 - 13
6:35,Jae Crowder makes two point shot,13 - 15
6:26,Nikola Vucevic makes 2-foot two point shot (Elfrid Payton assists),15 - 15
6:24,Celtics Full timeout,15 - 15
6:09,Jae Crowder makes 16-foot two point shot,15 - 17
5:52,Nikola Vucevic  bad pass (Isaiah Thomas steals),15 - 17
5:48,Isaiah Thomas makes two point shot,15 - 19
5:26,Aaron Gordon  lost ball turnover (Jae Crowder steals),15 - 19
5:24,C.J. Watson shooting foul  (Jaylen Brown draws the foul),15 - 19
5:24,Jaylen Brown makes free throw 1 of 2,15 - 20
5:24,Tyler Zeller enters the game for Amir Johnson,15 - 20
5:24,Jaylen Brown makes free throw 2 of 2,15 - 21
5:13,Nikola Vucevic makes 19-foot jumper (Elfrid Payton assists),17 - 21
