time,play,score
12:00,Nikola Vucevic vs. Hassan Whiteside (Luke Babbitt gains possession),0 - 0
11:41,Rodney McGruder makes 9-foot two point shot,0 - 2
11:26,Nikola Vucevic  misses 15-foot jumper,0 - 2
11:25,Serge Ibaka offensive rebound,0 - 2
11:21,Serge Ibaka makes two point shot,2 - 2
11:06,Aaron Gordon blocks Dion Waiters 's 2-foot  layup,2 - 2
11:04,Aaron Gordon defensive rebound,2 - 2
10:57,Nikola Vucevic makes layup (Evan Fournier assists),4 - 2
10:47,Rodney McGruder  misses 9-foot two point shot,4 - 2
10:45,Nikola Vucevic defensive rebound,4 - 2
10:36,Aaron Gordon  misses driving layup,4 - 2
10:34,Aaron Gordon offensive rebound,4 - 2
10:33,Aaron Gordon makes tip shot,6 - 2
10:21,Rodney McGruder  misses 24-foot three point jumper,6 - 2
10:19,Aaron Gordon defensive rebound,6 - 2
10:08,C.J. Watson  misses 18-foot jumper,6 - 2
10:07,Nikola Vucevic offensive rebound,6 - 2
10:04,Nikola Vucevic  misses 7-foot hook shot,6 - 2
10:03,Hassan Whiteside defensive rebound,6 - 2
9:51,Rodney McGruder  misses 24-foot three point jumper,6 - 2
9:49,Aaron Gordon defensive rebound,6 - 2
9:44,Evan Fournier makes 2-foot two point shot (Aaron Gordon assists),8 - 2
9:32,Goran Dragic  misses 16-foot two point jumper,8 - 2
9:30,Serge Ibaka defensive rebound,8 - 2
9:22,Evan Fournier  misses 19-foot jumper,8 - 2
9:22,Nikola Vucevic offensive rebound,8 - 2
9:15,Aaron Gordon makes 18-foot jumper (C.J. Watson assists),10 - 2
9:15,Heat Full timeout,10 - 2
9:15,Willie Reed enters the game for Hassan Whiteside,10 - 2
9:00,Dion Waiters makes driving layup,10 - 4
8:41,Evan Fournier makes 13-foot Driving Floating Jump Shot,12 - 4
8:27,Rodney McGruder makes  three point jumper  (Dion Waiters assists),12 - 7
8:12,Aaron Gordon  lost ball turnover (Goran Dragic steals),12 - 7
8:07,Willie Reed makes dunk (Rodney McGruder assists),12 - 9
7:56,Evan Fournier Out-of-Bounds Bad Pass Turnover,12 - 9
7:46,Goran Dragic  misses 13-foot two point jumper,12 - 9
7:45,Aaron Gordon defensive rebound,12 - 9
7:26,Evan Fournier  misses 10-foot jumper,12 - 9
7:24,Serge Ibaka offensive rebound,12 - 9
7:22,Luke Babbitt personal foul  (Serge Ibaka draws the foul),12 - 9
7:15,C.J. Watson makes driving layup,14 - 9
6:52,Willie Reed  misses 9-foot jumper,14 - 9
6:50,Willie Reed offensive rebound,14 - 9
6:48,Rodney McGruder makes tip shot,14 - 11
6:37,C.J. Watson  traveling,14 - 11
6:24,Dion Waiters  misses three point jumper,14 - 11
6:24,Nikola Vucevic defensive rebound,14 - 11
6:09,C.J. Watson  misses 8-foot jumper,14 - 11
6:09,Serge Ibaka offensive rebound,14 - 11
6:05,Serge Ibaka makes 10-foot jumper,16 - 11
5:52,Luke Babbitt makes 24-foot  three point jumper  (Dion Waiters assists),16 - 14
5:37,Evan Fournier makes 8-foot two point shot,18 - 14
5:22,Rodney McGruder  misses 9-foot jumper,18 - 14
5:22,Nikola Vucevic defensive rebound,18 - 14
5:13,C.J. Watson makes 24-foot  three point jumper  (Evan Fournier assists),21 - 14
4:58,Dion Waiters makes 3-foot two point shot,21 - 16
4:43,Serge Ibaka  misses 16-foot jumper,21 - 16
4:43,Heat defensive team rebound,21 - 16
