time,play,score
12:00,Nikola Vucevic vs. Myles Turner (Elfrid Payton gains possession),0 - 0
11:42,Nikola Vucevic  misses two point shot,0 - 0
11:41,Myles Turner defensive rebound,0 - 0
11:32,Myles Turner offensive foul  (Elfrid Payton draws the foul),0 - 0
11:32,Myles Turner  turnover,0 - 0
11:14,Serge Ibaka  misses 27-foot three point jumper,0 - 0
11:12,Monta Ellis defensive rebound,0 - 0
10:57,Thaddeus Young makes two point shot,0 - 2
10:48,Elfrid Payton makes two point shot,2 - 2
10:33,Paul George  misses 15-foot jumper,2 - 2
10:33,Nikola Vucevic defensive rebound,2 - 2
10:17,Evan Fournier  misses two point jumper,2 - 2
10:15,Paul George defensive rebound,2 - 2
10:08,Nikola Vucevic personal foul  (Myles Turner draws the foul),2 - 2
10:02,Jeff Teague  misses 26-foot three point jumper,2 - 2
10:02,Serge Ibaka defensive rebound,2 - 2
9:52,Nikola Vucevic  misses 16-foot jumper,2 - 2
9:52,Jeff Teague defensive rebound,2 - 2
9:38,Monta Ellis makes 2-foot two point shot,2 - 4
9:15,Nikola Vucevic  misses two point shot,2 - 4
9:15,Paul George defensive rebound,2 - 4
9:08,Myles Turner  misses layup,2 - 4
9:07,Nikola Vucevic defensive rebound,2 - 4
8:48,Evan Fournier  misses 26-foot three point jumper,2 - 4
8:47,Serge Ibaka offensive rebound,2 - 4
8:25,Nikola Vucevic  lost ball turnover (Thaddeus Young steals),2 - 4
8:18,Myles Turner makes dunk (Thaddeus Young assists),2 - 6
8:18,Serge Ibaka shooting foul  (Myles Turner draws the foul),2 - 6
8:18,Myles Turner makes free throw 1 of 1,2 - 7
7:58,Serge Ibaka  misses 16-foot two point shot,2 - 7
7:56,Myles Turner defensive rebound,2 - 7
7:41,Myles Turner  misses 4-foot jumper,2 - 7
7:41,Nikola Vucevic defensive rebound,2 - 7
7:31,Elfrid Payton  misses jumper,2 - 7
7:30,Elfrid Payton offensive rebound,2 - 7
7:24,Serge Ibaka  misses 25-foot three point jumper,2 - 7
7:22,Jeff Teague defensive rebound,2 - 7
7:15,Monta Ellis  misses three point jumper,2 - 7
7:13,Elfrid Payton defensive rebound,2 - 7
7:03,Serge Ibaka  misses 16-foot jumper,2 - 7
7:03,Jeff Teague defensive rebound,2 - 7
6:56,Jeff Green personal block  (Jeff Teague draws the foul),2 - 7
6:47,Myles Turner  offensive goaltending turnover,2 - 7
6:28,Elfrid Payton makes two point shot,4 - 7
6:15,Myles Turner  misses 15-foot jumper,4 - 7
6:13,Jeff Green defensive rebound,4 - 7
6:11,Elfrid Payton offensive Charge  (Jeff Teague draws the foul),4 - 7
6:11,Elfrid Payton  turnover,4 - 7
5:56,Paul George  misses three point jumper,4 - 7
5:54,Serge Ibaka defensive rebound,4 - 7
5:48,Magic Full timeout,4 - 7
5:48,Bismack Biyombo enters the game for Jeff Green,4 - 7
5:48,Aaron Gordon enters the game for Nikola Vucevic,4 - 7
5:31,Serge Ibaka makes two point shot,6 - 7
5:13,Thaddeus Young  misses 16-foot jumper,6 - 7
5:13,Elfrid Payton defensive rebound,6 - 7
5:01,Serge Ibaka  misses jumper,6 - 7
5:00,Bismack Biyombo offensive rebound,6 - 7
5:00,Myles Turner loose ball foul  (Bismack Biyombo draws the foul),6 - 7
5:00,Al Jefferson enters the game for Myles Turner,6 - 7
4:46,Jeff Teague blocks Aaron Gordon 's 13-foot  jumper,6 - 7
4:43,Bismack Biyombo offensive rebound,6 - 7
4:43,Bismack Biyombo makes two point shot,8 - 7
4:24,Paul George  misses 27-foot three point jumper,8 - 7
4:22,Serge Ibaka defensive rebound,8 - 7
4:16,Jeff Teague personal foul  (Elfrid Payton draws the foul),8 - 7
4:07,Al Jefferson shooting foul  (Evan Fournier draws the foul),8 - 7
4:07,Evan Fournier makes free throw 1 of 2,9 - 7
4:07,Evan Fournier makes free throw 2 of 2,10 - 7
3:46,Monta Ellis makes 6-foot two point shot,10 - 9
3:19,shot clock turnover,10 - 9
3:19,Lavoy Allen enters the game for Thaddeus Young,10 - 9
3:11,Monta Ellis makes 17-foot two point shot,10 - 11
2:50,Bismack Biyombo makes jumper (Serge Ibaka assists),12 - 11
2:21,Paul George  misses 17-foot jumper,12 - 11
2:20,Serge Ibaka defensive rebound,12 - 11
2:13,Elfrid Payton makes driving layup,14 - 11
2:08,Pacers Full timeout,14 - 11
2:08,C.J. Miles enters the game for Monta Ellis,14 - 11
1:55,Paul George makes driving layup (Jeff Teague assists),14 - 13
1:31,Evan Fournier makes 28-foot  three point jumper  (Serge Ibaka assists),17 - 13
