time,play,score
12:00,Bismack Biyombo vs. Andre Drummond (Tobias Harris gains possession),0 - 0
11:38,Tobias Harris  misses 7-foot jumper,0 - 0
11:37,Andre Drummond offensive rebound,0 - 0
11:26,Reggie Jackson makes 25-foot  three point jumper,0 - 3
11:11,Aaron Gordon makes two point shot (Serge Ibaka assists),2 - 3
11:11,Marcus Morris shooting foul  (Aaron Gordon draws the foul),2 - 3
11:11,Aaron Gordon makes free throw 1 of 1,3 - 3
10:59,Marcus Morris makes 26-foot  three point jumper  (Andre Drummond assists),3 - 6
10:36,Andre Drummond blocks Evan Fournier 's 7-foot  shot,3 - 6
10:34,Marcus Morris defensive rebound,3 - 6
10:22,Reggie Jackson  misses driving layup,3 - 6
10:21,Aaron Gordon defensive rebound,3 - 6
10:15,Aaron Gordon  misses 6-foot jumper,3 - 6
10:15,Tobias Harris defensive rebound,3 - 6
10:00,Kentavious Caldwell-Pope  misses 8-foot jump bank shot,3 - 6
9:59,Bismack Biyombo defensive rebound,3 - 6
9:47,Bismack Biyombo  misses layup,3 - 6
9:45,Andre Drummond defensive rebound,3 - 6
9:37,Andre Drummond  misses 6-foot hook shot,3 - 6
9:36,Serge Ibaka defensive rebound,3 - 6
9:23,Serge Ibaka makes  three point jumper  (D.J. Augustin assists),6 - 6
9:00,Andre Drummond  misses 8-foot hook shot,6 - 6
8:59,Serge Ibaka defensive rebound,6 - 6
8:47,D.J. Augustin  bad pass (Andre Drummond steals),6 - 6
8:41,Reggie Jackson  misses 25-foot three point jumper,6 - 6
8:41,Serge Ibaka defensive rebound,6 - 6
8:22,D.J. Augustin makes driving layup,8 - 6
7:58,Marcus Morris makes 18-foot two point shot,8 - 8
7:37,Aaron Gordon makes 15-foot two point shot,10 - 8
7:18,Reggie Jackson  misses two point shot,10 - 8
7:16,Andre Drummond offensive rebound,10 - 8
7:13,Andre Drummond makes tip shot,10 - 10
7:00,Evan Fournier  misses layup,10 - 10
6:58,Andre Drummond defensive rebound,10 - 10
6:50,Marcus Morris makes 26-foot  three point jumper  (Reggie Jackson assists),10 - 13
6:31,Aaron Gordon  misses 26-foot three point jumper,10 - 13
6:30,Kentavious Caldwell-Pope defensive rebound,10 - 13
6:20,Marcus Morris makes 23-foot  three point jumper  (Tobias Harris assists),10 - 16
6:09,Magic Full timeout,10 - 16
6:09,Jon Leuer enters the game for Tobias Harris,10 - 16
6:09,Ish Smith enters the game for Reggie Jackson,10 - 16
5:46,Serge Ibaka makes 6-foot two point shot,12 - 16
5:28,Marcus Morris makes 23-foot  three point jumper  (Kentavious Caldwell-Pope assists),12 - 19
5:07,Serge Ibaka makes 10-foot two point shot (Evan Fournier assists),14 - 19
4:48,Jon Leuer makes 10-foot two point shot (Kentavious Caldwell-Pope assists),14 - 21
4:26,D.J. Augustin  misses 25-foot three point jumper,14 - 21
4:26,Kentavious Caldwell-Pope defensive rebound,14 - 21
4:16,Andre Drummond makes dunk (Ish Smith assists),14 - 23
4:09,Magic 20 Sec. timeout,14 - 23
4:09,Nikola Vucevic enters the game for Bismack Biyombo,14 - 23
4:09,Elfrid Payton enters the game for D.J. Augustin,14 - 23
4:01,Kentavious Caldwell-Pope shooting foul  (Evan Fournier draws the foul),14 - 23
4:01,Evan Fournier makes free throw 1 of 2,15 - 23
4:01,Evan Fournier makes free throw 2 of 2,16 - 23
3:42,Andre Drummond  misses 4-foot jumper,16 - 23
3:42,Andre Drummond offensive rebound,16 - 23
3:38,Andre Drummond  bad pass (Serge Ibaka steals),16 - 23
3:12,Evan Fournier  misses 26-foot three point jumper,16 - 23
3:12,Andre Drummond defensive rebound,16 - 23
3:04,Ish Smith makes driving layup,16 - 25
2:50,Elfrid Payton makes driving layup,18 - 25
2:30,Kentavious Caldwell-Pope makes two point shot (Andre Drummond assists),18 - 27
2:14,Kentavious Caldwell-Pope shooting foul  (Serge Ibaka draws the foul),18 - 27
2:14,Pistons Full timeout,18 - 27
2:14,Jeff Green enters the game for Aaron Gordon,18 - 27
2:14,Aron Baynes enters the game for Andre Drummond,18 - 27
