time,play,score
12:00,Nikola Vucevic vs. Jonas Valanciunas (DeMarre Carroll gains possession),0 - 0
11:34,Jonas Valanciunas  misses layup,0 - 0
11:34,Patrick Patterson offensive rebound,0 - 0
11:32,Patrick Patterson  misses 2-foot,0 - 0
11:32,Elfrid Payton defensive rebound,0 - 0
11:26,Elfrid Payton makes two point shot,2 - 0
11:15,Nikola Vucevic personal foul  (Jonas Valanciunas draws the foul),2 - 0
11:10,Jonas Valanciunas makes 16-foot jumper,2 - 2
10:55,Aaron Gordon  misses 4-foot jumper,2 - 2
10:49,Aaron Gordon makes tip shot,4 - 2
10:49,Aaron Gordon offensive rebound,2 - 2
10:45,DeMarre Carroll makes layup (Kyle Lowry assists),4 - 4
10:38,Elfrid Payton  misses two point shot,4 - 4
10:38,Patrick Patterson defensive rebound,4 - 4
10:32,Kyle Lowry makes driving layup,4 - 6
10:12,Nikola Vucevic makes 14-foot jumper,6 - 6
9:53,Jonas Valanciunas makes layup (Kyle Lowry assists),6 - 8
9:41,Nikola Vucevic makes 19-foot jumper,8 - 8
9:33,Kyle Lowry  bad pass (C.J. Watson steals),8 - 8
9:26,C.J. Watson makes 21-foot Running Pullup Jump Shot (Elfrid Payton assists),10 - 8
9:07,Aaron Gordon shooting foul  (DeMar DeRozan draws the foul),10 - 8
9:07,DeMar DeRozan makes free throw 1 of 2,10 - 9
9:07,DeMar DeRozan misses free throw 2 of 2,10 - 9
9:07,Nikola Vucevic defensive rebound,10 - 9
8:57,Serge Ibaka  misses 25-foot three point jumper,10 - 9
8:57,Jonas Valanciunas defensive rebound,10 - 9
8:48,DeMarre Carroll  misses 23-foot three point jumper,10 - 9
8:47,Patrick Patterson offensive rebound,10 - 9
8:33,DeMarre Carroll makes layup (DeMar DeRozan assists),10 - 11
8:33,Magic Full timeout,10 - 11
8:12,Nikola Vucevic makes 21-foot jumper (Elfrid Payton assists),12 - 11
7:48,Jonas Valanciunas makes 11-foot two point shot,12 - 13
7:28,Elfrid Payton  misses Driving Floating Jump Shot,12 - 13
7:28,Nikola Vucevic offensive rebound,12 - 13
7:24,Nikola Vucevic  misses 4-foot,12 - 13
7:24,Serge Ibaka offensive rebound,12 - 13
7:22,Serge Ibaka makes tip shot,14 - 13
7:11,Kyle Lowry makes two point shot,14 - 15
6:56,Nikola Vucevic makes 15-foot two point shot (C.J. Watson assists),16 - 15
6:37,Patrick Patterson makes  three point jumper  (Jonas Valanciunas assists),16 - 18
6:20,Serge Ibaka  misses 20-foot jumper,16 - 18
6:20,Kyle Lowry defensive rebound,16 - 18
6:13,DeMarre Carroll  misses Running Pullup Jump Shot,16 - 18
6:11,Magic defensive team rebound,16 - 18
6:05,Jonas Valanciunas personal foul  (Nikola Vucevic draws the foul),16 - 18
5:56,Nikola Vucevic  misses 15-foot,16 - 18
5:56,DeMar DeRozan defensive rebound,16 - 18
5:30,shot clock turnover,16 - 18
5:11,Aaron Gordon  misses 25-foot three point jumper,16 - 18
5:11,Patrick Patterson defensive rebound,16 - 18
5:01,DeMar DeRozan  misses,16 - 18
5:01,DeMar DeRozan offensive rebound,16 - 18
4:58,Aaron Gordon shooting foul  (Patrick Patterson draws the foul),16 - 18
4:58,Patrick Patterson makes free throw 1 of 2,16 - 19
4:58,Cory Joseph enters the game for Kyle Lowry,16 - 19
4:58,Jeff Green enters the game for Aaron Gordon,16 - 19
4:58,Patrick Patterson makes free throw 2 of 2,16 - 20
4:41,Elfrid Payton  misses 26-foot three point jumper,16 - 20
4:39,DeMarre Carroll defensive rebound,16 - 20
4:24,Cory Joseph makes  three point jumper  (Jonas Valanciunas assists),16 - 23
4:05,Nikola Vucevic makes 25-foot  three point jumper  (Elfrid Payton assists),19 - 23
3:48,Jonas Valanciunas 3 second turnover,19 - 23
3:48,D.J. Augustin enters the game for C.J. Watson,19 - 23
3:48,Pascal Siakam enters the game for Patrick Patterson,19 - 23
3:41,Elfrid Payton makes two point shot,21 - 23
3:28,DeMarre Carroll  misses 23-foot three point jumper,21 - 23
3:27,Nikola Vucevic defensive rebound,21 - 23
3:20,D.J. Augustin  bad pass (DeMarre Carroll steals),21 - 23
3:15,DeMarre Carroll  traveling,21 - 23
3:15,Damjan Rudez enters the game for Serge Ibaka,21 - 23
2:56,Jeff Green makes 19-foot two point shot,23 - 23
2:49,Raptors Full timeout,23 - 23
2:49,Terrence Ross enters the game for DeMarre Carroll,23 - 23
2:49,Lucas Nogueira enters the game for Jonas Valanciunas,23 - 23
2:34,Terrence Ross makes 25-foot  three point jumper  (DeMar DeRozan assists),23 - 26
2:18,D.J. Augustin makes driving layup,25 - 26
1:55,Pascal Siakam makes 2-foot two point shot (DeMar DeRozan assists),25 - 28
1:38,Pascal Siakam blocks Nikola Vucevic 's 3-foot  shot,25 - 28
1:37,DeMar DeRozan defensive rebound,25 - 28
1:25,DeMar DeRozan makes 20-foot two point shot,25 - 30
1:24,Magic 20 Sec. timeout,25 - 30
1:24,Kyle Lowry enters the game for DeMar DeRozan,25 - 30
1:24,Bismack Biyombo enters the game for Nikola Vucevic,25 - 30
1:07,Lucas Nogueira blocks Bismack Biyombo's  shot,25 - 30
1:07,Kyle Lowry defensive rebound,25 - 30
1:00,Terrence Ross  misses 24-foot three point jumper,25 - 30
59.0,Kyle Lowry offensive rebound,25 - 30
58.0,Bismack Biyombo shooting foul  (Kyle Lowry draws the foul),25 - 30
58.0,Kyle Lowry makes free throw 1 of 2,25 - 31
58.0,Kyle Lowry makes free throw 2 of 2,25 - 32
50.0,Jeff Green  lost ball turnover (Lucas Nogueira steals),25 - 32
45.0,Cory Joseph  misses two point shot,25 - 32
45.0,Lucas Nogueira offensive rebound,25 - 32
43.0,Lucas Nogueira makes dunk,25 - 34
23.0,Jeff Green makes 21-foot two point shot,27 - 34
0.0,Lucas Nogueira makes 2-foot two point shot (Kyle Lowry assists),27 - 36
0.0,End of the 1st Quarter,27 - 36
11:38,Bismack Biyombo  traveling,27 - 36
11:26,Kyle Lowry Out-of-Bounds Bad Pass Turnover,27 - 36
11:08,D.J. Augustin makes 6-foot two point shot,29 - 36
10:49,Terrence Ross makes 7-foot two point shot,29 - 38
10:30,Damjan Rudez makes 25-foot  three point jumper  (Jeff Green assists),32 - 38
10:18,Kyle Lowry  misses three point jumper,32 - 38
10:18,Damjan Rudez defensive rebound,32 - 38
10:14,Lucas Nogueira personal foul  (Bismack Biyombo draws the foul),32 - 38
10:00,D.J. Augustin makes 20-foot two point shot,34 - 38
9:41,Kyle Lowry makes 25-foot  three point jumper  (Terrence Ross assists),34 - 41
9:29,Patrick Patterson shooting foul  (Jeff Green draws the foul),34 - 41
9:29,Jeff Green misses free throw 1 of 2,34 - 41
9:29,Magic offensive team rebound,34 - 41
9:29,Jeff Green makes free throw 2 of 2,35 - 41
9:11,Cory Joseph  misses Driving Floating Jump Shot,35 - 41
9:11,Bismack Biyombo defensive rebound,35 - 41
9:00,Damjan Rudez  misses 18-foot two point jumper,35 - 41
8:59,Lucas Nogueira defensive rebound,35 - 41
8:47,Kyle Lowry makes driving layup,35 - 43
8:26,C.J. Watson makes 2-foot layup (Damjan Rudez assists),37 - 43
8:14,Kyle Lowry  bad pass (Jeff Green steals),37 - 43
8:06,C.J. Watson  bad pass (Terrence Ross steals),37 - 43
8:02,Terrence Ross  lost ball turnover (Jeff Green steals),37 - 43
7:56,Lucas Nogueira shooting foul  (D.J. Augustin draws the foul),37 - 43
7:56,Official timeout,37 - 43
7:56,Serge Ibaka enters the game for Damjan Rudez,37 - 43
7:56,D.J. Augustin makes free throw 1 of 2,38 - 43
7:56,D.J. Augustin makes free throw 2 of 2,39 - 43
7:31,Cory Joseph  misses 24-foot three point jumper,39 - 43
7:30,Cory Joseph offensive rebound,39 - 43
7:20,Terrence Ross makes 25-foot  three point jumper  (Kyle Lowry assists),39 - 46
7:09,Lucas Nogueira personal foul  (D.J. Augustin draws the foul),39 - 46
7:09,Norman Powell enters the game for Cory Joseph,39 - 46
7:09,Jonas Valanciunas enters the game for Lucas Nogueira,39 - 46
7:09,Pascal Siakam enters the game for Patrick Patterson,39 - 46
7:01,D.J. Augustin  misses 17-foot two point jumper,39 - 46
7:01,Jonas Valanciunas defensive rebound,39 - 46
6:52,Pascal Siakam makes layup (Kyle Lowry assists),39 - 48
6:37,C.J. Watson  misses 18-foot two point jumper,39 - 48
6:37,Jonas Valanciunas defensive rebound,39 - 48
6:33,Jeff Green loose ball foul  (Pascal Siakam draws the foul),39 - 48
6:33,DeMar DeRozan enters the game for Terrence Ross,39 - 48
6:33,Aaron Gordon enters the game for Jeff Green,39 - 48
6:20,Pascal Siakam  misses,39 - 48
6:20,Jonas Valanciunas offensive rebound,39 - 48
6:20,C.J. Watson shooting foul  (Jonas Valanciunas draws the foul),39 - 48
6:20,Jonas Valanciunas makes free throw 1 of 2,39 - 49
6:20,Jonas Valanciunas misses free throw 2 of 2,39 - 49
6:20,Bismack Biyombo defensive rebound,39 - 49
6:11,Pascal Siakam personal foul  (Bismack Biyombo draws the foul),39 - 49
6:11,Bismack Biyombo misses free throw 1 of 2,39 - 49
6:11,Magic offensive team rebound,39 - 49
6:11,Bismack Biyombo misses free throw 2 of 2,39 - 49
6:11,Norman Powell defensive rebound,39 - 49
5:45,shot clock turnover,39 - 49
5:45,Raptors Full timeout,39 - 49
5:45,Elfrid Payton enters the game for D.J. Augustin,39 - 49
5:45,Nikola Vucevic enters the game for Bismack Biyombo,39 - 49
5:24,C.J. Watson  misses 24-foot three point jumper,39 - 49
5:24,Nikola Vucevic offensive rebound,39 - 49
5:05,Serge Ibaka makes 11-foot two point shot,41 - 49
4:46,Jonas Valanciunas  misses 12-foot jumper,41 - 49
4:45,Serge Ibaka defensive rebound,41 - 49
4:33,Elfrid Payton makes layup (Nikola Vucevic assists),43 - 49
4:09,Kyle Lowry  misses driving layup,43 - 49
4:09,Serge Ibaka defensive rebound,43 - 49
4:03,Nikola Vucevic makes two point shot (Elfrid Payton assists),45 - 49
3:57,Raptors 20 Sec. timeout,45 - 49
3:57,DeMarre Carroll enters the game for Kyle Lowry,45 - 49
3:57,Cory Joseph enters the game for Norman Powell,45 - 49
3:41,DeMar DeRozan  misses,45 - 49
