time,play,score
12:00,Nikola Vucevic vs. Clint Capela (Serge Ibaka gains possession),0 - 0
11:33,Elfrid Payton  misses 24-foot three point jumper,0 - 0
11:33,Patrick Beverley defensive rebound,0 - 0
11:18,Elfrid Payton shooting foul  (Clint Capela draws the foul),0 - 0
11:18,Clint Capela misses free throw 1 of 2,0 - 0
11:18,Rockets offensive team rebound,0 - 0
11:18,Clint Capela misses free throw 2 of 2,0 - 0
11:18,Serge Ibaka defensive rebound,0 - 0
11:07,Serge Ibaka  bad pass (James Harden steals),0 - 0
11:03,Trevor Ariza  misses 21-foot jumper,0 - 0
11:00,Clint Capela offensive rebound,0 - 0
10:52,Clint Capela  misses layup,0 - 0
10:52,Nikola Vucevic defensive rebound,0 - 0
10:45,Serge Ibaka makes layup (Evan Fournier assists),2 - 0
10:26,Clint Capela makes 3-foot jumper (Patrick Beverley assists),2 - 2
10:10,Serge Ibaka  misses 25-foot three point jumper,2 - 2
10:07,Nikola Vucevic offensive rebound,2 - 2
10:03,Evan Fournier  misses 24-foot three point jumper,2 - 2
10:03,Patrick Beverley defensive rebound,2 - 2
9:49,Clint Capela makes two point shot (James Harden assists),2 - 4
9:30,Evan Fournier makes 24-foot  three point jumper  (Nikola Vucevic assists),5 - 4
9:21,Serge Ibaka shooting foul  (Trevor Ariza draws the foul),5 - 4
9:21,Trevor Ariza makes free throw 1 of 3,5 - 5
9:21,Trevor Ariza misses free throw 2 of 3,5 - 5
9:21,Rockets offensive team rebound,5 - 5
9:21,Trevor Ariza makes free throw 3 of 3,5 - 6
9:07,Nikola Vucevic makes 9-foot two point shot,7 - 6
8:56,Patrick Beverley  misses driving layup,7 - 6
8:56,Nikola Vucevic defensive rebound,7 - 6
8:48,Evan Fournier  misses 24-foot three point jumper,7 - 6
8:47,Clint Capela defensive rebound,7 - 6
8:37,James Harden  misses 26-foot three point pullup jump shot,7 - 6
8:37,Ryan Anderson offensive rebound,7 - 6
8:37,Ryan Anderson  misses putback,7 - 6
8:36,Nikola Vucevic defensive rebound,7 - 6
8:29,Serge Ibaka makes 6-foot two point shot (Elfrid Payton assists),9 - 6
8:10,Ryan Anderson  misses 9-foot two point shot,9 - 6
8:08,Serge Ibaka defensive rebound,9 - 6
7:50,Aaron Gordon makes 25-foot  three point jumper  (Nikola Vucevic assists),12 - 6
7:33,Patrick Beverley  bad pass (Elfrid Payton steals),12 - 6
