time,play,score
12:00,Nikola Vucevic vs. Zaza Pachulia (Aaron Gordon gains possession),0 - 0
11:41,Patrick McCaw shooting foul  (Aaron Gordon draws the foul),0 - 0
11:41,Aaron Gordon misses free throw 1 of 2,0 - 0
11:41,Magic offensive team rebound,0 - 0
11:41,Aaron Gordon misses free throw 2 of 2,0 - 0
11:41,Draymond Green defensive rebound,0 - 0
11:22,Klay Thompson makes 24-foot  three point jumper  (Zaza Pachulia assists),0 - 3
11:11,Nikola Vucevic  misses 17-foot jumper,0 - 3
11:11,Stephen Curry defensive rebound,0 - 3
11:03,Zaza Pachulia makes driving dunk (Stephen Curry assists),0 - 5
10:49,Elfrid Payton  misses layup,0 - 5
10:48,Elfrid Payton offensive rebound,0 - 5
10:47,Elfrid Payton makes layup,2 - 5
10:38,Klay Thompson  misses 9-foot turnaround jumper,2 - 5
10:37,Nikola Vucevic defensive rebound,2 - 5
10:30,Elfrid Payton  bad pass (Draymond Green steals),2 - 5
10:30,Elfrid Payton personal foul  (Stephen Curry draws the foul),2 - 5
10:30,Ian Clark enters the game for Stephen Curry,2 - 5
10:15,Klay Thompson makes  step back jumpshot  (Draymond Green assists),2 - 8
9:52,Evan Fournier  misses 27-foot three point jumper,2 - 8
9:52,Draymond Green defensive rebound,2 - 8
9:44,Draymond Green  misses 27-foot three point jumper,2 - 8
9:42,Elfrid Payton defensive rebound,2 - 8
9:32,Aaron Gordon  misses 15-foot jumper,2 - 8
9:30,Zaza Pachulia defensive rebound,2 - 8
9:23,Draymond Green Out-of-Bounds Bad Pass Turnover,2 - 8
9:10,Evan Fournier  misses 26-foot three point jumper,2 - 8
9:08,Draymond Green defensive rebound,2 - 8
8:52,Klay Thompson makes 10-foot jumper (Draymond Green assists),2 - 10
8:52,Magic Full timeout,2 - 10
8:37,Elfrid Payton Out-of-Bounds Bad Pass Turnover,2 - 10
8:18,Ian Clark makes 19-foot two point shot,2 - 12
8:00,Aaron Gordon  misses 26-foot three point jumper,2 - 12
8:00,Nikola Vucevic offensive rebound,2 - 12
7:54,Elfrid Payton  misses 4-foot jumper,2 - 12
7:52,Magic offensive team rebound,2 - 12
7:43,Nikola Vucevic  misses 12-foot two point shot,2 - 12
7:41,Aaron Gordon offensive rebound,2 - 12
7:39,Aaron Gordon  misses,2 - 12
7:37,Aaron Gordon offensive rebound,4 - 12
7:37,Aaron Gordon makes layup,4 - 12
7:31,Stephen Curry enters the game for Ian Clark,4 - 12
7:28,Klay Thompson makes 2-foot layup (Stephen Curry assists),4 - 14
7:13,Evan Fournier  bad pass (Patrick McCaw steals),4 - 14
7:13,Evan Fournier personal foul  (Patrick McCaw draws the foul),4 - 14
