time,play,score
12:00,Bismack Biyombo vs. Marcin Gortat (D.J. Augustin gains possession),0 - 0
11:32,Serge Ibaka makes 20-foot two point shot,2 - 0
11:12,Otto Porter Jr.  misses 26-foot three point jumper,2 - 0
11:11,Serge Ibaka defensive rebound,2 - 0
11:00,D.J. Augustin makes 6-foot two point shot,4 - 0
11:00,John Wall shooting foul  (D.J. Augustin draws the foul),4 - 0
11:00,D.J. Augustin makes free throw 1 of 1,5 - 0
10:51,Marcin Gortat  misses,5 - 0
10:48,Bismack Biyombo defensive rebound,5 - 0
10:30,Serge Ibaka  misses 5-foot jumper,5 - 0
10:29,Marcin Gortat defensive rebound,5 - 0
10:18,Markieff Morris  misses 11-foot jumper,5 - 0
10:17,Marcin Gortat offensive rebound,5 - 0
10:15,Marcin Gortat  misses 8-foot jumper,5 - 0
10:14,Aaron Gordon defensive rebound,5 - 0
10:04,Bismack Biyombo makes 6-foot two point shot (Aaron Gordon assists),7 - 0
9:49,Otto Porter Jr. makes 19-foot two point shot (John Wall assists),7 - 2
9:29,Evan Fournier  misses 19-foot jumper,7 - 2
9:27,Markieff Morris defensive rebound,7 - 2
9:19,John Wall makes 19-foot two point shot,7 - 4
8:56,Serge Ibaka makes 16-foot jumper,9 - 4
8:48,John Wall  bad pass,9 - 4
8:23,Serge Ibaka  misses 17-foot jumper,9 - 4
8:23,Magic offensive team rebound,9 - 4
8:23,shot clock turnover,9 - 4
8:11,Aaron Gordon blocks Markieff Morris 's 2-foot  layup,9 - 4
8:11,D.J. Augustin defensive rebound,9 - 4
8:06,Evan Fournier  misses 26-foot three point jumper,9 - 4
8:03,Marcin Gortat defensive rebound,9 - 4
7:58,John Wall  misses 17-foot jumper,9 - 4
7:56,Aaron Gordon defensive rebound,9 - 4
7:47,Aaron Gordon  misses 10-foot hook shot,9 - 4
7:46,Marcin Gortat defensive rebound,9 - 4
7:39,Marcin Gortat makes two point shot (John Wall assists),9 - 6
7:22,Evan Fournier  bad pass (Marcin Gortat steals),9 - 6
7:16,Bradley Beal  misses 6-foot jumper,9 - 6
7:15,Markieff Morris offensive rebound,9 - 6
7:13,Markieff Morris  misses jumper,9 - 6
7:13,Aaron Gordon defensive rebound,9 - 6
7:09,D.J. Augustin  misses 26-foot three point jumper,9 - 6
7:05,Otto Porter Jr. defensive rebound,9 - 6
7:00,Marcin Gortat makes two point shot (John Wall assists),9 - 8
6:43,D.J. Augustin  misses 24-foot three point jumper,9 - 8
6:43,Marcin Gortat defensive rebound,9 - 8
6:28,Bismack Biyombo blocks Marcin Gortat's  layup,9 - 8
6:26,Magic defensive team rebound,9 - 8
6:24,Magic Full timeout,9 - 8
6:09,Aaron Gordon  misses 19-foot jumper,9 - 8
6:09,Marcin Gortat defensive rebound,9 - 8
5:58,John Wall makes 1-foot two point shot,9 - 10
5:45,Serge Ibaka  misses jumper,9 - 10
5:43,Markieff Morris defensive rebound,9 - 10
5:39,Serge Ibaka blocks John Wall's  layup,9 - 10
5:37,Markieff Morris offensive rebound,9 - 10
5:35,Markieff Morris makes tip shot,9 - 12
5:20,Aaron Gordon makes 11-foot two point shot,11 - 12
4:56,Bismack Biyombo personal foul  (Bradley Beal draws the foul),11 - 12
4:56,Andrew Nicholson enters the game for Markieff Morris,11 - 12
4:56,Nikola Vucevic enters the game for Bismack Biyombo,11 - 12
4:56,Elfrid Payton enters the game for D.J. Augustin,11 - 12
4:56,Evan Fournier shooting foul  (Bradley Beal draws the foul),11 - 12
4:56,Bradley Beal misses free throw 1 of 2,11 - 12
4:56,Wizards offensive team rebound,11 - 12
4:56,Bradley Beal makes free throw 2 of 2,11 - 13
4:43,Serge Ibaka  misses 19-foot jumper,11 - 13
4:43,John Wall defensive rebound,11 - 13
4:39,Andrew Nicholson  out of bounds lost ball turnover,11 - 13
4:24,Serge Ibaka  out of bounds lost ball turnover,11 - 13
4:11,John Wall makes two point shot,11 - 15
3:55,Elfrid Payton makes 23-foot  three point jumper  (Nikola Vucevic assists),14 - 15
3:38,Marcin Gortat  misses 7-foot jumper,14 - 15
3:36,Aaron Gordon defensive rebound,14 - 15
3:25,Elfrid Payton makes 5-foot jumper,16 - 15
3:14,Bradley Beal  misses 20-foot jumper,16 - 15
3:13,Nikola Vucevic defensive rebound,16 - 15
2:54,Elfrid Payton makes 26-foot  three point jumper  (Serge Ibaka assists),19 - 15
2:53,Wizards Full timeout,19 - 15
2:53,Marcus Thornton enters the game for Bradley Beal,19 - 15
2:53,Jeff Green enters the game for Aaron Gordon,19 - 15
2:40,John Wall makes 3-foot two point shot,19 - 17
2:19,Evan Fournier makes two point shot,21 - 17
2:00,Marcin Gortat makes 6-foot two point shot,21 - 19
2:00,Nikola Vucevic shooting foul  (Marcin Gortat draws the foul),21 - 19
2:00,Marcin Gortat misses free throw 1 of 1,21 - 19
