time,play,score
12:00,Nerlens Noel vs. Brandan Wright (Mike Conley gains possession),0 - 0
11:36,Brandan Wright  misses 8-foot hook shot,0 - 0
11:33,Dirk Nowitzki defensive rebound,0 - 0
11:14,Harrison Barnes  misses 14-foot jumper,0 - 0
11:14,Mike Conley defensive rebound,0 - 0
11:00,Vince Carter  misses 25-foot three point jumper,0 - 0
11:00,Dirk Nowitzki defensive rebound,0 - 0
10:41,Wesley Matthews  lost ball turnover (Vince Carter steals),0 - 0
10:41,Seth Curry personal take foul  (Vince Carter draws the foul),0 - 0
10:26,Mike Conley makes 19-foot jumper (James Ennis III assists),0 - 2
10:07,Brandan Wright blocks Dirk Nowitzki's  layup,0 - 2
10:07,Mike Conley defensive rebound,0 - 2
9:52,Mike Conley  misses 19-foot jumper,0 - 2
9:52,Dirk Nowitzki defensive rebound,0 - 2
9:41,Seth Curry makes 25-foot  three point jumper  (Dirk Nowitzki assists),3 - 2
9:27,Seth Curry shooting foul  (Mike Conley draws the foul),3 - 2
9:27,Mike Conley makes free throw 1 of 2,3 - 3
9:27,Yogi Ferrell enters the game for Seth Curry,3 - 3
9:27,Mike Conley makes free throw 2 of 2,3 - 4
9:06,Wesley Matthews  misses 15-foot step back jumpshot,3 - 4
9:03,Vince Carter defensive rebound,3 - 4
8:56,Brandan Wright makes dunk (Vince Carter assists),3 - 6
8:33,Dirk Nowitzki  misses 10-foot,3 - 6
8:30,Mavericks offensive team rebound,3 - 6
8:30,shot clock turnover,3 - 6
8:12,Tony Allen  misses 5-foot two point shot,3 - 6
8:11,Nerlens Noel defensive rebound,3 - 6
8:07,Nerlens Noel offensive foul  (Mike Conley draws the foul),3 - 6
8:07,Nerlens Noel  turnover,3 - 6
7:54,James Ennis III makes 26-foot  three point jumper  (Mike Conley assists),3 - 9
7:39,Yogi Ferrell  misses 15-foot jumper,3 - 9
7:39,James Ennis III defensive rebound,3 - 9
7:22,Mike Conley  misses 14-foot two point shot,3 - 9
7:20,Brandan Wright offensive rebound,3 - 9
7:05,Mike Conley makes driving layup,3 - 11
7:05,Mavericks Full timeout,3 - 11
6:41,Dirk Nowitzki  misses 26-foot three point jumper,3 - 11
6:41,James Ennis III defensive rebound,3 - 11
6:20,Vince Carter  misses 28-foot three point jumper,3 - 11
6:20,Tony Allen offensive rebound,3 - 11
6:05,Mike Conley makes 25-foot  three point jumper  (Vince Carter assists),3 - 14
5:54,Dirk Nowitzki makes two point shot (Wesley Matthews assists),5 - 14
5:39,Mike Conley Out-of-Bounds Bad Pass Turnover,5 - 14
5:39,Salah Mejri enters the game for Nerlens Noel,5 - 14
5:39,Devin Harris enters the game for Dirk Nowitzki,5 - 14
5:24,Yogi Ferrell  misses 25-foot three point jumper,5 - 14
5:24,Brandan Wright defensive rebound,5 - 14
5:05,Vince Carter  misses 6-foot two point shot,5 - 14
5:05,Salah Mejri defensive rebound,5 - 14
4:52,Salah Mejri makes 2-foot layup (Wesley Matthews assists),7 - 14
4:43,Grizzlies Full timeout,7 - 14
4:43,Zach Randolph enters the game for Vince Carter,7 - 14
4:43,Troy Daniels enters the game for Tony Allen,7 - 14
4:33,Troy Daniels  misses 25-foot three point jumper,7 - 14
4:33,Wesley Matthews defensive rebound,7 - 14
4:18,Harrison Barnes  misses 18-foot step back jumpshot,7 - 14
4:16,Zach Randolph defensive rebound,7 - 14
4:11,Salah Mejri shooting foul  (Brandan Wright draws the foul),7 - 14
4:11,Brandan Wright makes free throw 1 of 2,7 - 15
4:11,Brandan Wright makes free throw 2 of 2,7 - 16
3:58,Brandan Wright blocks Harrison Barnes's  shot,7 - 16
3:57,Harrison Barnes offensive rebound,7 - 16
3:50,Wesley Matthews makes 25-foot  three point jumper  (Yogi Ferrell assists),10 - 16
3:31,Mike Conley  misses 25-foot three point jumper,10 - 16
3:30,Salah Mejri defensive rebound,10 - 16
3:08,Harrison Barnes  misses 25-foot three point jumper,10 - 16
3:08,James Ennis III defensive rebound,10 - 16
3:06,Salah Mejri loose ball foul  (James Ennis III draws the foul),10 - 16
3:06,Wade Baldwin IV enters the game for Mike Conley,10 - 16
3:06,Nerlens Noel enters the game for Salah Mejri,10 - 16
3:06,Dorian Finney-Smith enters the game for Wesley Matthews,10 - 16
3:06,J.J. Barea enters the game for Yogi Ferrell,10 - 16
2:50,Troy Daniels steps out of bounds turnover,10 - 16
2:33,Devin Harris  misses 25-foot three point jumper,10 - 16
2:33,Zach Randolph defensive rebound,10 - 16
2:24,James Ennis III  misses driving layup,10 - 16
2:23,James Ennis III  misses,10 - 16
2:23,James Ennis III offensive rebound,10 - 16
2:19,Devin Harris defensive rebound,10 - 16
2:15,Zach Randolph shooting foul  (Nerlens Noel draws the foul),10 - 16
2:15,Nerlens Noel makes free throw 1 of 2,11 - 16
2:15,Wayne Selden enters the game for James Ennis III,11 - 16
2:15,Deyonta Davis enters the game for Brandan Wright,11 - 16
2:15,Nerlens Noel makes free throw 2 of 2,12 - 16
2:05,Troy Daniels makes 26-foot  three point jumper  (Wade Baldwin IV assists),12 - 19
1:47,Wade Baldwin IV personal foul  (Nerlens Noel draws the foul),12 - 19
1:47,Dirk Nowitzki enters the game for Harrison Barnes,12 - 19
1:47,Nicolas Brussino enters the game for Nerlens Noel,12 - 19
1:44,Wade Baldwin IV personal foul  (J.J. Barea draws the foul),12 - 19
1:44,J.J. Barea misses free throw 1 of 2,12 - 19
1:44,Mavericks offensive team rebound,12 - 19
1:44,J.J. Barea makes free throw 2 of 2,13 - 19
1:28,Wayne Selden  bad pass (Devin Harris steals),13 - 19
1:24,Devin Harris makes two point shot,15 - 19
1:14,Wade Baldwin IV  traveling,15 - 19
1:04,Dirk Nowitzki makes 18-foot jumper (J.J. Barea assists),17 - 19
57.0,Grizzlies 20 Sec. timeout,17 - 19
46.0,Zach Randolph makes 8-foot two point shot,17 - 21
41.0,Deyonta Davis shooting foul  (Devin Harris draws the foul),18 - 21
41.0,Devin Harris makes free throw 1 of 2,18 - 21
41.0,Devin Harris makes free throw 2 of 2,19 - 21
