time,play,score
12:00,Andrew Bogut vs. Rudy Gobert (Dirk Nowitzki gains possession),0 - 0
11:42,Dirk Nowitzki  misses 20-foot jumper,0 - 0
11:41,Rudy Gobert defensive rebound,0 - 0
11:23,George Hill makes  three point jumper  (Joe Johnson assists),0 - 3
10:59,Deron Williams  misses 24-foot three point jumper,0 - 3
10:59,Rudy Gobert defensive rebound,0 - 3
10:45,Derrick Favors  misses jumper,0 - 3
10:45,Mavericks defensive team rebound,0 - 3
10:45,Rudy Gobert loose ball foul  (Dirk Nowitzki draws the foul),0 - 3
10:27,Harrison Barnes  misses step back jumpshot,0 - 3
10:26,Rodney Hood defensive rebound,0 - 3
10:15,Rodney Hood  misses 10-foot two point shot,0 - 3
10:14,Rudy Gobert offensive rebound,0 - 3
10:14,Rudy Gobert  misses 1-foot putback layup,0 - 3
10:11,Deron Williams defensive rebound,0 - 3
9:47,Harrison Barnes  misses 25-foot three point jumper,0 - 3
9:47,Rudy Gobert defensive rebound,0 - 3
9:36,George Hill  misses driving layup,0 - 3
9:36,Rudy Gobert offensive rebound,0 - 3
9:36,Dirk Nowitzki shooting foul  (Rudy Gobert draws the foul),0 - 3
9:36,Rudy Gobert misses free throw 1 of 2,0 - 3
9:36,Jazz offensive team rebound,0 - 3
9:36,Rudy Gobert makes free throw 2 of 2,0 - 4
9:22,Harrison Barnes makes 19-foot jumper (Wesley Matthews assists),2 - 4
9:07,Joe Johnson  misses 20-foot two point jumper,2 - 4
9:07,Andrew Bogut defensive rebound,2 - 4
8:52,Dirk Nowitzki  misses 18-foot jumper,2 - 4
8:52,Joe Johnson defensive rebound,2 - 4
8:33,Andrew Bogut blocks Derrick Favors's  layup,2 - 4
8:32,Rudy Gobert offensive rebound,2 - 4
8:26,George Hill  misses 25-foot three point jumper,2 - 4
8:26,Mavericks defensive team rebound,2 - 4
8:26,Rudy Gobert loose ball foul  (Andrew Bogut draws the foul),2 - 4
8:26,Trey Lyles enters the game for Rudy Gobert,2 - 4
8:14,Derrick Favors kicked ball violation,2 - 4
8:10,George Hill personal foul  (Harrison Barnes draws the foul),2 - 4
8:04,Andrew Bogut  bad pass (Joe Johnson steals),2 - 4
7:58,Rodney Hood  misses 23-foot three point jumper,2 - 4
7:58,Jazz offensive team rebound,2 - 4
7:58,Deron Williams loose ball foul  (Derrick Favors draws the foul),2 - 4
7:46,Joe Johnson makes 7-foot jumper,2 - 6
7:46,Harrison Barnes shooting foul  (Joe Johnson draws the foul),2 - 6
7:46,Joe Johnson makes free throw 1 of 1,2 - 7
7:28,Dirk Nowitzki makes driving layup,4 - 7
7:18,George Hill  bad pass (Andrew Bogut steals),4 - 7
6:58,Deron Williams  misses floating jumper,4 - 7
6:58,George Hill defensive rebound,4 - 7
6:47,Rodney Hood  misses driving floater,4 - 7
6:46,Rodney Hood offensive rebound,4 - 7
6:43,Rodney Hood makes two point shot,4 - 9
6:37,Mavericks Full timeout,4 - 9
6:37,J.J. Barea enters the game for Dirk Nowitzki,4 - 9
6:26,Harrison Barnes makes 21-foot jumper (Deron Williams assists),6 - 9
6:09,Harrison Barnes blocks Derrick Favors's  layup,6 - 9
6:09,Mavericks defensive team rebound,6 - 9
5:50,Wesley Matthews  misses 25-foot three point jumper,6 - 9
5:50,Derrick Favors defensive rebound,6 - 9
5:37,Joe Johnson  misses 21-foot jumper,6 - 9
5:35,Andrew Bogut defensive rebound,6 - 9
5:16,Deron Williams  misses 24-foot three point jumper,6 - 9
5:16,Trey Lyles defensive rebound,6 - 9
5:01,Rodney Hood makes 9-foot two point shot,6 - 11
4:39,J.J. Barea Out-of-Bounds Bad Pass Turnover,6 - 11
4:39,Jeff Withey enters the game for Derrick Favors,6 - 11
4:20,George Hill  misses 17-foot two point jumper,6 - 11
4:20,Andrew Bogut defensive rebound,6 - 11
4:07,Wesley Matthews makes 26-foot  three point jumper  (Harrison Barnes assists),9 - 11
3:39,Trey Lyles  misses floating jumper,9 - 11
3:39,Andrew Bogut defensive rebound,9 - 11
3:21,Harrison Barnes  bad pass (Jeff Withey steals),9 - 11
3:16,Rodney Hood offensive Charge  (J.J. Barea draws the foul),9 - 11
3:16,Rodney Hood  turnover,9 - 11
3:16,Joe Ingles enters the game for Joe Johnson,9 - 11
3:16,Seth Curry enters the game for Deron Williams,9 - 11
3:16,Salah Mejri enters the game for Andrew Bogut,9 - 11
