time,play,score
12:00,Dirk Nowitzki vs. Andre Drummond (Reggie Jackson gains possession),0 - 0
11:44,Reggie Jackson  misses 6-foot jumper,0 - 0
11:42,Andre Drummond offensive rebound,0 - 0
11:40,Andre Drummond  misses tip shot,0 - 0
11:37,Dirk Nowitzki defensive rebound,0 - 0
11:26,Harrison Barnes  misses 26-foot three point jumper,0 - 0
11:26,Andre Drummond defensive rebound,0 - 0
11:04,Andre Drummond  misses 8-foot hook shot,0 - 0
11:03,Dirk Nowitzki defensive rebound,0 - 0
10:56,Deron Williams offensive foul  (Marcus Morris draws the foul),0 - 0
10:56,Deron Williams  turnover,0 - 0
10:48,Reggie Jackson makes two point shot,0 - 2
10:37,Deron Williams  misses layup,0 - 2
10:37,Andre Drummond defensive rebound,0 - 2
10:22,Marcus Morris makes 14-foot two point shot,0 - 4
10:10,Marcus Morris blocks Harrison Barnes's  shot,0 - 4
10:10,Marcus Morris defensive rebound,0 - 4
9:55,Jon Leuer  misses 14-foot jumper,0 - 4
9:55,Dirk Nowitzki defensive rebound,0 - 4
9:45,Dirk Nowitzki  misses 18-foot jumper,0 - 4
9:45,Marcus Morris defensive rebound,0 - 4
9:37,Marcus Morris makes layup (Andre Drummond assists),0 - 6
9:25,Andre Drummond personal foul  (Harrison Barnes draws the foul),0 - 6
9:18,Deron Williams  lost ball turnover (Reggie Jackson steals),0 - 6
9:14,Andre Drummond makes two point shot (Reggie Jackson assists),0 - 8
9:14,Mavericks Full timeout,0 - 8
8:57,Deron Williams  misses 27-foot three point jumper,0 - 8
8:56,Kentavious Caldwell-Pope defensive rebound,0 - 8
8:48,Marcus Morris  misses 27-foot three point jumper,0 - 8
8:48,Andre Drummond offensive rebound,0 - 8
8:41,Dirk Nowitzki blocks Andre Drummond 's 5-foot  jumper,0 - 8
8:40,Andre Drummond offensive rebound,0 - 8
8:36,Jon Leuer makes 8-foot jumper (Andre Drummond assists),0 - 10
8:15,Dirk Nowitzki makes 20-foot jumper (Seth Curry assists),2 - 10
7:50,Reggie Jackson makes 26-foot  step back jumpshot,2 - 13
7:35,Wesley Matthews  misses 26-foot three point jumper,2 - 13
7:35,Andre Drummond defensive rebound,2 - 13
7:26,Andre Drummond makes two point shot (Reggie Jackson assists),2 - 15
7:11,Wesley Matthews makes driving layup,4 - 15
7:01,Kentavious Caldwell-Pope  misses 27-foot three point jumper,4 - 15
7:01,Dirk Nowitzki defensive rebound,4 - 15
7:00,Andre Drummond personal foul  (Dirk Nowitzki draws the foul),4 - 15
7:00,Yogi Ferrell enters the game for Deron Williams,4 - 15
7:00,Aron Baynes enters the game for Andre Drummond,4 - 15
6:48,Reggie Jackson personal foul  (Yogi Ferrell draws the foul),4 - 15
6:39,Harrison Barnes makes 7-foot two point shot (Yogi Ferrell assists),6 - 15
6:24,Reggie Jackson makes 14-foot two point shot,6 - 17
6:07,Yogi Ferrell  misses 15-foot jumper,6 - 17
6:07,Jon Leuer defensive rebound,6 - 17
5:56,Kentavious Caldwell-Pope makes 13-foot two point shot,6 - 19
5:41,Seth Curry makes 15-foot jumper,8 - 19
5:20,Aron Baynes  misses 14-foot jumper,8 - 19
5:18,Harrison Barnes defensive rebound,8 - 19
5:09,Seth Curry makes 23-foot  three point jumper  (Dirk Nowitzki assists),11 - 19
4:45,Jon Leuer makes 15-foot jumper (Kentavious Caldwell-Pope assists),11 - 21
4:45,Mavericks 20 Sec. timeout,11 - 21
