time,play,score
12:00,Dirk Nowitzki vs. Zaza Pachulia (Draymond Green gains possession),0 - 0
12:00,Warriors delay of game violation,0 - 0
11:47,Draymond Green  misses 9-foot jumper,0 - 0
11:45,Draymond Green offensive rebound,0 - 0
11:45,Kevin Durant  misses 26-foot three point jumper,0 - 0
11:42,Deron Williams defensive rebound,0 - 0
11:32,Deron Williams makes 8-foot two point shot,2 - 0
11:14,Klay Thompson makes 14-foot two point shot (Kevin Durant assists),2 - 2
10:56,Deron Williams makes 25-foot  three pointer,5 - 2
10:42,Klay Thompson  misses 26-foot three point jumper,5 - 2
10:41,Dirk Nowitzki defensive rebound,5 - 2
10:30,Deron Williams makes driving layup,7 - 2
10:18,Harrison Barnes blocks Zaza Pachulia 's 3-foot  layup,7 - 2
10:17,Warriors offensive team rebound,7 - 2
10:14,Zaza Pachulia  misses 18-foot jumper,7 - 2
10:14,Dirk Nowitzki defensive rebound,7 - 2
9:59,Dirk Nowitzki  misses two point shot,7 - 2
9:57,Kevin Durant defensive rebound,7 - 2
9:49,Stephen Curry makes 23-foot  three point jumper  (Kevin Durant assists),7 - 5
9:27,Harrison Barnes makes 26-foot  three pointer  (Deron Williams assists),10 - 5
9:00,Kevin Durant makes 16-foot two point shot,10 - 7
8:37,Deron Williams  misses three point jumper,10 - 7
8:37,Draymond Green defensive rebound,10 - 7
8:32,Draymond Green makes two point shot,10 - 9
8:08,Harrison Barnes  misses 25-foot three point pullup jump shot,10 - 9
8:07,Kevin Durant defensive rebound,10 - 9
7:58,Stephen Curry  misses 30-foot three point jumper,10 - 9
7:56,Dorian Finney-Smith defensive rebound,10 - 9
7:46,Dorian Finney-Smith  lost ball turnover (Klay Thompson steals),10 - 9
7:45,Dirk Nowitzki personal take foul  (Stephen Curry draws the foul),10 - 9
7:31,Stephen Curry makes two point shot (Kevin Durant assists),10 - 11
7:11,Harrison Barnes makes 15-foot two point shot,12 - 11
6:50,Kevin Durant makes 15-foot two point shot (Draymond Green assists),12 - 13
6:33,Deron Williams  misses 26-foot three point jumper,12 - 13
6:33,Zaza Pachulia defensive rebound,12 - 13
6:24,Zaza Pachulia makes layup (Klay Thompson assists),12 - 15
6:07,Dirk Nowitzki makes 14-foot two point shot (Deron Williams assists),14 - 15
6:07,Stephen Curry shooting foul  (Dirk Nowitzki draws the foul),14 - 15
6:07,Dirk Nowitzki makes free throw 1 of 1,15 - 15
5:56,Draymond Green makes 3-foot two point shot,15 - 17
5:52,Mavericks Full timeout,15 - 17
5:52,Dwight Powell enters the game for Dirk Nowitzki,15 - 17
5:35,Wesley Matthews  misses 25-foot three point jumper,15 - 17
5:35,Dwight Powell offensive rebound,15 - 17
5:28,Harrison Barnes makes jumper (Deron Williams assists),17 - 17
5:11,Klay Thompson  lost ball turnover (Wesley Matthews steals),17 - 17
5:03,Dorian Finney-Smith  misses 3-foot jumper,17 - 17
5:03,Kevin Durant defensive rebound,17 - 17
4:54,Draymond Green  misses 27-foot three point jumper,17 - 17
