time,play,score
12:00,Justin Hamilton vs. Miles Plumlee (Tony Snell gains possession),0 - 0
11:40,Giannis Antetokounmpo makes driving dunk (Miles Plumlee assists),0 - 2
11:23,Tony Snell shooting foul  (Bojan Bogdanovic draws the foul),1 - 2
11:23,Bojan Bogdanovic makes free throw 1 of 2,1 - 2
11:23,Bojan Bogdanovic makes free throw 2 of 2,2 - 2
11:06,Matthew Dellavedova makes 10-foot two point shot,2 - 4
10:52,Bojan Bogdanovic  misses 26-foot three point jumper,2 - 4
10:51,Matthew Dellavedova defensive rebound,2 - 4
10:41,Jabari Parker  misses 7-foot two point shot,2 - 4
10:40,Bojan Bogdanovic defensive rebound,2 - 4
10:33,Trevor Booker  misses 26-foot three point jumper,2 - 4
10:32,Giannis Antetokounmpo defensive rebound,2 - 4
10:18,Giannis Antetokounmpo  misses 18-foot jumper,2 - 4
10:15,Trevor Booker defensive rebound,2 - 4
10:03,Jeremy Lin  misses 26-foot three point jumper,2 - 4
10:03,Jabari Parker defensive rebound,2 - 4
9:41,Miles Plumlee  misses 10-foot jumper,2 - 4
9:40,Bojan Bogdanovic defensive rebound,2 - 4
9:33,Giannis Antetokounmpo blocks Rondae Hollis-Jefferson 's 6-foot  jumper,2 - 4
9:30,Jabari Parker defensive rebound,2 - 4
9:19,Jabari Parker  misses layup,2 - 4
9:18,Trevor Booker defensive rebound,2 - 4
9:14,Trevor Booker makes layup,4 - 4
9:02,Rondae Hollis-Jefferson personal foul  (Giannis Antetokounmpo draws the foul),4 - 4
9:02,Greg Monroe enters the game for Miles Plumlee,4 - 4
8:53,Giannis Antetokounmpo  misses layup,4 - 4
8:52,Trevor Booker defensive rebound,4 - 4
8:49,Jabari Parker personal foul  (Trevor Booker draws the foul),4 - 4
8:41,Jeremy Lin  misses 17-foot jumper,4 - 4
8:41,Jabari Parker defensive rebound,4 - 4
8:33,Giannis Antetokounmpo makes driving dunk (Jabari Parker assists),4 - 6
8:19,Bojan Bogdanovic makes driving dunk (Jeremy Lin assists),6 - 6
8:03,Rashad Vaughn enters the game for Tony Snell,6 - 6
7:52,Greg Monroe makes layup (Giannis Antetokounmpo assists),6 - 8
7:33,Bojan Bogdanovic makes 21-foot jumper,8 - 8
7:07,Jabari Parker  misses 24-foot three point jumper,8 - 8
7:05,Rondae Hollis-Jefferson defensive rebound,8 - 8
6:58,Bojan Bogdanovic  misses three point jumper,8 - 8
6:56,Giannis Antetokounmpo defensive rebound,8 - 8
6:52,Trevor Booker shooting foul  (Jabari Parker draws the foul),8 - 8
6:52,Jabari Parker makes free throw 1 of 2,8 - 10
6:52,Anthony Bennett enters the game for Trevor Booker,8 - 9
6:52,Jabari Parker makes free throw 2 of 2,8 - 10
6:39,Jeremy Lin  lost ball turnover (Greg Monroe steals),8 - 10
6:09,Giannis Antetokounmpo makes driving dunk (Greg Monroe assists),8 - 12
6:07,Rondae Hollis-Jefferson possession lost ball turnoverMatthew Dellavedova,8 - 12
6:07,Greg Monroe possession lost ball turnoverJustin Hamilton,8 - 12
5:58,Greg Monroe personal foul  (Rondae Hollis-Jefferson draws the foul),8 - 12
5:58,Bucks Full timeout,8 - 12
5:58,Joe Harris enters the game for Bojan Bogdanovic,8 - 12
5:58,Greivis Vasquez enters the game for Jeremy Lin,8 - 12
5:43,Anthony Bennett  misses three point jumper,8 - 12
5:41,Rondae Hollis-Jefferson vs. Giannis Antetokounmpo (Greg Monroe gains possession),8 - 12
5:41,Bucks defensive team rebound,8 - 12
5:24,Rashad Vaughn makes 25-foot  three point jumper  (Greg Monroe assists),8 - 15
5:07,Anthony Bennett  misses 9-foot jumper,8 - 15
5:07,Jabari Parker defensive rebound,8 - 15
4:48,Greg Monroe  misses 6-foot hook shot,8 - 15
4:45,Greg Monroe offensive rebound,8 - 15
4:44,Greg Monroe  misses layup,8 - 15
4:43,Jabari Parker offensive rebound,8 - 15
4:41,Jabari Parker makes layup,8 - 17
4:20,Greivis Vasquez  misses jumper,8 - 17
4:16,Matthew Dellavedova defensive rebound,8 - 17
4:09,Rashad Vaughn  misses 18-foot jumper,8 - 17
4:07,Greivis Vasquez defensive rebound,8 - 17
3:57,Justin Hamilton  misses three point jumper,8 - 17
3:55,Rashad Vaughn defensive rebound,8 - 17
3:47,Justin Hamilton blocks Jabari Parker 's 4-foot  jumper,8 - 17
3:43,Rondae Hollis-Jefferson defensive rebound,8 - 17
3:41,Greivis Vasquez makes 15-foot jumper,10 - 17
3:41,Bucks Full timeout,10 - 17
3:41,Luis Scola enters the game for Rondae Hollis-Jefferson,10 - 17
3:41,Sean Kilpatrick enters the game for Justin Hamilton,10 - 17
3:41,Mirza Teletovic enters the game for Jabari Parker,10 - 17
3:41,Malcolm Brogdon enters the game for Matthew Dellavedova,10 - 17
3:26,Malcolm Brogdon  misses layup,10 - 17
3:24,Joe Harris defensive rebound,10 - 17
3:14,Anthony Bennett  misses 27-foot three point jumper,10 - 17
3:13,Greg Monroe defensive rebound,10 - 17
2:53,Mirza Teletovic makes 24-foot  three point jumper  (Giannis Antetokounmpo assists),10 - 20
2:35,Michael Beasley enters the game for Giannis Antetokounmpo,10 - 20
2:35,Jeremy Lin enters the game for Anthony Bennett,10 - 20
2:35,Trevor Booker enters the game for Greivis Vasquez,10 - 20
2:26,Jeremy Lin  misses 18-foot jumper,10 - 20
2:24,Luis Scola offensive rebound,10 - 20
2:19,Jeremy Lin makes 27-foot  three point jumper  (Sean Kilpatrick assists),13 - 20
2:05,Luis Scola shooting foul  (Greg Monroe draws the foul),13 - 20
2:05,Greg Monroe makes free throw 1 of 2,13 - 21
2:05,Greg Monroe makes free throw 2 of 2,13 - 22
1:54,Sean Kilpatrick  misses 25-foot three point jumper,13 - 22
1:51,Luis Scola offensive rebound,13 - 22
1:43,Jeremy Lin  bad pass (Malcolm Brogdon steals),13 - 22
1:34,Trevor Booker blocks Greg Monroe's  layup,13 - 22
1:30,Nets defensive team rebound,13 - 22
1:29,Malcolm Brogdon personal foul  (Jeremy Lin draws the foul),13 - 22
1:22,Luis Scola makes layup,15 - 22
1:01,Rashad Vaughn makes 16-foot jumper,15 - 24
47.0,Joe Harris offensive Charge  (Greg Monroe draws the foul),15 - 24
47.0,Joe Harris  turnover,15 - 24
33.0,Malcolm Brogdon  misses 24-foot three point jumper,15 - 24
32.0,Trevor Booker defensive rebound,15 - 24
28.0,Michael Beasley shooting foul  (Sean Kilpatrick draws the foul),18 - 24
28.0,Sean Kilpatrick makes free throw 1 of 1,16 - 24
28.0,Sean Kilpatrick makes two point shot,18 - 24
13.0,Sean Kilpatrick blocks Malcolm Brogdon 's 8-foot  jumper,16 - 24
13.0,Bucks offensive team rebound,16 - 24
9.0,Rashad Vaughn  misses 25-foot three point jumper,18 - 24
8.0,Jeremy Lin defensive rebound,18 - 24
3.0,Rashad Vaughn blocks Jeremy Lin 's 2-foot  layup,18 - 24
2.0,Rashad Vaughn defensive rebound,18 - 24
0.0,Rashad Vaughn  misses 35-foot three point running jumper,18 - 24
0.0,Bucks offensive team rebound,18 - 24
0.0,End of the 1st Quarter,18 - 24
11:33,Bojan Bogdanovic makes 11-foot two point shot (Jeremy Lin assists),20 - 24
11:15,Tony Snell  misses 23-foot three point jumper,20 - 24
11:12,Trevor Booker defensive rebound,20 - 24
11:03,Jeremy Lin  misses 26-foot three point jumper,20 - 24
11:03,Luis Scola offensive rebound,20 - 24
10:52,Trevor Booker  misses 6-foot two point shot,20 - 24
10:51,Mirza Teletovic defensive rebound,20 - 24
10:40,Sean Kilpatrick shooting foul  (Miles Plumlee draws the foul),20 - 24
10:40,Miles Plumlee misses free throw 1 of 2,20 - 24
10:40,Bucks offensive team rebound,20 - 24
10:40,Miles Plumlee makes free throw 2 of 2,20 - 25
10:30,Malcolm Brogdon defensive 3-seconds (Technical Foul),21 - 25
10:30,Bojan Bogdanovic makes technical free throw,21 - 25
10:25,Sean Kilpatrick  misses 7-foot jumper,21 - 25
10:25,Nets offensive team rebound,21 - 25
10:21,Luis Scola Out-of-Bounds Bad Pass Turnover,21 - 25
10:11,Malcolm Brogdon  misses 14-foot two point shot,21 - 25
10:11,Trevor Booker defensive rebound,21 - 25
10:03,Miles Plumlee shooting foul  (Trevor Booker draws the foul),21 - 25
10:03,Trevor Booker makes free throw 1 of 2,22 - 25
10:03,Trevor Booker makes free throw 2 of 2,23 - 25
9:49,Michael Beasley makes 20-foot jumper (Mirza Teletovic assists),23 - 27
9:37,Sean Kilpatrick makes 25-foot  three point jumper  (Luis Scola assists),26 - 27
9:17,Malcolm Brogdon  lost ball turnover (Luis Scola steals),26 - 27
9:00,Jeremy Lin  misses layup,26 - 27
8:56,Jeremy Lin offensive rebound,26 - 27
8:56,Jeremy Lin makes layup,28 - 27
8:56,Bucks Full timeout,28 - 27
8:56,Anthony Bennett enters the game for Trevor Booker,28 - 27
8:56,Greivis Vasquez enters the game for Jeremy Lin,28 - 27
8:56,John Henson enters the game for Miles Plumlee,28 - 27
8:56,Matthew Dellavedova enters the game for Malcolm Brogdon,28 - 27
8:56,Jabari Parker enters the game for Michael Beasley,28 - 27
8:38,Tony Snell makes 10-foot two point shot (Matthew Dellavedova assists),28 - 29
8:26,Bojan Bogdanovic offensive Charge  (Mirza Teletovic draws the foul),28 - 29
8:26,Bojan Bogdanovic  turnover,28 - 29
8:17,Jabari Parker  bad pass (Sean Kilpatrick steals),28 - 29
8:12,Sean Kilpatrick  bad pass (John Henson steals),28 - 29
8:07,Jabari Parker makes layup (Matthew Dellavedova assists),28 - 31
7:43,Luis Scola makes 24-foot  three point jumper  (Sean Kilpatrick assists),31 - 31
7:43,Sean Kilpatrick personal foul  (John Henson draws the foul),31 - 31
7:35,Matthew Dellavedova  misses layup,31 - 31
7:33,Luis Scola defensive rebound,31 - 31
7:26,Anthony Bennett  misses jumper,31 - 31
7:24,John Henson defensive rebound,31 - 31
7:20,Tony Snell  misses 26-foot three point jumper,31 - 31
7:18,Luis Scola defensive rebound,31 - 31
7:09,Greivis Vasquez  misses layup,31 - 31
7:07,Mirza Teletovic defensive rebound,31 - 31
7:01,Tony Snell makes 20-foot jumper,31 - 33
6:41,Anthony Bennett makes  three point jumper  (Bojan Bogdanovic assists),34 - 33
6:28,John Henson  misses layup,34 - 33
6:26,Luis Scola defensive rebound,34 - 33
6:16,Greivis Vasquez  misses 26-foot three point jumper,34 - 33
6:16,John Henson defensive rebound,34 - 33
6:09,Bojan Bogdanovic shooting foul  (John Henson draws the foul),34 - 33
6:09,John Henson makes free throw 1 of 2,34 - 34
6:09,Justin Hamilton enters the game for Luis Scola,34 - 34
6:09,Giannis Antetokounmpo enters the game for Mirza Teletovic,34 - 34
6:09,John Henson misses free throw 2 of 2,34 - 34
6:09,Tony Snell offensive rebound,34 - 34
6:05,Tony Snell  misses layup,34 - 34
6:05,Bojan Bogdanovic defensive rebound,34 - 34
6:03,Tony Snell personal foul  (Bojan Bogdanovic draws the foul),34 - 34
5:46,John Henson blocks Sean Kilpatrick 's 19-foot  jumper,34 - 34
5:43,Justin Hamilton offensive rebound,34 - 34
5:39,Bojan Bogdanovic  misses 26-foot three point jumper,34 - 34
5:39,John Henson defensive rebound,34 - 34
5:33,Giannis Antetokounmpo makes two point shot (Matthew Dellavedova assists),34 - 36
5:31,Nets Full timeout,34 - 36
5:31,Jeremy Lin enters the game for Greivis Vasquez,34 - 36
5:31,Rashad Vaughn enters the game for Tony Snell,34 - 36
5:13,Rashad Vaughn shooting foul  (Sean Kilpatrick draws the foul),34 - 36
5:13,Sean Kilpatrick makes free throw 1 of 2,35 - 36
5:13,Sean Kilpatrick makes free throw 2 of 2,36 - 36
4:50,Rashad Vaughn makes 18-foot jumper (Jabari Parker assists),36 - 38
4:31,Justin Hamilton  misses 8-foot hook shot,36 - 38
4:30,John Henson defensive rebound,36 - 38
4:22,Giannis Antetokounmpo makes driving layup (John Henson assists),36 - 40
4:05,Anthony Bennett makes layup (Jeremy Lin assists),38 - 40
3:59,Matthew Dellavedova  misses 11-foot jumper,38 - 40
3:58,Matthew Dellavedova offensive rebound,38 - 40
3:45,Rashad Vaughn  misses 28-foot three point jumper,38 - 40
3:44,Anthony Bennett defensive rebound,38 - 40
3:33,Anthony Bennett  bad pass (Jabari Parker steals),38 - 40
3:31,Anthony Bennett personal foul  (Jabari Parker draws the foul),38 - 40
3:31,Trevor Booker enters the game for Bojan Bogdanovic,38 - 40
3:31,Joe Harris enters the game for Anthony Bennett,38 - 40
3:17,Matthew Dellavedova  misses 26-foot three point jumper,38 - 40
3:16,Joe Harris defensive rebound,38 - 40
2:59,Justin Hamilton  misses 25-foot three point jumper,38 - 40
2:59,Giannis Antetokounmpo defensive rebound,38 - 40
2:59,Trevor Booker personal foul  (Matthew Dellavedova draws the foul),38 - 42
2:59,Official timeout,38 - 40
2:59,Rondae Hollis-Jefferson enters the game for Sean Kilpatrick,38 - 40
2:59,Matthew Dellavedova makes free throw 1 of 2,38 - 41
2:59,Matthew Dellavedova makes free throw 2 of 2,38 - 42
2:35,Jeremy Lin  misses 15-foot jumper,38 - 42
2:33,Giannis Antetokounmpo defensive rebound,38 - 42
2:21,Giannis Antetokounmpo  misses step back jumpshot,38 - 42
2:19,John Henson offensive rebound,38 - 42
2:09,Giannis Antetokounmpo offensive foul  (Justin Hamilton draws the foul),38 - 42
2:09,Giannis Antetokounmpo  turnover,38 - 42
1:54,Joe Harris  misses 6-foot jumper,38 - 42
1:53,Giannis Antetokounmpo defensive rebound,38 - 42
1:43,John Henson  misses layup,38 - 42
1:38,Jabari Parker offensive rebound,38 - 42
