time,play,score
12:00,Justin Hamilton vs. Robin Lopez (Nikola Mirotic gains possession),0 - 0
11:38,Nikola Mirotic  misses 25-foot three point jumper,0 - 0
11:37,Nikola Mirotic offensive rebound,0 - 0
11:34,Nikola Mirotic  misses 23-foot three point jumper,0 - 0
11:33,Rajon Rondo offensive rebound,0 - 0
11:27,Jimmy Butler  misses 17-foot two point jumper,0 - 0
11:26,Spencer Dinwiddie defensive rebound,0 - 0
11:12,Rondae Hollis-Jefferson  misses Driving Floating Jump Shot,0 - 0
11:11,Dwyane Wade defensive rebound,0 - 0
11:02,Dwyane Wade makes 13-foot two point shot,0 - 2
10:40,Randy Foye  misses 26-foot three point jumper,0 - 2
10:38,Nikola Mirotic defensive rebound,0 - 2
10:33,Rajon Rondo  bad pass (Randy Foye steals),0 - 2
10:29,Justin Hamilton  lost ball turnover (Jimmy Butler steals),0 - 2
10:21,Jimmy Butler  misses driving layup,0 - 2
10:19,Justin Hamilton defensive rebound,0 - 2
10:14,Caris LeVert makes driving layup,2 - 2
9:56,Robin Lopez  bad pass (Caris LeVert steals),2 - 2
9:52,Caris LeVert Out-of-Bounds Bad Pass Turnover,2 - 2
9:40,Jimmy Butler makes two point shot (Rajon Rondo assists),2 - 4
9:21,Rondae Hollis-Jefferson makes dunk (Spencer Dinwiddie assists),4 - 4
9:08,Rajon Rondo  misses 16-foot two point jumper,4 - 4
9:07,Rondae Hollis-Jefferson defensive rebound,4 - 4
9:02,Rondae Hollis-Jefferson  misses driving layup,4 - 4
9:00,Robin Lopez defensive rebound,4 - 4
8:48,Rajon Rondo makes 26-foot  three point jumper  (Dwyane Wade assists),4 - 7
8:32,Caris LeVert makes 12-foot Driving Floating Jump Shot,6 - 7
8:11,Dwyane Wade  bad pass (Justin Hamilton steals),6 - 7
8:10,Rajon Rondo personal foul  (Caris LeVert draws the foul),6 - 7
7:58,Spencer Dinwiddie  misses three point jumper,6 - 7
7:54,Nikola Mirotic defensive rebound,6 - 7
7:47,Spencer Dinwiddie shooting foul  (Robin Lopez draws the foul),6 - 7
7:47,Robin Lopez makes free throw 1 of 2,6 - 8
7:47,Robin Lopez makes free throw 2 of 2,6 - 9
7:33,Rajon Rondo personal foul  (Spencer Dinwiddie draws the foul),6 - 9
7:33,Isaiah Whitehead enters the game for Randy Foye,6 - 9
7:33,Andrew Nicholson enters the game for Justin Hamilton,6 - 9
7:33,Jerian Grant enters the game for Rajon Rondo,6 - 9
7:18,Andrew Nicholson  misses 15-foot two point shot,6 - 9
7:16,Dwyane Wade defensive rebound,6 - 9
7:09,Dwyane Wade Out-of-Bounds Bad Pass Turnover,6 - 9
7:09,Bulls delay of game violation,6 - 9
6:56,Caris LeVert  misses 24-foot three point jumper,6 - 9
6:54,Jimmy Butler defensive rebound,6 - 9
6:46,Jerian Grant  misses 24-foot three point jumper,6 - 9
6:45,Rondae Hollis-Jefferson defensive rebound,6 - 9
6:31,Isaiah Whitehead makes 25-foot  three point jumper  (Caris LeVert assists),9 - 9
6:18,Dwyane Wade  misses driving layup,9 - 9
6:18,Andrew Nicholson defensive rebound,9 - 9
6:11,Caris LeVert  misses 25-foot three point jumper,9 - 9
6:09,Jerian Grant defensive rebound,9 - 9
5:58,Robin Lopez makes 5-foot two point shot (Nikola Mirotic assists),9 - 11
5:41,Andrew Nicholson  misses 11-foot jumper,9 - 11
5:41,Jerian Grant defensive rebound,9 - 11
5:39,Spencer Dinwiddie personal foul  (Robin Lopez draws the foul),9 - 11
5:39,Bulls Full timeout,9 - 11
5:39,Paul Zipser enters the game for Dwyane Wade,9 - 11
5:39,Archie Goodwin enters the game for Spencer Dinwiddie,9 - 11
5:26,Jimmy Butler  misses driving layup,9 - 11
5:24,Caris LeVert defensive rebound,9 - 11
5:18,Nikola Mirotic shooting foul  (Rondae Hollis-Jefferson draws the foul),11 - 11
5:18,Rondae Hollis-Jefferson makes free throw 1 of 2,10 - 11
5:18,Rondae Hollis-Jefferson makes free throw 2 of 2,11 - 11
5:07,Jimmy Butler  misses 16-foot two point jumper,11 - 11
5:05,Isaiah Whitehead defensive rebound,11 - 11
4:56,Archie Goodwin  misses 25-foot three point jumper,11 - 11
4:56,Paul Zipser defensive rebound,11 - 11
4:48,Jimmy Butler makes 18-foot jumper (Paul Zipser assists),11 - 13
4:48,Isaiah Whitehead shooting foul  (Jimmy Butler draws the foul),11 - 13
4:48,KJ McDaniels enters the game for Caris LeVert,11 - 13
4:48,Jimmy Butler makes free throw 1 of 1,11 - 14
4:41,Archie Goodwin  bad pass (Nikola Mirotic steals),11 - 14
4:35,Paul Zipser makes two point shot (Nikola Mirotic assists),11 - 16
4:28,Andrew Nicholson  bad pass (Jerian Grant steals),11 - 16
4:15,Jimmy Butler  misses two point shot,11 - 16
4:13,Andrew Nicholson defensive rebound,11 - 16
4:01,Isaiah Whitehead Out-of-Bounds Bad Pass Turnover,11 - 16
3:33,Jerian Grant  misses 12-foot jumper,11 - 16
3:32,Rondae Hollis-Jefferson defensive rebound,11 - 16
3:25,Rondae Hollis-Jefferson  lost ball turnover (Nikola Mirotic steals),11 - 16
3:18,Paul Zipser makes 25-foot  three point jumper  (Jerian Grant assists),11 - 19
3:15,Nets Full timeout,11 - 19
3:15,Bobby Portis enters the game for Nikola Mirotic,11 - 19
3:15,Justin Hamilton enters the game for Rondae Hollis-Jefferson,11 - 19
3:02,Isaiah Whitehead  misses 25-foot three point jumper,11 - 19
2:59,Bobby Portis defensive rebound,11 - 19
2:42,Robin Lopez  misses 19-foot jumper,11 - 19
2:41,Andrew Nicholson defensive rebound,11 - 19
2:31,KJ McDaniels  misses 25-foot three point jumper,11 - 19
2:30,Bobby Portis defensive rebound,11 - 19
2:10,Paul Zipser makes 23-foot  three point jumper  (Bobby Portis assists),11 - 22
1:50,Isaiah Whitehead  lost ball turnover (Jimmy Butler steals),11 - 22
1:49,Archie Goodwin personal foul  (Jimmy Butler draws the foul),11 - 22
1:39,Paul Zipser  misses 18-foot jumper,11 - 22
1:39,Robin Lopez offensive rebound,11 - 22
1:39,Andrew Nicholson personal foul  (Robin Lopez draws the foul),11 - 22
1:39,Robin Lopez misses free throw 1 of 2,11 - 22
1:39,Bulls offensive team rebound,11 - 22
1:39,Robin Lopez makes free throw 2 of 2,11 - 23
1:27,Justin Hamilton  misses 26-foot three point jumper,11 - 23
1:25,Jimmy Butler defensive rebound,11 - 23
1:16,Jerian Grant  bad pass (Andrew Nicholson steals),11 - 23
1:12,Jimmy Butler blocks KJ McDaniels 's 4-foot  jumper,11 - 23
1:08,Paul Zipser defensive rebound,11 - 23
1:06,Isaiah Whitehead shooting foul  (Jimmy Butler draws the foul),11 - 23
1:06,Jimmy Butler makes free throw 1 of 2,11 - 24
1:06,Jimmy Butler makes free throw 2 of 2,11 - 25
56.0,Archie Goodwin makes driving layup,13 - 25
46.0,Bobby Portis  misses 19-foot jumper,13 - 25
44.0,Justin Hamilton defensive rebound,13 - 25
33.0,KJ McDaniels  bad pass (Jerian Grant steals),13 - 25
27.0,Paul Zipser  misses driving layup,13 - 25
25.0,Bobby Portis offensive rebound,13 - 25
14.0,Andrew Nicholson personal foul  (Robin Lopez draws the foul),13 - 25
14.0,Robin Lopez makes free throw 1 of 2,13 - 26
14.0,Robin Lopez makes free throw 2 of 2,13 - 27
1.0,Robin Lopez blocks Isaiah Whitehead 's 3-foot  layup,13 - 27
0.0,Robin Lopez defensive rebound,13 - 27
0.0,End of the 1st Quarter,13 - 27
11:44,Andrew Nicholson  misses 10-foot two point shot,13 - 27
11:42,Paul Zipser defensive rebound,13 - 27
11:26,Cristiano Felicio  misses 18-foot jumper,13 - 27
11:26,KJ McDaniels defensive rebound,13 - 27
11:14,Archie Goodwin makes driving layup (Randy Foye assists),15 - 27
10:55,Bobby Portis  misses 16-foot jumper,15 - 27
10:53,Bulls offensive team rebound,15 - 27
10:49,Jerian Grant makes  three point jumper  (Cristiano Felicio assists),15 - 30
10:36,Archie Goodwin  lost ball turnover (Cristiano Felicio steals),15 - 30
10:22,Dwyane Wade makes driving layup,15 - 32
10:08,Archie Goodwin  bad pass (Bobby Portis steals),15 - 32
10:03,Bobby Portis makes 2-foot layup (Paul Zipser assists),15 - 34
10:03,Nets Full timeout,15 - 34
10:03,Spencer Dinwiddie enters the game for Andrew Nicholson,15 - 34
10:03,Rondae Hollis-Jefferson enters the game for Archie Goodwin,15 - 34
9:47,Rondae Hollis-Jefferson  misses 6-foot jumper,15 - 34
9:45,Paul Zipser defensive rebound,15 - 34
9:38,Dwyane Wade  misses layup,15 - 34
9:37,KJ McDaniels defensive rebound,15 - 34
9:30,Randy Foye  misses 25-foot three point pullup jump shot,15 - 34
9:29,Jerian Grant defensive rebound,15 - 34
9:25,Bobby Portis  out of bounds lost ball turnover,15 - 34
9:04,KJ McDaniels makes driving layup,17 - 34
8:48,Bobby Portis  misses 19-foot jumper,17 - 34
8:45,Justin Hamilton defensive rebound,17 - 34
8:36,KJ McDaniels makes dunk (Justin Hamilton assists),19 - 34
8:10,Paul Zipser makes 20-foot jumper,19 - 36
7:54,KJ McDaniels  misses 25-foot three point jumper,19 - 36
7:52,Jerian Grant defensive rebound,19 - 36
7:46,Jerian Grant  misses 25-foot three point jumper,19 - 36
7:45,Justin Hamilton defensive rebound,19 - 36
7:35,Randy Foye  misses driving layup,19 - 36
7:35,Spencer Dinwiddie offensive rebound,19 - 36
7:20,Randy Foye  misses 24-foot three point jumper,19 - 36
7:20,Justin Hamilton offensive rebound,19 - 36
7:18,Spencer Dinwiddie makes 25-foot  three point jumper  (Justin Hamilton assists),22 - 36
7:18,Bulls Full timeout,22 - 36
7:18,Nikola Mirotic enters the game for Dwyane Wade,22 - 36
7:18,Jimmy Butler enters the game for Jerian Grant,22 - 36
7:18,Rajon Rondo enters the game for Bobby Portis,22 - 36
7:18,Andrew Nicholson enters the game for Justin Hamilton,22 - 36
6:58,Cristiano Felicio makes layup (Rajon Rondo assists),22 - 38
6:31,Spencer Dinwiddie  misses 25-foot three point jumper,22 - 38
6:31,Nikola Mirotic defensive rebound,22 - 38
6:20,Rondae Hollis-Jefferson blocks Rajon Rondo's  layup,22 - 38
6:16,Rondae Hollis-Jefferson defensive rebound,22 - 38
6:16,Cristiano Felicio personal foul  (Rondae Hollis-Jefferson draws the foul),22 - 38
6:16,Caris LeVert enters the game for KJ McDaniels,22 - 38
6:03,Randy Foye  misses driving layup,22 - 38
6:03,Paul Zipser defensive rebound,22 - 38
5:56,Nikola Mirotic  misses 26-foot three point jumper,22 - 38
5:56,Rajon Rondo offensive rebound,22 - 38
5:50,Jimmy Butler makes 24-foot  three point jumper  (Rajon Rondo assists),22 - 41
5:37,Spencer Dinwiddie  bad pass (Jimmy Butler steals),22 - 41
5:28,Rajon Rondo makes two point shot,22 - 43
4:58,shot clock turnover,22 - 43
4:58,Archie Goodwin enters the game for Randy Foye,22 - 43
4:50,Isaiah Whitehead enters the game for Spencer Dinwiddie,22 - 43
4:37,Jimmy Butler makes two point shot (Rajon Rondo assists),22 - 45
