time,play,score
12:00,Brook Lopez vs. Amir Johnson (Jeremy Lin gains possession),0 - 0
11:41,Brook Lopez  misses Driving Floating Jump Shot,0 - 0
11:41,Al Horford defensive rebound,0 - 0
11:25,Jae Crowder makes 25-foot  three point jumper  (Al Horford assists),0 - 3
11:07,Caris LeVert makes 20-foot two point shot (Brook Lopez assists),2 - 3
10:52,Isaiah Thomas  bad pass (Randy Foye steals),2 - 3
10:41,Brook Lopez  misses 25-foot three point jumper,2 - 3
10:40,Al Horford defensive rebound,2 - 3
10:26,Al Horford  misses 15-foot jumper,2 - 3
10:25,Jeremy Lin defensive rebound,2 - 3
10:15,Brook Lopez  misses 8-foot hook shot,2 - 3
10:15,Amir Johnson defensive rebound,2 - 3
10:07,Isaiah Thomas  misses 26-foot three point pullup jump shot,2 - 3
10:06,Jeremy Lin defensive rebound,2 - 3
9:41,Brook Lopez  misses 19-foot jumper,2 - 3
9:40,Avery Bradley defensive rebound,2 - 3
9:26,Isaiah Thomas makes 1-foot layup (Al Horford assists),2 - 5
9:11,Caris LeVert  misses 10-foot two point jumper,2 - 5
9:11,Jae Crowder defensive rebound,2 - 5
9:03,Avery Bradley makes 2-foot two point shot (Jae Crowder assists),2 - 7
8:55,Avery Bradley shooting foul  (Jeremy Lin draws the foul),2 - 7
8:55,Jeremy Lin makes free throw 1 of 2,3 - 7
8:55,Jeremy Lin makes free throw 2 of 2,4 - 7
8:44,Isaiah Thomas  misses 25-foot three point jumper,4 - 7
8:42,Caris LeVert defensive rebound,4 - 7
8:30,Rondae Hollis-Jefferson makes 25-foot  three point jumper  (Caris LeVert assists),7 - 7
8:19,Rondae Hollis-Jefferson personal foul  (Al Horford draws the foul),7 - 7
8:12,Amir Johnson makes dunk (Al Horford assists),7 - 9
7:48,Rondae Hollis-Jefferson  misses 18-foot step back jumpshot,7 - 9
7:48,Jae Crowder defensive rebound,7 - 9
7:39,Al Horford makes 10-foot two point shot (Jae Crowder assists),7 - 11
7:26,Brook Lopez  misses 25-foot three point jumper,7 - 11
7:26,Avery Bradley defensive rebound,7 - 11
7:16,Isaiah Thomas steps out of bounds turnover,7 - 11
6:56,Rondae Hollis-Jefferson  misses 12-foot two point shot,7 - 11
6:56,Amir Johnson defensive rebound,7 - 11
6:46,Isaiah Thomas makes two point shot,7 - 13
6:46,Nets Full timeout,7 - 13
6:33,Avery Bradley personal foul  (Jeremy Lin draws the foul),7 - 13
6:24,Jeremy Lin makes two point shot,9 - 13
5:58,Al Horford  misses 17-foot step back jumpshot,9 - 13
5:58,Caris LeVert defensive rebound,9 - 13
5:43,Jeremy Lin  misses 25-foot three point pullup jump shot,9 - 13
5:41,Al Horford defensive rebound,9 - 13
5:31,Al Horford  misses 25-foot three point jumper,9 - 13
5:30,Caris LeVert defensive rebound,9 - 13
5:24,Caris LeVert  bad pass (Al Horford steals),9 - 13
5:18,Avery Bradley  misses 26-foot three point jumper,9 - 13
