time,play,score
12:00,Brook Lopez vs. Dwight Howard (Kent Bazemore gains possession),0 - 0
11:41,Kent Bazemore  misses layup,0 - 0
11:38,Randy Foye defensive rebound,0 - 0
11:29,Rondae Hollis-Jefferson makes driving layup (Randy Foye assists),2 - 0
11:11,Thabo Sefolosha makes 15-foot two point shot (Dwight Howard assists),2 - 2
10:53,Jeremy Lin makes two point shot (Rondae Hollis-Jefferson assists),4 - 2
10:36,Dennis Schroder makes 19-foot two point shot,4 - 4
10:22,Brook Lopez  bad pass (Thabo Sefolosha steals),4 - 4
10:18,Brook Lopez blocks Thabo Sefolosha 's 2-foot  shot,4 - 4
10:15,Kent Bazemore offensive rebound,4 - 4
10:12,Brook Lopez blocks Dwight Howard 's 3-foot  jumper,4 - 4
10:10,Caris LeVert defensive rebound,4 - 4
10:06,Randy Foye makes 25-foot  three point jumper  (Rondae Hollis-Jefferson assists),7 - 4
9:52,Paul Millsap  misses 15-foot step back jumpshot,7 - 4
9:48,Brook Lopez defensive rebound,7 - 4
9:41,Kent Bazemore blocks Rondae Hollis-Jefferson 's 5-foot  shot,7 - 4
9:41,Thabo Sefolosha defensive rebound,7 - 4
9:29,Dennis Schroder  bad pass (Caris LeVert steals),7 - 4
9:22,Paul Millsap personal foul  (Jeremy Lin draws the foul),7 - 4
9:18,Brook Lopez  misses 18-foot jumper,7 - 4
9:18,Thabo Sefolosha defensive rebound,7 - 4
9:11,Dennis Schroder  bad pass (Brook Lopez steals),7 - 4
8:53,Jeremy Lin makes layup (Brook Lopez assists),9 - 4
8:41,Rondae Hollis-Jefferson shooting foul  (Paul Millsap draws the foul),9 - 4
8:41,Paul Millsap misses free throw 1 of 2,9 - 4
8:41,Hawks offensive team rebound,9 - 4
8:41,Paul Millsap makes free throw 2 of 2,9 - 5
8:33,Jeremy Lin  misses 18-foot two point jumper,9 - 5
8:30,Dwight Howard defensive rebound,9 - 5
8:17,Paul Millsap makes driving layup (Dennis Schroder assists),9 - 7
8:00,Jeremy Lin  misses two point shot,9 - 7
7:58,Dwight Howard defensive rebound,9 - 7
7:54,Thabo Sefolosha makes two point shot,9 - 9
7:45,Brook Lopez  misses 25-foot three point jumper,9 - 9
7:45,Hawks defensive team rebound,9 - 9
7:37,Dennis Schroder  misses 18-foot two point jumper,9 - 9
7:35,Rondae Hollis-Jefferson defensive rebound,9 - 9
7:31,Caris LeVert makes two point shot (Rondae Hollis-Jefferson assists),11 - 9
7:18,Brook Lopez shooting foul  (Dwight Howard draws the foul),11 - 9
7:18,Dwight Howard misses free throw 1 of 2,11 - 9
7:18,Hawks offensive team rebound,11 - 9
7:18,Dwight Howard misses free throw 2 of 2,11 - 9
7:16,Brook Lopez defensive rebound,11 - 9
7:05,Brook Lopez  misses two point shot,11 - 9
7:03,Brook Lopez offensive rebound,11 - 9
7:01,Caris LeVert  misses 27-foot three point jumper,11 - 9
7:00,Dwight Howard defensive rebound,11 - 9
6:45,Kent Bazemore makes driving layup,11 - 11
6:31,Brook Lopez makes 23-foot  three point jumper  (Jeremy Lin assists),14 - 11
6:22,Dwight Howard  traveling,14 - 11
6:11,Brook Lopez makes 11-foot two point shot (Jeremy Lin assists),16 - 11
6:11,Hawks Full timeout,16 - 11
6:11,Spencer Dinwiddie enters the game for Caris LeVert,16 - 11
6:11,Sean Kilpatrick enters the game for Jeremy Lin,16 - 11
6:00,Paul Millsap  misses 14-foot jumper,16 - 11
5:58,Brook Lopez defensive rebound,16 - 11
5:52,Dwight Howard kicked ball violation,16 - 11
5:47,Brook Lopez Out-of-Bounds Bad Pass Turnover,16 - 11
5:24,Paul Millsap makes layup (Kent Bazemore assists),16 - 13
5:16,Dennis Schroder shooting foul  (Rondae Hollis-Jefferson draws the foul),16 - 13
5:16,Rondae Hollis-Jefferson makes free throw 1 of 2,17 - 13
5:16,Tim Hardaway Jr. enters the game for Kent Bazemore,17 - 13
5:16,Isaiah Whitehead enters the game for Randy Foye,17 - 13
5:16,Rondae Hollis-Jefferson makes free throw 2 of 2,18 - 13
5:01,Dwight Howard makes 3-foot two point shot (Thabo Sefolosha assists),18 - 15
4:47,Brook Lopez makes 6-foot two point shot (Isaiah Whitehead assists),20 - 15
4:37,Dennis Schroder makes driving layup,20 - 17
4:16,Brook Lopez makes 19-foot two point shot,22 - 17
4:01,Dwight Howard  bad pass (Rondae Hollis-Jefferson steals),22 - 17
3:58,Sean Kilpatrick  lost ball turnover (Thabo Sefolosha steals),22 - 17
3:49,Dennis Schroder makes driving layup,22 - 19
3:29,Brook Lopez  misses 25-foot three point jumper,22 - 19
3:28,Thabo Sefolosha defensive rebound,22 - 19
3:28,Rondae Hollis-Jefferson personal foul  (Thabo Sefolosha draws the foul),22 - 19
3:28,Ersan Ilyasova enters the game for Thabo Sefolosha,22 - 19
3:28,Taurean Prince enters the game for Dwight Howard,22 - 19
3:28,Trevor Booker enters the game for Rondae Hollis-Jefferson,22 - 19
3:28,Quincy Acy enters the game for Brook Lopez,22 - 19
3:12,Dennis Schroder makes driving layup,22 - 21
2:55,Quincy Acy  misses driving layup,22 - 21
2:53,Ersan Ilyasova defensive rebound,22 - 21
2:47,Tim Hardaway Jr.  misses two point shot,22 - 21
2:47,Trevor Booker defensive rebound,22 - 21
2:39,Quincy Acy  bad pass (Tim Hardaway Jr. steals),22 - 21
2:31,Dennis Schroder  misses 24-foot three point jumper,22 - 21
2:29,Quincy Acy defensive rebound,22 - 21
2:21,Isaiah Whitehead  misses 25-foot three point jumper,22 - 21
2:21,Hawks defensive team rebound,22 - 21
2:21,Nets Full timeout,22 - 21
2:21,Jose Calderon enters the game for Dennis Schroder,22 - 21
2:03,Quincy Acy vs. Paul Millsap (Paul Millsap gains possession),22 - 21
1:55,Jose Calderon  misses 25-foot three point jumper,22 - 21
1:55,Hawks offensive team rebound,22 - 21
1:38,Paul Millsap  misses Driving Floating Jump Shot,22 - 21
1:35,Paul Millsap offensive rebound,22 - 21
1:35,Paul Millsap makes tip shot,22 - 23
1:17,Sean Kilpatrick makes 24-foot  three point jumper  (Spencer Dinwiddie assists),25 - 23
59.0,Ersan Ilyasova  misses 21-foot two point jumper,25 - 23
56.0,Trevor Booker defensive rebound,25 - 23
49.0,Ersan Ilyasova shooting foul  (Quincy Acy draws the foul),25 - 23
49.0,Quincy Acy makes free throw 1 of 2,26 - 23
49.0,Quincy Acy makes free throw 2 of 2,27 - 23
31.0,Paul Millsap  misses 25-foot three point jumper,27 - 23
28.0,Spencer Dinwiddie defensive rebound,27 - 23
23.0,Spencer Dinwiddie Out-of-Bounds Bad Pass Turnover,27 - 23
1.0,Taurean Prince  misses 25-foot three point pullup jump shot,27 - 23
1.0,Quincy Acy defensive rebound,27 - 23
0.0,End of the 1st Quarter,27 - 23
11:37,Spencer Dinwiddie  bad pass (Taurean Prince steals),27 - 23
11:30,K.J. McDaniels blocks Tim Hardaway Jr. 's 9-foot  shot,27 - 23
11:27,Quincy Acy defensive rebound,27 - 23
11:12,Quincy Acy makes 24-foot  three point jumper  (Spencer Dinwiddie assists),30 - 23
10:56,Ersan Ilyasova  bad pass (Quincy Acy steals),30 - 23
10:49,K.J. McDaniels makes 6-foot Running Pullup Jump Shot,32 - 23
10:34,Tim Hardaway Jr. makes 24-foot  three pointer,32 - 26
10:22,K.J. McDaniels  misses 25-foot three point jumper,32 - 25
10:21,Dwight Howard defensive rebound,32 - 25
10:08,Taurean Prince  misses driving layup,32 - 25
10:07,Taurean Prince offensive rebound,32 - 25
10:07,Taurean Prince makes tip shot,32 - 27
9:53,Quincy Acy  misses 25-foot three point jumper,32 - 27
9:52,K.J. McDaniels offensive rebound,32 - 27
9:51,Dwight Howard blocks K.J. McDaniels's  shot,32 - 27
9:48,Tim Hardaway Jr. defensive rebound,32 - 27
