time,play,score
12:00,Brook Lopez vs. Willy Hernangomez (Jeremy Lin gains possession),0 - 0
11:33,Jeremy Lin  misses 16-foot jumper,0 - 0
11:30,Lance Thomas defensive rebound,0 - 0
11:14,Carmelo Anthony  misses 15-foot jumper,0 - 0
11:12,Jeremy Lin defensive rebound,0 - 0
11:04,Caris LeVert makes 18-foot jumper,2 - 0
10:47,Derrick Rose  misses 5-foot jumper,2 - 0
10:45,Brook Lopez defensive rebound,2 - 0
10:40,Rondae Hollis-Jefferson makes 12-foot two point shot,4 - 0
10:17,Willy Hernangomez offensive foul  (Jeremy Lin draws the foul),4 - 0
10:17,Willy Hernangomez  turnover,4 - 0
10:08,Derrick Rose shooting foul  (Jeremy Lin draws the foul),4 - 0
10:08,Jeremy Lin makes free throw 1 of 2,5 - 0
10:08,Jeremy Lin makes free throw 2 of 2,6 - 0
9:52,Willy Hernangomez makes 6-foot jumper (Courtney Lee assists),6 - 2
9:29,Jeremy Lin makes driving layup,8 - 2
9:17,Courtney Lee makes 6-foot jumper (Derrick Rose assists),8 - 4
9:04,Rondae Hollis-Jefferson makes layup (Jeremy Lin assists),10 - 4
8:51,Carmelo Anthony makes 12-foot jumper,10 - 6
8:40,Jeremy Lin  misses 26-foot three point jumper,10 - 6
8:37,Rondae Hollis-Jefferson offensive rebound,10 - 6
8:36,Jeremy Lin  misses 26-foot three point jumper,10 - 6
8:33,Willy Hernangomez defensive rebound,10 - 6
8:22,Courtney Lee makes 9-foot Driving Floating Jump Shot (Derrick Rose assists),10 - 8
8:03,Rondae Hollis-Jefferson misses layup,10 - 8
8:02,Rondae Hollis-Jefferson offensive rebound,10 - 8
8:02,Rondae Hollis-Jefferson  misses tip layup shot,10 - 8
8:00,Carmelo Anthony defensive rebound,10 - 8
7:52,Rondae Hollis-Jefferson shooting foul  (Carmelo Anthony draws the foul),10 - 8
7:52,Carmelo Anthony makes free throw 1 of 3,10 - 9
7:52,Carmelo Anthony makes free throw 2 of 3,10 - 10
7:52,Carmelo Anthony makes free throw 3 of 3,10 - 11
7:39,Randy Foye  misses 25-foot three point jumper,10 - 11
7:37,Lance Thomas defensive rebound,10 - 11
7:22,Randy Foye shooting foul  (Carmelo Anthony draws the foul),10 - 11
7:22,Carmelo Anthony makes free throw 1 of 2,10 - 12
7:22,Carmelo Anthony makes free throw 2 of 2,10 - 13
7:11,Rondae Hollis-Jefferson  misses 24-foot three point jumper,10 - 13
7:09,Lance Thomas defensive rebound,10 - 13
7:05,Derrick Rose makes driving layup,10 - 15
6:48,Brook Lopez makes driving dunk,12 - 15
6:30,Derrick Rose makes 16-foot jumper (Carmelo Anthony assists),12 - 17
6:28,Nets Full timeout,12 - 17
6:28,Isaiah Whitehead enters the game for Caris LeVert,12 - 17
6:28,K.J. McDaniels enters the game for Randy Foye,12 - 17
6:13,Brook Lopez  misses 24-foot jumper,12 - 17
6:11,Rondae Hollis-Jefferson offensive rebound,12 - 17
6:11,Rondae Hollis-Jefferson makes tip shot,14 - 17
