time,play,score
12:00,Brook Lopez vs. Nikola Vucevic (Jeremy Lin gains possession),0 - 0
11:44,Caris LeVert makes 19-foot two point shot,2 - 0
11:21,Nikola Vucevic makes 11-foot two point shot,2 - 2
11:00,Caris LeVert  misses 26-foot three point jumper,2 - 2
11:00,Nikola Vucevic defensive rebound,2 - 2
10:48,Elfrid Payton  misses driving layup,2 - 2
10:48,Rondae Hollis-Jefferson defensive rebound,2 - 2
10:41,Jeremy Lin makes 3-foot layup (Rondae Hollis-Jefferson assists),4 - 2
10:19,Nikola Vucevic makes 18-foot jumper (Terrence Ross assists),4 - 4
10:03,Brook Lopez  out of bounds lost ball turnover,4 - 4
9:47,Nikola Vucevic  misses 4-foot,4 - 4
9:47,Magic offensive team rebound,4 - 4
9:38,Aaron Gordon  misses 18-foot two point jumper,4 - 4
9:37,Caris LeVert defensive rebound,4 - 4
9:26,Rondae Hollis-Jefferson  misses 11-foot two point shot,4 - 4
9:25,Elfrid Payton defensive rebound,4 - 4
9:17,Elfrid Payton Out-of-Bounds Bad Pass Turnover,4 - 4
9:00,Rondae Hollis-Jefferson makes 15-foot jumper (Randy Foye assists),6 - 4
8:40,Terrence Ross makes 25-foot  three point jumper  (Aaron Gordon assists),6 - 7
8:29,Jeremy Lin makes 18-foot two point shot,8 - 7
8:15,Nikola Vucevic  misses layup,8 - 7
8:15,Brook Lopez defensive rebound,8 - 7
8:10,Nikola Vucevic kicked ball violation,8 - 7
8:03,Elfrid Payton blocks Jeremy Lin 's 2-foot  layup,8 - 7
8:02,Nikola Vucevic defensive rebound,8 - 7
7:56,Aaron Gordon makes driving dunk (Terrence Ross assists),8 - 9
7:46,Brook Lopez  misses 25-foot three point jumper,8 - 9
7:45,Aaron Gordon defensive rebound,8 - 9
7:37,Nikola Vucevic makes 6-foot two point shot (Elfrid Payton assists),8 - 11
7:22,Brook Lopez makes 10-foot two point shot (Jeremy Lin assists),10 - 11
7:11,Brook Lopez shooting foul  (Elfrid Payton draws the foul),10 - 11
7:11,Elfrid Payton misses free throw 1 of 2,10 - 11
7:11,Magic offensive team rebound,10 - 11
7:11,Elfrid Payton makes free throw 2 of 2,10 - 12
6:50,Caris LeVert makes layup,12 - 12
6:37,Aaron Gordon makes layup,12 - 14
6:37,Nets Full timeout,12 - 14
6:20,Rondae Hollis-Jefferson  misses 12-foot jumper,12 - 14
6:18,Nikola Vucevic defensive rebound,12 - 14
6:07,Jodie Meeks  misses 20-foot two point jumper,12 - 14
6:05,Rondae Hollis-Jefferson defensive rebound,12 - 14
