time,play,score
12:00,Brook Lopez vs. Myles Turner (Isaiah Whitehead gains possession),0 - 0
11:48,Trevor Booker  misses jumper,0 - 0
11:47,Jeff Teague defensive rebound,0 - 0
11:33,Jeff Teague makes two point shot,0 - 2
11:25,Isaiah Whitehead  misses 2-foot two point shot,0 - 2
11:23,Joe Harris offensive rebound,0 - 2
11:22,Joe Harris makes two point shot,2 - 2
11:00,Glenn Robinson III  misses 24-foot three point jumper,2 - 2
11:00,Isaiah Whitehead defensive rebound,2 - 2
10:41,Brook Lopez  misses 19-foot jumper,2 - 2
10:41,Trevor Booker offensive rebound,2 - 2
10:26,Brook Lopez  bad pass,2 - 2
10:26,Caris LeVert enters the game for Bojan Bogdanovic,2 - 2
10:10,Jeff Teague makes 26-foot  three point jumper  (Paul George assists),2 - 5
9:48,Bojan Bogdanovic enters the game for Caris LeVert,2 - 5
9:45,Myles Turner blocks Brook Lopez 's 26-foot   three point jumper,2 - 5
9:44,Jeff Teague defensive rebound,2 - 5
9:37,Thaddeus Young  misses 8-foot two point shot,2 - 5
9:37,Brook Lopez defensive rebound,2 - 5
9:22,Bojan Bogdanovic  bad pass (Paul George steals),2 - 5
9:18,Glenn Robinson III makes layup (Paul George assists),2 - 7
9:12,Myles Turner blocks Bojan Bogdanovic's  shot,2 - 7
9:12,Nets offensive team rebound,2 - 7
9:10,Brook Lopez  misses 26-foot three point jumper,2 - 7
9:08,Thaddeus Young defensive rebound,2 - 7
8:59,Paul George makes 11-foot two point shot,2 - 9
8:42,Joe Harris  misses 26-foot three point jumper,2 - 9
8:41,Jeff Teague defensive rebound,2 - 9
8:37,Isaiah Whitehead kicked ball violation,2 - 9
8:34,Paul George  misses 21-foot jumper,2 - 9
8:33,Bojan Bogdanovic defensive rebound,2 - 9
8:23,Trevor Booker makes 27-foot  three point jumper  (Bojan Bogdanovic assists),5 - 9
8:11,Joe Harris shooting foul  (Paul George draws the foul),5 - 9
8:11,Paul George makes free throw 1 of 3,5 - 10
8:11,Paul George misses free throw 2 of 3,5 - 10
8:11,Pacers offensive team rebound,5 - 10
8:11,Paul George makes free throw 3 of 3,5 - 11
7:54,Trevor Booker  misses 16-foot jumper,5 - 11
7:54,Glenn Robinson III defensive rebound,5 - 11
7:45,Thaddeus Young makes layup (Jeff Teague assists),5 - 13
7:45,Nets Full timeout,5 - 13
7:45,Sean Kilpatrick enters the game for Joe Harris,5 - 13
7:33,Brook Lopez  bad pass (Paul George steals),5 - 13
7:28,Jeff Teague makes 25-foot  three pointer  (Paul George assists),5 - 16
7:11,Myles Turner blocks Bojan Bogdanovic's  shot,5 - 16
7:11,Jeff Teague defensive rebound,5 - 16
7:03,Glenn Robinson III  misses three point jumper,5 - 16
7:03,Brook Lopez defensive rebound,5 - 16
6:56,Bojan Bogdanovic  misses 24-foot three point jumper,5 - 16
6:56,Glenn Robinson III defensive rebound,5 - 16
6:43,Thaddeus Young  misses 5-foot jumper,5 - 16
6:43,Isaiah Whitehead defensive rebound,5 - 16
6:35,Isaiah Whitehead makes 28-foot  three point jumper  (Bojan Bogdanovic assists),8 - 16
6:07,Thaddeus Young makes 23-foot  three point jumper  (Glenn Robinson III assists),8 - 19
5:50,Trevor Booker makes jumper,10 - 19
5:43,Glenn Robinson III makes dunk (Jeff Teague assists),10 - 21
5:43,Sean Kilpatrick shooting foul  (Glenn Robinson III draws the foul),10 - 21
