time,play,score
12:00,Brook Lopez vs. Clint Capela (Isaiah Whitehead gains possession),0 - 0
11:40,Bojan Bogdanovic makes driving layup,2 - 0
11:19,James Harden makes driving layup,2 - 2
11:04,Ryan Anderson shooting foul  (Brook Lopez draws the foul),2 - 2
11:04,Brook Lopez makes free throw 1 of 2,3 - 2
11:04,Brook Lopez makes free throw 2 of 2,4 - 2
10:53,James Harden  misses three point jumper,4 - 2
10:52,Patrick Beverley offensive rebound,4 - 2
10:45,Ryan Anderson  misses 26-foot three point jumper,4 - 2
10:42,Nets defensive team rebound,4 - 2
10:22,Sean Kilpatrick makes 2-foot two point shot (Brook Lopez assists),6 - 2
10:10,Patrick Beverley  bad pass (Brook Lopez steals),6 - 2
9:56,Trevor Booker  misses 20-foot jumper,6 - 2
9:53,James Harden defensive rebound,6 - 2
9:45,Clint Capela makes 3-foot layup (James Harden assists),6 - 4
9:30,Bojan Bogdanovic  misses 6-foot jumper,6 - 4
9:29,James Harden defensive rebound,6 - 4
9:25,James Harden  bad pass (Trevor Booker steals),6 - 4
9:18,Trevor Booker  misses layup,6 - 4
9:18,Clint Capela defensive rebound,6 - 4
9:10,Trevor Ariza  misses 25-foot three point jumper,6 - 4
9:07,Trevor Booker defensive rebound,6 - 4
8:48,Brook Lopez  misses 9-foot jumper,6 - 4
8:47,Nets offensive team rebound,6 - 4
8:36,Bojan Bogdanovic makes 24-foot  three point jumper  (Isaiah Whitehead assists),9 - 4
8:23,Ryan Anderson  misses 27-foot three point jumper,9 - 4
8:22,Bojan Bogdanovic defensive rebound,9 - 4
8:11,Isaiah Whitehead  misses 24-foot three point jumper,9 - 4
8:10,Ryan Anderson defensive rebound,9 - 4
8:00,Clint Capela makes 2-foot two point shot (Ryan Anderson assists),9 - 6
7:48,Sean Kilpatrick  bad pass (Trevor Ariza steals),9 - 6
7:46,Trevor Ariza makes two point shot (James Harden assists),9 - 8
7:46,Nets Full timeout,9 - 8
7:35,Isaiah Whitehead makes two point shot,11 - 8
7:16,Ryan Anderson makes 25-foot  three point jumper  (James Harden assists),11 - 11
7:03,Sean Kilpatrick  traveling,11 - 11
7:03,Anthony Bennett enters the game for Brook Lopez,11 - 11
6:43,Patrick Beverley makes 26-foot  three point jumper  (James Harden assists),11 - 14
6:31,Sean Kilpatrick Out-of-Bounds Bad Pass Turnover,11 - 14
6:15,Ryan Anderson makes 7-foot two point shot,11 - 16
6:15,Trevor Booker shooting foul  (Ryan Anderson draws the foul),11 - 16
6:15,Joe Harris enters the game for Sean Kilpatrick,11 - 16
6:15,Eric Gordon enters the game for Patrick Beverley,11 - 16
6:15,Ryan Anderson misses free throw 1 of 1,11 - 16
6:13,Joe Harris defensive rebound,11 - 16
5:58,Isaiah Whitehead makes 7-foot two point shot (Joe Harris assists),13 - 16
5:50,Trevor Booker personal foul  (Ryan Anderson draws the foul),13 - 16
5:50,Ryan Anderson makes free throw 1 of 2,13 - 17
5:50,Nene  enters the game for Clint Capela,13 - 17
5:50,Rondae Hollis-Jefferson enters the game for Trevor Booker,13 - 17
5:50,Ryan Anderson makes free throw 2 of 2,13 - 18
5:41,Bojan Bogdanovic  misses 10-foot jumper,13 - 18
5:41,Rockets defensive team rebound,13 - 18
5:41,Bojan Bogdanovic loose ball foul  (Ryan Anderson draws the foul),13 - 18
5:33,Nene  makes dunk (James Harden assists),13 - 20
5:20,Nene  shooting foul  (Joe Harris draws the foul),13 - 20
5:20,Joe Harris makes free throw 1 of 2,14 - 20
5:20,Joe Harris makes free throw 2 of 2,15 - 20
5:03,James Harden makes 12-foot Driving Floating Jump Shot,15 - 22
4:52,Isaiah Whitehead  lost ball turnover (James Harden steals),15 - 22
4:48,James Harden makes 25-foot  three pointer,15 - 25
4:26,Trevor Ariza blocks Bojan Bogdanovic 's 6-foot  jumper,15 - 25
4:24,Trevor Ariza defensive rebound,15 - 25
4:13,Joe Harris shooting foul  (James Harden draws the foul),15 - 25
4:13,James Harden misses free throw 1 of 2,15 - 25
4:13,Rockets offensive team rebound,15 - 25
4:13,Sam Dekker enters the game for Ryan Anderson,15 - 25
