time,play,score
12:00,Brook Lopez vs. Steven Adams (Randy Foye gains possession),0 - 0
11:47,Bojan Bogdanovic  misses cutting layup,0 - 0
11:45,Steven Adams defensive rebound,0 - 0
11:21,Andre Roberson  misses three point jumper,0 - 0
11:19,Victor Oladipo offensive rebound,0 - 0
11:18,Victor Oladipo makes two point shot,0 - 2
11:06,Domantas Sabonis personal foul  (Bojan Bogdanovic draws the foul),0 - 2
10:56,Brook Lopez makes 25-foot  three point jumper  (Randy Foye assists),3 - 2
10:44,Domantas Sabonis  misses driving layup,3 - 2
10:44,Rondae Hollis-Jefferson defensive rebound,3 - 2
10:32,Trevor Booker  misses 4-foot turnaround bank shot,3 - 2
10:30,Andre Roberson defensive rebound,3 - 2
10:27,Steven Adams offensive foul  (Bojan Bogdanovic draws the foul),3 - 2
10:27,Steven Adams  turnover,3 - 2
10:10,Domantas Sabonis blocks Rondae Hollis-Jefferson's  shot,3 - 2
10:08,Russell Westbrook defensive rebound,3 - 2
10:07,Bojan Bogdanovic personal foul  (Russell Westbrook draws the foul),3 - 2
9:55,Andre Roberson makes driving dunk,3 - 4
9:45,Trevor Booker  lost ball turnover (Andre Roberson steals),3 - 4
9:36,Andre Roberson  misses 23-foot three point jumper,3 - 4
9:36,Randy Foye defensive rebound,3 - 4
9:14,Brook Lopez  misses 10-foot turnaround fadeaway shot,3 - 4
9:12,Steven Adams defensive rebound,3 - 4
9:04,Russell Westbrook makes driving layup,3 - 6
8:48,Randy Foye makes 13-foot two point shot,5 - 6
8:29,Steven Adams makes dunk (Victor Oladipo assists),5 - 8
8:10,Rondae Hollis-Jefferson  bad pass (Domantas Sabonis steals),5 - 8
8:02,Andre Roberson makes layup (Russell Westbrook assists),5 - 10
7:43,Rondae Hollis-Jefferson makes 26-foot  three pointer  (Brook Lopez assists),8 - 10
7:28,Domantas Sabonis  misses three point jumper,8 - 10
7:28,Andre Roberson offensive rebound,8 - 10
7:26,Brook Lopez blocks Andre Roberson 's 3-foot  layup,8 - 10
7:26,Thunder offensive team rebound,8 - 10
7:26,Justin Hamilton enters the game for Trevor Booker,8 - 10
7:16,Russell Westbrook makes 13-foot two point shot,8 - 12
6:58,Bojan Bogdanovic makes driving layup,10 - 12
6:46,Domantas Sabonis makes 18-foot jumper (Russell Westbrook assists),10 - 14
6:31,Brook Lopez makes 23-foot  three point jumper  (Randy Foye assists),13 - 14
6:13,Rondae Hollis-Jefferson defensive 3-seconds (Technical Foul),13 - 14
6:13,Russell Westbrook misses technical free throw,13 - 14
6:13,Thunder offensive team rebound,13 - 14
6:13,Thunder Full timeout,13 - 14
6:13,Enes Kanter enters the game for Steven Adams,13 - 14
6:13,Alex Abrines enters the game for Victor Oladipo,13 - 14
6:13,Isaiah Whitehead enters the game for Bojan Bogdanovic,13 - 14
6:13,Joe Harris enters the game for Randy Foye,13 - 14
6:07,Russell Westbrook makes driving layup,13 - 16
5:52,Enes Kanter shooting foul  (Brook Lopez draws the foul),13 - 16
5:52,Brook Lopez makes free throw 1 of 2,14 - 16
5:52,Brook Lopez makes free throw 2 of 2,15 - 16
5:41,Enes Kanter  lost ball turnover (Rondae Hollis-Jefferson steals),15 - 16
5:41,Domantas Sabonis clear path foul  (Rondae Hollis-Jefferson draws the foul),15 - 16
5:41,Steven Adams enters the game for Domantas Sabonis,15 - 16
5:41,Rondae Hollis-Jefferson makes free throw clear path 1 of 2,16 - 16
5:41,Rondae Hollis-Jefferson makes free throw clear path 2 of 2,17 - 16
5:35,Brook Lopez makes 24-foot  three point jumper  (Isaiah Whitehead assists),20 - 16
5:22,Enes Kanter  misses 20-foot jumper,20 - 16
5:22,Russell Westbrook offensive rebound,20 - 16
5:20,Russell Westbrook makes two point shot,20 - 18
5:05,Alex Abrines shooting foul  (Rondae Hollis-Jefferson draws the foul),20 - 18
5:05,Rondae Hollis-Jefferson makes free throw 1 of 2,21 - 18
5:05,Rondae Hollis-Jefferson makes free throw 2 of 2,22 - 18
4:50,Alex Abrines makes 24-foot  three point jumper  (Russell Westbrook assists),22 - 21
4:39,Brook Lopez  misses alley-oop layup,22 - 21
4:39,Enes Kanter defensive rebound,22 - 21
4:33,Justin Hamilton shooting foul  (Enes Kanter draws the foul),22 - 21
4:33,Enes Kanter makes free throw 1 of 2,22 - 22
4:33,Enes Kanter makes free throw 2 of 2,22 - 23
4:26,Joe Harris makes  three point jumper  (Isaiah Whitehead assists),25 - 23
4:03,Alex Abrines makes 21-foot jumper (Andre Roberson assists),25 - 25
3:51,Brook Lopez  misses 26-foot three point jumper,25 - 25
3:51,Andre Roberson defensive rebound,25 - 25
3:46,Alex Abrines makes 23-foot  three point jumper  (Russell Westbrook assists),25 - 28
3:26,Isaiah Whitehead  misses 24-foot three point jumper,25 - 28
3:25,Brook Lopez offensive rebound,25 - 28
3:20,Rondae Hollis-Jefferson  misses driving dunk,25 - 28
3:20,Enes Kanter defensive rebound,25 - 28
3:12,Alex Abrines  misses 23-foot three point jumper,25 - 28
3:12,Justin Hamilton defensive rebound,25 - 28
3:02,Brook Lopez makes 25-foot  three point jumper  (Isaiah Whitehead assists),28 - 28
2:44,Enes Kanter  out of bounds lost ball turnover,28 - 28
2:44,Nets Full timeout,28 - 28
