time,play,score
12:00,Nikola Jokic vs. DeAndre Jordan (Austin Rivers gains possession),0 - 0
11:37,Nikola Jokic shooting foul  (DeAndre Jordan draws the foul),0 - 0
11:37,DeAndre Jordan misses free throw 1 of 2,0 - 0
11:37,Clippers offensive team rebound,0 - 0
11:37,DeAndre Jordan makes free throw 2 of 2,0 - 1
11:15,Emmanuel Mudiay makes 14-foot two point shot,2 - 1
11:00,Wesley Johnson  misses 25-foot three point jumper,2 - 1
11:00,Emmanuel Mudiay defensive rebound,2 - 1
10:52,Gary Harris  misses 5-foot two point shot,2 - 1
10:49,Wesley Johnson defensive rebound,2 - 1
10:33,Austin Rivers  misses 27-foot three point jumper,2 - 1
10:33,Danilo Gallinari defensive rebound,2 - 1
10:27,Danilo Gallinari  bad pass (Jamal Crawford steals),2 - 1
10:22,Jamal Crawford makes 13-foot Running Pullup Jump Shot,2 - 3
10:11,Luc Mbah a Moute shooting foul  (Danilo Gallinari draws the foul),2 - 3
10:11,Danilo Gallinari makes free throw 1 of 2,3 - 3
10:11,Danilo Gallinari makes free throw 2 of 2,4 - 3
9:59,Jamal Crawford  bad pass (Emmanuel Mudiay steals),4 - 3
9:52,Emmanuel Mudiay  misses Running Pullup Jump Shot,4 - 3
9:48,Wesley Johnson defensive rebound,4 - 3
9:44,Luc Mbah a Moute  misses driving layup,4 - 3
9:42,Nikola Jokic defensive rebound,4 - 3
9:25,Wilson Chandler  bad pass (Austin Rivers steals),4 - 3
9:18,Austin Rivers  misses two point shot,4 - 3
9:15,Emmanuel Mudiay defensive rebound,4 - 3
9:11,Danilo Gallinari makes dunk (Wilson Chandler assists),6 - 3
8:56,Jamal Crawford  misses 27-foot three point jumper,6 - 3
8:55,Wilson Chandler defensive rebound,6 - 3
8:45,Gary Harris  misses 15-foot two point jumper,6 - 3
8:45,DeAndre Jordan defensive rebound,6 - 3
8:41,DeAndre Jordan makes layup (Wesley Johnson assists),6 - 5
8:41,Wilson Chandler shooting foul  (DeAndre Jordan draws the foul),6 - 5
8:41,DeAndre Jordan makes free throw 1 of 1,6 - 6
8:30,Wilson Chandler  misses 20-foot jumper,6 - 6
8:26,Luc Mbah a Moute defensive rebound,6 - 6
8:18,Emmanuel Mudiay shooting block foul  (Wesley Johnson draws the foul),6 - 6
8:18,Wesley Johnson misses free throw 1 of 2,6 - 6
8:18,Clippers offensive team rebound,6 - 6
8:18,Wesley Johnson misses free throw 2 of 2,6 - 6
8:18,Nikola Jokic defensive rebound,6 - 6
7:54,Nikola Jokic makes 7-foot two point shot,8 - 6
7:33,Austin Rivers  misses 21-foot step back jumpshot,8 - 6
7:31,Danilo Gallinari defensive rebound,8 - 6
7:24,Danilo Gallinari makes 29-foot  three point jumper  (Wilson Chandler assists),11 - 6
7:01,Jamal Crawford makes 6-foot two point shot,11 - 8
6:46,DeAndre Jordan blocks Gary Harris 's 3-foot  layup,11 - 8
6:43,Nikola Jokic offensive rebound,11 - 8
6:41,Nikola Jokic makes two point shot,13 - 8
6:30,Gary Harris personal foul  (Jamal Crawford draws the foul),13 - 8
6:30,Kenneth Faried enters the game for Wilson Chandler,13 - 8
6:18,Luc Mbah a Moute makes two point shot (Wesley Johnson assists),13 - 10
6:07,Gary Harris makes jumper (Nikola Jokic assists),15 - 10
5:54,Luc Mbah a Moute makes 26-foot  three point jumper  (Wesley Johnson assists),15 - 13
5:41,Emmanuel Mudiay makes 25-foot  three point jumper  (Nikola Jokic assists),18 - 13
5:33,Jamal Crawford  misses 16-foot two point jumper,18 - 13
5:28,Kenneth Faried defensive rebound,18 - 13
5:28,Wesley Johnson shooting foul  (Danilo Gallinari draws the foul),18 - 13
5:28,Clippers Full timeout,18 - 13
5:28,Danilo Gallinari misses free throw 1 of 2,18 - 13
5:28,Nuggets offensive team rebound,18 - 13
5:28,Danilo Gallinari makes free throw 2 of 2,19 - 13
5:09,DeAndre Jordan  misses alley oop dunk shot,19 - 13
5:07,Kenneth Faried defensive rebound,19 - 13
5:01,8 second turnover,19 - 13
4:52,DeAndre Jordan makes two point shot (Jamal Crawford assists),19 - 15
4:26,Nikola Jokic  misses 6-foot two point shot,19 - 15
4:26,Clippers defensive team rebound,19 - 15
4:26,Kenneth Faried loose ball foul  (Wesley Johnson draws the foul),19 - 15
4:26,Wesley Johnson makes free throw 1 of 2,19 - 16
4:26,Raymond Felton enters the game for Austin Rivers,19 - 16
4:26,Wesley Johnson makes free throw 2 of 2,19 - 17
4:13,Wesley Johnson blocks Emmanuel Mudiay's  jumper,19 - 17
4:13,Raymond Felton defensive rebound,19 - 17
4:07,Jamal Crawford makes 13-foot Running Pullup Jump Shot,19 - 19
4:05,Nuggets Full timeout,19 - 19
4:05,Jameer Nelson enters the game for Emmanuel Mudiay,19 - 19
3:46,Nikola Jokic  misses 5-foot hook shot,19 - 19
3:46,Kenneth Faried offensive rebound,19 - 19
3:46,Kenneth Faried makes tip shot,21 - 19
3:46,Nuggets delay of game violation,21 - 19
3:33,Jamal Crawford  bad pass (Nikola Jokic steals),21 - 19
3:28,Kenneth Faried  misses 6-foot two point shot,21 - 19
3:23,Raymond Felton defensive rebound,21 - 19
3:12,Raymond Felton makes 21-foot two point shot,21 - 21
2:59,Nikola Jokic  misses 27-foot three point jumper,21 - 21
2:58,Gary Harris offensive rebound,21 - 21
2:47,Nikola Jokic  misses,21 - 21
2:44,Nikola Jokic makes two point shot,23 - 21
2:44,Nikola Jokic offensive rebound,21 - 21
2:31,Raymond Felton  misses 11-foot two point jumper,23 - 21
2:28,Nikola Jokic defensive rebound,23 - 21
2:24,Wesley Johnson blocks Kenneth Faried 's 2-foot  layup,23 - 21
2:20,Kenneth Faried offensive rebound,23 - 21
2:16,Wesley Johnson personal foul  (Gary Harris draws the foul),23 - 21
2:16,Austin Rivers enters the game for Wesley Johnson,23 - 21
2:16,Brandon Bass enters the game for Jamal Crawford,23 - 21
2:16,Will Barton enters the game for Nikola Jokic,23 - 21
2:16,Wilson Chandler enters the game for Gary Harris,23 - 21
2:06,Wilson Chandler  misses 26-foot three point jumper,23 - 21
2:05,Brandon Bass defensive rebound,23 - 21
1:59,Raymond Felton  bad pass (Kenneth Faried steals),23 - 21
1:47,Jameer Nelson  misses 13-foot two point jumper,23 - 21
1:45,Kenneth Faried offensive rebound,23 - 21
1:40,Will Barton  misses 28-foot three point jumper,23 - 21
1:39,DeAndre Jordan defensive rebound,23 - 21
1:31,Raymond Felton makes 16-foot two point shot (Austin Rivers assists),23 - 23
1:05,Kenneth Faried  misses layup,23 - 23
1:02,Kenneth Faried  misses,23 - 23
1:02,Kenneth Faried offensive rebound,23 - 23
1:00,Luc Mbah a Moute defensive rebound,23 - 23
51.0,Brandon Bass  misses 4-foot,23 - 23
48.0,Wilson Chandler defensive rebound,23 - 23
41.0,Danilo Gallinari  misses 30-foot three point jumper,23 - 23
40.0,Luc Mbah a Moute defensive rebound,23 - 23
23.0,Raymond Felton  misses 19-foot two point jumper,23 - 23
20.0,Danilo Gallinari defensive rebound,23 - 23
1.0,Jameer Nelson  misses three point jumper,23 - 23
0.0,Nuggets offensive team rebound,23 - 23
0.0,End of the 1st Quarter,23 - 23
11:34,Jamal Murray makes 20-foot two point shot (Will Barton assists),25 - 23
11:17,Austin Rivers makes Driving Floating Jump Shot (Raymond Felton assists),25 - 25
11:03,Will Barton makes 27-foot  three point jumper,28 - 25
10:36,Marreese Speights makes 26-foot   (Brandon Bass assists),28 - 28
10:27,Marreese Speights shooting foul  (Kenneth Faried draws the foul),28 - 28
10:27,Kenneth Faried makes free throw 1 of 2,29 - 28
10:27,Kenneth Faried makes free throw 2 of 2,30 - 28
10:15,Austin Rivers makes 11-foot two point shot,30 - 30
10:15,Will Barton shooting foul  (Austin Rivers draws the foul),30 - 30
10:15,Austin Rivers makes free throw 1 of 1,30 - 31
9:53,Will Barton makes driving layup (Wilson Chandler assists),32 - 31
9:40,Raymond Felton  misses two point jumper,32 - 31
9:37,Will Barton defensive rebound,32 - 31
9:32,Kenneth Faried makes 2-foot layup (Will Barton assists),34 - 31
9:14,Will Barton shooting foul  (Brandon Bass draws the foul),34 - 31
9:14,Brandon Bass makes free throw 1 of 2,34 - 32
9:14,Brandon Bass makes free throw 2 of 2,34 - 33
8:59,Wilson Chandler  traveling,34 - 33
8:59,Official timeout,34 - 33
8:59,Clippers delay of game violation,34 - 33
8:38,Alan Anderson makes 3-foot two point shot (Austin Rivers assists),34 - 35
8:22,Alan Anderson shooting foul  (Will Barton draws the foul),34 - 35
8:22,Will Barton makes free throw 1 of 2,35 - 35
8:22,Nikola Jokic enters the game for Kenneth Faried,35 - 35
8:22,Will Barton makes free throw 2 of 2,36 - 35
8:08,Nikola Jokic shooting foul  (Brandon Bass draws the foul),36 - 35
8:08,Brandon Bass makes free throw 1 of 2,36 - 36
8:08,Brandon Bass makes free throw 2 of 2,36 - 37
7:56,Alan Anderson personal foul  (Jamal Murray draws the foul),36 - 37
7:47,Will Barton makes 27-foot  three point jumper  (Jameer Nelson assists),39 - 37
7:20,Austin Rivers makes 28-foot  three point jumper  (Raymond Felton assists),39 - 40
7:09,Jameer Nelson  misses three point jumper,39 - 40
7:07,Brandon Bass defensive rebound,39 - 40
6:48,Marreese Speights  misses 6-foot two point shot,39 - 40
6:45,Will Barton defensive rebound,39 - 40
6:37,Nikola Jokic makes 7-foot two point shot (Jameer Nelson assists),41 - 40
6:37,Clippers Full timeout,41 - 40
6:37,Jamal Crawford enters the game for Alan Anderson,41 - 40
6:37,Danilo Gallinari enters the game for Wilson Chandler,41 - 40
6:16,Austin Rivers  lost ball turnover (Jameer Nelson steals),41 - 40
6:11,Jamal Murray offensive Charge  (Marreese Speights draws the foul),41 - 40
6:11,Jamal Murray  turnover,41 - 40
5:52,Marreese Speights  misses 27-foot three point jumper,41 - 40
5:50,Jamal Murray defensive rebound,41 - 40
5:43,Nikola Jokic makes 5-foot two point shot (Will Barton assists),43 - 40
5:15,Austin Rivers  misses 26-foot three point jumper,43 - 40
5:15,Clippers offensive team rebound,43 - 40
5:15,shot clock turnover,43 - 40
5:15,Gary Harris enters the game for Jamal Murray,43 - 40
5:15,DeAndre Jordan enters the game for Marreese Speights,43 - 40
4:50,Nikola Jokic makes 13-foot two point shot,45 - 40
4:31,Brandon Bass Out-of-Bounds Bad Pass Turnover,45 - 40
4:31,Emmanuel Mudiay enters the game for Jameer Nelson,45 - 40
4:31,Luc Mbah a Moute enters the game for Brandon Bass,45 - 40
4:22,Gary Harris  misses 26-foot three point jumper,45 - 40
4:22,Danilo Gallinari offensive rebound,45 - 40
4:22,Luc Mbah a Moute shooting foul  (Danilo Gallinari draws the foul),45 - 40
4:22,Danilo Gallinari makes free throw 1 of 2,46 - 40
4:22,Danilo Gallinari makes free throw 2 of 2,47 - 40
4:03,Jamal Crawford makes 6-foot two point shot,47 - 42
3:57,Will Barton makes two point shot (Nikola Jokic assists),49 - 42
3:32,Austin Rivers  misses 27-foot three point jumper,49 - 42
3:31,Gary Harris defensive rebound,49 - 42
3:16,Danilo Gallinari  bad pass (DeAndre Jordan steals),49 - 42
3:10,Jamal Crawford  bad pass (Nikola Jokic steals),49 - 42
3:05,Will Barton makes two point shot,51 - 42
3:05,Jamal Crawford shooting foul  (Will Barton draws the foul),51 - 42
3:05,Clippers 20 Sec. timeout,51 - 42
3:05,Will Barton misses free throw 1 of 1,51 - 42
3:04,Jamal Crawford defensive rebound,51 - 42
2:51,Jamal Crawford  misses 15-foot two point jumper,51 - 42
2:49,Danilo Gallinari defensive rebound,51 - 42
2:44,Nikola Jokic makes layup (Will Barton assists),53 - 42
2:31,Raymond Felton  misses 20-foot jumper,53 - 42
2:27,Danilo Gallinari defensive rebound,53 - 42
2:23,Danilo Gallinari makes two point shot,55 - 42
2:00,Raymond Felton  misses driving layup,55 - 42
2:00,DeAndre Jordan  misses 2-foot,55 - 42
2:00,DeAndre Jordan offensive rebound,55 - 42
1:58,Will Barton defensive rebound,55 - 42
1:51,Danilo Gallinari  misses,55 - 42
1:51,Clippers defensive team rebound,55 - 42
1:51,Nuggets Full timeout,55 - 42
1:51,Wilson Chandler enters the game for Nikola Jokic,55 - 42
1:51,Wesley Johnson enters the game for Raymond Felton,55 - 42
1:32,Austin Rivers  misses Driving Floating Jump Shot,55 - 42
1:28,DeAndre Jordan  misses,55 - 42
1:28,DeAndre Jordan offensive rebound,55 - 42
1:23,Will Barton defensive rebound,55 - 42
1:23,Emmanuel Mudiay  lost ball turnover (Jamal Crawford steals),55 - 42
1:15,Jamal Crawford makes 3-foot layup (Austin Rivers assists),55 - 44
59.0,Danilo Gallinari makes 25-foot  three point jumper  (Will Barton assists),58 - 44
44.0,DeAndre Jordan makes two point shot (Jamal Crawford assists),58 - 46
33.0,DeAndre Jordan shooting foul  (Gary Harris draws the foul),58 - 46
33.0,Gary Harris makes free throw 1 of 2,59 - 46
33.0,Kenneth Faried enters the game for Will Barton,59 - 46
33.0,Gary Harris makes free throw 2 of 2,60 - 46
28.0,Jamal Crawford  misses 15-foot two point jumper,60 - 46
23.0,Danilo Gallinari defensive rebound,60 - 46
5.0,Emmanuel Mudiay makes 28-foot  three pointer,63 - 46
1.0,Jamal Crawford  misses Running Pullup Jump Shot,63 - 46
0.0,Clippers offensive team rebound,63 - 46
0.0,End of the 2nd Quarter,63 - 46
11:45,Nikola Jokic  misses 18-foot jumper,63 - 46
11:44,DeAndre Jordan defensive rebound,63 - 46
11:32,Jamal Crawford makes 6-foot Driving Floating Jump Shot,63 - 48
11:23,Emmanuel Mudiay offensive Charge  (Austin Rivers draws the foul),63 - 48
11:23,Emmanuel Mudiay  turnover,63 - 48
11:08,Wesley Johnson makes 24-foot  three point jumper  (Jamal Crawford assists),63 - 51
10:56,Gary Harris  misses 27-foot three point jumper,63 - 51
10:52,DeAndre Jordan defensive rebound,63 - 51
10:48,Luc Mbah a Moute makes 24-foot  three point jumper  (Wesley Johnson assists),63 - 54
10:48,Nuggets Full timeout,63 - 54
10:26,Wilson Chandler  out of bounds lost ball turnover,63 - 54
10:06,Wesley Johnson makes 10-foot two point shot (Jamal Crawford assists),63 - 56
9:48,Danilo Gallinari makes driving layup,65 - 56
9:33,Jamal Crawford  misses 13-foot jumper,65 - 56
9:32,Nikola Jokic defensive rebound,65 - 56
9:26,Gary Harris makes 25-foot  three point jumper  (Nikola Jokic assists),68 - 56
9:02,Austin Rivers  bad pass (Danilo Gallinari steals),68 - 56
8:57,DeAndre Jordan personal foul  (Nikola Jokic draws the foul),68 - 56
8:51,Emmanuel Mudiay offensive foul  (Austin Rivers draws the foul),68 - 56
8:51,Emmanuel Mudiay  turnover,68 - 56
8:33,Wesley Johnson  misses 28-foot three point jumper,68 - 56
8:32,Gary Harris defensive rebound,68 - 56
8:26,Nikola Jokic Out-of-Bounds Bad Pass Turnover,68 - 56
8:11,Wesley Johnson  misses 27-foot three point jumper,68 - 56
8:11,Danilo Gallinari defensive rebound,68 - 56
8:00,Wesley Johnson shooting foul  (Emmanuel Mudiay draws the foul),68 - 56
8:00,Emmanuel Mudiay misses free throw 1 of 2,68 - 56
8:00,Nuggets offensive team rebound,68 - 56
8:00,Emmanuel Mudiay makes free throw 2 of 2,69 - 56
7:43,Austin Rivers makes driving layup,69 - 58
7:33,Emmanuel Mudiay  misses 28-foot three point jumper,69 - 58
7:31,Danilo Gallinari offensive rebound,69 - 58
7:22,Jamal Crawford shooting foul  (Danilo Gallinari draws the foul),69 - 58
7:22,Danilo Gallinari makes free throw 1 of 2,70 - 58
7:22,Danilo Gallinari makes free throw 2 of 2,71 - 58
7:09,DeAndre Jordan  bad pass (Emmanuel Mudiay steals),71 - 58
7:03,Emmanuel Mudiay  lost ball turnover (DeAndre Jordan steals),71 - 58
7:00,Austin Rivers makes two point shot (Luc Mbah a Moute assists),71 - 60
6:41,Nikola Jokic  lost ball turnover (DeAndre Jordan steals),71 - 60
6:35,Austin Rivers  bad pass (Danilo Gallinari steals),71 - 60
6:28,Emmanuel Mudiay  misses 26-foot three point jumper,71 - 60
6:26,DeAndre Jordan defensive rebound,71 - 60
6:20,Jamal Crawford makes 12-foot two point shot,71 - 62
6:20,Nuggets Full timeout,71 - 62
6:20,Raymond Felton enters the game for Austin Rivers,71 - 62
6:20,Jameer Nelson enters the game for Wilson Chandler,71 - 62
6:20,Will Barton enters the game for Emmanuel Mudiay,71 - 62
6:05,Jameer Nelson makes 26-foot  three point jumper  (Gary Harris assists),74 - 62
5:48,Jamal Crawford makes 10-foot two point shot,74 - 64
5:22,Danilo Gallinari  misses 25-foot three point jumper,74 - 64
5:20,Jamal Crawford defensive rebound,74 - 64
5:11,Jamal Crawford  misses,74 - 64
5:07,Nikola Jokic defensive rebound,74 - 64
5:03,Wesley Johnson blocks Danilo Gallinari 's 2-foot  shot,74 - 64
4:58,Luc Mbah a Moute defensive rebound,74 - 64
4:50,Luc Mbah a Moute  misses 17-foot jumper,74 - 64
4:48,Gary Harris defensive rebound,74 - 64
4:46,Wesley Johnson shooting foul  (Gary Harris draws the foul),74 - 64
4:46,Gary Harris makes free throw 1 of 2,75 - 64
4:46,Brandon Bass enters the game for Wesley Johnson,75 - 64
4:46,Gary Harris makes free throw 2 of 2,76 - 64
4:33,Nikola Jokic shooting foul  (DeAndre Jordan draws the foul),76 - 64
4:33,DeAndre Jordan makes free throw 1 of 2,76 - 65
4:33,DeAndre Jordan makes free throw 2 of 2,76 - 66
4:07,Danilo Gallinari  misses 26-foot three point jumper,76 - 66
4:05,Luc Mbah a Moute defensive rebound,76 - 66
4:05,Nikola Jokic personal foul  (Luc Mbah a Moute draws the foul),76 - 66
4:05,Kenneth Faried enters the game for Nikola Jokic,76 - 66
3:40,Jamal Crawford  misses 19-foot jumper,76 - 66
3:39,Brandon Bass offensive rebound,76 - 66
3:19,Raymond Felton makes 19-foot two point shot,76 - 68
3:01,Jamal Crawford personal block  (Gary Harris draws the foul),76 - 68
3:01,Gary Harris makes free throw 1 of 2,77 - 68
3:01,Gary Harris misses free throw 2 of 2,77 - 68
3:00,DeAndre Jordan defensive rebound,77 - 68
2:46,Danilo Gallinari kicked ball violation,77 - 68
2:46,Austin Rivers enters the game for Brandon Bass,77 - 68
2:39,Raymond Felton makes 17-foot two point shot,77 - 70
2:21,Danilo Gallinari  misses 20-foot two point shot,77 - 70
2:19,Luc Mbah a Moute defensive rebound,77 - 70
2:12,Luc Mbah a Moute  misses 25-foot three point jumper,77 - 70
2:11,Will Barton defensive rebound,77 - 70
2:02,Danilo Gallinari  misses 13-foot two point shot,77 - 70
2:00,Luc Mbah a Moute defensive rebound,77 - 70
1:52,Raymond Felton  misses two point jumper,77 - 70
1:49,Kenneth Faried defensive rebound,77 - 70
1:31,Gary Harris  misses 27-foot three point jumper,77 - 70
1:31,Kenneth Faried offensive rebound,77 - 70
1:30,Kenneth Faried makes 7-foot two point shot,79 - 70
1:01,Raymond Felton makes 11-foot two point shot (Austin Rivers assists),79 - 72
51.0,Jameer Nelson  misses 21-foot two point jumper,79 - 72
48.0,DeAndre Jordan defensive rebound,79 - 72
40.0,Austin Rivers makes driving layup,79 - 74
31.0,back court turnover,79 - 74
31.0,Wilson Chandler enters the game for Danilo Gallinari,79 - 74
31.0,Marreese Speights enters the game for Luc Mbah a Moute,79 - 74
31.0,Brandon Bass enters the game for DeAndre Jordan,79 - 74
11.0,Kenneth Faried blocks Austin Rivers 's 2-foot  layup,79 - 74
9.0,Wilson Chandler defensive rebound,79 - 74
7.0,Wilson Chandler offensive Charge  (Marreese Speights draws the foul),79 - 74
7.0,Wilson Chandler  turnover,79 - 74
5.0,Gary Harris personal foul  (Jamal Crawford draws the foul),79 - 74
0.0,Jamal Crawford makes 28-foot  three pointer,79 - 77
0.0,End of the 3rd Quarter,79 - 77
11:41,Brandon Bass makes dunk (Jamal Crawford assists),79 - 79
11:15,Jamal Murray  misses 16-foot two point jumper,79 - 79
11:14,Brandon Bass defensive rebound,79 - 79
11:07,Kenneth Faried shooting foul  (Brandon Bass draws the foul),79 - 79
11:07,Brandon Bass makes free throw 1 of 2,79 - 80
11:07,Brandon Bass makes free throw 2 of 2,79 - 81
10:57,Wilson Chandler  traveling,79 - 81
10:42,Jamal Crawford  misses driving layup,79 - 81
10:40,Kenneth Faried defensive rebound,79 - 81
10:33,Jameer Nelson  misses Running Pullup Jump Shot,79 - 81
10:30,Austin Rivers defensive rebound,79 - 81
10:18,Brandon Bass  misses jumper,79 - 81
10:18,Will Barton defensive rebound,79 - 81
10:11,Brandon Bass blocks Will Barton's  shot,79 - 81
10:10,Austin Rivers defensive rebound,79 - 81
10:00,Will Barton shooting foul  (Brandon Bass draws the foul),79 - 81
10:00,Brandon Bass makes free throw 1 of 2,79 - 82
10:00,Alan Anderson enters the game for Jamal Crawford,79 - 82
10:00,Brandon Bass misses free throw 2 of 2,79 - 82
9:59,Kenneth Faried defensive rebound,79 - 82
9:48,Will Barton makes 26-foot  step back jumpshot  (Jameer Nelson assists),82 - 82
9:26,Marreese Speights makes layup,82 - 84
9:14,Jameer Nelson makes two point shot (Kenneth Faried assists),84 - 84
9:03,Marreese Speights makes 26-foot  three point jumper  (Raymond Felton assists),84 - 87
8:45,Will Barton  misses 23-foot three point jumper,84 - 87
8:44,Marreese Speights defensive rebound,84 - 87
8:29,Austin Rivers makes 3-foot layup (Marreese Speights assists),84 - 89
8:29,Nuggets Full timeout,84 - 89
8:29,Nikola Jokic enters the game for Kenneth Faried,84 - 89
8:19,Jameer Nelson  misses two point shot,84 - 89
8:18,Wilson Chandler offensive rebound,84 - 89
8:08,Jamal Murray  misses 26-foot three point jumper,84 - 89
8:07,Raymond Felton defensive rebound,84 - 89
7:48,Brandon Bass makes layup (Austin Rivers assists),84 - 91
7:33,Nikola Jokic makes 27-foot  three point jumper  (Will Barton assists),87 - 91
7:07,Raymond Felton  misses 27-foot three point jumper,87 - 91
7:05,Alan Anderson offensive rebound,87 - 91
7:00,Marreese Speights  misses 12-foot jumper,87 - 91
6:58,Will Barton defensive rebound,87 - 91
6:56,Raymond Felton shooting foul  (Will Barton draws the foul),87 - 91
6:56,Will Barton makes free throw 1 of 2,88 - 91
6:56,Danilo Gallinari enters the game for Jamal Murray,88 - 91
6:56,Will Barton makes free throw 2 of 2,89 - 91
6:43,Austin Rivers makes 25-foot  three point jumper  (Brandon Bass assists),89 - 94
6:35,Jameer Nelson  misses 26-foot three point jumper,89 - 94
6:33,Marreese Speights defensive rebound,89 - 94
6:22,Will Barton shooting foul  (Marreese Speights draws the foul),89 - 94
6:22,Marreese Speights makes free throw 1 of 2,89 - 95
6:22,Marreese Speights misses free throw 2 of 2,89 - 95
6:20,Nikola Jokic defensive rebound,89 - 95
6:05,Nikola Jokic makes 4-foot two point shot (Jameer Nelson assists),91 - 95
5:48,Austin Rivers  misses Driving Floating Jump Shot,91 - 95
5:46,Nikola Jokic defensive rebound,91 - 95
5:41,Marreese Speights blocks Will Barton 's 4-foot  shot,91 - 95
5:35,Austin Rivers defensive rebound,91 - 95
5:33,Clippers Full timeout,91 - 95
5:33,Jamal Crawford enters the game for Alan Anderson,91 - 95
5:22,Luc Mbah a Moute enters the game for Raymond Felton,91 - 95
5:22,DeAndre Jordan enters the game for Marreese Speights,91 - 95
5:22,Wilson Chandler vs. Austin Rivers (Nikola Jokic gains possession),91 - 95
