time,play,score
12:00,Mason Plumlee vs. Clint Capela (Ryan Anderson gains possession),0 - 0
11:41,James Harden  misses three point jumper,0 - 0
11:41,Juan Hernangomez defensive rebound,0 - 0
11:30,Gary Harris makes driving layup,2 - 0
11:18,Patrick Beverley makes driving layup,2 - 2
11:07,Jameer Nelson  misses 22-foot two point jumper,2 - 2
11:06,Clint Capela defensive rebound,2 - 2
10:48,James Harden  misses 11-foot,2 - 2
10:48,Nikola Jokic defensive rebound,2 - 2
10:41,Juan Hernangomez makes layup (Nikola Jokic assists),4 - 2
10:26,Trevor Ariza makes driving dunk,4 - 4
10:03,Gary Harris  misses 26-foot three point jumper,4 - 4
10:03,Clint Capela defensive rebound,4 - 4
9:55,Nikola Jokic blocks Clint Capela's  layup,4 - 4
9:52,Gary Harris defensive rebound,4 - 4
9:44,Clint Capela personal foul  (Nikola Jokic draws the foul),4 - 4
9:36,Mason Plumlee  misses 18-foot jumper,4 - 4
9:34,James Harden defensive rebound,4 - 4
9:23,James Harden  bad pass (Juan Hernangomez steals),4 - 4
9:11,Nikola Jokic  misses 25-foot three point jumper,4 - 4
9:10,James Harden defensive rebound,4 - 4
9:00,Ryan Anderson makes  three point jumper  (James Harden assists),4 - 7
8:45,Gary Harris makes 1-foot two point shot (Jameer Nelson assists),6 - 7
8:34,Trevor Ariza makes 26-foot  three pointer  (James Harden assists),6 - 10
8:21,Juan Hernangomez  misses 26-foot three point jumper,6 - 10
8:18,Clint Capela defensive rebound,6 - 10
8:11,Ryan Anderson  misses 23-foot three point jumper,6 - 10
8:11,Juan Hernangomez defensive rebound,6 - 10
7:58,Gary Harris  bad pass (James Harden steals),6 - 10
7:56,James Harden makes two point shot,6 - 12
7:54,Nuggets Full timeout,6 - 12
7:54,Will Barton enters the game for Juan Hernangomez,6 - 12
7:39,Mason Plumlee makes dunk (Gary Harris assists),8 - 12
7:20,Clint Capela makes 2-foot two point shot (Ryan Anderson assists),8 - 14
7:05,Gary Harris makes 17-foot two point shot,10 - 14
7:05,Trevor Ariza shooting foul  (Gary Harris draws the foul),10 - 14
7:05,Gary Harris makes free throw 1 of 1,11 - 14
6:58,Will Barton personal foul  (Trevor Ariza draws the foul),11 - 14
6:50,Patrick Beverley makes 25-foot  three point jumper  (Trevor Ariza assists),11 - 17
6:39,Jameer Nelson  misses 25-foot three point jumper,11 - 17
6:37,Rockets defensive team rebound,11 - 17
6:24,Trevor Ariza  misses layup,11 - 17
6:22,Jameer Nelson defensive rebound,11 - 17
6:16,Gary Harris makes two point shot (Will Barton assists),13 - 17
5:58,Mason Plumlee shooting foul  (James Harden draws the foul),13 - 17
5:58,James Harden makes free throw 1 of 2,13 - 18
5:58,Eric Gordon enters the game for Patrick Beverley,13 - 18
5:58,Nene  enters the game for Clint Capela,13 - 18
5:58,Kenneth Faried enters the game for Mason Plumlee,13 - 18
5:58,James Harden misses free throw 2 of 2,13 - 18
5:58,Nikola Jokic defensive rebound,13 - 18
5:33,shot clock turnover,13 - 18
5:26,James Harden  misses 9-foot two point shot,13 - 18
5:24,Nikola Jokic defensive rebound,13 - 18
5:16,Kenneth Faried  misses layup,13 - 18
5:15,Nikola Jokic offensive rebound,13 - 18
5:13,Kenneth Faried offensive Charge  (Nene  draws the foul),13 - 18
5:13,Kenneth Faried  turnover,13 - 18
5:05,Eric Gordon makes  three pointer  (James Harden assists),13 - 21
4:52,Nikola Jokic Out-of-Bounds Bad Pass Turnover,13 - 21
4:39,Nene   misses 19-foot jumper,13 - 21
4:39,Will Barton defensive rebound,13 - 21
4:28,Kenneth Faried makes layup (Will Barton assists),15 - 21
4:28,James Harden shooting foul  (Kenneth Faried draws the foul),15 - 21
4:28,Lou Williams enters the game for Ryan Anderson,15 - 21
4:28,Kenneth Faried makes free throw 1 of 1,16 - 21
4:15,James Harden  misses 25-foot three point jumper,16 - 21
4:13,Nikola Jokic defensive rebound,16 - 21
4:03,Gary Harris  misses 19-foot two point jumper,16 - 21
4:01,Trevor Ariza defensive rebound,16 - 21
3:57,James Harden makes two point shot,16 - 23
3:43,Jameer Nelson  misses layup,16 - 23
3:42,Kenneth Faried offensive rebound,16 - 23
3:39,Kenneth Faried  misses layup,16 - 23
3:38,Kenneth Faried offensive rebound,16 - 23
3:36,Kenneth Faried  misses layup,16 - 23
3:36,Nene  defensive rebound,16 - 23
3:29,Nikola Jokic shooting foul  (Eric Gordon draws the foul),16 - 23
3:29,Eric Gordon makes free throw 1 of 2,16 - 24
3:29,Eric Gordon makes free throw 2 of 2,16 - 25
3:10,Nikola Jokic Out-of-Bounds Bad Pass Turnover,16 - 25
2:58,Lou Williams  misses 7-foot jumper,16 - 25
2:57,Nikola Jokic defensive rebound,16 - 25
2:53,Gary Harris makes two point shot (Nikola Jokic assists),18 - 25
2:40,Eric Gordon  misses 25-foot three point jumper,18 - 25
2:40,Nuggets defensive team rebound,18 - 25
2:40,Rockets Full timeout,18 - 25
2:40,Jamal Murray enters the game for Nikola Jokic,18 - 25
2:40,Mason Plumlee enters the game for Jameer Nelson,18 - 25
2:31,Jamal Murray  bad pass (Trevor Ariza steals),18 - 25
2:28,Trevor Ariza makes two point shot,18 - 27
2:08,Kenneth Faried  bad pass (Nene  steals),18 - 27
2:02,Lou Williams makes 18-foot two point shot,18 - 29
2:02,Kenneth Faried shooting foul  (Lou Williams draws the foul),18 - 29
2:02,Sam Dekker enters the game for Trevor Ariza,18 - 29
2:02,Lou Williams makes free throw 1 of 1,18 - 30
1:52,Will Barton  misses 6-foot jumper,18 - 30
1:51,Mason Plumlee offensive rebound,18 - 30
1:49,Mason Plumlee makes tip shot,20 - 30
1:32,Sam Dekker makes 7-foot two point shot (Lou Williams assists),20 - 32
1:20,Will Barton  bad pass (Sam Dekker steals),20 - 32
1:20,Gary Harris personal take foul  (Sam Dekker draws the foul),20 - 32
1:20,Sam Dekker makes free throw 1 of 2,20 - 33
1:20,Sam Dekker misses free throw 2 of 2,20 - 33
1:20,Will Barton defensive rebound,20 - 33
1:05,Kenneth Faried  misses jumper,20 - 33
1:02,Kenneth Faried offensive rebound,20 - 33
1:01,Kenneth Faried makes tip shot,22 - 33
55.0,James Harden  traveling,22 - 33
43.0,Will Barton makes 25-foot  three point jumper  (Gary Harris assists),25 - 33
35.0,Jamal Murray shooting foul  (James Harden draws the foul),25 - 33
35.0,James Harden makes free throw 1 of 2,25 - 34
35.0,James Harden makes free throw 2 of 2,25 - 35
25.0,Will Barton makes 25-foot  step back jumpshot,28 - 35
0.0,James Harden  lost ball turnover (Gary Harris steals),28 - 35
0.0,Will Barton  misses 40-foot three point jumper,28 - 35
0.0,Nuggets offensive team rebound,28 - 35
0.0,End of the 1st Quarter,28 - 35
11:47,Nene  kicked ball violation,28 - 35
11:38,Emmanuel Mudiay  misses 20-foot jumper,28 - 35
11:37,Lou Williams defensive rebound,28 - 35
11:33,Sam Dekker  misses,28 - 35
11:33,Jamal Murray defensive rebound,28 - 35
11:26,Juan Hernangomez makes two point shot,30 - 35
11:10,Eric Gordon  misses 26-foot three point jumper,30 - 35
11:08,Jamal Murray defensive rebound,30 - 35
10:56,Patrick Beverley shooting foul  (Juan Hernangomez draws the foul),30 - 35
10:56,Juan Hernangomez makes free throw 1 of 2,31 - 35
10:56,Juan Hernangomez makes free throw 2 of 2,32 - 35
10:41,Jamal Murray shooting foul  (Lou Williams draws the foul),32 - 35
10:41,Lou Williams makes free throw 1 of 2,32 - 36
10:41,Lou Williams misses free throw 2 of 2,32 - 36
10:41,Juan Hernangomez defensive rebound,32 - 36
10:30,Emmanuel Mudiay makes 25-foot  three point jumper  (Nikola Jokic assists),35 - 36
10:22,Lou Williams  misses 26-foot three point jumper,35 - 36
10:21,Will Barton defensive rebound,35 - 36
10:15,Emmanuel Mudiay  lost ball turnover (Sam Dekker steals),35 - 36
10:04,Patrick Beverley  misses 26-foot three point jumper,35 - 36
10:03,Will Barton defensive rebound,35 - 36
9:59,Will Barton makes driving layup,37 - 36
9:59,Patrick Beverley shooting foul  (Will Barton draws the foul),37 - 36
9:59,Will Barton makes free throw 1 of 1,38 - 36
9:34,Nene   misses 15-foot jumper,38 - 36
9:32,Patrick Beverley offensive rebound,38 - 36
9:27,Sam Dekker makes layup (Patrick Beverley assists),38 - 38
9:11,Jamal Murray makes layup (Nikola Jokic assists),40 - 38
9:00,Lou Williams  misses 5-foot jumper,40 - 38
8:59,Nikola Jokic defensive rebound,40 - 38
8:57,Lou Williams personal foul  (Nikola Jokic draws the foul),40 - 38
8:57,Clint Capela enters the game for Nene,40 - 38
8:57,Ryan Anderson enters the game for Sam Dekker,40 - 38
8:41,Will Barton  misses 19-foot two point jumper,40 - 38
8:41,Clint Capela defensive rebound,40 - 38
8:33,Emmanuel Mudiay shooting foul  (Eric Gordon draws the foul),40 - 38
8:33,Eric Gordon makes free throw 1 of 2,40 - 39
8:33,Eric Gordon makes free throw 2 of 2,40 - 40
8:23,Jamal Murray  misses 9-foot two point shot,40 - 40
8:19,Jamal Murray vs. Patrick Beverley (Ryan Anderson gains possession),40 - 40
8:19,Rockets offensive team rebound,40 - 40
8:11,Clint Capela makes dunk (Eric Gordon assists),40 - 42
7:58,Emmanuel Mudiay makes 25-foot  three point jumper  (Will Barton assists),43 - 42
7:43,Patrick Beverley  bad pass,43 - 42
7:35,Jamal Murray  misses 24-foot,43 - 42
7:33,Lou Williams defensive rebound,43 - 42
7:24,Lou Williams  traveling,43 - 42
7:16,Eric Gordon blocks Will Barton's  shot,43 - 42
7:16,Nuggets offensive team rebound,43 - 42
7:16,Trevor Ariza enters the game for Lou Williams,43 - 42
7:16,James Harden enters the game for Patrick Beverley,43 - 42
7:09,Eric Gordon shooting foul  (Emmanuel Mudiay draws the foul),43 - 42
7:09,Emmanuel Mudiay makes free throw 1 of 2,44 - 42
7:09,Gary Harris enters the game for Will Barton,44 - 42
7:09,Emmanuel Mudiay makes free throw 2 of 2,45 - 42
6:52,Clint Capela makes two point shot (Eric Gordon assists),45 - 44
6:43,Juan Hernangomez makes dunk (Nikola Jokic assists),47 - 44
6:37,Eric Gordon  misses 26-foot three point jumper,47 - 44
6:35,Nikola Jokic defensive rebound,47 - 44
6:30,Gary Harris makes two point shot (Nikola Jokic assists),49 - 44
6:07,Clint Capela makes two point shot (James Harden assists),49 - 46
