time,play,score
12:00,Jusuf Nurkic vs. Tyson Chandler,0 - 0
11:52,Marquese Chriss  bad pass,0 - 0
11:34,Jusuf Nurkic makes 9-foot two point shot,2 - 0
11:19,Devin Booker  misses 16-foot two point jumper,2 - 0
11:17,Jameer Nelson defensive rebound,2 - 0
11:15,Eric Bledsoe shooting foul  (Emmanuel Mudiay draws the foul),4 - 0
11:15,Emmanuel Mudiay makes free throw 1 of 2,3 - 0
11:15,Emmanuel Mudiay makes free throw 2 of 2,4 - 0
10:49,P.J. Tucker  misses 12-foot jumper,4 - 0
10:48,Wilson Chandler defensive rebound,4 - 0
10:37,Jusuf Nurkic makes 1-foot layup (Emmanuel Mudiay assists),6 - 0
10:14,Eric Bledsoe  misses 11-foot jumper,6 - 0
10:11,Wilson Chandler defensive rebound,6 - 0
10:00,Emmanuel Mudiay makes 26-foot  three point jumper  (Jameer Nelson assists),9 - 0
9:59,Suns Full timeout,9 - 0
9:47,Devin Booker  misses 21-foot two point jumper,9 - 0
9:45,Kenneth Faried defensive rebound,9 - 0
9:41,Kenneth Faried offensive Charge  (Tyson Chandler draws the foul),9 - 0
9:41,Kenneth Faried  turnover,9 - 0
9:27,P.J. Tucker  misses 23-foot three point jumper,9 - 0
9:26,Kenneth Faried defensive rebound,9 - 0
9:14,Marquese Chriss shooting block foul  (Emmanuel Mudiay draws the foul),9 - 0
9:14,Emmanuel Mudiay makes free throw 1 of 2,10 - 0
9:14,Emmanuel Mudiay makes free throw 2 of 2,11 - 0
8:55,Marquese Chriss  misses 16-foot two point shot,11 - 0
8:52,Wilson Chandler defensive rebound,11 - 0
8:41,Jusuf Nurkic  misses 6-foot hook shot,11 - 0
8:38,Kenneth Faried offensive rebound,11 - 0
8:34,Jusuf Nurkic  misses jumper,11 - 0
8:33,Eric Bledsoe defensive rebound,11 - 0
8:22,Eric Bledsoe makes 25-foot  three point jumper,11 - 3
8:00,Jameer Nelson  misses driving layup,11 - 3
7:58,Devin Booker defensive rebound,11 - 3
7:45,Devin Booker makes 17-foot two point shot,11 - 5
7:33,Emmanuel Mudiay makes 1-foot layup (Jusuf Nurkic assists),13 - 5
7:20,Eric Bledsoe makes 16-foot jumper,13 - 7
7:11,Kenneth Faried makes two point shot (Jusuf Nurkic assists),15 - 7
7:11,Marquese Chriss shooting foul  (Kenneth Faried draws the foul),15 - 7
7:11,Dragan Bender enters the game for Marquese Chriss,15 - 7
7:11,Kenneth Faried makes free throw 1 of 1,16 - 7
6:58,Tyson Chandler makes 2-foot layup (Devin Booker assists),16 - 9
6:43,Kenneth Faried makes dunk (Emmanuel Mudiay assists),19 - 9
6:43,Marquese Chriss technical foul(1st technical foul),18 - 9
6:43,Emmanuel Mudiay makes technical free throw,19 - 9
6:30,Jameer Nelson personal foul  (Devin Booker draws the foul),19 - 9
6:20,Devin Booker makes 25-foot  three point jumper,19 - 12
6:07,P.J. Tucker personal foul  (Jusuf Nurkic draws the foul),19 - 12
6:00,Wilson Chandler  misses 25-foot three point jumper,19 - 12
5:56,Tyson Chandler defensive rebound,19 - 12
5:56,Eric Bledsoe makes layup,19 - 14
5:56,Kenneth Faried defensive goaltending violation,19 - 14
5:41,Jameer Nelson  misses 26-foot three point jumper,19 - 14
5:39,Tyson Chandler defensive rebound,19 - 14
5:31,P.J. Tucker makes 25-foot  three point jumper  (Devin Booker assists),19 - 17
5:31,Nuggets Full timeout,19 - 17
5:31,Darrell Arthur enters the game for Kenneth Faried,19 - 17
5:31,Jamal Murray enters the game for Jameer Nelson,19 - 17
5:20,Jamal Murray  out of bounds lost ball turnover,19 - 17
5:05,Dragan Bender  misses 25-foot three point jumper,19 - 17
5:05,Nuggets defensive team rebound,19 - 17
4:52,Wilson Chandler  misses 10-foot jump bank shot,19 - 17
4:50,P.J. Tucker defensive rebound,19 - 17
4:41,Eric Bledsoe  misses 9-foot two point shot,19 - 17
4:39,Jusuf Nurkic defensive rebound,19 - 17
4:26,Emmanuel Mudiay  misses 25-foot three point jumper,19 - 17
4:24,Tyson Chandler defensive rebound,19 - 17
4:16,Eric Bledsoe makes 24-foot  three point jumper  (P.J. Tucker assists),19 - 20
3:54,Darrell Arthur makes 23-foot  three point jumper  (Jamal Murray assists),22 - 20
3:41,Jamal Murray personal foul  (Dragan Bender draws the foul),22 - 20
3:41,Nikola Jokic enters the game for Jusuf Nurkic,22 - 20
3:41,Alex Len enters the game for Tyson Chandler,22 - 20
3:41,Brandon Knight enters the game for Eric Bledsoe,22 - 20
3:38,Dragan Bender 3 second turnover,22 - 20
3:26,Nikola Jokic  misses jumper,22 - 20
3:24,Wilson Chandler offensive rebound,22 - 20
3:17,Jamal Murray  misses 25-foot three point jumper,22 - 20
3:14,Brandon Knight defensive rebound,22 - 20
3:11,Jamal Murray personal block  (Dragan Bender draws the foul),22 - 20
3:01,Alex Len  misses 8-foot jumper,22 - 20
3:00,Emmanuel Mudiay defensive rebound,22 - 20
2:47,Darrell Arthur  misses 9-foot,22 - 20
2:41,Devin Booker defensive rebound,22 - 20
2:38,Devin Booker  bad pass (Wilson Chandler steals),22 - 20
2:32,Emmanuel Mudiay makes layup (Jamal Murray assists),24 - 20
2:15,Brandon Knight  misses 10-foot two point shot,24 - 20
2:14,Brandon Knight  misses,24 - 23
2:14,Brandon Knight offensive rebound,24 - 20
2:14,Alex Len makes layup,24 - 22
2:14,Alex Len offensive rebound,24 - 20
2:14,Darrell Arthur shooting foul  (Alex Len draws the foul),24 - 23
2:14,Alonzo Gee enters the game for Wilson Chandler,24 - 22
2:14,Jameer Nelson enters the game for Emmanuel Mudiay,24 - 22
2:14,Eric Bledsoe enters the game for Devin Booker,24 - 22
2:14,Alex Len makes free throw 1 of 1,24 - 23
2:05,Jameer Nelson  traveling,24 - 23
1:53,Eric Bledsoe makes 9-foot jumper,24 - 25
1:34,Jamal Murray  misses 16-foot jumper,24 - 25
1:31,P.J. Tucker defensive rebound,24 - 25
1:16,Jameer Nelson personal foul  (P.J. Tucker draws the foul),24 - 25
1:16,P.J. Tucker makes free throw 1 of 2,24 - 26
1:16,Malik Beasley enters the game for Jamal Murray,24 - 26
1:16,P.J. Tucker misses free throw 2 of 2,24 - 26
1:15,Alonzo Gee defensive rebound,24 - 26
59.0,Jameer Nelson makes 25-foot  three point jumper  (Nikola Jokic assists),27 - 26
52.0,Alonzo Gee personal foul  (Brandon Knight draws the foul),27 - 26
52.0,Brandon Knight makes free throw 1 of 2,27 - 27
52.0,Brandon Knight makes free throw 2 of 2,27 - 28
39.0,Malik Beasley  misses jumper,27 - 28
38.0,Nikola Jokic offensive rebound,27 - 28
38.0,Nikola Jokic makes two point shot,29 - 28
27.0,P.J. Tucker  misses 24-foot three point jumper,29 - 28
25.0,Darrell Arthur defensive rebound,29 - 28
4.0,P.J. Tucker kicked ball violation,29 - 28
1.0,Eric Bledsoe blocks Jameer Nelson 's 15-foot  jumper,29 - 28
0.0,Dragan Bender defensive rebound,29 - 28
0.0,End of the 1st Quarter,29 - 28
11:42,Darrell Arthur  misses 17-foot jumper,29 - 28
11:41,Alex Len defensive rebound,29 - 28
11:25,Brandon Knight  misses 18-foot two point jumper,29 - 28
11:22,Nikola Jokic defensive rebound,29 - 28
11:11,Darrell Arthur  misses 17-foot jumper,29 - 28
11:10,Leandro Barbosa defensive rebound,29 - 28
11:03,Alex Len  out of bounds lost ball turnover,29 - 28
10:52,Jameer Nelson makes 16-foot two point shot,31 - 28
10:34,Leandro Barbosa  misses 16-foot jumper,31 - 28
10:33,Malik Beasley defensive rebound,31 - 28
