time,play,score
12:00,Myles Turner vs. Richaun Holmes (Jeff Teague gains possession),0 - 0
11:45,Jeff Teague  bad pass (T.J. McConnell steals),0 - 0
11:37,Justin Anderson  misses 25-foot three point jumper,0 - 0
11:36,Monta Ellis defensive rebound,0 - 0
11:26,Dario Saric blocks Myles Turner 's 6-foot  jumper,0 - 0
11:25,Myles Turner offensive rebound,0 - 0
11:22,Myles Turner makes layup,2 - 0
11:11,T.J. McConnell Out-of-Bounds Bad Pass Turnover,2 - 0
11:07,Myles Turner  traveling,2 - 0
10:48,Timothe Luwawu-Cabarrot makes 1-foot layup (Dario Saric assists),2 - 2
10:32,Monta Ellis makes 18-foot two point shot (Paul George assists),4 - 2
10:15,Justin Anderson  bad pass (Jeff Teague steals),4 - 2
10:10,Thaddeus Young makes two point shot (Monta Ellis assists),6 - 2
9:51,T.J. McConnell  misses 24-foot three point jumper,6 - 2
9:49,Myles Turner defensive rebound,6 - 2
9:45,Thaddeus Young makes layup (Jeff Teague assists),8 - 2
9:29,Dario Saric  out of bounds lost ball turnover,8 - 2
9:25,Paul George makes 25-foot  three point jumper  (Jeff Teague assists),11 - 2
9:25,76ers Full timeout,11 - 2
9:11,Timothe Luwawu-Cabarrot makes driving layup (Dario Saric assists),11 - 4
8:56,Paul George  misses 24-foot three point jumper,11 - 4
8:53,T.J. McConnell defensive rebound,11 - 4
8:45,Dario Saric  misses three point jumper,11 - 4
8:42,Thaddeus Young defensive rebound,11 - 4
8:37,Richaun Holmes personal foul  (Myles Turner draws the foul),11 - 4
8:30,Paul George makes 16-foot two point shot (Myles Turner assists),13 - 4
8:18,Richaun Holmes  misses 18-foot jumper,13 - 4
8:18,Myles Turner defensive rebound,13 - 4
8:15,Myles Turner  bad pass (Dario Saric steals),13 - 4
7:52,Paul George blocks Justin Anderson 's 25-foot   three point jumper,13 - 4
7:50,Thaddeus Young defensive rebound,13 - 4
7:43,Paul George makes 27-foot  three point jumper  (Thaddeus Young assists),16 - 4
7:26,Jeff Teague shooting foul  (Justin Anderson draws the foul),16 - 4
7:26,Justin Anderson makes free throw 1 of 2,16 - 5
7:26,Justin Anderson makes free throw 2 of 2,16 - 6
