time,play,score
12:00,Myles Turner vs. Miles Plumlee (Giannis Antetokounmpo gains possession),0 - 0
11:41,Matthew Dellavedova  bad pass (Myles Turner steals),0 - 0
11:32,Jeff Teague makes 27-foot  three point jumper  (Paul George assists),3 - 0
11:17,Jabari Parker  misses 17-foot jumper,3 - 0
11:15,Jeff Teague defensive rebound,3 - 0
11:11,Miles Plumlee shooting block foul  (Jeff Teague draws the foul),3 - 0
11:11,Jeff Teague makes free throw 1 of 2,4 - 0
11:11,Jeff Teague makes free throw 2 of 2,5 - 0
11:03,Giannis Antetokounmpo offensive foul  (Monta Ellis draws the foul),5 - 0
11:03,Giannis Antetokounmpo  turnover,5 - 0
10:48,Paul George Out-of-Bounds Bad Pass Turnover,5 - 0
10:30,Jabari Parker makes 13-foot jumper (Giannis Antetokounmpo assists),5 - 2
10:15,Paul George makes two point shot (Jeff Teague assists),7 - 2
9:56,Giannis Antetokounmpo  misses 27-foot three point jumper,7 - 2
9:55,Jabari Parker offensive rebound,7 - 2
9:49,Tony Snell makes two point shot,7 - 4
9:38,Paul George  bad pass (Miles Plumlee steals),7 - 4
9:33,Jabari Parker makes two point shot (Matthew Dellavedova assists),7 - 6
9:17,Myles Turner makes 17-foot jumper (Jeff Teague assists),9 - 6
8:56,Tony Snell makes 21-foot jumper (Giannis Antetokounmpo assists),9 - 8
8:32,Paul George 3 second turnover,9 - 8
8:18,Miles Plumlee  bad pass (Myles Turner steals),9 - 8
8:14,Thaddeus Young  lost ball turnover (Giannis Antetokounmpo steals),9 - 8
8:06,Jabari Parker makes  three point jumper  (Giannis Antetokounmpo assists),9 - 11
7:43,Myles Turner makes 4-foot two point shot,11 - 11
7:30,Matthew Dellavedova  bad pass (Paul George steals),11 - 11
7:22,Paul George makes 15-foot two point shot,13 - 11
7:05,Tony Snell makes 18-foot jumper (Miles Plumlee assists),13 - 13
6:54,Thaddeus Young makes 4-foot layup (Jeff Teague assists),15 - 13
6:39,Tony Snell  misses three point jumper,15 - 13
6:37,Thaddeus Young defensive rebound,15 - 13
6:26,Miles Plumlee personal foul  (Paul George draws the foul),15 - 13
6:26,Greg Monroe enters the game for Miles Plumlee,15 - 13
6:26,Mirza Teletovic enters the game for Giannis Antetokounmpo,15 - 13
6:18,Myles Turner  misses 24-foot three point jumper,15 - 13
6:16,Greg Monroe defensive rebound,15 - 13
6:07,Greg Monroe makes layup,15 - 15
5:41,Paul George makes 25-foot  three point jumper  (Jeff Teague assists),18 - 15
5:39,Bucks Full timeout,18 - 15
5:39,Jason Terry enters the game for Tony Snell,18 - 15
5:39,Malcolm Brogdon enters the game for Matthew Dellavedova,18 - 15
5:39,C.J. Miles enters the game for Myles Turner,18 - 15
5:39,Al Jefferson enters the game for Monta Ellis,18 - 15
5:24,Mirza Teletovic  misses three point jumper,18 - 15
5:22,Greg Monroe offensive rebound,18 - 15
5:18,Jabari Parker  bad pass (Thaddeus Young steals),18 - 15
5:09,Jabari Parker blocks Paul George's  layup,18 - 15
5:05,Al Jefferson offensive rebound,18 - 15
4:56,Jeff Teague makes two point shot,20 - 15
4:39,Jason Terry makes 26-foot  three point jumper  (Malcolm Brogdon assists),20 - 18
4:13,Thaddeus Young makes 16-foot jumper (C.J. Miles assists),22 - 18
3:56,Jabari Parker  misses three point jumper,22 - 18
3:55,Al Jefferson defensive rebound,22 - 18
3:46,C.J. Miles  misses 25-foot three point jumper,22 - 18
3:44,Greg Monroe defensive rebound,22 - 18
3:35,Greg Monroe  lost ball turnover (Paul George steals),22 - 18
3:32,Paul George Out-of-Bounds Bad Pass Turnover,22 - 18
3:32,Lavoy Allen enters the game for Thaddeus Young,22 - 18
3:32,Giannis Antetokounmpo enters the game for Jabari Parker,22 - 18
3:16,Giannis Antetokounmpo  misses 10-foot jump bank shot,22 - 18
3:15,Greg Monroe offensive rebound,22 - 18
3:14,Greg Monroe makes two point shot,22 - 20
3:00,Al Jefferson  misses jumper,22 - 20
2:59,Greg Monroe defensive rebound,22 - 20
2:51,Malcolm Brogdon  misses 25-foot three point jumper,22 - 20
2:49,Lavoy Allen defensive rebound,22 - 20
2:36,Lavoy Allen  misses 18-foot jumper,22 - 20
2:35,Greg Monroe defensive rebound,22 - 20
2:16,Jason Terry makes two point shot (Giannis Antetokounmpo assists),22 - 22
2:10,Pacers Full timeout,22 - 22
2:10,Glenn Robinson III enters the game for Paul George,22 - 22
2:10,Aaron Brooks enters the game for Jeff Teague,22 - 22
2:01,Jason Terry shooting foul  (C.J. Miles draws the foul),22 - 22
2:01,C.J. Miles makes free throw 1 of 2,23 - 22
2:01,C.J. Miles makes free throw 2 of 2,24 - 22
1:46,Giannis Antetokounmpo  lost ball turnover (C.J. Miles steals),24 - 22
1:34,C.J. Miles makes driving layup (Lavoy Allen assists),26 - 22
1:17,Mirza Teletovic makes 26-foot  three point jumper  (Greg Monroe assists),26 - 25
54.0,Mirza Teletovic shooting foul  (Al Jefferson draws the foul),26 - 25
54.0,Al Jefferson misses free throw 1 of 2,26 - 25
54.0,Pacers offensive team rebound,26 - 25
54.0,Al Jefferson makes free throw 2 of 2,27 - 25
47.0,C.J. Miles personal foul  (Malcolm Brogdon draws the foul),27 - 25
40.0,Greg Monroe  misses layup,27 - 25
38.0,Greg Monroe offensive rebound,27 - 25
38.0,Greg Monroe  misses layup,27 - 25
37.0,Greg Monroe offensive rebound,27 - 25
31.0,Giannis Antetokounmpo makes dunk (Greg Monroe assists),27 - 27
12.0,Aaron Brooks makes 29-foot  three point jumper,30 - 27
4.0,Glenn Robinson III shooting foul  (Giannis Antetokounmpo draws the foul),30 - 27
4.0,Giannis Antetokounmpo makes free throw 1 of 2,30 - 28
4.0,Giannis Antetokounmpo makes free throw 2 of 2,30 - 29
0.0,Al Jefferson  misses 26-foot three point jumper,30 - 29
0.0,Pacers offensive team rebound,30 - 29
0.0,End of the 1st Quarter,30 - 29
11:49,Aaron Brooks  bad pass (Malcolm Brogdon steals),30 - 29
11:42,Giannis Antetokounmpo makes dunk (Malcolm Brogdon assists),30 - 31
11:33,Aaron Brooks makes driving layup,32 - 31
11:17,Michael Beasley makes driving layup (Greg Monroe assists),32 - 33
10:56,Michael Beasley shooting foul  (C.J. Miles draws the foul),32 - 33
10:56,C.J. Miles makes free throw 1 of 2,33 - 33
10:56,C.J. Miles makes free throw 2 of 2,34 - 33
10:45,Jason Terry  misses three point jumper,34 - 33
10:45,Al Jefferson defensive rebound,34 - 33
10:33,C.J. Miles  misses jumper,34 - 33
10:33,Malcolm Brogdon defensive rebound,34 - 33
10:30,Giannis Antetokounmpo makes two point shot (Malcolm Brogdon assists),34 - 35
10:18,Jason Terry shooting foul  (C.J. Miles draws the foul),34 - 35
10:18,Bucks delay of game violation,34 - 35
10:18,C.J. Miles makes free throw 1 of 2,35 - 35
10:18,Myles Turner enters the game for Al Jefferson,35 - 35
10:18,Tony Snell enters the game for Jason Terry,35 - 35
10:18,C.J. Miles misses free throw 2 of 2,35 - 35
10:17,Greg Monroe defensive rebound,35 - 35
10:08,Myles Turner shooting foul  (Malcolm Brogdon draws the foul),35 - 35
10:08,Malcolm Brogdon makes free throw 1 of 2,35 - 36
10:08,Malcolm Brogdon makes free throw 2 of 2,35 - 37
10:08,Monta Ellis enters the game for C.J. Miles,35 - 37
10:00,Aaron Brooks makes  three point jumper  (Monta Ellis assists),38 - 37
9:44,Greg Monroe makes layup (Giannis Antetokounmpo assists),38 - 39
9:44,Myles Turner shooting foul  (Greg Monroe draws the foul),38 - 39
9:44,Greg Monroe makes free throw 1 of 1,38 - 40
9:30,Aaron Brooks  bad pass (Giannis Antetokounmpo steals),38 - 40
9:29,Aaron Brooks personal foul  (Giannis Antetokounmpo draws the foul),38 - 40
9:18,Malcolm Brogdon makes layup,38 - 42
9:00,Monta Ellis makes driving layup (Aaron Brooks assists),40 - 42
8:37,Official timeout,40 - 42
8:37,Paul George enters the game for Lavoy Allen,40 - 42
8:37,Thaddeus Young enters the game for Glenn Robinson III,40 - 42
8:36,Myles Turner vs. Giannis Antetokounmpo (Malcolm Brogdon gains possession),40 - 42
8:29,Tony Snell  misses 25-foot three point jumper,40 - 42
8:27,Paul George defensive rebound,40 - 42
8:11,Myles Turner  misses layup,40 - 42
8:07,Michael Beasley defensive rebound,40 - 42
8:04,Aaron Brooks personal foul  (Giannis Antetokounmpo draws the foul),40 - 42
8:04,Jeff Teague enters the game for Aaron Brooks,40 - 42
7:58,Michael Beasley  misses 26-foot three point jumper,40 - 42
7:56,Jeff Teague defensive rebound,40 - 42
7:50,Malcolm Brogdon blocks Jeff Teague's  jumper,40 - 42
7:48,Michael Beasley defensive rebound,40 - 42
7:47,Michael Beasley  palming turnover,40 - 42
7:31,Michael Beasley personal foul  (Paul George draws the foul),40 - 42
7:31,Jeff Teague offensive foul  (Michael Beasley draws the foul),40 - 42
7:31,Jeff Teague  turnover,40 - 42
7:31,Jabari Parker enters the game for Michael Beasley,40 - 42
7:31,Miles Plumlee enters the game for Greg Monroe,40 - 42
7:13,Malcolm Brogdon makes 26-foot  three point jumper  (Jabari Parker assists),40 - 45
7:01,Jeff Teague makes two point shot,42 - 45
6:50,Jabari Parker makes 25-foot  three point jumper  (Giannis Antetokounmpo assists),42 - 48
6:35,Jabari Parker shooting foul  (Thaddeus Young draws the foul),42 - 48
6:35,Thaddeus Young misses free throw 1 of 2,42 - 48
6:35,Pacers offensive team rebound,42 - 48
6:35,Thaddeus Young makes free throw 2 of 2,43 - 48
6:22,Giannis Antetokounmpo  misses 19-foot jumper,43 - 48
6:20,Monta Ellis defensive rebound,43 - 48
6:11,Matthew Dellavedova enters the game for Malcolm Brogdon,43 - 48
6:11,Mirza Teletovic enters the game for Giannis Antetokounmpo,43 - 48
5:58,Paul George  misses 4-foot jumper,43 - 48
5:54,Jabari Parker defensive rebound,43 - 48
5:50,Matthew Dellavedova  misses 27-foot three point jumper,43 - 48
5:48,Jeff Teague defensive rebound,43 - 48
5:41,Myles Turner makes layup (Jeff Teague assists),45 - 48
5:28,Thaddeus Young shooting foul  (Miles Plumlee draws the foul),45 - 48
5:28,Bucks Full timeout,45 - 48
5:28,Miles Plumlee makes free throw 1 of 2,45 - 49
5:28,Miles Plumlee misses free throw 2 of 2,45 - 49
5:28,Monta Ellis defensive rebound,45 - 49
5:18,Matthew Dellavedova shooting foul  (Paul George draws the foul),45 - 49
5:18,Paul George misses free throw 1 of 2,45 - 49
5:18,Pacers offensive team rebound,45 - 49
5:18,Paul George misses free throw 2 of 2,45 - 49
5:16,Jabari Parker defensive rebound,45 - 49
4:56,Tony Snell  lost ball turnover (Monta Ellis steals),45 - 49
4:52,Paul George makes two point shot (Monta Ellis assists),48 - 49
4:52,Mirza Teletovic shooting foul  (Paul George draws the foul),48 - 49
4:52,Paul George makes free throw 1 of 1,48 - 49
4:43,Mirza Teletovic  misses 27-foot three point jumper,48 - 49
4:41,Pacers defensive team rebound,48 - 49
4:18,Myles Turner makes layup (Monta Ellis assists),50 - 49
3:57,Matthew Dellavedova Out-of-Bounds Bad Pass Turnover,50 - 49
3:46,Thaddeus Young  misses layup,50 - 49
3:44,Miles Plumlee defensive rebound,50 - 49
3:31,Jeff Teague defensive 3-seconds (Technical Foul),50 - 49
3:31,Matthew Dellavedova makes technical free throw,50 - 50
3:31,Giannis Antetokounmpo enters the game for Mirza Teletovic,50 - 50
3:24,Matthew Dellavedova makes 5-foot two point shot,50 - 52
3:16,Giannis Antetokounmpo blocks Jeff Teague 's 5-foot  jumper,50 - 52
3:16,Pacers offensive team rebound,50 - 52
3:16,Pacers Full timeout,50 - 52
3:16,Kevin Seraphin enters the game for Myles Turner,50 - 52
3:00,Paul George  misses 18-foot step back jumpshot,50 - 52
2:59,Thaddeus Young offensive rebound,50 - 52
2:59,Thaddeus Young  misses jumper,50 - 52
2:57,Giannis Antetokounmpo defensive rebound,50 - 52
2:46,Giannis Antetokounmpo  misses 26-foot three point jumper,50 - 52
2:46,Pacers defensive team rebound,50 - 52
2:33,Monta Ellis  bad pass (Miles Plumlee steals),50 - 52
2:31,Tony Snell  bad pass (Monta Ellis steals),50 - 52
2:27,Thaddeus Young makes layup (Monta Ellis assists),52 - 52
2:05,Giannis Antetokounmpo makes 6-foot two point shot,52 - 54
1:57,Miles Plumlee shooting foul  (Jeff Teague draws the foul),52 - 54
1:57,Jeff Teague makes free throw 1 of 2,53 - 54
1:57,Jeff Teague makes free throw 2 of 2,54 - 54
1:37,Miles Plumlee  misses 6-foot hook shot,54 - 54
1:35,Pacers defensive team rebound,54 - 54
1:21,Thaddeus Young  misses 7-foot two point shot,54 - 54
1:20,Miles Plumlee defensive rebound,54 - 54
1:07,Paul George shooting foul  (Miles Plumlee draws the foul),54 - 54
1:07,Miles Plumlee misses free throw 1 of 2,54 - 54
1:07,Bucks offensive team rebound,54 - 54
1:07,Miles Plumlee makes free throw 2 of 2,54 - 55
55.0,Paul George  misses three point jumper,54 - 55
54.0,Matthew Dellavedova defensive rebound,54 - 55
50.0,Jabari Parker makes two point shot (Matthew Dellavedova assists),54 - 57
50.0,Kevin Seraphin shooting foul  (Jabari Parker draws the foul),54 - 57
50.0,Jabari Parker makes free throw 1 of 1,54 - 58
31.0,Jeff Teague  lost ball turnover (Tony Snell steals),54 - 58
28.0,Giannis Antetokounmpo makes 1-foot two point shot (Tony Snell assists),54 - 60
