time,play,score
12:00,Myles Turner vs. Cody Zeller (Thaddeus Young gains possession),0 - 0
11:42,Myles Turner makes jumper (Jeff Teague assists),2 - 0
11:27,Michael Kidd-Gilchrist makes driving layup (Kemba Walker assists),2 - 2
11:15,Jeff Teague makes 25-foot  three point jumper  (Thaddeus Young assists),5 - 2
10:56,Michael Kidd-Gilchrist makes layup,5 - 4
10:33,Paul George  misses driving layup,5 - 4
10:32,Marvin Williams defensive rebound,5 - 4
10:21,Nicolas Batum makes 26-foot  three point jumper  (Kemba Walker assists),5 - 7
10:11,Paul George offensive Charge  (Kemba Walker draws the foul),5 - 7
10:11,Paul George  turnover,5 - 7
9:59,Thaddeus Young shooting foul  (Michael Kidd-Gilchrist draws the foul),5 - 7
9:59,Michael Kidd-Gilchrist makes free throw 1 of 2,5 - 8
9:59,Michael Kidd-Gilchrist makes free throw 2 of 2,5 - 9
9:42,Monta Ellis  lost ball turnover (Nicolas Batum steals),5 - 9
9:36,Michael Kidd-Gilchrist makes layup (Nicolas Batum assists),5 - 11
9:18,Monta Ellis makes 23-foot  three point jumper  (Paul George assists),8 - 11
9:06,Myles Turner blocks Marvin Williams 's 1-foot  layup,8 - 11
9:06,Hornets offensive team rebound,8 - 11
9:00,Kemba Walker makes driving layup (Nicolas Batum assists),8 - 13
8:51,Jeff Teague  lost ball turnover (Nicolas Batum steals),8 - 13
8:41,Kemba Walker makes 26-foot  three point jumper  (Nicolas Batum assists),8 - 16
8:29,Myles Turner makes 17-foot jumper (Paul George assists),10 - 16
8:15,Cody Zeller makes layup (Kemba Walker assists),10 - 18
8:04,Monta Ellis  bad pass (Michael Kidd-Gilchrist steals),10 - 18
8:04,Monta Ellis clear path foul  (Michael Kidd-Gilchrist draws the foul),10 - 20
8:04,Michael Kidd-Gilchrist makes free throw clear path 1 of 2,10 - 20
8:04,Michael Kidd-Gilchrist makes free throw clear path 2 of 2,10 - 20
7:54,Cody Zeller makes driving layup (Kemba Walker assists),10 - 22
7:37,Monta Ellis makes 17-foot jumper (Jeff Teague assists),12 - 22
7:26,Myles Turner blocks Kemba Walker's  layup,12 - 22
7:26,Hornets offensive team rebound,12 - 22
7:18,Marvin Williams makes 26-foot  three point jumper  (Michael Kidd-Gilchrist assists),12 - 25
7:01,Michael Kidd-Gilchrist blocks Thaddeus Young's  layup,12 - 25
7:00,Nicolas Batum defensive rebound,12 - 25
6:50,Marvin Williams makes 8-foot jumper,12 - 27
6:47,Pacers Full timeout,12 - 27
6:37,Paul George  misses 24-foot three point jumper,12 - 27
6:35,Nicolas Batum defensive rebound,12 - 27
6:30,Cody Zeller makes layup (Kemba Walker assists),12 - 29
6:30,Monta Ellis shooting foul  (Cody Zeller draws the foul),12 - 29
6:30,C.J. Miles enters the game for Monta Ellis,12 - 29
6:30,Cody Zeller makes free throw 1 of 1,12 - 30
6:09,Cody Zeller shooting foul  (Jeff Teague draws the foul),12 - 30
6:09,Jeff Teague makes free throw 1 of 2,13 - 30
6:09,Jeff Teague makes free throw 2 of 2,14 - 30
5:48,Marvin Williams  misses 16-foot jumper,14 - 30
5:47,Myles Turner defensive rebound,14 - 30
5:24,Myles Turner  misses 28-foot three point jumper,14 - 30
5:22,Marvin Williams defensive rebound,14 - 30
5:09,Cody Zeller  misses 21-foot jumper,14 - 30
5:09,Thaddeus Young defensive rebound,14 - 30
4:56,Jeff Teague  misses layup,14 - 30
4:54,Nicolas Batum defensive rebound,14 - 30
4:54,Michael Kidd-Gilchrist makes two point shot (Kemba Walker assists),14 - 32
4:54,Thaddeus Young shooting foul  (Michael Kidd-Gilchrist draws the foul),14 - 32
4:54,Al Jefferson enters the game for Thaddeus Young,14 - 32
4:54,Lavoy Allen enters the game for Myles Turner,14 - 32
4:54,Frank Kaminsky III enters the game for Marvin Williams,14 - 32
4:54,Michael Kidd-Gilchrist makes free throw 1 of 1,14 - 33
4:45,C.J. Miles  misses 25-foot three point jumper,14 - 33
