time,play,score
12:00,Myles Turner vs. Salah Mejri (Harrison Barnes gains possession),0 - 0
11:38,Wesley Matthews  misses 15-foot two point shot,0 - 0
11:37,Paul George defensive rebound,0 - 0
11:25,Paul George Out-of-Bounds Bad Pass Turnover,0 - 0
11:04,Harrison Barnes  misses 18-foot jumper,0 - 0
11:03,Myles Turner defensive rebound,0 - 0
11:02,Myles Turner  bad pass (Salah Mejri steals),0 - 0
10:40,Deron Williams  misses Driving Floating Jump Shot,0 - 0
10:38,Paul George defensive rebound,0 - 0
10:18,Myles Turner makes 7-foot jumper (Jeff Teague assists),2 - 0
10:00,Myles Turner defensive 3-seconds (Technical Foul),2 - 0
10:00,Deron Williams makes technical free throw,2 - 1
9:49,Myles Turner blocks Dorian Finney-Smith 's 3-foot  layup,2 - 1
9:48,Monta Ellis defensive rebound,2 - 1
9:42,Thaddeus Young  lost ball turnover (Salah Mejri steals),2 - 1
9:34,Dorian Finney-Smith  misses 23-foot three point jumper,2 - 1
9:33,Jeff Teague defensive rebound,2 - 1
9:18,Jeff Teague  misses Driving Floating Jump Shot,2 - 1
9:17,Wesley Matthews defensive rebound,2 - 1
9:10,Wesley Matthews makes driving layup,2 - 3
9:10,Myles Turner shooting foul  (Wesley Matthews draws the foul),2 - 3
9:10,Wesley Matthews misses free throw 1 of 1,2 - 3
9:08,Thaddeus Young defensive rebound,2 - 3
8:59,Jeff Teague  out of bounds lost ball turnover,2 - 3
8:52,Deron Williams  misses Driving Floating Jump Shot,2 - 3
8:51,Myles Turner defensive rebound,2 - 3
8:45,Thaddeus Young makes layup (Monta Ellis assists),4 - 3
8:45,Salah Mejri defensive goaltending violation,4 - 3
8:29,Wesley Matthews  bad pass (Paul George steals),4 - 3
8:22,Paul George makes 25-foot  three pointer,7 - 3
7:58,Harrison Barnes makes 12-foot two point shot,7 - 5
7:45,Thaddeus Young makes 25-foot  three point jumper  (Myles Turner assists),10 - 5
7:31,Deron Williams makes 15-foot two point shot,10 - 7
7:16,Thaddeus Young  misses 25-foot three point jumper,10 - 7
7:16,Wesley Matthews defensive rebound,10 - 7
7:05,Deron Williams  misses,10 - 7
7:03,Dorian Finney-Smith makes two point shot,10 - 9
7:03,Dorian Finney-Smith offensive rebound,10 - 9
6:45,Myles Turner  misses three point jumper,10 - 9
6:43,Salah Mejri defensive rebound,10 - 9
6:28,Dorian Finney-Smith  lost ball turnover (Jeff Teague steals),10 - 9
6:26,Wesley Matthews personal foul  (Jeff Teague draws the foul),10 - 9
6:26,Dwight Powell enters the game for Salah Mejri,10 - 9
6:16,Myles Turner  misses 18-foot jumper,10 - 9
6:16,Deron Williams defensive rebound,10 - 9
6:03,Harrison Barnes  misses 12-foot step back jumpshot,10 - 9
6:01,Myles Turner defensive rebound,10 - 9
5:45,Myles Turner  misses jumper,10 - 9
5:43,Dorian Finney-Smith defensive rebound,10 - 9
5:35,Deron Williams  misses 24-foot three point jumper,10 - 9
5:35,Thaddeus Young defensive rebound,10 - 9
5:24,Paul George  misses 12-foot jumper,10 - 9
5:24,Dorian Finney-Smith defensive rebound,10 - 9
5:24,Devin Harris enters the game for Harrison Barnes,10 - 9
5:24,Seth Curry enters the game for Deron Williams,10 - 9
5:24,Mavericks Full timeout,10 - 9
5:09,Wesley Matthews makes 25-foot  step back jumpshot,10 - 12
4:52,Myles Turner makes layup (Monta Ellis assists),12 - 12
4:33,Dorian Finney-Smith makes 4-foot two point shot (Devin Harris assists),12 - 14
4:18,Paul George makes 23-foot  three point jumper  (Jeff Teague assists),15 - 14
3:59,Wesley Matthews  misses 25-foot three point jumper,15 - 14
3:58,Myles Turner defensive rebound,15 - 14
3:47,Thaddeus Young  bad pass (Seth Curry steals),15 - 14
3:31,Seth Curry makes driving layup,15 - 16
3:25,Pacers Full timeout,15 - 16
3:25,C.J. Miles enters the game for Thaddeus Young,15 - 16
3:25,Al Jefferson enters the game for Myles Turner,15 - 16
3:25,Rodney Stuckey enters the game for Monta Ellis,15 - 16
3:13,Paul George makes two point shot,17 - 16
3:00,Rodney Stuckey personal foul  (Devin Harris draws the foul),17 - 16
2:51,Seth Curry  misses Driving Floating Jump Shot,17 - 16
2:51,Rodney Stuckey defensive rebound,17 - 16
2:45,Paul George makes 24-foot  three pointer  (Rodney Stuckey assists),20 - 16
2:23,Paul George shooting foul  (Wesley Matthews draws the foul),20 - 16
2:23,Wesley Matthews makes free throw 1 of 2,20 - 17
2:23,Aaron Brooks enters the game for Jeff Teague,20 - 17
2:23,Wesley Matthews makes free throw 2 of 2,20 - 18
2:00,Paul George  misses Driving Floating Jump Shot,20 - 18
2:00,Al Jefferson offensive rebound,20 - 18
1:54,Paul George makes 9-foot two point shot,22 - 18
1:36,Devin Harris makes 25-foot  three point jumper  (Wesley Matthews assists),22 - 21
1:16,Al Jefferson  misses 9-foot,22 - 21
1:15,Dorian Finney-Smith defensive rebound,22 - 21
1:09,Dorian Finney-Smith makes two point shot (Seth Curry assists),22 - 23
54.0,Paul George  misses Driving Floating Jump Shot,22 - 23
53.0,Dorian Finney-Smith defensive rebound,22 - 23
46.0,Seth Curry  misses 22-foot two point jumper,22 - 23
