time,play,score
12:00,Myles Turner vs. Jonas Valanciunas (Thaddeus Young gains possession),0 - 0
11:41,Jeff Teague  misses 26-foot three point jumper,0 - 0
11:41,Jonas Valanciunas defensive rebound,0 - 0
11:19,Cory Joseph  misses driving layup,0 - 0
11:19,Paul George defensive rebound,0 - 0
11:11,Paul George makes 19-foot two point shot,2 - 0
10:52,DeMar DeRozan makes 18-foot two point shot (Cory Joseph assists),2 - 2
10:34,Thaddeus Young makes 4-foot two point shot (Jeff Teague assists),4 - 2
10:18,DeMarre Carroll  misses 21-foot jumper,4 - 2
10:18,Raptors offensive team rebound,4 - 2
10:15,DeMar DeRozan makes 7-foot two point shot (Cory Joseph assists),4 - 4
10:03,Jonas Valanciunas blocks Paul George 's 4-foot  Driving Floating Jump Shot,4 - 4
10:02,Jonas Valanciunas defensive rebound,4 - 4
9:55,DeMar DeRozan offensive Charge  (Thaddeus Young draws the foul),4 - 4
9:55,DeMar DeRozan  turnover,4 - 4
9:42,C.J. Miles  misses 20-foot jumper,4 - 4
9:42,Thaddeus Young offensive rebound,4 - 4
9:34,Myles Turner  misses 25-foot three point jumper,4 - 4
9:34,Jonas Valanciunas defensive rebound,4 - 4
9:26,DeMarre Carroll makes 25-foot  three point running jumper  (Cory Joseph assists),4 - 7
9:10,Thaddeus Young makes 23-foot  three point jumper  (Jeff Teague assists),7 - 7
8:53,DeMar DeRozan  lost ball turnover (Paul George steals),7 - 7
8:48,C.J. Miles makes two point shot,9 - 7
8:33,DeMarre Carroll offensive Charge  (Jeff Teague draws the foul),9 - 7
8:33,DeMarre Carroll  turnover,9 - 7
8:15,C.J. Miles makes 26-foot  three point jumper  (Myles Turner assists),12 - 7
8:02,Thaddeus Young shooting foul  (Jonas Valanciunas draws the foul),12 - 7
8:02,Jonas Valanciunas makes free throw 1 of 2,12 - 8
8:02,Jonas Valanciunas misses free throw 2 of 2,12 - 8
8:00,Myles Turner defensive rebound,12 - 8
7:52,Paul George  misses 25-foot three point jumper,12 - 8
7:50,DeMarre Carroll defensive rebound,12 - 8
7:45,Serge Ibaka makes two point shot (DeMarre Carroll assists),12 - 10
7:33,Cory Joseph shooting foul  (Jeff Teague draws the foul),12 - 10
7:33,Jeff Teague makes free throw 1 of 2,13 - 10
7:33,Jeff Teague makes free throw 2 of 2,14 - 10
7:18,Cory Joseph  misses Driving Floating Jump Shot,14 - 10
7:18,Jonas Valanciunas offensive rebound,14 - 10
7:18,Jonas Valanciunas  misses,14 - 10
7:18,Jonas Valanciunas offensive rebound,14 - 10
7:16,Jonas Valanciunas  misses,14 - 12
7:16,Jonas Valanciunas offensive rebound,14 - 10
7:16,Jonas Valanciunas makes two point shot,14 - 12
7:07,Myles Turner offensive foul  (Cory Joseph draws the foul),14 - 12
7:07,Myles Turner  turnover,14 - 12
6:50,Serge Ibaka makes 26-foot  three point jumper  (Cory Joseph assists),14 - 15
6:30,Jeff Teague  misses driving layup,14 - 15
6:28,DeMarre Carroll defensive rebound,14 - 15
6:22,Serge Ibaka makes 25-foot  three point running jumper  (DeMarre Carroll assists),14 - 18
6:13,Pacers Full timeout,14 - 18
6:03,C.J. Miles  misses 23-foot three point jumper,14 - 18
6:03,Jonas Valanciunas defensive rebound,14 - 18
5:48,Cory Joseph Out-of-Bounds Bad Pass Turnover,14 - 18
5:39,Paul George makes 19-foot two point shot (Jeff Teague assists),16 - 18
5:20,DeMar DeRozan  misses,16 - 18
5:20,DeMarre Carroll offensive rebound,16 - 18
5:13,C.J. Miles blocks DeMarre Carroll 's 3-foot  layup,16 - 18
5:13,Paul George defensive rebound,16 - 18
5:05,Jeff Teague  misses Driving Floating Jump Shot,16 - 18
5:03,Serge Ibaka defensive rebound,16 - 18
4:56,C.J. Miles shooting foul  (DeMar DeRozan draws the foul),16 - 18
4:56,DeMar DeRozan misses free throw 1 of 2,16 - 18
4:56,Raptors offensive team rebound,16 - 18
4:56,P.J. Tucker enters the game for DeMarre Carroll,16 - 18
4:56,DeMar DeRozan makes free throw 2 of 2,16 - 19
4:33,Thaddeus Young makes dunk (Paul George assists),18 - 19
4:20,Serge Ibaka makes 19-foot jumper (DeMar DeRozan assists),18 - 21
4:07,Paul George  misses 17-foot two point jumper,18 - 21
4:07,Jonas Valanciunas defensive rebound,18 - 21
3:56,Jonas Valanciunas makes driving dunk (Cory Joseph assists),18 - 23
3:56,Myles Turner shooting foul  (Jonas Valanciunas draws the foul),18 - 23
3:56,Monta Ellis enters the game for C.J. Miles,18 - 23
3:56,Rakeem Christmas enters the game for Myles Turner,18 - 23
3:56,Jonas Valanciunas makes free throw 1 of 1,18 - 24
3:32,Cory Joseph blocks Rakeem Christmas 's 4-foot  layup,18 - 24
3:31,Cory Joseph defensive rebound,18 - 24
