time,play,score
12:00,Myles Turner vs. Clint Capela (Ryan Anderson gains possession),0 - 0
11:47,Clint Capela  bad pass (Paul George steals),0 - 0
11:41,Clint Capela personal foul  (Paul George draws the foul),0 - 0
11:41,Jeff Teague  bad pass,0 - 0
11:30,Patrick Beverley  misses 23-foot three point jumper,0 - 0
11:30,James Harden offensive rebound,0 - 0
11:26,Trevor Ariza  misses 24-foot three point jumper,0 - 0
11:25,Rockets offensive team rebound,0 - 0
11:15,Clint Capela makes two point shot (Patrick Beverley assists),0 - 2
11:07,Jeff Teague  bad pass,0 - 2
10:55,Thaddeus Young shooting foul  (Ryan Anderson draws the foul),0 - 2
10:55,Ryan Anderson makes free throw 1 of 2,0 - 3
10:55,Ryan Anderson makes free throw 2 of 2,0 - 4
10:33,Thaddeus Young  misses 7-foot,0 - 4
10:33,Clint Capela defensive rebound,0 - 4
10:23,Ryan Anderson makes 25-foot  three point jumper  (James Harden assists),0 - 7
9:59,Thaddeus Young makes two point shot (Jeff Teague assists),2 - 7
9:34,shot clock turnover,2 - 7
9:25,Paul George  lost ball turnover (Clint Capela steals),2 - 7
9:19,Trevor Ariza makes driving dunk (James Harden assists),2 - 9
9:08,C.J. Miles  misses 25-foot three point jumper,2 - 9
9:07,Patrick Beverley defensive rebound,2 - 9
8:59,Ryan Anderson makes 20-foot two point shot (James Harden assists),2 - 11
8:59,Pacers Full timeout,2 - 11
8:45,Jeff Teague  misses 22-foot jumper,2 - 11
8:45,Ryan Anderson defensive rebound,2 - 11
8:41,Paul George shooting foul  (James Harden draws the foul),2 - 11
8:41,James Harden makes free throw 1 of 3,2 - 12
8:41,James Harden makes free throw 2 of 3,2 - 13
8:41,James Harden makes free throw 3 of 3,2 - 14
8:25,Thaddeus Young  misses 10-foot jumper,2 - 14
8:22,Patrick Beverley defensive rebound,2 - 14
8:19,Clint Capela  lost ball turnover (Thaddeus Young steals),2 - 14
8:10,Thaddeus Young  misses layup,2 - 14
8:08,Clint Capela defensive rebound,2 - 14
8:00,James Harden  misses 26-foot three point jumper,2 - 14
8:00,Paul George defensive rebound,2 - 14
7:56,Paul George Out-of-Bounds Bad Pass Turnover,2 - 14
