time,play,score
12:00,Myles Turner vs. Dewayne Dedmon (LaMarcus Aldridge gains possession),0 - 0
11:45,Thaddeus Young shooting foul  (Dewayne Dedmon draws the foul),0 - 0
11:45,Dewayne Dedmon makes free throw 1 of 2,0 - 1
11:45,Dewayne Dedmon makes free throw 2 of 2,0 - 2
11:30,Thaddeus Young 3 second turnover,0 - 2
11:15,LaMarcus Aldridge makes 14-foot two point shot,0 - 4
11:02,Danny Green blocks C.J. Miles's  layup,0 - 4
11:00,C.J. Miles offensive rebound,0 - 4
10:59,C.J. Miles makes two point shot,2 - 4
10:49,Danny Green makes 23-foot  three point jumper  (Dejounte Murray assists),2 - 7
10:37,Thaddeus Young  misses 17-foot jumper,2 - 7
10:37,Kawhi Leonard defensive rebound,2 - 7
10:23,LaMarcus Aldridge  misses 16-foot step back jumpshot,2 - 7
10:22,Paul George defensive rebound,2 - 7
10:10,Thaddeus Young makes layup (Jeff Teague assists),4 - 7
9:57,Dejounte Murray offensive foul  (Jeff Teague draws the foul),4 - 7
9:57,Dejounte Murray  turnover,4 - 7
9:57,Gregg Popovich technical foul(1st technical foul),4 - 7
9:57,Paul George makes technical free throw,5 - 7
9:41,Paul George makes jumper (Myles Turner assists),7 - 7
9:30,Dejounte Murray  misses 14-foot two point shot,7 - 7
9:27,Myles Turner defensive rebound,7 - 7
9:12,Myles Turner makes dunk (Jeff Teague assists),9 - 7
8:52,LaMarcus Aldridge  misses 12-foot hook shot,9 - 7
8:52,LaMarcus Aldridge offensive rebound,9 - 7
8:48,LaMarcus Aldridge makes two point shot,9 - 9
8:25,Jeff Teague makes 17-foot two point shot,11 - 9
8:03,Kawhi Leonard makes 13-foot two point shot,11 - 11
7:52,C.J. Miles  misses 26-foot three point jumper,11 - 11
7:50,Dewayne Dedmon defensive rebound,11 - 11
7:43,Thaddeus Young personal foul  (LaMarcus Aldridge draws the foul),11 - 11
7:43,Lavoy Allen enters the game for Thaddeus Young,11 - 11
7:31,LaMarcus Aldridge makes layup (Kawhi Leonard assists),11 - 13
7:18,Lavoy Allen makes layup (Paul George assists),13 - 13
7:13,Spurs Full timeout,13 - 13
7:01,Danny Green  misses,13 - 13
7:00,Paul George defensive rebound,13 - 13
6:50,C.J. Miles  misses three point jumper,13 - 13
