time,play,score
12:00,Anthony Davis vs. Rudy Gobert (Jrue Holiday gains possession),0 - 0
11:45,Rudy Gobert blocks Anthony Davis's  jumper,0 - 0
11:42,Rudy Gobert defensive rebound,0 - 0
11:27,Rodney Hood makes jumper (George Hill assists),0 - 2
11:15,Rodney Hood personal foul  (Tim Frazier draws the foul),0 - 2
11:06,Anthony Davis makes driving dunk,2 - 2
10:44,George Hill  lost ball turnover (Tim Frazier steals),2 - 2
10:34,Solomon Hill makes  three point jumper  (Tim Frazier assists),5 - 2
10:11,George Hill  misses 25-foot three point jumper,5 - 2
10:11,Anthony Davis defensive rebound,5 - 2
9:57,Anthony Davis  misses 19-foot jumper,5 - 2
9:57,Rudy Gobert defensive rebound,5 - 2
9:48,George Hill makes 20-foot jumper,5 - 4
9:36,Tim Frazier  bad pass (George Hill steals),5 - 4
9:27,Rodney Hood  misses 23-foot three point jumper,5 - 4
9:26,Rudy Gobert offensive rebound,5 - 4
9:12,Boris Diaw  misses layup,5 - 4
9:11,Solomon Hill defensive rebound,5 - 4
8:56,Rudy Gobert blocks Jrue Holiday 's 2-foot  layup,5 - 4
8:56,Rodney Hood defensive rebound,5 - 4
8:45,George Hill  misses jumper,5 - 4
8:45,Anthony Davis defensive rebound,5 - 4
8:32,Anthony Davis  misses 17-foot jumper,5 - 4
8:32,George Hill defensive rebound,5 - 4
8:22,Solomon Hill blocks Joe Ingles 's 1-foot  layup,5 - 4
8:21,Solomon Hill defensive rebound,5 - 4
8:17,Solomon Hill makes 7-foot jumper,7 - 4
8:17,Joe Ingles shooting foul  (Solomon Hill draws the foul),7 - 4
8:17,Joe Johnson enters the game for Boris Diaw,7 - 4
8:17,Solomon Hill misses free throw 1 of 1,7 - 4
8:14,Rudy Gobert defensive rebound,7 - 4
8:03,Rudy Gobert makes dunk (Joe Ingles assists),7 - 6
7:48,Anthony Davis makes driving layup (Tim Frazier assists),9 - 6
7:31,Rodney Hood makes 17-foot two point shot,9 - 8
7:20,Rudy Gobert blocks Jrue Holiday 's 3-foot  layup,9 - 8
7:18,Jrue Holiday offensive rebound,9 - 8
7:11,Jrue Holiday makes layup,11 - 8
6:56,Rodney Hood makes 24-foot  three point jumper  (George Hill assists),11 - 11
6:45,Tim Frazier  bad pass (Joe Ingles steals),11 - 11
6:33,Rudy Gobert makes two point shot (Rodney Hood assists),11 - 13
6:18,Anthony Davis makes 20-foot jumper (Tim Frazier assists),13 - 13
6:11,Jazz Full timeout,13 - 13
6:11,Dante Exum enters the game for Rodney Hood,13 - 13
6:11,Jordan Crawford enters the game for Tim Frazier,13 - 13
6:11,E'Twaun Moore enters the game for Solomon Hill,13 - 13
6:05,George Hill makes 12-foot two point shot,13 - 15
5:52,George Hill shooting foul  (Anthony Davis draws the foul),13 - 15
5:52,Anthony Davis makes free throw 1 of 2,14 - 15
5:52,Anthony Davis makes free throw 2 of 2,15 - 15
5:35,Joe Ingles  misses 16-foot two point shot,15 - 15
5:35,Anthony Davis defensive rebound,15 - 15
5:24,Jordan Crawford  misses 9-foot jumper,15 - 15
5:24,Dante Exum defensive rebound,15 - 15
5:16,George Hill makes 15-foot jumper,15 - 17
5:00,Jrue Holiday  misses 25-foot three point jumper,15 - 17
5:00,Jazz defensive team rebound,15 - 17
4:39,Joe Johnson makes 9-foot jumper,15 - 19
4:31,Rudy Gobert blocks Anthony Davis's  jumper,15 - 19
4:30,Joe Johnson defensive rebound,15 - 19
4:18,Rudy Gobert makes dunk (Joe Johnson assists),15 - 21
4:18,Pelicans Full timeout,15 - 21
4:01,E'Twaun Moore  bad pass (Rudy Gobert steals),15 - 21
3:50,George Hill makes 24-foot  three point jumper  (Joe Ingles assists),15 - 24
3:38,Rudy Gobert shooting foul  (Anthony Davis draws the foul),15 - 24
3:38,Anthony Davis misses free throw 1 of 2,15 - 24
3:38,Pelicans offensive team rebound,15 - 24
