time,play,score
12:00,Alexis Ajinca vs. Larry Nance Jr. (Dante Cunningham gains possession),0 - 0
11:42,Solomon Hill  misses 25-foot three point jumper,0 - 0
11:41,Jordan Clarkson defensive rebound,0 - 0
11:25,Metta World Peace  misses 23-foot jumper,0 - 0
11:22,Tim Frazier defensive rebound,0 - 0
11:17,Tim Frazier  lost ball turnover (Jordan Clarkson steals),0 - 0
11:07,Brandon Ingram  misses driving layup,0 - 0
11:02,Brandon Ingram makes tip shot,0 - 2
11:02,Brandon Ingram offensive rebound,0 - 0
10:49,Jrue Holiday  misses 24-foot three point jumper,0 - 2
10:48,Jordan Clarkson defensive rebound,0 - 2
10:37,Brandon Ingram  misses 15-foot jumper,0 - 2
10:36,Dante Cunningham defensive rebound,0 - 2
10:18,Jrue Holiday makes two point shot (Tim Frazier assists),2 - 2
10:00,Julius Randle makes 9-foot Driving Floating Jump Shot (Metta World Peace assists),2 - 4
9:45,Jrue Holiday  lost ball turnover (Metta World Peace steals),2 - 4
9:38,Dante Cunningham shooting foul  (Larry Nance Jr. draws the foul),2 - 4
9:38,Larry Nance Jr. makes free throw 1 of 2,2 - 5
9:38,Larry Nance Jr. makes free throw 2 of 2,2 - 6
9:18,Dante Cunningham  misses 23-foot three point jumper,2 - 6
9:15,Julius Randle defensive rebound,2 - 6
9:07,Alexis Ajinca shooting foul  (Julius Randle draws the foul),2 - 6
9:07,Julius Randle makes free throw 1 of 2,2 - 7
9:07,Julius Randle makes free throw 2 of 2,2 - 8
8:56,Tim Frazier  misses 18-foot two point jumper,2 - 8
8:52,Larry Nance Jr. defensive rebound,2 - 8
8:45,Brandon Ingram  misses two point shot,2 - 8
8:41,Alexis Ajinca defensive rebound,2 - 8
8:32,Jrue Holiday makes two point shot,4 - 8
8:22,Tim Frazier personal foul  (Jordan Clarkson draws the foul),4 - 8
8:18,Larry Nance Jr.  misses 26-foot three point jumper,4 - 8
8:18,Pelicans defensive team rebound,4 - 8
8:03,Tim Frazier makes 26-foot  three point jumper  (Jrue Holiday assists),7 - 8
7:50,Metta World Peace  misses 24-foot three point jumper,7 - 8
7:50,Pelicans defensive team rebound,7 - 8
7:35,Alexis Ajinca  misses,7 - 8
7:31,Metta World Peace defensive rebound,7 - 8
7:22,Julius Randle makes driving layup (Jordan Clarkson assists),7 - 10
7:11,Alexis Ajinca makes 18-foot jumper (Jrue Holiday assists),9 - 10
7:05,Jordan Clarkson  bad pass (Dante Cunningham steals),9 - 10
7:05,Pelicans Full timeout,9 - 10
6:58,Jrue Holiday makes 19-foot two point shot,11 - 10
6:43,Brandon Ingram makes layup (Jordan Clarkson assists),11 - 12
6:30,Solomon Hill makes layup (Alexis Ajinca assists),13 - 12
6:18,Brandon Ingram  misses 25-foot three point jumper,13 - 12
6:18,Alexis Ajinca defensive rebound,13 - 12
6:11,Julius Randle shooting foul  (Alexis Ajinca draws the foul),13 - 12
6:11,Alexis Ajinca misses free throw 1 of 2,13 - 12
