time,play,score
12:00,Anthony Davis vs. Clint Capela (Patrick Beverley gains possession),0 - 0
11:51,Patrick Beverley  bad pass (Solomon Hill steals),0 - 0
11:40,DeMarcus Cousins  bad pass,0 - 0
11:21,Trevor Ariza  misses 24-foot three point jumper,0 - 0
11:19,Anthony Davis defensive rebound,0 - 0
11:04,Anthony Davis  misses 15-foot jumper,0 - 0
11:03,James Harden defensive rebound,0 - 0
10:55,Patrick Beverley makes 24-foot  three point jumper  (James Harden assists),0 - 3
10:41,Tim Frazier  misses 26-foot three point jumper,0 - 3
10:40,Trevor Ariza defensive rebound,0 - 3
10:32,Clint Capela makes dunk (James Harden assists),0 - 5
10:18,Jrue Holiday  misses 27-foot three point jumper,0 - 5
10:18,Patrick Beverley defensive rebound,0 - 5
10:07,Clint Capela makes two point shot (James Harden assists),0 - 7
9:57,Jrue Holiday  bad pass,0 - 7
9:42,Patrick Beverley  misses 26-foot three point jumper,0 - 7
9:41,Ryan Anderson offensive rebound,0 - 7
9:34,Clint Capela  offensive goaltending turnover,0 - 7
9:30,Pelicans Full timeout,0 - 7
9:22,Solomon Hill  misses 23-foot three point jumper,0 - 7
9:21,Clint Capela defensive rebound,0 - 7
9:07,Clint Capela  misses two point shot,0 - 7
9:04,DeMarcus Cousins defensive rebound,0 - 7
8:52,Jrue Holiday  misses two point shot,0 - 7
8:52,Ryan Anderson defensive rebound,0 - 7
8:45,Patrick Beverley makes two point shot (James Harden assists),0 - 9
8:33,DeMarcus Cousins makes 25-foot  three point jumper  (Jrue Holiday assists),3 - 9
8:18,Ryan Anderson offensive Charge  (DeMarcus Cousins draws the foul),3 - 9
8:18,Ryan Anderson  turnover,3 - 9
8:03,DeMarcus Cousins  misses layup,3 - 9
8:02,Clint Capela defensive rebound,3 - 9
7:56,James Harden makes driving layup,3 - 11
7:43,Tim Frazier  lost ball turnover (James Harden steals),3 - 11
7:39,Patrick Beverley Out-of-Bounds Bad Pass Turnover,3 - 11
7:24,DeMarcus Cousins makes 7-foot two point shot,5 - 11
7:24,Clint Capela shooting foul  (DeMarcus Cousins draws the foul),5 - 11
7:24,DeMarcus Cousins makes free throw 1 of 1,6 - 11
7:18,Clint Capela offensive Charge  (DeMarcus Cousins draws the foul),6 - 11
7:18,Clint Capela  turnover,6 - 11
7:18,Nene  enters the game for Clint Capela,6 - 11
7:05,Anthony Davis makes 20-foot jumper (Jrue Holiday assists),8 - 11
6:50,Ryan Anderson Out-of-Bounds Bad Pass Turnover,8 - 11
6:39,DeMarcus Cousins  misses 19-foot jumper,8 - 11
6:39,Nene  defensive rebound,8 - 11
6:33,James Harden  misses 26-foot three point pullup jump shot,8 - 11
6:31,Solomon Hill defensive rebound,8 - 11
6:18,Solomon Hill makes 27-foot  three point jumper  (Tim Frazier assists),11 - 11
6:05,James Harden  bad pass (Anthony Davis steals),11 - 11
6:00,Solomon Hill makes 25-foot  three point jumper  (Anthony Davis assists),14 - 11
5:48,Ryan Anderson  misses 29-foot three point jumper,14 - 11
5:46,Solomon Hill defensive rebound,14 - 11
5:31,DeMarcus Cousins makes 26-foot  three point jumper  (Jrue Holiday assists),17 - 11
5:31,Rockets Full timeout,17 - 11
5:31,Eric Gordon enters the game for Patrick Beverley,17 - 11
5:20,James Harden makes layup (Nene  assists),17 - 13
5:07,DeMarcus Cousins  misses cutting layup,17 - 13
5:07,Anthony Davis offensive rebound,17 - 13
5:07,Anthony Davis makes tip shot,19 - 13
4:48,DeMarcus Cousins blocks Trevor Ariza's  jumper,19 - 13
4:47,Nene  offensive rebound,19 - 13
4:43,Eric Gordon  misses 24-foot three point jumper,19 - 13
4:43,Rockets offensive team rebound,19 - 13
4:43,E'Twaun Moore enters the game for Tim Frazier,19 - 13
4:43,Lou Williams enters the game for Ryan Anderson,19 - 13
4:43,Tim Frazier enters the game for Jrue Holiday,19 - 13
4:37,James Harden makes 25-foot  three point jumper  (Nene  assists),19 - 16
4:24,E'Twaun Moore makes 2-foot layup (DeMarcus Cousins assists),21 - 16
4:11,Trevor Ariza  misses 13-foot turnaround fadeaway shot,21 - 16
4:09,Anthony Davis defensive rebound,21 - 16
4:01,Anthony Davis  misses 20-foot jumper,21 - 16
4:00,Nene  defensive rebound,21 - 16
3:46,Lou Williams  misses driving floating jump shot,21 - 16
3:45,Lou Williams offensive rebound,21 - 16
3:41,Trevor Ariza  misses 24-foot three point jumper,21 - 16
3:40,DeMarcus Cousins defensive rebound,21 - 16
3:29,DeMarcus Cousins  misses 7-foot jumper,21 - 16
3:27,Anthony Davis offensive rebound,21 - 16
3:26,Anthony Davis  misses 7-foot hook shot,21 - 16
3:24,Trevor Ariza defensive rebound,21 - 16
3:13,Nene   misses 17-foot jumper,21 - 16
3:12,DeMarcus Cousins defensive rebound,21 - 16
3:05,Solomon Hill  misses 26-foot three point jumper,21 - 16
3:04,Nene  defensive rebound,21 - 16
2:56,James Harden makes 6-foot two point shot,21 - 18
2:35,Nene  personal foul  (DeMarcus Cousins draws the foul),21 - 18
2:35,Sam Dekker enters the game for Trevor Ariza,21 - 18
2:35,Dante Cunningham enters the game for Anthony Davis,21 - 18
2:30,DeMarcus Cousins makes 26-foot  three point jumper  (Tim Frazier assists),24 - 18
2:30,Nene  shooting foul  (DeMarcus Cousins draws the foul),24 - 18
2:30,DeMarcus Cousins makes free throw 1 of 1,25 - 18
2:18,Nene  makes dunk (Lou Williams assists),25 - 20
2:00,Tim Frazier  misses 11-foot two point shot,25 - 20
2:00,Eric Gordon defensive rebound,25 - 20
1:52,Eric Gordon Out-of-Bounds Bad Pass Turnover,25 - 20
1:38,Dante Cunningham  misses 24-foot three point jumper,25 - 20
1:37,Sam Dekker defensive rebound,25 - 20
1:31,DeMarcus Cousins shooting foul  (James Harden draws the foul),25 - 20
1:31,James Harden makes free throw 1 of 2,25 - 21
1:31,Anthony Davis enters the game for DeMarcus Cousins,25 - 21
1:31,Jrue Holiday enters the game for Tim Frazier,25 - 21
1:31,James Harden makes free throw 2 of 2,25 - 22
1:15,Solomon Hill makes 25-foot  three point jumper  (Jrue Holiday assists),28 - 22
1:02,James Harden makes 26-foot  three pointer,28 - 25
47.0,Anthony Davis  misses 7-foot driving hook shot,28 - 25
45.0,James Harden defensive rebound,28 - 25
40.0,James Harden makes  three pointer,28 - 28
31.0,Jrue Holiday makes 26-foot  three point jumper  (Solomon Hill assists),31 - 28
26.0,James Harden  misses driving layup,31 - 28
25.0,Dante Cunningham defensive rebound,31 - 28
5.0,Jrue Holiday makes 20-foot jumper,33 - 28
1.0,Lou Williams  misses 24-foot three point jumper,33 - 28
0.0,Anthony Davis defensive rebound,33 - 28
0.0,End of the 1st Quarter,33 - 28
11:48,Clint Capela blocks Anthony Davis 's 4-foot  layup,33 - 28
11:45,Clint Capela defensive rebound,33 - 28
11:37,Lou Williams makes 13-foot two point shot,33 - 30
11:23,Jordan Crawford  misses 27-foot three point jumper,33 - 30
11:22,Clint Capela defensive rebound,33 - 30
11:10,Lou Williams  bad pass (Jrue Holiday steals),33 - 30
11:03,Jordan Crawford  misses 21-foot jumper,33 - 30
11:02,Eric Gordon defensive rebound,33 - 30
