time,play,score
12:00,Andre Drummond vs. Tristan Thompson (Tobias Harris gains possession),0 - 0
11:40,Tobias Harris makes 25-foot  three point jumper  (Andre Drummond assists),3 - 0
11:22,Tristan Thompson  misses 5-foot jumper,3 - 0
11:21,Marcus Morris defensive rebound,3 - 0
11:10,Marcus Morris  misses 18-foot jumper,3 - 0
11:08,LeBron James defensive rebound,3 - 0
11:00,LeBron James  misses 15-foot turnaround fadeaway shot,3 - 0
10:57,Andre Drummond defensive rebound,3 - 0
10:52,Ish Smith  misses driving layup,3 - 0
10:52,Kevin Love defensive rebound,3 - 0
10:37,Kyrie Irving  misses 3-foot Running Jumper,3 - 0
10:34,Andre Drummond defensive rebound,3 - 0
10:22,Kentavious Caldwell-Pope makes 25-foot  three point jumper  (Ish Smith assists),6 - 0
10:22,Cavaliers Full timeout,6 - 0
10:11,LeBron James makes dunk (Kyrie Irving assists),6 - 2
9:53,Marcus Morris  misses 16-foot jumper,6 - 2
9:52,Tristan Thompson defensive rebound,6 - 2
9:44,J.R. Smith makes 25-foot  three point jumper  (Kevin Love assists),6 - 5
9:22,Andre Drummond  misses driving layup,6 - 5
9:22,Tristan Thompson defensive rebound,6 - 5
9:15,Kevin Love  misses three point jumper,6 - 5
9:15,Cavaliers offensive team rebound,6 - 5
9:06,J.R. Smith makes 25-foot   (Kyrie Irving assists),6 - 8
8:45,Tobias Harris makes 14-foot two point shot (Ish Smith assists),8 - 8
8:38,Tristan Thompson makes two point shot (Kyrie Irving assists),8 - 10
8:25,Marcus Morris makes 26-foot  three point jumper  (Ish Smith assists),11 - 10
8:10,Tristan Thompson makes 1-foot layup (Kyrie Irving assists),11 - 12
8:06,Pistons Full timeout,11 - 12
7:52,Kentavious Caldwell-Pope  misses 10-foot two point shot,11 - 12
7:52,LeBron James defensive rebound,11 - 12
7:45,Kentavious Caldwell-Pope personal foul  (LeBron James draws the foul),11 - 12
7:39,Kyrie Irving makes 24-foot  three point jumper  (Tristan Thompson assists),11 - 15
7:26,Ish Smith  misses,11 - 15
7:24,Tristan Thompson defensive rebound,11 - 15
7:22,J.R. Smith Out-of-Bounds Bad Pass Turnover,11 - 15
7:07,Kentavious Caldwell-Pope makes 5-foot two point shot (Marcus Morris assists),13 - 15
7:01,Tristan Thompson  misses driving floating jumper,13 - 15
7:01,Cavaliers offensive team rebound,13 - 15
6:56,J.R. Smith  misses 23-foot three point jumper,13 - 15
6:56,Andre Drummond defensive rebound,13 - 15
6:52,Ish Smith  lost ball turnover (J.R. Smith steals),13 - 15
6:46,J.R. Smith makes 24-foot  three point jumper  (LeBron James assists),13 - 18
6:31,Tristan Thompson blocks Tobias Harris 's 8-foot  jumper,13 - 18
6:31,Cavaliers defensive team rebound,13 - 18
