time,play,score
12:00,Andre Drummond vs. DeAndre Jordan (Marcus Morris gains possession),0 - 0
11:37,Andre Drummond  misses 18-foot two point shot,0 - 0
11:36,Blake Griffin defensive rebound,0 - 0
11:22,DeAndre Jordan makes dunk (Blake Griffin assists),0 - 2
11:04,Kentavious Caldwell-Pope  misses two point jumper,0 - 2
11:03,DeAndre Jordan defensive rebound,0 - 2
10:52,Marcus Morris blocks Luc Richard Mbah a Moute 's 2-foot  layup,0 - 2
10:47,Kentavious Caldwell-Pope defensive rebound,0 - 2
10:45,Andre Drummond makes dunk (Marcus Morris assists),2 - 2
10:29,Tobias Harris personal foul  (Blake Griffin draws the foul),2 - 2
10:23,Luc Richard Mbah a Moute makes 2-foot layup (Blake Griffin assists),2 - 4
10:23,Ish Smith defensive goaltending violation,2 - 4
10:11,Tobias Harris  misses 26-foot three point jumper,2 - 4
10:10,Andre Drummond offensive rebound,2 - 4
10:03,Andre Drummond makes 10-foot two point shot,4 - 4
9:49,J.J. Redick  misses 20-foot jumper,4 - 4
9:48,Tobias Harris defensive rebound,4 - 4
9:38,Tobias Harris makes driving layup (Ish Smith assists),6 - 4
9:29,J.J. Redick makes 25-foot  three point jumper  (Blake Griffin assists),6 - 7
9:12,Tobias Harris  misses 18-foot jumper,6 - 7
9:11,Andre Drummond offensive rebound,6 - 7
9:07,Andre Drummond vs. DeAndre Jordan (Tobias Harris gains possession),6 - 7
8:52,Andre Drummond  misses 11-foot two point shot,6 - 7
8:48,Chris Paul defensive rebound,6 - 7
8:44,Blake Griffin makes 4-foot two point shot (Chris Paul assists),6 - 9
8:29,Kentavious Caldwell-Pope  misses 17-foot two point jumper,6 - 9
8:26,Blake Griffin defensive rebound,6 - 9
8:07,Chris Paul makes 18-foot jumper,6 - 11
7:47,Marcus Morris makes 18-foot two point shot,8 - 11
7:31,J.J. Redick makes two point shot (Blake Griffin assists),8 - 13
7:20,Pistons Full timeout,8 - 13
7:13,Andre Drummond Out-of-Bounds Bad Pass Turnover,8 - 13
7:09,DeAndre Jordan makes two point shot (Chris Paul assists),8 - 15
6:50,Marcus Morris  misses 15-foot two point shot,8 - 15
6:48,DeAndre Jordan defensive rebound,8 - 15
6:39,Blake Griffin makes 19-foot jumper (Chris Paul assists),8 - 17
6:24,Ish Smith  misses 17-foot two point jumper,8 - 17
6:22,DeAndre Jordan defensive rebound,8 - 17
6:16,Ish Smith personal foul  (Chris Paul draws the foul),8 - 17
6:09,Blake Griffin  misses,8 - 17
6:05,Andre Drummond defensive rebound,8 - 17
5:56,Tobias Harris  misses 26-foot three point jumper,8 - 17
5:54,DeAndre Jordan defensive rebound,8 - 17
5:41,Blake Griffin  misses 21-foot step back jumpshot,8 - 17
5:39,Blake Griffin offensive rebound,8 - 17
5:35,Chris Paul makes 25-foot  three point jumper  (Blake Griffin assists),8 - 20
5:11,Marcus Morris  lost ball turnover (Luc Richard Mbah a Moute steals),8 - 20
5:01,Chris Paul  misses 16-foot step back jumpshot,8 - 20
4:58,Andre Drummond defensive rebound,8 - 20
4:50,Ish Smith  misses 16-foot two point jumper,8 - 20
4:48,Chris Paul defensive rebound,8 - 20
4:39,Blake Griffin makes dunk (Chris Paul assists),8 - 22
4:30,Pistons Full timeout,8 - 22
4:30,Jon Leuer enters the game for Marcus Morris,8 - 22
4:16,Ish Smith  bad pass (Luc Richard Mbah a Moute steals),8 - 22
4:01,Luc Richard Mbah a Moute makes 3-foot layup (Blake Griffin assists),8 - 24
3:47,Ish Smith  misses 18-foot two point jumper,8 - 24
3:45,Blake Griffin defensive rebound,8 - 24
3:31,Blake Griffin makes 2-foot two point shot,8 - 26
3:09,Kentavious Caldwell-Pope  misses,8 - 26
3:06,Chris Paul defensive rebound,8 - 26
2:54,Blake Griffin makes 18-foot jumper (Chris Paul assists),8 - 28
2:41,Andre Drummond  lost ball turnover (Chris Paul steals),8 - 28
