time,play,score
12:00,Andre Drummond vs. Cody Zeller (Tobias Harris gains possession),0 - 0
11:37,Reggie Jackson  misses 23-foot three point jumper,0 - 0
11:36,Nicolas Batum defensive rebound,0 - 0
11:26,Reggie Jackson blocks Cody Zeller's  layup,0 - 0
11:23,Marcus Morris defensive rebound,0 - 0
11:18,Reggie Jackson makes driving layup (Marcus Morris assists),2 - 0
11:02,Cody Zeller  misses layup,2 - 0
11:00,Andre Drummond defensive rebound,2 - 0
10:52,Reggie Jackson Out-of-Bounds Bad Pass Turnover,2 - 0
10:41,Kemba Walker makes 24-foot  three pointer,2 - 3
10:22,Marcus Morris  misses 25-foot three point jumper,2 - 3
10:22,Marvin Williams defensive rebound,2 - 3
10:11,Marvin Williams makes 9-foot Driving Floating Jump Shot,2 - 5
9:44,Andre Drummond  misses 9-foot two point shot,2 - 5
9:42,Nicolas Batum defensive rebound,2 - 5
9:30,Andre Drummond blocks Michael Kidd-Gilchrist's  layup,2 - 5
9:27,Michael Kidd-Gilchrist  misses layup,2 - 5
9:27,Michael Kidd-Gilchrist offensive rebound,2 - 5
9:26,Andre Drummond defensive rebound,2 - 5
9:15,Kentavious Caldwell-Pope makes 16-foot jumper,4 - 5
9:02,Michael Kidd-Gilchrist  misses 19-foot jumper,4 - 5
9:00,Andre Drummond defensive rebound,4 - 5
8:48,Tobias Harris  misses 24-foot three point jumper,4 - 5
8:47,Kemba Walker defensive rebound,4 - 5
8:40,Marvin Williams  misses 25-foot three point jumper,4 - 5
8:38,Reggie Jackson defensive rebound,4 - 5
8:33,Reggie Jackson  misses 25-foot three point jumper,4 - 5
8:32,Nicolas Batum defensive rebound,4 - 5
8:25,Nicolas Batum makes driving dunk,4 - 7
8:15,Pistons Full timeout,4 - 7
8:15,Jon Leuer enters the game for Marcus Morris,4 - 7
8:06,Jon Leuer  misses 23-foot three point jumper,4 - 7
8:04,Marvin Williams defensive rebound,4 - 7
7:56,Kemba Walker  misses 21-foot step back jumpshot,4 - 7
7:54,Andre Drummond defensive rebound,4 - 7
7:37,Andre Drummond  misses two point shot,4 - 7
7:37,Nicolas Batum defensive rebound,4 - 7
7:28,Michael Kidd-Gilchrist  misses 11-foot jumper,4 - 7
7:26,Michael Kidd-Gilchrist offensive rebound,4 - 7
7:20,Marvin Williams makes layup (Nicolas Batum assists),4 - 9
7:05,Reggie Jackson makes 24-foot  three point jumper  (Jon Leuer assists),7 - 9
6:50,Marvin Williams  misses 9-foot two point shot,7 - 9
6:48,Reggie Jackson defensive rebound,7 - 9
6:41,Tobias Harris  misses 24-foot three point jumper,7 - 9
6:39,Michael Kidd-Gilchrist defensive rebound,7 - 9
6:28,Cody Zeller  misses 7-foot two point shot,7 - 9
6:26,Andre Drummond defensive rebound,7 - 9
6:13,Andre Drummond makes two point shot (Kentavious Caldwell-Pope assists),9 - 9
6:05,Hornets Full timeout,9 - 9
5:54,Nicolas Batum  misses 14-foot jumper,9 - 9
5:52,Tobias Harris defensive rebound,9 - 9
5:46,Marvin Williams kicked ball violation,9 - 9
5:39,Cody Zeller shooting foul  (Andre Drummond draws the foul),9 - 9
5:39,Andre Drummond makes free throw 1 of 2,10 - 9
5:39,Andre Drummond makes free throw 2 of 2,11 - 9
5:26,Kemba Walker  misses 22-foot jumper,11 - 9
5:26,Jon Leuer defensive rebound,11 - 9
5:20,Reggie Jackson  traveling,11 - 9
5:20,Marco Belinelli enters the game for Michael Kidd-Gilchrist,11 - 9
5:20,Frank Kaminsky III enters the game for Marvin Williams,11 - 9
