time,play,score
12:00,Andre Drummond vs. DeMarcus Cousins (Reggie Jackson gains possession),0 - 0
11:49,DeMarcus Cousins shooting foul  (Andre Drummond draws the foul),0 - 0
11:49,Andre Drummond misses free throw 1 of 2,0 - 0
11:49,Pistons offensive team rebound,0 - 0
11:49,Andre Drummond misses free throw 2 of 2,0 - 0
11:48,DeMarcus Cousins defensive rebound,0 - 0
11:26,Garrett Temple makes 3-foot jumper (DeMarcus Cousins assists),0 - 2
11:11,Tobias Harris  misses 18-foot jumper,0 - 2
11:10,DeMarcus Cousins defensive rebound,0 - 2
10:56,Anthony Tolliver  misses 25-foot three point jumper,0 - 2
10:55,DeMarcus Cousins makes tip shot,0 - 4
10:55,DeMarcus Cousins offensive rebound,0 - 2
10:29,Tobias Harris makes 24-foot  three point jumper  (Kentavious Caldwell-Pope assists),3 - 4
10:12,DeMarcus Cousins makes 25-foot  three point jumper  (Rudy Gay assists),3 - 7
10:00,Reggie Jackson offensive foul  (Garrett Temple draws the foul),3 - 7
10:00,Reggie Jackson  turnover,3 - 7
9:42,Anthony Tolliver  misses 15-foot jumper,3 - 7
9:41,Tobias Harris defensive rebound,3 - 7
9:29,Marcus Morris makes 25-foot  three point jumper  (Reggie Jackson assists),6 - 7
9:03,DeMarcus Cousins  misses 18-foot jumper,6 - 7
9:03,Kings offensive team rebound,6 - 7
9:03,shot clock turnover,6 - 7
8:52,Andre Drummond Out-of-Bounds Bad Pass Turnover,6 - 7
8:29,DeMarcus Cousins makes 2-foot two point shot,6 - 9
8:04,Reggie Jackson makes 27-foot  three point jumper,9 - 9
7:52,Rudy Gay  misses 18-foot two point jumper,9 - 9
7:50,Andre Drummond defensive rebound,9 - 9
7:43,Marcus Morris  misses 25-foot three point jumper,9 - 9
7:43,Kings defensive team rebound,9 - 9
7:28,Darren Collison makes layup (DeMarcus Cousins assists),9 - 11
7:16,Reggie Jackson makes driving layup,11 - 11
7:05,Darren Collison  misses driving layup,11 - 11
7:03,Andre Drummond defensive rebound,11 - 11
6:52,Tobias Harris makes two point shot,13 - 11
6:39,Marcus Morris shooting foul  (Rudy Gay draws the foul),13 - 11
6:39,Rudy Gay makes free throw 1 of 2,13 - 12
6:39,Rudy Gay makes free throw 2 of 2,13 - 13
6:26,Andre Drummond makes two point shot (Reggie Jackson assists),15 - 13
6:05,DeMarcus Cousins makes 14-foot two point shot,15 - 15
6:05,Andre Drummond shooting foul  (DeMarcus Cousins draws the foul),15 - 15
6:05,DeMarcus Cousins makes free throw 1 of 1,15 - 16
5:47,Marcus Morris makes 16-foot two point shot,17 - 16
5:28,Rudy Gay makes 25-foot  three point jumper  (DeMarcus Cousins assists),17 - 19
5:18,Pistons Full timeout,17 - 19
5:18,Omri Casspi enters the game for Anthony Tolliver,17 - 19
5:18,Stanley Johnson enters the game for Marcus Morris,17 - 19
5:03,Tobias Harris  misses 11-foot jumper,17 - 19
5:03,Omri Casspi defensive rebound,17 - 19
4:41,Rudy Gay  misses 7-foot two point shot,17 - 19
4:39,Andre Drummond defensive rebound,17 - 19
4:31,DeMarcus Cousins blocks Reggie Jackson 's 4-foot  layup,17 - 19
4:31,Pistons offensive team rebound,17 - 19
4:20,Tobias Harris makes 13-foot two point shot,19 - 19
3:53,Rudy Gay  misses 25-foot three point jumper,19 - 19
3:51,DeMarcus Cousins offensive rebound,19 - 19
3:49,Andre Drummond blocks Garrett Temple 's 2-foot  layup,19 - 19
3:47,Kentavious Caldwell-Pope defensive rebound,19 - 19
3:41,Andre Drummond  misses 5-foot two point shot,19 - 19
3:39,Omri Casspi defensive rebound,19 - 19
3:30,Andre Drummond blocks DeMarcus Cousins 's 3-foot  layup,19 - 19
3:28,Rudy Gay offensive rebound,19 - 19
3:27,Rudy Gay makes dunk,19 - 21
3:12,Reggie Jackson makes  three point jumper,22 - 21
3:00,Tobias Harris blocks Darren Collison 's 3-foot  shot,22 - 21
2:58,Stanley Johnson defensive rebound,22 - 21
2:45,Kings Full timeout,22 - 21
2:45,Marcus Morris enters the game for Tobias Harris,22 - 21
2:45,Ish Smith enters the game for Reggie Jackson,22 - 21
2:45,Arron Afflalo enters the game for Rudy Gay,22 - 21
2:45,Ty Lawson enters the game for Darren Collison,22 - 21
2:36,Kentavious Caldwell-Pope makes 25-foot  three point jumper  (Stanley Johnson assists),25 - 21
2:26,Stanley Johnson personal foul  (Arron Afflalo draws the foul),25 - 21
2:12,Ty Lawson  misses 17-foot jumper,25 - 21
2:11,Omri Casspi offensive rebound,25 - 21
2:06,DeMarcus Cousins offensive Charge  (Ish Smith draws the foul),25 - 21
2:06,DeMarcus Cousins  turnover,25 - 21
2:06,Kosta Koufos enters the game for DeMarcus Cousins,25 - 21
2:06,Boban Marjanovic enters the game for Andre Drummond,25 - 21
1:57,Ish Smith  misses 19-foot jumper,25 - 21
1:55,Boban Marjanovic offensive rebound,25 - 21
1:55,Omri Casspi shooting foul  (Boban Marjanovic draws the foul),25 - 21
1:55,Boban Marjanovic makes free throw 1 of 2,26 - 21
1:55,Boban Marjanovic makes free throw 2 of 2,27 - 21
1:42,Kosta Koufos  misses 6-foot hook shot,27 - 21
1:40,Boban Marjanovic defensive rebound,27 - 21
1:25,Kentavious Caldwell-Pope  misses 9-foot jumper,27 - 21
1:24,Marcus Morris offensive rebound,27 - 21
1:14,Boban Marjanovic  misses 9-foot hook shot,27 - 21
1:13,Kosta Koufos defensive rebound,27 - 21
1:04,Marcus Morris personal foul  (Omri Casspi draws the foul),27 - 21
1:04,Tobias Harris enters the game for Marcus Morris,27 - 21
50.0,Kosta Koufos  misses hook shot,27 - 21
50.0,Boban Marjanovic defensive rebound,27 - 21
42.0,Stanley Johnson  misses 8-foot jumper,27 - 21
40.0,Kosta Koufos defensive rebound,27 - 21
27.0,Kosta Koufos  lost ball turnover (Ish Smith steals),27 - 21
24.0,Garrett Temple shooting foul  (Tobias Harris draws the foul),27 - 21
24.0,Tobias Harris makes free throw 1 of 2,28 - 21
24.0,Ben McLemore enters the game for Kosta Koufos,28 - 21
24.0,Darrun Hilliard enters the game for Boban Marjanovic,28 - 21
24.0,Tobias Harris makes free throw 2 of 2,29 - 21
2.0,Ty Lawson  bad pass (Ish Smith steals),29 - 21
0.0,Ish Smith  misses 42-foot three point jumper,29 - 21
0.0,Pistons offensive team rebound,29 - 21
0.0,End of the 1st Quarter,29 - 21
11:52,Ty Lawson  bad pass (Stanley Johnson steals),29 - 21
11:45,Ish Smith makes layup (Stanley Johnson assists),31 - 21
11:21,Arron Afflalo makes 22-foot two point shot (Ben McLemore assists),31 - 23
10:59,Tobias Harris  misses two point jumper,31 - 24
10:59,Omri Casspi defensive rebound,31 - 24
10:55,Ty Lawson  double dribble turnover,31 - 24
10:37,Boban Marjanovic  misses 6-foot jumper,31 - 24
10:36,Henry Ellenson makes tip shot,33 - 24
10:36,Henry Ellenson offensive rebound,31 - 24
10:22,Omri Casspi  misses 6-foot two point shot,33 - 24
10:22,Boban Marjanovic defensive rebound,33 - 24
10:08,Stanley Johnson makes two point shot,35 - 24
10:03,Kings Full timeout,35 - 24
9:56,Tobias Harris shooting foul  (Arron Afflalo draws the foul),35 - 23
9:56,Arron Afflalo makes free throw 1 of 2,35 - 24
9:56,Rudy Gay enters the game for Omri Casspi,35 - 24
9:56,Anthony Tolliver enters the game for Ben McLemore,35 - 24
9:56,Arron Afflalo makes free throw 2 of 2,35 - 25
9:47,Boban Marjanovic makes dunk (Henry Ellenson assists),37 - 25
9:36,Rudy Gay  lost ball turnover (Stanley Johnson steals),37 - 25
9:33,Tobias Harris makes dunk (Stanley Johnson assists),39 - 25
9:27,Kings Full timeout,39 - 25
9:27,Andre Drummond enters the game for Boban Marjanovic,39 - 25
9:27,DeMarcus Cousins enters the game for Kosta Koufos,39 - 25
9:11,Andre Drummond shooting foul  (DeMarcus Cousins draws the foul),39 - 25
9:11,DeMarcus Cousins makes free throw 1 of 2,39 - 26
9:11,DeMarcus Cousins makes free throw 2 of 2,39 - 27
8:48,Stanley Johnson  misses 23-foot three point jumper,39 - 27
8:48,DeMarcus Cousins defensive rebound,39 - 27
8:29,Ty Lawson  misses jumper,39 - 27
8:27,Henry Ellenson defensive rebound,39 - 27
8:19,Ish Smith  misses 16-foot two point jumper,39 - 27
8:18,DeMarcus Cousins defensive rebound,39 - 27
8:08,Anthony Tolliver  misses 25-foot three point jumper,39 - 27
8:07,Anthony Tolliver offensive rebound,39 - 27
8:03,Darren Collison enters the game for Ty Lawson,39 - 27
7:48,DeMarcus Cousins makes 25-foot  three point jumper  (Arron Afflalo assists),39 - 30
7:31,Henry Ellenson  misses 25-foot three point jumper,39 - 30
7:30,Arron Afflalo defensive rebound,39 - 30
7:18,Rudy Gay  lost ball turnover (Stanley Johnson steals),39 - 30
7:15,Rudy Gay blocks Stanley Johnson 's 3-foot  layup,39 - 30
7:15,Pistons offensive team rebound,39 - 30
7:15,Reggie Jackson enters the game for Ish Smith,39 - 30
7:15,Marcus Morris enters the game for Tobias Harris,39 - 30
7:03,Marcus Morris  misses two point jumper,39 - 30
7:01,DeMarcus Cousins defensive rebound,39 - 30
6:50,Anthony Tolliver makes 24-foot  three point jumper  (Darren Collison assists),39 - 33
6:43,Pistons Full timeout,39 - 33
6:43,Kentavious Caldwell-Pope enters the game for Henry Ellenson,39 - 33
6:43,Kings delay of game violation,39 - 33
6:24,Marcus Morris makes 6-foot jumper,41 - 33
5:58,DeMarcus Cousins  misses 25-foot three point jumper,41 - 33
5:58,Marcus Morris defensive rebound,41 - 33
5:48,Reggie Jackson  misses 3-foot jumper,41 - 33
5:48,DeMarcus Cousins defensive rebound,41 - 33
5:37,Rudy Gay  bad pass (Andre Drummond steals),41 - 33
5:28,Rudy Gay shooting foul  (Andre Drummond draws the foul),41 - 33
5:28,Darren Collison lane violation,41 - 33
5:28,Andre Drummond misses free throw 1 of 2,41 - 33
5:28,Pistons offensive team rebound,41 - 33
5:28,Andre Drummond misses free throw 2 of 2,41 - 33
5:28,Rudy Gay defensive rebound,41 - 33
5:15,Anthony Tolliver  misses 13-foot jumper,41 - 33
5:13,DeMarcus Cousins offensive rebound,41 - 33
5:11,Andre Drummond blocks Rudy Gay's  shot,41 - 33
5:09,Anthony Tolliver offensive rebound,41 - 33
5:01,DeMarcus Cousins  misses driving layup,41 - 33
5:00,Reggie Jackson defensive rebound,41 - 33
4:50,Marcus Morris  misses 23-foot three point jumper,41 - 33
4:50,Rudy Gay defensive rebound,41 - 33
4:37,Stanley Johnson personal foul  (Rudy Gay draws the foul),41 - 33
4:37,Garrett Temple enters the game for Arron Afflalo,41 - 33
4:26,Darren Collison  misses 25-foot three point jumper,41 - 33
4:26,Kentavious Caldwell-Pope defensive rebound,41 - 33
4:09,Marcus Morris  bad pass (DeMarcus Cousins steals),41 - 33
4:07,Rudy Gay  bad pass (Marcus Morris steals),41 - 33
4:05,Andre Drummond makes two point shot (Marcus Morris assists),43 - 33
3:46,Reggie Jackson personal foul  (Darren Collison draws the foul),43 - 33
3:46,Tobias Harris enters the game for Stanley Johnson,43 - 33
3:38,Rudy Gay  bad pass (Andre Drummond steals),43 - 33
3:32,Reggie Jackson offensive Charge  (Rudy Gay draws the foul),43 - 33
3:32,Reggie Jackson  turnover,43 - 33
3:32,Ish Smith enters the game for Reggie Jackson,43 - 33
3:20,Anthony Tolliver  misses 17-foot jumper,43 - 33
3:19,Andre Drummond defensive rebound,43 - 33
3:08,Kentavious Caldwell-Pope makes 24-foot  three point jumper  (Tobias Harris assists),46 - 33
2:49,Darren Collison makes 25-foot  three point jumper  (Anthony Tolliver assists),46 - 36
2:33,Marcus Morris  misses 6-foot jumper,46 - 36
2:32,Rudy Gay defensive rebound,46 - 36
2:27,Darren Collison  misses 4-foot jumper,46 - 36
2:27,Pistons defensive team rebound,46 - 36
2:27,Rudy Gay loose ball foul  (Tobias Harris draws the foul),46 - 36
2:27,Stanley Johnson enters the game for Marcus Morris,46 - 36
2:27,Aron Baynes enters the game for Andre Drummond,46 - 36
2:15,Ish Smith makes 5-foot two point shot,48 - 36
2:02,Aron Baynes personal foul  (DeMarcus Cousins draws the foul),48 - 36
2:02,DeMarcus Cousins misses free throw 1 of 2,48 - 36
2:02,Kings offensive team rebound,48 - 36
2:02,DeMarcus Cousins makes free throw 2 of 2,48 - 37
1:53,DeMarcus Cousins shooting block foul  (Ish Smith draws the foul),48 - 37
1:53,Ish Smith makes free throw 1 of 2,49 - 37
1:53,Kosta Koufos enters the game for DeMarcus Cousins,49 - 37
1:53,Henry Ellenson enters the game for Stanley Johnson,49 - 37
1:53,Ish Smith makes free throw 2 of 2,50 - 37
1:40,Garrett Temple  misses 18-foot jumper,50 - 37
1:40,Kings offensive team rebound,50 - 37
1:40,Henry Ellenson loose ball foul  (Anthony Tolliver draws the foul),50 - 37
1:40,Anthony Tolliver makes free throw 1 of 2,50 - 38
1:40,Anthony Tolliver makes free throw 2 of 2,50 - 39
1:17,Rudy Gay shooting foul  (Kentavious Caldwell-Pope draws the foul),50 - 39
1:17,Kentavious Caldwell-Pope makes free throw 1 of 3,51 - 39
1:17,Kentavious Caldwell-Pope makes free throw 2 of 3,52 - 39
1:17,Arron Afflalo enters the game for Rudy Gay,52 - 39
1:17,Kentavious Caldwell-Pope makes free throw 3 of 3,53 - 39
56.0,Garrett Temple  misses Driving Floating Jump Shot,53 - 41
56.0,Kosta Koufos makes tip shot,53 - 41
56.0,Kosta Koufos offensive rebound,53 - 39
42.0,Kentavious Caldwell-Pope makes 24-foot  three point jumper  (Henry Ellenson assists),56 - 41
22.0,Anthony Tolliver makes driving layup,56 - 43
0.0,Henry Ellenson  misses 24-foot three point jumper,56 - 43
0.0,Kings defensive team rebound,56 - 43
0.0,Darren Collison  misses 55-foot three point jumper,56 - 43
0.0,Kings offensive team rebound,56 - 43
0.0,End of the 2nd Quarter,56 - 43
11:34,Rudy Gay  misses layup,56 - 43
11:33,Tobias Harris defensive rebound,56 - 43
11:15,Reggie Jackson makes driving layup,58 - 43
11:15,Pistons delay of game violation,58 - 43
10:56,DeMarcus Cousins makes 6-foot two point shot (Darren Collison assists),58 - 45
10:36,Andre Drummond makes two point shot (Kentavious Caldwell-Pope assists),60 - 45
10:11,Darren Collison makes 20-foot two point shot,60 - 47
9:45,Marcus Morris  misses 22-foot jumper,60 - 47
