time,play,score
12:00,Andre Drummond vs. Brook Lopez (Reggie Jackson gains possession),0 - 0
11:42,Andre Drummond makes 11-foot two point shot,2 - 0
11:19,Rondae Hollis-Jefferson  misses 15-foot step back jumpshot,2 - 0
11:18,Andre Drummond defensive rebound,2 - 0
11:11,Marcus Morris  lost ball turnover (Caris LeVert steals),2 - 0
11:08,Caris LeVert makes two point shot,2 - 2
10:41,Andre Drummond  misses two point shot,2 - 2
10:40,Spencer Dinwiddie defensive rebound,2 - 2
10:27,Randy Foye  misses 18-foot two point jumper,2 - 2
10:26,Andre Drummond defensive rebound,2 - 2
10:15,Tobias Harris makes layup,4 - 2
10:00,Caris LeVert  misses 25-foot three point jumper,4 - 2
9:57,Andre Drummond defensive rebound,4 - 2
9:52,Kentavious Caldwell-Pope makes 25-foot  three point jumper  (Reggie Jackson assists),7 - 2
9:33,Randy Foye  misses 25-foot three point jumper,7 - 2
9:32,Marcus Morris defensive rebound,7 - 2
9:18,Marcus Morris  misses jumper,7 - 2
9:18,Rondae Hollis-Jefferson defensive rebound,7 - 2
9:11,Marcus Morris personal foul  (Rondae Hollis-Jefferson draws the foul),7 - 2
9:08,Brook Lopez makes dunk (Randy Foye assists),7 - 4
8:55,Reggie Jackson  bad pass,7 - 4
8:41,Andre Drummond personal block  (Brook Lopez draws the foul),7 - 4
8:30,Brook Lopez makes 26-foot  three point jumper  (Randy Foye assists),7 - 7
8:08,Reggie Jackson  misses three point jumper,7 - 7
8:07,Randy Foye defensive rebound,7 - 7
7:56,Brook Lopez  misses 26-foot three point jumper,7 - 7
7:56,Kentavious Caldwell-Pope defensive rebound,7 - 7
7:46,Spencer Dinwiddie shooting foul  (Tobias Harris draws the foul),7 - 7
7:46,Tobias Harris misses free throw 1 of 2,7 - 7
7:46,Pistons offensive team rebound,7 - 7
7:46,Tobias Harris makes free throw 2 of 2,8 - 7
7:33,Brook Lopez offensive rebound,8 - 7
7:33,Brook Lopez  misses alley oop dunk shot,8 - 7
7:28,Brook Lopez makes 2-foot two point shot,8 - 9
7:13,Spencer Dinwiddie blocks Andre Drummond 's 2-foot  layup,8 - 9
7:11,Spencer Dinwiddie defensive rebound,8 - 9
7:01,Randy Foye  lost ball turnover (Andre Drummond steals),8 - 9
6:56,Andre Drummond Out-of-Bounds Bad Pass Turnover,8 - 9
6:56,Isaiah Whitehead enters the game for Randy Foye,8 - 9
6:43,Caris LeVert makes driving layup,8 - 11
6:37,Pistons Full timeout,8 - 11
6:28,Kentavious Caldwell-Pope  misses 13-foot two point jumper,8 - 11
6:28,Brook Lopez defensive rebound,8 - 11
6:05,Spencer Dinwiddie  misses 25-foot three point jumper,8 - 11
6:03,Andre Drummond defensive rebound,8 - 11
5:54,Reggie Jackson makes two point shot,10 - 11
5:26,Brook Lopez  misses 25-foot three point jumper,10 - 11
5:24,Marcus Morris defensive rebound,10 - 11
5:16,Reggie Jackson  misses 20-foot two point jumper,10 - 11
5:16,Brook Lopez defensive rebound,10 - 11
5:09,Spencer Dinwiddie makes driving layup,10 - 13
4:54,Tobias Harris makes 7-foot two point shot (Kentavious Caldwell-Pope assists),12 - 13
4:45,Reggie Jackson shooting foul  (Spencer Dinwiddie draws the foul),12 - 13
4:45,Spencer Dinwiddie misses free throw 1 of 3,12 - 13
4:45,Nets offensive team rebound,12 - 13
4:45,Spencer Dinwiddie makes free throw 2 of 3,12 - 14
4:45,Ish Smith enters the game for Reggie Jackson,12 - 14
4:45,Jon Leuer enters the game for Marcus Morris,12 - 14
4:45,Quincy Acy enters the game for Rondae Hollis-Jefferson,12 - 14
4:45,Spencer Dinwiddie makes free throw 3 of 3,12 - 15
4:45,KJ McDaniels enters the game for Caris LeVert,12 - 15
4:28,Ish Smith  misses 11-foot two point jumper,12 - 15
4:26,Andre Drummond offensive rebound,14 - 15
4:26,Andre Drummond makes layup,14 - 15
4:26,Quincy Acy shooting foul  (Andre Drummond draws the foul),14 - 15
4:26,Archie Goodwin enters the game for Spencer Dinwiddie,14 - 15
4:26,Andre Drummond misses free throw 1 of 1,14 - 15
4:24,Quincy Acy defensive rebound,14 - 15
4:13,KJ McDaniels  misses driving layup,14 - 15
4:11,Archie Goodwin offensive rebound,14 - 15
3:55,Tobias Harris blocks Archie Goodwin 's 2-foot  layup,14 - 15
3:53,Jon Leuer defensive rebound,14 - 15
3:47,Tobias Harris makes 3-foot layup (Ish Smith assists),16 - 15
3:47,Nets Full timeout,16 - 15
3:47,Trevor Booker enters the game for Brook Lopez,16 - 15
3:35,Quincy Acy makes 26-foot  three point jumper  (Archie Goodwin assists),16 - 18
3:16,Andre Drummond makes 14-foot jumper (Jon Leuer assists),18 - 18
2:51,Quincy Acy  misses 26-foot three point jumper,18 - 18
2:50,Tobias Harris defensive rebound,18 - 18
2:33,Andre Drummond makes layup (Tobias Harris assists),20 - 18
2:14,Jon Leuer shooting foul  (Quincy Acy draws the foul),20 - 18
2:14,Quincy Acy makes free throw 1 of 2,20 - 19
2:14,Aron Baynes enters the game for Andre Drummond,20 - 19
2:14,Quincy Acy makes free throw 2 of 2,20 - 20
1:58,Tobias Harris makes layup,22 - 20
1:58,KJ McDaniels shooting foul  (Tobias Harris draws the foul),22 - 20
1:58,Tobias Harris makes free throw 1 of 1,23 - 20
1:42,Isaiah Whitehead  misses 9-foot jumper,23 - 20
1:40,Aron Baynes defensive rebound,23 - 20
1:35,Tobias Harris makes two point shot (Ish Smith assists),25 - 20
1:23,Isaiah Whitehead  misses layup,25 - 20
1:22,Ish Smith defensive rebound,25 - 20
1:09,Tobias Harris  misses 22-foot jumper,25 - 20
1:08,Nets defensive team rebound,25 - 20
1:08,Aron Baynes loose ball foul  (Isaiah Whitehead draws the foul),25 - 20
1:08,Isaiah Whitehead makes free throw 1 of 2,25 - 21
