time,play,score
12:00,Andre Drummond vs. Jonas Valanciunas (DeMar DeRozan gains possession),0 - 0
11:45,Jonas Valanciunas  misses 15-foot jumper,0 - 0
11:45,Andre Drummond defensive rebound,0 - 0
11:30,Andre Drummond makes two point shot (Kentavious Caldwell-Pope assists),2 - 0
11:10,Kyle Lowry makes 25-foot  three point jumper  (DeMarre Carroll assists),2 - 3
10:38,Marcus Morris  misses 25-foot three point jumper,2 - 3
10:37,Kyle Lowry defensive rebound,2 - 3
10:27,Andre Drummond personal foul  (Jonas Valanciunas draws the foul),2 - 3
10:22,Jonas Valanciunas  misses 3-foot,2 - 3
10:21,Marcus Morris defensive rebound,2 - 3
10:12,Reggie Jackson  bad pass (Jakob Poeltl steals),2 - 3
10:00,DeMar DeRozan  bad pass (Reggie Jackson steals),2 - 3
9:57,Kyle Lowry shooting foul  (Reggie Jackson draws the foul),2 - 3
9:57,Reggie Jackson makes free throw 1 of 2,3 - 3
9:57,Reggie Jackson makes free throw 2 of 2,4 - 3
9:33,Kyle Lowry  misses 24-foot three point jumper,4 - 3
9:33,Andre Drummond defensive rebound,4 - 3
9:22,Jon Leuer  misses 26-foot three point jumper,4 - 3
9:21,Raptors defensive team rebound,4 - 3
9:11,DeMar DeRozan makes 15-foot Driving Floating Jump Shot,4 - 5
9:00,Jon Leuer makes 13-foot two point shot,6 - 5
8:36,Jakob Poeltl makes dunk (DeMar DeRozan assists),6 - 7
8:19,Kentavious Caldwell-Pope  misses 15-foot jumper,6 - 7
8:19,Andre Drummond offensive rebound,6 - 7
8:18,Andre Drummond  misses 3-foot,6 - 7
8:17,Andre Drummond offensive rebound,6 - 7
8:17,DeMarre Carroll shooting foul  (Andre Drummond draws the foul),6 - 7
8:17,Andre Drummond misses free throw 1 of 2,6 - 7
8:17,Andre Drummond  misses,7 - 7
8:17,Pistons offensive team rebound,6 - 7
8:17,Andre Drummond makes free throw 2 of 2,7 - 7
8:17,Andre Drummond offensive rebound,7 - 7
8:03,Andre Drummond shooting foul  (Jonas Valanciunas draws the foul),7 - 7
8:03,Jonas Valanciunas misses free throw 1 of 2,7 - 7
8:03,Raptors offensive team rebound,7 - 7
8:03,Aron Baynes enters the game for Andre Drummond,7 - 7
8:03,Jonas Valanciunas makes free throw 2 of 2,7 - 8
7:52,Jon Leuer  misses 16-foot two point jumper,7 - 8
7:52,Kyle Lowry defensive rebound,7 - 8
7:41,Kyle Lowry  bad pass (Marcus Morris steals),7 - 8
7:37,Marcus Morris  bad pass (DeMarre Carroll steals),7 - 8
7:31,Kyle Lowry makes 25-foot  three point jumper  (DeMarre Carroll assists),7 - 11
7:11,Jon Leuer  bad pass (Kyle Lowry steals),7 - 11
6:58,Aron Baynes blocks Jakob Poeltl 's 3-foot  layup,7 - 11
6:56,Marcus Morris defensive rebound,7 - 11
6:41,Kentavious Caldwell-Pope makes 14-foot two point shot,9 - 11
6:33,Raptors Full timeout,9 - 11
6:16,shot clock turnover,9 - 11
5:54,Reggie Jackson makes 17-foot two point shot,11 - 11
5:43,DeMarre Carroll makes  three point jumper  (Kyle Lowry assists),11 - 14
5:31,Jakob Poeltl shooting block foul  (Reggie Jackson draws the foul),11 - 14
5:31,Reggie Jackson makes free throw 1 of 2,12 - 14
5:31,Reggie Jackson makes free throw 2 of 2,13 - 14
5:18,Reggie Jackson shooting foul  (DeMarre Carroll draws the foul),13 - 14
5:18,DeMarre Carroll misses free throw 1 of 2,13 - 14
5:18,Raptors offensive team rebound,13 - 14
5:18,Lucas Nogueira enters the game for Jakob Poeltl,13 - 14
5:18,Cory Joseph enters the game for Kyle Lowry,13 - 14
5:18,DeMarre Carroll makes free throw 2 of 2,13 - 15
5:03,Marcus Morris makes 17-foot jumper (Reggie Jackson assists),15 - 15
4:41,DeMar DeRozan makes 17-foot two point shot,15 - 17
4:26,Kentavious Caldwell-Pope  misses three point jumper,15 - 17
4:26,Lucas Nogueira defensive rebound,15 - 17
4:20,Cory Joseph possession lost ball turnoverReggie Jackson,15 - 17
4:11,Jon Leuer  misses 14-foot jumper,15 - 17
4:11,Cory Joseph defensive rebound,15 - 17
3:59,DeMar DeRozan makes driving dunk,15 - 19
3:49,Pistons Full timeout,15 - 19
3:49,Tobias Harris enters the game for Jon Leuer,15 - 19
3:49,Stanley Johnson enters the game for Kentavious Caldwell-Pope,15 - 19
3:49,Ish Smith enters the game for Reggie Jackson,15 - 19
3:49,Terrence Ross enters the game for Jonas Valanciunas,15 - 19
3:40,Marcus Morris  misses 23-foot jumper,15 - 19
3:40,Terrence Ross defensive rebound,15 - 19
3:31,DeMar DeRozan  misses,15 - 19
3:30,Ish Smith defensive rebound,15 - 19
3:24,Tobias Harris makes 25-foot  three point running jumper  (Ish Smith assists),18 - 19
3:04,Tobias Harris shooting foul  (DeMarre Carroll draws the foul),18 - 19
3:04,DeMarre Carroll misses free throw 1 of 2,18 - 19
3:04,Raptors offensive team rebound,18 - 19
3:04,DeMarre Carroll misses free throw 2 of 2,18 - 19
3:04,Aron Baynes defensive rebound,18 - 19
2:47,Ish Smith  misses three point jumper,18 - 19
2:47,DeMar DeRozan defensive rebound,18 - 19
2:39,DeMar DeRozan  bad pass (Marcus Morris steals),18 - 19
2:33,Terrence Ross shooting foul  (Marcus Morris draws the foul),18 - 19
2:33,Marcus Morris misses free throw 1 of 2,18 - 19
2:33,Pistons offensive team rebound,18 - 19
2:33,Marcus Morris makes free throw 2 of 2,19 - 19
2:21,Cory Joseph  misses 8-foot two point shot,19 - 19
2:19,Lucas Nogueira offensive rebound,19 - 19
2:19,Ish Smith shooting foul  (Lucas Nogueira draws the foul),19 - 19
2:19,Lucas Nogueira makes free throw 1 of 2,19 - 20
2:19,Lucas Nogueira makes free throw 2 of 2,19 - 21
2:05,Ish Smith makes 16-foot two point shot,21 - 21
1:47,DeMarre Carroll makes 11-foot Driving Floating Jump Shot (Terrence Ross assists),21 - 23
1:35,Ish Smith makes two point shot,23 - 23
1:13,DeMar DeRozan makes 11-foot two point shot,23 - 25
45.0,Marcus Morris  misses three point jumper,23 - 25
