time,play,score
12:00,Jonas Valanciunas vs. Robin Lopez,0 - 0
11:44,Jonas Valanciunas makes 15-foot jumper (Jakob Poeltl assists),2 - 0
11:32,Jimmy Butler steps out of bounds turnover,2 - 0
11:14,Jonas Valanciunas makes jumper (Kyle Lowry assists),4 - 0
10:56,Taj Gibson makes jumper (Jimmy Butler assists),4 - 2
10:34,Kyle Lowry  misses 18-foot jumper,4 - 2
10:33,Jimmy Butler defensive rebound,4 - 2
10:19,Taj Gibson makes layup,4 - 4
10:03,DeMar DeRozan  misses 13-foot jumper,4 - 4
10:03,Robin Lopez defensive rebound,4 - 4
9:53,Jimmy Butler makes layup,4 - 6
9:48,DeMar DeRozan  lost ball turnover (Jimmy Butler steals),4 - 6
9:42,Taj Gibson makes dunk (Jimmy Butler assists),4 - 8
9:37,Raptors Full timeout,4 - 8
9:18,DeMar DeRozan  misses 22-foot jumper,4 - 8
9:17,Raptors offensive team rebound,4 - 8
9:17,Taj Gibson loose ball foul  (Jakob Poeltl draws the foul),4 - 8
9:11,Kyle Lowry makes 19-foot jumper,6 - 8
8:44,Jerian Grant  misses 20-foot jumper,6 - 8
8:41,Bulls offensive team rebound,6 - 8
8:36,Robin Lopez  misses 15-foot jumper,6 - 8
8:34,DeMar DeRozan defensive rebound,6 - 8
8:18,Jonas Valanciunas  misses hook shot,6 - 8
8:18,Robin Lopez defensive rebound,6 - 8
8:10,Michael Carter-Williams makes two point shot,6 - 10
7:52,DeMarre Carroll makes 16-foot jumper,8 - 10
7:31,Jakob Poeltl shooting foul  (Taj Gibson draws the foul),8 - 10
7:31,Taj Gibson makes free throw 1 of 2,8 - 11
7:31,Taj Gibson makes free throw 2 of 2,8 - 12
7:16,DeMar DeRozan  misses 19-foot jumper,8 - 12
7:16,Michael Carter-Williams defensive rebound,8 - 12
7:07,Robin Lopez  misses jumper,8 - 12
7:05,Jonas Valanciunas defensive rebound,8 - 12
6:52,DeMar DeRozan Out-of-Bounds Bad Pass Turnover,8 - 12
6:41,DeMar DeRozan personal foul  (Michael Carter-Williams draws the foul),8 - 12
6:31,Taj Gibson  misses jumper,8 - 12
6:30,Robin Lopez  misses layup,8 - 12
6:30,Robin Lopez offensive rebound,8 - 12
6:28,Jonas Valanciunas defensive rebound,8 - 12
6:15,Robin Lopez blocks DeMar DeRozan 's 3-foot  layup,8 - 12
6:13,Raptors offensive team rebound,8 - 12
6:09,DeMar DeRozan  misses 14-foot two point shot,8 - 12
6:07,Jonas Valanciunas  misses layup,10 - 12
6:07,Jonas Valanciunas offensive rebound,8 - 12
6:07,Jonas Valanciunas makes layup,10 - 12
6:07,Jonas Valanciunas offensive rebound,8 - 12
5:52,Jakob Poeltl blocks Robin Lopez 's 3-foot  layup,10 - 12
5:50,Bulls offensive team rebound,10 - 12
5:43,Jimmy Butler  lost ball turnover (DeMarre Carroll steals),10 - 12
5:20,Kyle Lowry  bad pass (Jerian Grant steals),10 - 12
5:16,Jerian Grant  misses 24-foot three point jumper,10 - 12
5:15,Kyle Lowry defensive rebound,10 - 12
5:07,Jonas Valanciunas makes two point shot (Kyle Lowry assists),12 - 12
4:56,Michael Carter-Williams makes layup,12 - 14
4:47,Kyle Lowry  misses 25-foot three point jumper,12 - 14
4:46,Robin Lopez defensive rebound,12 - 14
4:33,Cory Joseph enters the game for Kyle Lowry,12 - 14
4:33,Lucas Nogueira enters the game for Jakob Poeltl,12 - 14
4:33,Doug McDermott enters the game for Jerian Grant,12 - 14
4:16,Jimmy Butler  misses 25-foot three point jumper,12 - 14
4:16,DeMar DeRozan defensive rebound,12 - 14
4:09,DeMar DeRozan makes 18-foot jumper,14 - 14
3:51,Jimmy Butler  misses 7-foot jumper,14 - 14
3:51,Jonas Valanciunas defensive rebound,14 - 14
3:42,Robin Lopez defensive 3-seconds (Technical Foul),14 - 14
3:42,DeMar DeRozan makes technical free throw,15 - 14
3:42,Bobby Portis enters the game for Taj Gibson,15 - 14
3:42,Rajon Rondo enters the game for Michael Carter-Williams,15 - 14
3:33,Cory Joseph  bad pass (Jimmy Butler steals),15 - 14
3:31,Jimmy Butler makes layup,15 - 16
3:10,DeMar DeRozan  misses layup,15 - 16
3:09,Jonas Valanciunas makes layup,17 - 16
3:09,Jonas Valanciunas offensive rebound,15 - 16
3:01,Rajon Rondo  bad pass (Cory Joseph steals),17 - 16
2:53,Bobby Portis blocks Jonas Valanciunas 's 5-foot  hook shot,17 - 16
2:50,Robin Lopez defensive rebound,17 - 16
2:40,Jonas Valanciunas shooting foul  (Bobby Portis draws the foul),17 - 16
2:40,Bulls Full timeout,17 - 16
2:40,Jonas Valanciunas technical foul(1st technical foul),17 - 16
2:40,Jakob Poeltl enters the game for Jonas Valanciunas,17 - 16
2:40,Jimmy Butler makes technical free throw,17 - 17
2:40,Bobby Portis makes free throw 1 of 2,17 - 18
2:40,Bobby Portis makes free throw 2 of 2,17 - 19
2:23,DeMar DeRozan  misses 18-foot jumper,17 - 19
2:23,Bobby Portis defensive rebound,17 - 19
2:03,Bobby Portis  misses 16-foot jumper,17 - 19
2:02,Cory Joseph defensive rebound,17 - 19
1:54,Cory Joseph  misses 21-foot jumper,17 - 19
1:54,Doug McDermott defensive rebound,17 - 19
1:46,Doug McDermott  misses 25-foot three point jumper,17 - 19
1:45,Jakob Poeltl defensive rebound,17 - 19
1:31,Doug McDermott personal foul  (DeMarre Carroll draws the foul),17 - 19
1:31,Cristiano Felicio enters the game for Robin Lopez,17 - 19
1:17,shot clock turnover,17 - 19
1:01,Rajon Rondo  bad pass (Lucas Nogueira steals),17 - 19
1:01,Jimmy Butler personal foul  (Lucas Nogueira draws the foul),18 - 19
1:01,Lucas Nogueira makes free throw 1 of 2,18 - 19
1:01,Lucas Nogueira misses free throw 2 of 2,18 - 19
1:01,Doug McDermott defensive rebound,18 - 19
45.0,Bobby Portis makes 22-foot  three point jumper  (Jimmy Butler assists),18 - 22
26.0,Lucas Nogueira  bad pass (Cristiano Felicio steals),18 - 22
22.0,Bobby Portis  misses finger roll layup,18 - 22
21.0,Cristiano Felicio offensive rebound,18 - 22
21.0,Cristiano Felicio makes dunk,18 - 24
0.0,End of the 1st Quarter,18 - 24
11:48,Doug McDermott makes 17-foot jumper (Cristiano Felicio assists),18 - 26
11:23,Jakob Poeltl Out-of-Bounds Bad Pass Turnover,18 - 26
11:07,Rajon Rondo makes driving layup,18 - 28
10:57,Doug McDermott shooting foul  (Norman Powell draws the foul),18 - 28
10:57,Doug McDermott technical foul(1st technical foul),18 - 28
10:57,Kyle Lowry makes technical free throw,19 - 28
10:57,Norman Powell makes free throw 1 of 2,20 - 28
10:57,Norman Powell makes free throw 2 of 2,21 - 28
10:42,Rajon Rondo  misses driving layup,21 - 28
10:41,Cristiano Felicio makes dunk,21 - 30
10:41,Cristiano Felicio offensive rebound,21 - 28
10:15,Jakob Poeltl makes dunk (Norman Powell assists),23 - 30
9:53,Bobby Portis  misses 26-foot three point jumper,23 - 30
9:52,Cory Joseph defensive rebound,23 - 30
9:40,Kyle Lowry  misses 25-foot three point jumper,23 - 30
9:38,Rajon Rondo defensive rebound,23 - 30
9:33,Rajon Rondo makes 20-foot jumper,23 - 32
9:18,Jakob Poeltl makes layup (Norman Powell assists),25 - 32
9:00,Doug McDermott  misses 14-foot jumper,25 - 32
9:00,Lucas Nogueira defensive rebound,25 - 32
8:45,Lucas Nogueira  misses layup,25 - 32
8:44,Denzel Valentine defensive rebound,25 - 32
8:32,Cory Joseph shooting foul  (Bobby Portis draws the foul),25 - 32
8:32,Full timeout,25 - 32
8:32,Jonas Valanciunas enters the game for Jakob Poeltl,25 - 32
8:32,Pascal Siakam enters the game for Lucas Nogueira,25 - 32
8:32,Bobby Portis misses free throw 1 of 2,25 - 32
8:32,Bulls offensive team rebound,25 - 32
8:32,Bobby Portis makes free throw 2 of 2,25 - 33
8:14,Pascal Siakam makes 4-foot two point shot (Norman Powell assists),27 - 33
7:54,Bobby Portis  misses 7-foot jumper,27 - 33
7:52,Bulls offensive team rebound,27 - 33
7:45,Doug McDermott makes 25-foot  three point jumper  (Rajon Rondo assists),27 - 36
7:31,Norman Powell Out-of-Bounds Bad Pass Turnover,27 - 36
7:31,Taj Gibson enters the game for Bobby Portis,27 - 36
7:16,Cristiano Felicio makes dunk (Doug McDermott assists),27 - 38
7:05,Kyle Lowry makes 17-foot jumper,29 - 38
6:54,Norman Powell personal foul  (Doug McDermott draws the foul),29 - 38
6:54,DeMar DeRozan enters the game for Cory Joseph,29 - 38
6:54,Jimmy Butler enters the game for Denzel Valentine,29 - 38
6:54,DeMarre Carroll enters the game for Norman Powell,29 - 38
6:39,Taj Gibson  misses 23-foot three point jumper,29 - 38
6:39,DeMar DeRozan defensive rebound,29 - 38
6:33,Pascal Siakam  misses layup,29 - 38
6:33,Cristiano Felicio defensive rebound,29 - 38
6:26,Pascal Siakam personal foul  (Doug McDermott draws the foul),29 - 38
6:09,Rajon Rondo makes 24-foot  three point jumper,29 - 41
5:48,Kyle Lowry  bad pass (Jimmy Butler steals),29 - 41
5:41,Taj Gibson makes dunk (Jimmy Butler assists),29 - 43
5:41,Raptors Full timeout,29 - 43
5:30,DeMar DeRozan  misses 17-foot jumper,29 - 43
5:28,Jonas Valanciunas makes layup,31 - 43
5:28,Jonas Valanciunas offensive rebound,29 - 43
5:18,Rajon Rondo Out-of-Bounds Bad Pass Turnover,31 - 43
5:09,DeMar DeRozan  misses layup,31 - 43
5:09,Doug McDermott defensive rebound,31 - 43
5:03,Jimmy Butler  misses layup,31 - 45
5:03,Cristiano Felicio makes layup,31 - 45
5:03,Cristiano Felicio offensive rebound,31 - 43
4:39,Kyle Lowry  misses 24-foot three point jumper,31 - 45
4:37,Doug McDermott defensive rebound,31 - 45
4:24,Rajon Rondo makes 25-foot  three point jumper  (Jimmy Butler assists),31 - 48
4:09,Kyle Lowry  bad pass (Jimmy Butler steals),31 - 48
4:03,Taj Gibson makes dunk (Rajon Rondo assists),31 - 50
4:01,Raptors 20 Sec. timeout,31 - 50
4:01,Jakob Poeltl enters the game for Pascal Siakam,31 - 50
3:48,DeMar DeRozan makes 20-foot jumper (Kyle Lowry assists),33 - 50
3:29,Doug McDermott  misses 17-foot jumper,33 - 50
3:27,Jimmy Butler offensive rebound,33 - 50
3:23,Taj Gibson makes dunk (Jimmy Butler assists),33 - 52
2:58,Kyle Lowry  misses 26-foot three point jumper,33 - 52
2:58,Raptors offensive team rebound,33 - 52
2:58,Cristiano Felicio personal foul  (Jonas Valanciunas draws the foul),33 - 52
2:58,Bulls Full timeout,33 - 52
2:58,Norman Powell enters the game for Jakob Poeltl,33 - 52
2:58,Cory Joseph enters the game for Kyle Lowry,33 - 52
2:45,Cory Joseph  misses layup,33 - 52
2:44,Jonas Valanciunas  misses 2-foot,33 - 52
2:44,Jonas Valanciunas offensive rebound,33 - 52
2:44,Raptors offensive team rebound,33 - 52
2:42,Jimmy Butler loose ball foul  (Cory Joseph draws the foul),33 - 52
2:30,Norman Powell makes layup (DeMar DeRozan assists),35 - 52
2:11,Doug McDermott makes driving layup (Jimmy Butler assists),35 - 54
1:51,DeMarre Carroll  misses 25-foot three point jumper,35 - 54
1:49,Cristiano Felicio defensive rebound,35 - 54
1:44,Jonas Valanciunas shooting foul  (Jimmy Butler draws the foul),35 - 54
1:44,Jimmy Butler makes free throw 1 of 2,35 - 55
1:44,Jerian Grant enters the game for Doug McDermott,35 - 55
1:44,Lucas Nogueira enters the game for Jonas Valanciunas,35 - 55
1:44,Jimmy Butler makes free throw 2 of 2,35 - 56
1:34,Lucas Nogueira makes layup (Norman Powell assists),37 - 56
1:34,Jerian Grant shooting foul  (Lucas Nogueira draws the foul),37 - 56
1:34,Lucas Nogueira misses free throw 1 of 1,37 - 56
1:31,Taj Gibson defensive rebound,37 - 56
1:08,Cristiano Felicio  misses 12-foot jumper,37 - 56
1:07,Lucas Nogueira defensive rebound,37 - 56
1:04,Jerian Grant shooting foul  (DeMarre Carroll draws the foul),37 - 56
1:04,DeMarre Carroll makes free throw 1 of 2,38 - 56
