time,play,score
12:00,Jonas Valanciunas vs. Tristan Thompson (Kyle Lowry gains possession),0 - 0
11:34,Norman Powell makes 27-foot  three point jumper  (Kyle Lowry assists),3 - 0
11:22,Pascal Siakam blocks Kevin Love's  layup,3 - 0
11:22,Kevin Love offensive rebound,3 - 0
11:22,Pascal Siakam personal foul  (Kevin Love draws the foul),3 - 0
11:18,Kevin Love  misses 20-foot jumper,3 - 0
11:17,Jonas Valanciunas defensive rebound,3 - 0
11:07,Kyle Lowry  misses driving layup,3 - 0
11:06,Kyrie Irving defensive rebound,3 - 0
10:52,Kevin Love  bad pass (DeMar DeRozan steals),3 - 0
10:41,Pascal Siakam makes dunk (Jonas Valanciunas assists),5 - 0
10:30,Norman Powell shooting foul  (LeBron James draws the foul),5 - 0
10:30,LeBron James misses free throw 1 of 2,5 - 0
10:30,Cavaliers offensive team rebound,5 - 0
10:30,LeBron James misses free throw 2 of 2,5 - 0
10:22,Kevin Love makes tip shot,5 - 2
10:22,Kevin Love offensive rebound,5 - 0
10:11,DeMar DeRozan makes 17-foot two point shot (Pascal Siakam assists),7 - 2
10:04,Kyrie Irving makes 16-foot jumper,7 - 4
9:51,DeMar DeRozan makes 19-foot two point shot,9 - 4
9:38,Kevin Love  misses 26-foot three point jumper,9 - 4
9:38,Norman Powell defensive rebound,9 - 4
9:30,DeMar DeRozan makes 14-foot two point shot,11 - 4
9:30,Cavaliers Full timeout,11 - 4
9:15,Tristan Thompson makes 2-foot two point shot (Kyrie Irving assists),11 - 6
9:00,DeMar DeRozan  bad pass (Kyrie Irving steals),11 - 6
8:55,Kevin Love  lost ball turnover (Kyle Lowry steals),11 - 6
8:41,Richard Jefferson shooting foul  (Jonas Valanciunas draws the foul),11 - 6
8:41,Jonas Valanciunas makes free throw 1 of 2,12 - 6
8:41,Jonas Valanciunas makes free throw 2 of 2,13 - 6
8:25,Richard Jefferson  misses 23-foot jumper,13 - 6
8:23,Pascal Siakam defensive rebound,13 - 6
8:18,Pascal Siakam  misses 15-foot jumper,13 - 6
8:15,Tristan Thompson defensive rebound,13 - 6
8:00,LeBron James makes 14-foot jumper,13 - 8
7:37,Kyle Lowry makes two point shot,15 - 8
7:22,Kyrie Irving  misses driving layup,15 - 8
7:18,Kyrie Irving offensive rebound,15 - 8
7:16,Kyrie Irving makes two point shot,15 - 10
6:56,Jonas Valanciunas  misses 5-foot two point shot,15 - 10
6:52,LeBron James defensive rebound,15 - 10
6:45,Kevin Love  misses 24-foot three point jumper,15 - 10
6:45,Norman Powell defensive rebound,15 - 10
6:39,Pascal Siakam makes two point shot (Kyle Lowry assists),17 - 10
6:24,Tristan Thompson  misses driving layup,17 - 10
6:24,Raptors defensive team rebound,17 - 10
6:07,Kyle Lowry  misses 17-foot two point jumper,17 - 10
6:05,Tristan Thompson defensive rebound,17 - 10
5:58,LeBron James makes driving layup,17 - 12
5:58,Pascal Siakam shooting foul  (LeBron James draws the foul),17 - 12
5:58,Patrick Patterson enters the game for Pascal Siakam,17 - 12
5:58,LeBron James makes free throw 1 of 1,17 - 13
5:43,DeMar DeRozan  misses 19-foot jumper,17 - 13
5:41,LeBron James defensive rebound,17 - 13
5:33,LeBron James  misses 25-foot three point jumper,17 - 13
5:33,Kevin Love offensive rebound,17 - 13
5:26,Kyrie Irving  misses 13-foot two point shot,17 - 13
5:24,Kyrie Irving offensive rebound,17 - 13
5:24,Kyrie Irving makes two point shot,17 - 15
5:09,DeMar DeRozan  bad pass (LeBron James steals),17 - 15
5:03,Richard Jefferson makes two point shot (LeBron James assists),17 - 17
4:56,Raptors Full timeout,17 - 17
4:50,Jonas Valanciunas  illegal screen turnover,17 - 17
4:31,Kyrie Irving  misses 17-foot jumper,17 - 17
4:30,DeMar DeRozan defensive rebound,17 - 17
4:18,Iman Shumpert enters the game for Richard Jefferson,17 - 17
4:11,DeMar DeRozan  misses 17-foot jumper,17 - 17
4:09,Kevin Love defensive rebound,17 - 17
4:00,LeBron James makes 19-foot two point shot,17 - 19
3:51,Kyrie Irving personal foul  (Kyle Lowry draws the foul),17 - 19
3:35,Jonas Valanciunas makes layup (Patrick Patterson assists),19 - 19
3:13,Kevin Love makes 19-foot two point shot,19 - 21
2:56,Patrick Patterson  misses 25-foot three point jumper,19 - 21
2:56,LeBron James defensive rebound,19 - 21
2:51,Norman Powell blocks Kevin Love's  shot,19 - 21
2:47,Kyle Lowry defensive rebound,19 - 21
2:41,Kyle Lowry makes 9-foot two point shot,21 - 21
2:32,Kyle Lowry shooting foul  (Kyrie Irving draws the foul),21 - 23
2:32,Kyrie Irving makes free throw 1 of 2,21 - 22
2:32,Mike Dunleavy enters the game for LeBron James,21 - 22
2:32,Cory Joseph enters the game for Kyle Lowry,21 - 22
2:32,Terrence Ross enters the game for Norman Powell,21 - 22
2:32,Kyrie Irving makes free throw 2 of 2,21 - 23
2:18,Terrence Ross makes 14-foot two point shot,23 - 23
1:54,Kevin Love  misses 26-foot three point jumper,23 - 23
1:54,Patrick Patterson defensive rebound,23 - 23
1:44,Terrence Ross  misses 25-foot three point jumper,23 - 23
1:43,Kevin Love defensive rebound,23 - 23
1:30,Mike Dunleavy makes 24-foot  three point jumper  (Kyrie Irving assists),23 - 26
1:12,DeMar DeRozan  misses 15-foot pullup bank shot,23 - 26
1:08,Tristan Thompson defensive rebound,23 - 26
1:00,Iman Shumpert  misses 25-foot three point jumper,23 - 26
1:00,Cavaliers offensive team rebound,23 - 26
1:00,Patrick Patterson loose ball foul  (Kevin Love draws the foul),23 - 26
1:00,Kevin Love makes free throw 1 of 2,23 - 27
1:00,Lucas Nogueira enters the game for Jonas Valanciunas,23 - 27
1:00,Kevin Love makes free throw 2 of 2,23 - 28
43.0,DeMar DeRozan  misses 5-foot Running Jumper,23 - 28
41.0,Tristan Thompson defensive rebound,23 - 28
32.0,Tristan Thompson makes dunk (Iman Shumpert assists),23 - 30
22.0,Cory Joseph makes driving layup,25 - 30
3.0,Tristan Thompson offensive foul  (Cory Joseph draws the foul),25 - 30
3.0,Tristan Thompson  turnover,25 - 30
0.0,Cory Joseph  misses 26-foot three point jumper,25 - 30
0.0,Raptors offensive team rebound,25 - 30
0.0,End of the 1st Quarter,25 - 30
11:37,Channing Frye makes 15-foot jumper (LeBron James assists),25 - 32
11:15,Patrick Patterson  misses 13-foot Regular Jump Shot,25 - 32
11:15,Lucas Nogueira offensive rebound,25 - 32
11:12,Patrick Patterson  misses 25-foot Regular Jump Shot,25 - 32
11:11,LeBron James defensive rebound,25 - 32
11:03,Channing Frye  misses 25-foot three point jumper,25 - 32
11:03,Patrick Patterson defensive rebound,25 - 32
10:48,Kyle Lowry  misses 24-foot three point jumper,25 - 32
10:47,Jordan McRae defensive rebound,25 - 32
10:37,Jordan McRae  bad pass (Kyle Lowry steals),25 - 32
10:33,Kyle Lowry makes two point shot,27 - 32
10:17,Lucas Nogueira personal foul  (Channing Frye draws the foul),27 - 32
10:08,Lucas Nogueira personal foul  (LeBron James draws the foul),27 - 32
10:03,LeBron James makes driving dunk,27 - 34
10:03,Lucas Nogueira shooting foul  (LeBron James draws the foul),27 - 35
