time,play,score
12:00,Jonas Valanciunas vs. Willy Hernangomez (Cory Joseph gains possession),0 - 0
11:37,Serge Ibaka  misses 25-foot three point jumper,0 - 0
11:36,Carmelo Anthony defensive rebound,0 - 0
11:19,Lance Thomas makes 25-foot  three point jumper  (Willy Hernangomez assists),0 - 3
11:03,Lance Thomas personal foul  (Jonas Valanciunas draws the foul),0 - 3
10:53,DeMar DeRozan makes 17-foot two point shot,2 - 3
10:51,Carmelo Anthony  bad pass (Cory Joseph steals),2 - 3
10:48,Cory Joseph makes layup,4 - 3
10:29,Courtney Lee  misses 20-foot jumper,4 - 3
10:27,Jonas Valanciunas defensive rebound,4 - 3
10:19,Jonas Valanciunas  bad pass (Courtney Lee steals),4 - 3
10:11,Courtney Lee makes 17-foot two point shot,4 - 5
9:56,DeMar DeRozan  misses 1-foot two point shot,4 - 5
9:55,Lance Thomas defensive rebound,4 - 5
9:37,Carmelo Anthony  misses two point jumper,4 - 5
9:36,DeMar DeRozan defensive rebound,4 - 5
9:27,Carmelo Anthony shooting foul  (DeMar DeRozan draws the foul),4 - 5
9:27,DeMar DeRozan makes free throw 1 of 2,5 - 5
9:27,DeMar DeRozan misses free throw 2 of 2,5 - 5
9:26,Lance Thomas defensive rebound,5 - 5
9:14,Willy Hernangomez  lost ball turnover (Cory Joseph steals),5 - 5
9:02,DeMarre Carroll makes 19-foot jumper,7 - 5
8:47,Derrick Rose  misses layup,7 - 5
8:45,Jonas Valanciunas defensive rebound,7 - 5
8:40,DeMarre Carroll makes driving layup,9 - 5
8:30,Carmelo Anthony  misses 16-foot jumper,9 - 5
8:27,Willy Hernangomez offensive rebound,9 - 5
8:27,Willy Hernangomez makes tip shot,9 - 7
8:00,Jonas Valanciunas  lost ball turnover (Derrick Rose steals),9 - 7
7:50,Derrick Rose makes two point shot (Courtney Lee assists),9 - 9
7:28,Jonas Valanciunas makes layup (DeMar DeRozan assists),11 - 9
7:07,Courtney Lee  lost ball turnover (Jonas Valanciunas steals),11 - 9
6:56,Cory Joseph  misses 25-foot three point jumper,11 - 9
6:54,Willy Hernangomez defensive rebound,11 - 9
6:47,Courtney Lee makes 24-foot  three point jumper  (Derrick Rose assists),11 - 12
6:28,Derrick Rose personal foul  (DeMar DeRozan draws the foul),11 - 12
6:16,Cory Joseph  misses 26-foot three point jumper,11 - 12
6:15,Willy Hernangomez defensive rebound,11 - 12
6:09,Derrick Rose makes driving layup,11 - 14
5:58,Raptors Full timeout,11 - 14
5:50,DeMar DeRozan  misses 14-foot jumper,11 - 14
5:50,Derrick Rose defensive rebound,11 - 14
5:41,Carmelo Anthony  misses 24-foot three point jumper,11 - 14
5:41,Cory Joseph defensive rebound,11 - 14
5:33,DeMarre Carroll  bad pass (Courtney Lee steals),11 - 14
5:24,Derrick Rose makes 5-foot two point shot,11 - 16
5:09,Lance Thomas personal foul  (Jonas Valanciunas draws the foul),11 - 16
5:09,Justin Holiday enters the game for Courtney Lee,11 - 16
5:09,Mindaugas Kuzminskas enters the game for Lance Thomas,11 - 16
5:09,Patrick Patterson enters the game for Jonas Valanciunas,11 - 16
5:01,Willy Hernangomez shooting foul  (DeMar DeRozan draws the foul),11 - 16
5:01,DeMar DeRozan makes free throw 1 of 2,12 - 16
