time,play,score
12:00,Jonas Valanciunas vs. Myles Turner (Thaddeus Young gains possession),0 - 0
11:36,Paul George  misses 26-foot three point jumper,0 - 0
11:34,Raptors defensive team rebound,0 - 0
11:15,Cory Joseph makes 18-foot two point shot,2 - 0
11:06,Cory Joseph blocks Myles Turner 's 4-foot  jumper,2 - 0
11:04,Jonas Valanciunas defensive rebound,2 - 0
10:52,Jonas Valanciunas makes 21-foot jumper,4 - 0
10:32,Paul George makes driving layup (Jeff Teague assists),4 - 2
10:14,DeMarre Carroll makes 26-foot  three point jumper  (Jonas Valanciunas assists),7 - 2
9:59,Monta Ellis  misses 21-foot jumper,7 - 2
9:57,Serge Ibaka defensive rebound,7 - 2
9:38,Monta Ellis blocks DeMar DeRozan 's 14-foot  jumper,7 - 2
9:37,DeMar DeRozan offensive rebound,7 - 2
9:33,Myles Turner shooting foul  (Serge Ibaka draws the foul),7 - 2
9:33,Serge Ibaka makes free throw 1 of 2,8 - 2
9:33,Serge Ibaka makes free throw 2 of 2,9 - 2
9:21,Jeff Teague makes 24-foot  three point jumper  (Paul George assists),9 - 5
9:10,Jonas Valanciunas offensive foul  (Myles Turner draws the foul),9 - 5
9:10,Jonas Valanciunas  turnover,9 - 5
8:52,Jeff Teague  misses 20-foot jumper,9 - 5
8:52,Serge Ibaka defensive rebound,9 - 5
8:37,Serge Ibaka makes 5-foot jumper (Jonas Valanciunas assists),11 - 5
8:22,Thaddeus Young  misses 4-foot Running Jumper,11 - 5
8:21,Paul George  misses 2-foot,11 - 5
8:21,Paul George offensive rebound,11 - 5
8:19,Jonas Valanciunas defensive rebound,11 - 5
8:14,DeMarre Carroll makes 25-foot   (DeMar DeRozan assists),14 - 5
8:08,Pacers Full timeout,14 - 5
8:00,Paul George  misses 9-foot two point shot,14 - 5
8:00,Jonas Valanciunas defensive rebound,14 - 5
7:46,DeMar DeRozan  misses 24-foot three point jumper,14 - 5
7:45,Monta Ellis defensive rebound,14 - 5
7:35,Paul George makes driving layup,14 - 7
7:18,Cory Joseph  bad pass (Monta Ellis steals),14 - 7
7:11,Jeff Teague  misses 24-foot three point jumper,14 - 7
7:11,Cory Joseph defensive rebound,14 - 7
7:01,Cory Joseph makes 3-foot two point shot,16 - 7
6:48,Serge Ibaka personal foul  (Myles Turner draws the foul),16 - 7
6:46,Paul George  misses three point jumper,16 - 7
6:45,Serge Ibaka defensive rebound,16 - 7
6:33,Paul George shooting foul  (Jonas Valanciunas draws the foul),16 - 7
6:33,Jonas Valanciunas makes free throw 1 of 2,17 - 7
6:33,Jonas Valanciunas makes free throw 2 of 2,18 - 7
6:18,Thaddeus Young makes 5-foot two point shot (Jeff Teague assists),18 - 9
6:05,Serge Ibaka  misses 20-foot jumper,18 - 9
6:05,Paul George defensive rebound,18 - 9
5:48,Monta Ellis  misses 23-foot three point jumper,18 - 9
5:48,Thaddeus Young offensive rebound,18 - 9
5:45,Thaddeus Young  bad pass (DeMar DeRozan steals),18 - 9
5:35,DeMar DeRozan offensive foul  (Paul George draws the foul),18 - 9
5:35,DeMar DeRozan  turnover,18 - 9
5:35,Raptors delay of game violation,18 - 9
5:35,Patrick Patterson enters the game for Jonas Valanciunas,18 - 9
5:24,Cory Joseph shooting foul  (Jeff Teague draws the foul),18 - 9
5:24,Jeff Teague makes free throw 1 of 3,18 - 10
5:24,Jeff Teague makes free throw 2 of 3,18 - 11
5:24,CJ Miles enters the game for Thaddeus Young,18 - 11
5:24,Jeff Teague makes free throw 3 of 3,18 - 12
5:00,Monta Ellis blocks Patrick Patterson 's 3-foot  layup,18 - 12
4:58,CJ Miles defensive rebound,18 - 12
